Time,POSX,POSY,POSZ
1781484046.0459933,-0.7028,-0.4715,0.0834
1781484046.0509527,-0.7028,-0.4715,0.0834
1781484046.0573075,-0.7028,-0.4715,0.0834
1781484046.0623078,-0.7028,-0.4715,0.0834
1781484046.068135,-0.7028,-0.4715,0.0834
1781484046.0735395,-0.7028,-0.4715,0.0834
1781484046.078607,-0.7028,-0.4715,0.0834
1781484046.0846786,-0.7028,-0.4716,0.0834
1781484046.0899978,-0.7028,-0.4715,0.0834
1781484046.095735,-0.7028,-0.4715,0.0834
1781484046.1006298,-0.7028,-0.4715,0.0834
1781484046.1071458,-0.7027,-0.4715,0.0834
1781484046.1119845,-0.7028,-0.4715,0.0834
1781484046.1180508,-0.7028,-0.4715,0.0834
1781484046.1234837,-0.7028,-0.4715,0.0834
1781484046.1292233,-0.7028,-0.4715,0.0834
1781484046.141335,-0.7028,-0.4715,0.0834
1781484046.141823,-0.7028,-0.4715,0.0834
1781484046.146536,-0.7028,-0.4715,0.0834
1781484046.1675298,-0.7028,-0.4715,0.0834
1781484046.167955,-0.7028,-0.4715,0.0834
1781484046.1683621,-0.7028,-0.4715,0.0834
1781484046.1687891,-0.7028,-0.4715,0.0834
1781484046.173198,-0.7028,-0.4715,0.0834
1781484046.1787612,-0.7028,-0.4715,0.0834
1781484046.1846776,-0.7028,-0.4715,0.0834
1781484046.1904342,-0.7028,-0.4715,0.0834
1781484046.1957307,-0.7028,-0.4715,0.0834
1781484046.2010036,-0.7028,-0.4715,0.0834
1781484046.2065454,-0.7028,-0.4715,0.0834
1781484046.211877,-0.7028,-0.4715,0.0834
1781484046.2174418,-0.7028,-0.4716,0.0834
1781484046.22301,-0.7028,-0.4715,0.0834
1781484046.2290475,-0.7028,-0.4715,0.0834
1781484046.2347481,-0.7028,-0.4715,0.0834
1781484046.2399337,-0.7028,-0.4715,0.0834
1781484046.245219,-0.7028,-0.4716,0.0834
1781484046.2509606,-0.7028,-0.4715,0.0834
1781484046.257315,-0.7028,-0.4715,0.0834
1781484046.263304,-0.7028,-0.4715,0.0834
1781484046.267836,-0.7028,-0.4715,0.0834
1781484046.2811913,-0.7028,-0.4715,0.0834
1781484046.2846215,-0.7028,-0.4715,0.0834
1781484046.2851386,-0.7028,-0.4715,0.0834
1781484046.2898455,-0.7028,-0.4715,0.0834
1781484046.2959228,-0.7028,-0.4715,0.0834
1781484046.3025818,-0.7028,-0.4715,0.0834
1781484046.3071673,-0.7028,-0.4715,0.0834
1781484046.312073,-0.7028,-0.4715,0.0834
1781484046.3174813,-0.7028,-0.4715,0.0834
1781484046.3233166,-0.7028,-0.4716,0.0834
1781484046.3292015,-0.7028,-0.4715,0.0834
1781484046.3342917,-0.7028,-0.4715,0.0834
