Time,POSX,POSY,POSZ
1781485473.971606,-0.05,0.33,0.13
1781485473.975539,-0.05,0.32,0.12
1781485473.978057,-0.07,0.31,0.11
1781485473.9812708,-0.07,0.32,0.12
1781485473.9843578,-0.07,0.31,0.11
1781485473.9877205,-0.03,0.33,0.12
1781485473.9898558,-0.05,0.32,0.1
1781485473.9925883,-0.1,0.29,0.11
1781485473.9953823,-0.11,0.28,0.09
1781485474.0007305,-0.12,0.27,0.07
1781485474.0771847,-0.13,0.27,0.06
1781485474.1780486,-0.12,0.28,0.06
1781485474.2772174,-0.12,0.28,0.08
1781485474.3777878,-0.12,0.27,0.08
1781485474.4784036,-0.07,0.3,0.11
1781485474.5780292,-0.03,0.32,0.13
1781485474.6772366,-0.05,0.31,0.11
1781485474.777375,-0.1,0.27,0.12
1781485474.877496,-0.07,0.31,0.15
1781485474.978956,-0.19,0.28,0.24
1781485475.077896,-0.21,0.31,0.22
1781485475.1785452,-0.18,0.38,0.17
1781485475.2782629,-0.14,0.45,0.15
1781485475.3780067,-0.17,0.5,0.15
1781485475.4782145,-0.15,0.56,0.15
1781485475.5776215,-0.17,0.57,0.25
1781485475.6778333,-0.25,0.57,0.38
1781485475.777237,-0.31,0.54,0.55
1781485475.8774464,-0.35,0.54,0.63
1781485475.9872577,-0.35,0.54,0.67
1781485476.0779493,-0.39,0.54,0.74
1781485476.1775734,-0.43,0.53,0.79
1781485476.2784128,-0.51,0.52,0.85
1781485476.3777049,-0.56,0.52,0.85
1781485476.4783792,-0.63,0.53,0.83
1781485476.578325,-0.71,0.56,0.82
1781485476.678054,-0.77,0.56,0.79
1781485476.7779126,-0.83,0.56,0.77
1781485476.8891723,-0.87,0.54,0.81
1781485476.9773557,-0.89,0.52,0.74
1781485477.1109247,-0.96,0.55,0.78
1781485477.1780176,-0.96,0.51,0.72
1781485477.2782104,-1.02,0.53,0.77
1781485477.3770564,-1.04,0.53,0.8
1781485477.4771683,-1.03,0.51,0.8
1781485477.579925,-1.09,0.54,0.9
1781485477.6784515,-1.13,0.55,0.97
