Time,POSX,POSY,POSZ
1781486651.7622483,-0.4208,0.4748,0.0815
1781486651.768775,-0.4208,0.4748,0.0815
1781486651.7735465,-0.4208,0.4748,0.0815
1781486651.7794833,-0.4208,0.4748,0.0815
1781486651.7847352,-0.4208,0.4748,0.0815
1781486651.7901454,-0.4208,0.4748,0.0815
1781486651.7959726,-0.4208,0.4748,0.0815
1781486651.80156,-0.4208,0.4748,0.0815
1781486651.8070116,-0.4208,0.4748,0.0815
1781486651.812352,-0.4208,0.4748,0.0815
1781486651.8180683,-0.4208,0.4748,0.0815
1781486651.823184,-0.4208,0.4748,0.0815
1781486651.828805,-0.4208,0.4748,0.0815
1781486651.8349135,-0.4208,0.4748,0.0815
1781486651.8404596,-0.4208,0.4748,0.0815
1781486651.8456993,-0.4208,0.4748,0.0815
1781486651.851237,-0.4208,0.4748,0.0815
1781486651.8638434,-0.4208,0.4748,0.0815
1781486651.8897226,-0.4208,0.4748,0.0815
1781486651.8900719,-0.4208,0.4748,0.0815
1781486651.8903806,-0.4208,0.4748,0.0815
1781486651.8906868,-0.4208,0.4748,0.0815
1781486651.8909929,-0.4208,0.4748,0.0815
1781486651.8912952,-0.4208,0.4748,0.0815
1781486651.895435,-0.4208,0.4748,0.0815
1781486651.9017613,-0.4208,0.4748,0.0815
1781486651.9072194,-0.4208,0.4748,0.0815
1781486651.9124458,-0.4208,0.4748,0.0815
1781486651.9178631,-0.4208,0.4748,0.0816
1781486651.9230018,-0.4208,0.4748,0.0815
1781486651.9285853,-0.4208,0.4748,0.0815
1781486651.9345567,-0.4208,0.4748,0.0815
1781486651.940213,-0.4208,0.4748,0.0815
1781486651.945259,-0.4208,0.4748,0.0815
1781486651.9511054,-0.4208,0.4748,0.0816
1781486651.957331,-0.4209,0.4747,0.0816
1781486651.9614975,-0.4208,0.4748,0.0815
1781486651.9678748,-0.4208,0.4748,0.0815
1781486651.973601,-0.4208,0.4748,0.0815
1781486651.9788263,-0.4208,0.4748,0.0815
1781486651.9844036,-0.4208,0.4748,0.0815
1781486651.9893014,-0.4208,0.4748,0.0815
1781486652.0000849,-0.4208,0.4748,0.0815
1781486652.0008135,-0.4208,0.4748,0.0815
1781486652.0066252,-0.4208,0.4748,0.0815
1781486652.0123167,-0.4208,0.4748,0.0815
1781486652.0188153,-0.4208,0.4748,0.0815
1781486652.0233347,-0.4208,0.4748,0.0815
1781486652.0284922,-0.4208,0.4748,0.0815
1781486652.0343676,-0.4209,0.4747,0.0816
1781486652.0395894,-0.4208,0.4748,0.0815
1781486652.0461712,-0.4208,0.4748,0.0815
1781486652.0513465,-0.4208,0.4748,0.0816
1781486652.0565066,-0.4208,0.4748,0.0815
1781486652.0619452,-0.4208,0.4748,0.0815
1781486652.0676122,-0.4208,0.4748,0.0815
1781486652.0729623,-0.4208,0.4748,0.0816
1781486652.0784585,-0.4208,0.4748,0.0815
1781486652.0840163,-0.4208,0.4748,0.0815
1781486652.0902648,-0.4208,0.4748,0.0815
1781486652.0959044,-0.4208,0.4748,0.0815
1781486652.1009011,-0.4208,0.4748,0.0815
1781486652.1060925,-0.4208,0.4748,0.0815
1781486652.111667,-0.4208,0.4748,0.0815
1781486652.1178417,-0.4208,0.4748,0.0815
1781486652.123552,-0.4208,0.4748,0.0815
1781486652.1287086,-0.4209,0.4748,0.0816
1781486652.1423416,-0.4209,0.4747,0.0815
1781486652.142846,-0.4208,0.4748,0.0815
1781486652.1452954,-0.4208,0.4748,0.0815
1781486652.1509583,-0.4208,0.4748,0.0815
1781486652.1582751,-0.4209,0.4748,0.0816
1781486652.1629806,-0.4208,0.4748,0.0815
1781486652.167856,-0.4208,0.4748,0.0815
1781486652.1732724,-0.4208,0.4748,0.0815
1781486652.179125,-0.4208,0.4748,0.0815
1781486652.1844764,-0.4208,0.4748,0.0815
1781486652.1902244,-0.4208,0.4748,0.0815
1781486652.1949315,-0.4209,0.4748,0.0816
1781486652.2007978,-0.4208,0.4748,0.0815
1781486652.2059453,-0.4208,0.4748,0.0815
1781486652.2124338,-0.4208,0.4748,0.0815
1781486652.2181873,-0.4208,0.4748,0.0815
1781486652.223167,-0.4208,0.4748,0.0815
1781486652.2284274,-0.4209,0.4748,0.0816
1781486652.2340813,-0.4208,0.4748,0.0815
1781486652.239669,-0.4208,0.4748,0.0815
1781486652.245722,-0.4208,0.4748,0.0815
1781486652.2511418,-0.4208,0.4748,0.0815
1781486652.2563984,-0.4208,0.4748,0.0815
1781486652.2617385,-0.4208,0.4748,0.0815
1781486652.2676663,-0.4208,0.4748,0.0815
1781486652.2753954,-0.4208,0.4748,0.0815
1781486652.3119586,-0.4208,0.4748,0.0815
1781486652.3124895,-0.4208,0.4748,0.0815
1781486652.3128088,-0.4208,0.4748,0.0815
1781486652.3131123,-0.4208,0.4748,0.0815
1781486652.313409,-0.4208,0.4748,0.0815
1781486652.3137627,-0.4208,0.4748,0.0815
1781486652.3140676,-0.4208,0.4748,0.0815
1781486652.3177028,-0.4208,0.4748,0.0815
1781486652.3229947,-0.4208,0.4748,0.0815
1781486652.3288214,-0.4208,0.4748,0.0815
1781486652.3345747,-0.4208,0.4748,0.0815
1781486652.3401039,-0.4208,0.4748,0.0815
1781486652.3456135,-0.4208,0.4748,0.0815
1781486652.3507824,-0.4209,0.4748,0.0816
1781486652.3561394,-0.4208,0.4748,0.0815
1781486652.3617923,-0.4208,0.4748,0.0815
1781486652.368125,-0.4208,0.4748,0.0815
1781486652.373524,-0.4208,0.4748,0.0815
1781486652.378595,-0.4208,0.4748,0.0815
1781486652.3840208,-0.4208,0.4748,0.0815
1781486652.3894708,-0.4208,0.4748,0.0815
1781486652.39551,-0.4209,0.4747,0.0816
1781486652.4009306,-0.4208,0.4748,0.0815
1781486652.4068863,-0.4208,0.4748,0.0815
1781486652.4119148,-0.4208,0.4748,0.0815
1781486652.42272,-0.4208,0.4748,0.0815
1781486652.4233212,-0.4208,0.4748,0.0815
1781486652.4293513,-0.4208,0.4748,0.0815
1781486652.434918,-0.4208,0.4748,0.0815
1781486652.441723,-0.4208,0.4748,0.0815
1781486652.4452314,-0.4208,0.4748,0.0815
1781486652.4506564,-0.4208,0.4748,0.0815
1781486652.456688,-0.4208,0.4748,0.0815
1781486652.4625368,-0.4208,0.4748,0.0815
1781486652.469295,-0.4208,0.4748,0.0815
1781486652.4729953,-0.4208,0.4748,0.0815
1781486652.478368,-0.4208,0.4748,0.0815
1781486652.4840965,-0.4208,0.4748,0.0815
1781486652.4903843,-0.4208,0.4748,0.0815
1781486652.4956794,-0.4209,0.4748,0.0816
1781486652.5006402,-0.4208,0.4748,0.0815
1781486652.5060866,-0.4208,0.4748,0.0815
1781486652.5116463,-0.4208,0.4748,0.0815
1781486652.5174098,-0.4208,0.4748,0.0815
1781486652.523751,-0.4208,0.4748,0.0815
1781486652.5289428,-0.4208,0.4748,0.0815
1781486652.534092,-0.4208,0.4748,0.0815
1781486652.539478,-0.4208,0.4748,0.0815
1781486652.5452113,-0.4209,0.4748,0.0816
