Time,POSX,POSY,POSZ
1781486655.3860507,-0.61,0.33,0.6
1781486655.392386,-0.61,0.33,0.59
1781486655.399217,-0.61,0.33,0.6
1781486655.4062817,-0.56,0.36,0.58
1781486655.411039,-0.52,0.39,0.58
1781486655.4137454,-0.55,0.38,0.58
1781486655.4160838,-0.56,0.36,0.62
1781486655.4238367,-0.55,0.35,0.59
1781486655.4261725,-0.55,0.34,0.59
1781486655.433023,-0.55,0.35,0.59
1781486655.4402204,-0.52,0.37,0.72
1781486655.526747,-0.55,0.36,0.74
1781486655.6258163,-0.56,0.34,0.77
1781486655.7247853,-0.58,0.33,0.73
1781486655.8247223,-0.6,0.32,0.67
1781486655.925264,-0.58,0.33,0.65
1781486656.0273252,-0.58,0.32,0.69
1781486656.1251278,-0.57,0.33,0.68
1781486656.225447,-0.57,0.33,0.63
1781486656.326798,-0.6,0.32,0.66
1781486656.5108895,-0.61,0.32,0.66
1781486656.524674,-0.6,0.32,0.66
1781486656.6300192,-0.59,0.33,0.64
1781486656.7254725,-0.61,0.32,0.63
1781486656.8253136,-0.55,0.37,0.59
1781486656.9253485,-0.56,0.36,0.64
1781486657.0246599,-0.56,0.37,0.63
1781486657.1257446,-0.55,0.36,0.66
1781486657.224771,-0.56,0.36,0.68
1781486657.326477,-0.59,0.32,0.77
1781486657.425794,-0.6,0.31,0.79
1781486657.5318022,-0.6,0.31,0.74
1781486657.6245,-0.55,0.33,0.69
1781486657.7258706,-0.55,0.37,0.65
1781486657.8273294,-0.56,0.35,0.66
1781486657.925023,-0.59,0.32,0.65
1781486658.025236,-0.59,0.31,0.62
1781486658.1267328,-0.58,0.33,0.59
1781486658.225629,-0.59,0.33,0.65
1781486658.3245602,-0.58,0.33,0.69
1781486658.425752,-0.59,0.32,0.66
1781486658.5255883,-0.61,0.32,0.69
1781486658.624942,-0.55,0.36,0.66
1781486658.7271545,-0.56,0.33,0.64
1781486658.8248167,-0.56,0.33,0.63
1781486658.9251263,-0.54,0.35,0.59
1781486659.0257227,-0.54,0.36,0.57
1781486659.1246572,-0.52,0.39,0.57
1781486659.225724,-0.55,0.37,0.61
1781486659.3254724,-0.54,0.39,0.61
1781486659.4248166,-0.56,0.37,0.62
