Time,POSX,POSY,POSZ
1781486501.4889045,-0.9858,0.5962,0.0813
1781486501.4945695,-0.9858,0.5963,0.0814
1781486501.5009472,-0.9858,0.5963,0.0814
1781486501.5060513,-0.9858,0.5962,0.0813
1781486501.5111334,-0.9858,0.5962,0.0814
1781486501.5165207,-0.9858,0.5963,0.0814
1781486501.5225675,-0.9858,0.5963,0.0813
1781486501.5277946,-0.9858,0.5963,0.0814
1781486501.5335875,-0.9858,0.5962,0.0814
1781486501.5391462,-0.9858,0.5963,0.0814
1781486501.5438082,-0.9858,0.5962,0.0814
1781486501.5500042,-0.9858,0.5962,0.0813
1781486501.5555813,-0.9858,0.5963,0.0814
1781486501.5616965,-0.9858,0.5962,0.0813
1781486501.567227,-0.9858,0.5963,0.0814
1781486501.5719132,-0.9858,0.5963,0.0814
1781486501.5775921,-0.9858,0.5962,0.0813
1781486501.587929,-0.9858,0.5963,0.0814
1781486501.5892339,-0.9858,0.5963,0.0814
1781486501.6207144,-0.9858,0.5963,0.0814
1781486501.6212065,-0.9858,0.5963,0.0814
1781486501.6215565,-0.9858,0.5963,0.0814
1781486501.6219058,-0.9858,0.5962,0.0813
1781486501.6223125,-0.9858,0.5962,0.0814
1781486501.622698,-0.9857,0.5962,0.0813
1781486501.6277106,-0.9858,0.5962,0.0814
1781486501.633718,-0.9858,0.5963,0.0814
1781486501.638766,-0.9858,0.5963,0.0814
1781486501.644186,-0.9858,0.5963,0.0814
1781486501.6499298,-0.9858,0.5963,0.0814
1781486501.6550374,-0.9858,0.5963,0.0814
1781486501.6605556,-0.9858,0.5962,0.0813
1781486501.6659281,-0.9858,0.5963,0.0814
1781486501.6725848,-0.9858,0.5962,0.0814
1781486501.6777802,-0.9858,0.5963,0.0814
1781486501.68359,-0.9858,0.5963,0.0814
1781486501.6885836,-0.9858,0.5963,0.0814
1781486501.6939676,-0.9858,0.5962,0.0814
1781486501.6995447,-0.9858,0.5963,0.0814
1781486501.7049358,-0.9858,0.5963,0.0814
1781486501.7101684,-0.9858,0.5963,0.0814
1781486501.7165446,-0.9858,0.5963,0.0814
1781486501.721933,-0.9858,0.5963,0.0814
1781486501.733243,-0.9858,0.5963,0.0814
1781486501.7336998,-0.9858,0.5963,0.0813
1781486501.7387898,-0.9858,0.5963,0.0814
1781486501.7443612,-0.9858,0.5963,0.0814
1781486501.7499053,-0.9858,0.5963,0.0814
1781486501.7554014,-0.9858,0.5962,0.0814
1781486501.7607863,-0.9858,0.5962,0.0814
1781486501.766107,-0.9858,0.5963,0.0814
1781486501.7717605,-0.9858,0.5963,0.0814
1781486501.777487,-0.9858,0.5963,0.0814
1781486501.7832186,-0.9858,0.5963,0.0814
1781486501.7887383,-0.9858,0.5963,0.0814
1781486501.7941225,-0.9858,0.5962,0.0814
1781486501.7998543,-0.9858,0.5963,0.0814
1781486501.8048756,-0.9858,0.5963,0.0814
1781486501.8111045,-0.9858,0.5963,0.0814
1781486501.8167677,-0.9858,0.5963,0.0813
1781486501.8215911,-0.9858,0.5963,0.0814
1781486501.827014,-0.9858,0.5963,0.0814
1781486501.8326879,-0.9858,0.5963,0.0813
1781486501.8386214,-0.9858,0.5963,0.0814
1781486501.844373,-0.9858,0.5963,0.0814
1781486501.8496528,-0.9858,0.5962,0.0814
1781486501.8546724,-0.9858,0.5962,0.0813
1781486501.8603845,-0.9858,0.5963,0.0814
1781486501.865851,-0.9858,0.5963,0.0813
1781486501.8813155,-0.9858,0.5963,0.0814
1781486501.8817892,-0.9858,0.5962,0.0814
1781486501.8834114,-0.9858,0.5963,0.0814
1781486501.8884068,-0.9858,0.5963,0.0814
1781486501.8936634,-0.9858,0.5963,0.0814
1781486501.9002507,-0.9858,0.5963,0.0814
1781486501.9151993,-0.9858,0.5963,0.0814
1781486501.915902,-0.9858,0.5963,0.0814
1781486501.9164069,-0.9858,0.5963,0.0814
1781486501.9216707,-0.9858,0.5963,0.0814
1781486501.9271767,-0.9858,0.5962,0.0813
1781486501.9333432,-0.9858,0.5963,0.0814
1781486501.938573,-0.9858,0.5963,0.0814
1781486501.9440477,-0.9858,0.5963,0.0814
1781486501.9493747,-0.9858,0.5963,0.0814
1781486501.954529,-0.9858,0.5963,0.0814
1781486501.960387,-0.9858,0.5963,0.0814
1781486501.9667437,-0.9858,0.5963,0.0814
1781486501.9720323,-0.9858,0.5963,0.0814
1781486501.977269,-0.9858,0.5963,0.0814
1781486501.982983,-0.9858,0.5963,0.0814
1781486501.9880588,-0.9858,0.5962,0.0814
1781486501.9942052,-0.9858,0.5963,0.0814
1781486501.9999483,-0.9858,0.5963,0.0814
1781486502.0053735,-0.9858,0.5962,0.0814
1781486502.0104148,-0.9858,0.5963,0.0814
