Time,POSX,POSY,POSZ
1781486505.12831,-0.7,0.45,0.37
1781486505.1323586,-0.68,0.44,0.38
1781486505.13728,-0.68,0.44,0.38
1781486505.1429398,-0.68,0.43,0.38
1781486505.205266,-0.69,0.42,0.39
1781486505.2139785,-0.67,0.42,0.37
1781486505.2163336,-0.67,0.43,0.37
1781486505.2213585,-0.69,0.44,0.36
1781486505.2284446,-0.68,0.44,0.37
1781486505.2307367,-0.68,0.44,0.36
1781486505.2360563,-0.67,0.45,0.35
1781486505.3296804,-0.66,0.44,0.37
1781486505.4265358,-0.65,0.44,0.36
1781486505.5268242,-0.66,0.44,0.37
1781486505.6266174,-0.64,0.44,0.37
1781486505.726832,-0.66,0.44,0.35
1781486505.8273237,-0.67,0.43,0.35
1781486505.9269004,-0.67,0.43,0.35
1781486506.0270116,-0.66,0.43,0.36
1781486506.1267781,-0.66,0.44,0.35
1781486506.227446,-0.65,0.44,0.35
1781486506.3276162,-0.65,0.45,0.34
1781486506.4264112,-0.66,0.45,0.35
1781486506.5268133,-0.66,0.45,0.36
1781486506.6360056,-0.67,0.45,0.36
1781486506.7272437,-0.67,0.45,0.35
1781486506.8259706,-0.66,0.45,0.35
1781486506.9266539,-0.68,0.45,0.34
1781486507.0272582,-0.69,0.45,0.35
1781486507.1263974,-0.69,0.45,0.35
1781486507.2259696,-0.69,0.45,0.35
1781486507.3265913,-0.69,0.46,0.33
1781486507.4285367,-0.68,0.46,0.35
1781486507.5272634,-0.68,0.46,0.35
1781486507.6273863,-0.68,0.46,0.36
1781486507.7260754,-0.67,0.46,0.36
1781486507.826229,-0.67,0.46,0.37
1781486507.9272661,-0.68,0.47,0.37
1781486508.0272973,-0.7,0.48,0.37
1781486508.1264462,-0.65,0.44,0.36
1781486508.226061,-0.62,0.42,0.36
1781486508.3266745,-0.63,0.44,0.36
1781486508.425859,-0.66,0.45,0.36
1781486508.5264738,-0.68,0.45,0.34
1781486508.6287432,-0.68,0.45,0.35
1781486508.725993,-0.66,0.45,0.35
1781486508.826688,-0.66,0.45,0.34
1781486508.925825,-0.65,0.44,0.36
1781486509.027318,-0.65,0.44,0.36
1781486509.1271093,-0.65,0.44,0.35
1781486509.2269597,-0.65,0.45,0.34
1781486509.3260415,-0.68,0.45,0.34
1781486509.4260108,-0.66,0.44,0.35
1781486509.5286732,-0.67,0.44,0.36
1781486509.6259859,-0.7,0.46,0.36
1781486509.7262378,-0.68,0.46,0.36
1781486509.8357918,-0.69,0.46,0.38
1781486509.92726,-0.69,0.48,0.43
1781486510.0275126,-0.69,0.47,0.49
1781486510.1331303,-0.67,0.46,0.59
1781486510.2266893,-0.67,0.43,0.71
1781486510.3266828,-0.65,0.39,0.85
1781486510.4261672,-0.65,0.35,0.96
1781486510.5267282,-0.7,0.35,1.67
1781486510.6261075,-0.75,0.32,2.15
1781486510.7260156,-0.76,0.28,2.51
1781486510.826441,-0.76,0.22,2.74
1781486510.9275284,-0.71,0.14,2.51
1781486511.02659,-0.71,0.08,2.71
1781486511.1277115,-0.67,0.02,2.82
1781486511.2270045,-0.62,-0.07,2.6
1781486511.3262265,-0.59,-0.12,2.77
1781486511.4267645,-0.56,-0.18,2.56
1781486511.5280786,-0.55,-0.23,2.74
1781486511.6265223,-0.54,-0.28,2.93
1781486511.7277248,-0.52,-0.33,3.07
1781486511.8411806,-0.5,-0.4,3.15
1781486511.927493,-0.47,-0.48,3.2
1781486512.0273747,-0.42,-0.54,3.19
1781486512.1266067,-0.36,-0.61,3.12
1781486512.227094,-0.26,-0.68,2.83
1781486512.3269734,-0.17,-0.75,2.94
1781486512.4267392,-0.08,-0.8,3.0
1781486512.5266888,0.03,-0.8,3.02
1781486512.6258667,0.15,-0.82,2.75
1781486512.7345066,0.29,-0.82,2.76
1781486512.8268878,0.42,-0.79,2.76
1781486512.9267123,0.54,-0.77,2.62
1781486513.0262005,0.68,-0.71,2.72
1781486513.1265037,0.79,-0.65,2.59
1781486513.2271767,0.87,-0.6,2.48
1781486513.3265705,0.97,-0.52,2.42
1781486513.426634,1.03,-0.4,2.63
1781486513.5268805,1.09,-0.32,2.51
1781486513.6260612,1.14,-0.2,2.37
1781486513.725807,1.16,-0.09,2.29
1781486513.825748,1.16,0.03,2.19
1781486513.937027,1.22,0.19,2.15
1781486514.025994,1.19,0.3,2.1
1781486514.1264322,1.17,0.43,2.09
1781486514.2332675,1.12,0.56,2.11
1781486514.3265526,1.09,0.67,2.09
1781486514.4266768,1.03,0.77,2.12
1781486514.5270636,0.96,0.86,2.39
1781486514.626377,0.9,0.94,2.65
1781486514.7259521,0.82,1.0,2.86
1781486514.826844,0.74,1.03,2.93
1781486514.9257116,0.65,1.05,2.96
1781486515.0269365,0.55,1.04,2.89
1781486515.1263945,0.48,1.01,2.63
1781486515.2257195,0.38,1.0,2.57
1781486515.3282113,0.26,0.97,2.64
1781486515.4258027,0.17,0.92,2.53
1781486515.5259964,0.09,0.89,2.44
1781486515.6288705,0.01,0.85,2.43
1781486515.7267594,-0.05,0.81,2.4
1781486515.826402,-0.11,0.79,2.39
1781486515.9267428,-0.16,0.77,2.28
1781486516.0265698,-0.23,0.75,2.44
1781486516.1261137,-0.26,0.74,2.56
1781486516.227012,-0.3,0.75,2.67
1781486516.3257525,-0.3,0.76,2.45
1781486516.4263215,-0.3,0.76,2.33
1781486516.5258722,-0.29,0.76,2.19
1781486516.6257756,-0.36,0.75,2.45
1781486516.729588,-0.36,0.75,2.29
1781486516.8270962,-0.38,0.75,2.52
1781486516.9269695,-0.37,0.73,2.47
1781486517.0258186,-0.37,0.72,2.31
1781486517.1268754,-0.36,0.72,2.19
1781486517.2259846,-0.34,0.72,2.01
1781486517.3267317,-0.35,0.73,2.0
1781486517.4259822,-0.35,0.72,2.0
1781486517.5267324,-0.34,0.71,1.94
1781486517.6262727,-0.35,0.69,1.91
1781486517.727218,-0.33,0.69,1.96
1781486517.8269575,-0.34,0.66,1.91
1781486517.9258986,-0.36,0.64,1.87
1781486518.027041,-0.36,0.63,1.84
1781486518.1304698,-0.38,0.62,1.81
1781486518.2275786,-0.39,0.61,1.84
1781486518.3276494,-0.42,0.61,1.81
