Time,POSX,POSY,POSZ
1781486790.3477495,0.0247,0.1448,0.0826
1781486790.3529942,0.0247,0.1448,0.0826
1781486790.3582177,0.0246,0.1448,0.0826
1781486790.363915,0.0247,0.1448,0.0826
1781486790.3698158,0.0247,0.1448,0.0826
1781486790.374915,0.0247,0.1448,0.0826
1781486790.3807702,0.0247,0.1448,0.0826
1781486790.385873,0.0247,0.1448,0.0826
1781486790.3915007,0.0247,0.1448,0.0826
1781486790.3968866,0.0247,0.1448,0.0826
1781486790.4032817,0.0247,0.1448,0.0826
1781486790.4078515,0.0247,0.1448,0.0826
1781486790.4139664,0.0247,0.1448,0.0826
1781486790.4191785,0.0246,0.1448,0.0826
1781486790.4247549,0.0247,0.1447,0.0826
1781486790.4308598,0.0246,0.1447,0.0826
1781486790.4420516,0.0247,0.1448,0.0826
1781486790.4425268,0.0247,0.1448,0.0826
1781486790.4473014,0.0247,0.1448,0.0826
1781486790.4527757,0.0247,0.1448,0.0826
1781486790.4706748,0.0246,0.1448,0.0826
1781486790.471043,0.0247,0.1448,0.0826
1781486790.4713662,0.0247,0.1448,0.0826
1781486790.4751227,0.0247,0.1448,0.0826
1781486790.4806445,0.0247,0.1448,0.0826
1781486790.4857929,0.0246,0.1448,0.0826
1781486790.4914637,0.0246,0.1447,0.0826
1781486790.4969692,0.0247,0.1448,0.0826
1781486790.5024543,0.0247,0.1448,0.0826
1781486790.5078976,0.0246,0.1448,0.0826
1781486790.5141838,0.0247,0.1448,0.0826
1781486790.5186434,0.0247,0.1448,0.0826
1781486790.5243313,0.0247,0.1448,0.0826
1781486790.5294797,0.0247,0.1448,0.0826
1781486790.5354955,0.0247,0.1448,0.0826
1781486790.5410838,0.0246,0.1448,0.0826
1781486790.5474725,0.0247,0.1448,0.0826
1781486790.5520196,0.0247,0.1448,0.0826
1781486790.5575087,0.0247,0.1447,0.0826
1781486790.5641987,0.0246,0.1448,0.0826
1781486790.5696063,0.0247,0.1448,0.0826
1781486790.5811806,0.0247,0.1448,0.0826
1781486790.5816734,0.0247,0.1448,0.0826
1781486790.5868862,0.0247,0.1448,0.0826
1781486790.5919447,0.0247,0.1448,0.0826
1781486790.5976267,0.0247,0.1448,0.0826
1781486790.603182,0.0247,0.1448,0.0826
1781486790.607884,0.0247,0.1448,0.0826
1781486790.6132367,0.0247,0.1448,0.0826
1781486790.6187637,0.0247,0.1448,0.0826
1781486790.6245334,0.0247,0.1448,0.0826
1781486790.6303663,0.0246,0.1447,0.0826
1781486790.6353056,0.0247,0.1448,0.0826
1781486790.6408288,0.0247,0.1448,0.0826
1781486790.6466913,0.0246,0.1448,0.0826
1781486790.6523695,0.0247,0.1448,0.0826
1781486790.65793,0.0247,0.1448,0.0826
1781486790.663905,0.0247,0.1448,0.0826
1781486790.6686041,0.0246,0.1447,0.0826
1781486790.6740775,0.0246,0.1448,0.0826
1781486790.679758,0.0246,0.1448,0.0826
1781486790.6857705,0.0247,0.1448,0.0826
1781486790.6915228,0.0247,0.1448,0.0826
1781486790.696738,0.0247,0.1448,0.0826
1781486790.702344,0.0247,0.1447,0.0826
1781486790.707623,0.0247,0.1448,0.0826
1781486790.7213926,0.0247,0.1448,0.0826
1781486790.721963,0.0246,0.1448,0.0826
1781486790.72469,0.0247,0.1448,0.0826
1781486790.7297292,0.0246,0.1448,0.0826
1781486790.7375972,0.0247,0.1447,0.0826
1781486790.7408128,0.0246,0.1448,0.0826
1781486790.746661,0.0247,0.1448,0.0826
1781486790.7523727,0.0247,0.1447,0.0826
1781486790.758098,0.0247,0.1447,0.0826
1781486790.763414,0.0246,0.1448,0.0826
1781486790.7687745,0.0247,0.1447,0.0826
1781486790.7742066,0.0247,0.1448,0.0826
1781486790.780648,0.0246,0.1448,0.0826
1781486790.786254,0.0247,0.1448,0.0826
1781486790.791349,0.0247,0.1448,0.0826
1781486790.7966535,0.0246,0.1448,0.0826
1781486790.80234,0.0246,0.1447,0.0826
1781486790.8081303,0.0247,0.1448,0.0826
1781486790.8137949,0.0247,0.1448,0.0826
1781486790.8190053,0.0247,0.1448,0.0826
1781486790.824737,0.0246,0.1448,0.0826
