Time,POSX,POSY,POSZ
1781486793.8749945,0.06,0.14,0.53
1781486793.8787916,0.05,0.17,0.52
1781486793.8810399,0.02,0.18,0.51
1781486793.8828564,0.0,0.19,0.51
1781486793.8848503,-0.02,0.19,0.52
1781486793.887374,-0.03,0.19,0.52
1781486793.888958,-0.04,0.2,0.5
1781486793.8927135,-0.04,0.22,0.52
1781486793.8952641,-0.04,0.22,0.51
1781486793.899282,-0.04,0.22,0.53
1781486793.9602423,-0.05,0.23,0.5
1781486794.0570314,-0.06,0.23,0.5
1781486794.1564786,-0.06,0.23,0.52
1781486794.2565877,-0.07,0.23,0.52
1781486794.3570578,-0.05,0.23,0.5
1781486794.4564502,-0.05,0.22,0.51
1781486794.557068,-0.05,0.22,0.5
1781486794.656483,-0.05,0.22,0.5
1781486794.756534,-0.04,0.23,0.5
1781486794.855864,-0.04,0.22,0.48
1781486794.9644988,-0.07,0.2,0.49
1781486795.056167,-0.1,0.16,0.51
1781486795.15687,-0.05,0.15,0.5
1781486795.2557852,-0.1,0.17,0.51
1781486795.356515,-0.13,0.18,0.53
1781486795.456473,-0.11,0.15,0.57
1781486795.5576477,-0.1,0.18,0.63
1781486795.6569002,-0.13,0.15,0.62
1781486795.7563748,-0.09,0.09,0.81
1781486795.8564663,-0.14,0.06,0.8
1781486795.9565647,-0.19,-0.01,1.07
1781486796.0568118,-0.24,-0.06,1.3
1781486796.1561465,-0.24,-0.11,1.46
1781486796.257012,-0.22,-0.15,1.56
1781486796.355773,-0.17,-0.18,1.66
1781486796.4562442,-0.09,-0.16,1.72
1781486796.5636666,0.01,-0.13,1.81
1781486796.6563778,0.1,-0.11,1.91
1781486796.7572882,0.17,-0.11,1.87
1781486796.8613732,0.24,-0.1,1.86
1781486796.9567122,0.34,-0.07,1.89
1781486797.055623,0.44,-0.02,1.9
1781486797.1579983,0.47,-0.01,2.01
1781486797.2562153,0.57,0.08,1.98
1781486797.3559,0.67,0.17,1.93
1781486797.457997,0.64,0.17,2.04
1781486797.5567605,0.64,0.2,2.14
1781486797.657046,0.65,0.24,2.22
1781486797.7685459,0.65,0.27,2.27
1781486797.8569686,0.71,0.37,2.07
1781486797.955894,0.81,0.48,1.99
1781486798.067232,0.81,0.55,1.84
1781486798.156615,0.84,0.61,1.69
1781486798.2567947,0.83,0.66,1.6
1781486798.3566644,0.77,0.66,1.66
1781486798.4566967,0.68,0.67,1.74
1781486798.556084,0.6,0.67,1.79
1781486798.6557636,0.62,0.76,1.69
1781486798.7557883,0.55,0.77,1.61
1781486798.856534,0.55,0.83,1.62
1781486798.9566727,0.52,0.87,1.67
1781486799.056218,0.46,0.89,1.74
1781486799.156296,0.31,0.83,1.78
1781486799.255792,0.16,0.79,1.8
1781486799.3557918,0.05,0.76,1.75
1781486799.455629,-0.09,0.76,1.79
1781486799.5601325,-0.22,0.76,1.91
1781486799.6568787,-0.35,0.75,1.88
1781486799.7562144,-0.44,0.74,1.83
1781486799.8563354,-0.6,0.71,1.87
1781486799.9567058,-0.74,0.7,1.86
1781486800.0571725,-0.81,0.72,1.86
1781486800.157222,-0.9,0.7,1.83
1781486800.2564938,-0.92,0.73,1.79
1781486800.3558998,-0.99,0.71,1.7
1781486800.4688454,-1.06,0.7,1.63
1781486800.557128,-1.15,0.67,1.63
1781486800.6557627,-1.14,0.69,1.54
1781486800.7666173,-1.21,0.66,1.58
1781486800.8565779,-1.26,0.62,1.62
1781486800.9571078,-1.26,0.6,1.47
1781486801.056799,-1.29,0.56,1.45
1781486801.1560247,-1.25,0.49,1.44
1781486801.2561533,-1.28,0.44,1.4
1781486801.3562963,-1.25,0.41,1.38
1781486801.456401,-1.32,0.32,1.48
1781486801.5567386,-1.38,0.23,1.54
1781486801.6666985,-1.35,0.19,1.55
1781486801.7567797,-1.33,0.13,1.59
1781486801.8561175,-1.24,0.12,1.77
1781486801.966719,-1.17,0.12,1.9
1781486802.0568907,-1.13,0.04,1.83
1781486802.1567492,-1.09,-0.03,1.77
1781486802.2620387,-1.03,-0.11,1.73
1781486802.356931,-0.91,-0.16,1.92
1781486802.455787,-0.91,-0.17,1.92
1781486802.559402,-0.86,-0.19,1.93
1781486802.65595,-0.89,-0.27,1.77
1781486802.756094,-0.8,-0.25,1.89
1781486802.8564532,-0.71,-0.26,1.94
1781486802.9562197,-0.64,-0.23,1.98
1781486803.0564866,-0.58,-0.22,2.05
1781486803.155857,-0.53,-0.17,2.14
1781486803.2566288,-0.48,-0.13,2.19
1781486803.3563042,-0.35,-0.16,2.12
1781486803.4691052,-0.28,-0.16,2.11
1781486803.5577428,-0.14,-0.14,2.08
1781486803.655966,-0.02,-0.12,2.07
1781486803.7562869,0.08,-0.13,2.02
1781486803.8559203,0.14,-0.13,1.98
1781486803.9571831,0.23,-0.11,1.95
1781486804.055838,0.34,-0.09,1.93
1781486804.1558495,0.41,-0.06,1.9
1781486804.2565503,0.49,-0.01,1.84
1781486804.3558903,0.58,0.02,1.83
1781486804.4562716,0.69,0.08,1.81
1781486804.55639,0.77,0.12,1.73
1781486804.6561348,0.81,0.16,1.62
1781486804.7562702,0.9,0.22,1.62
1781486804.856257,1.01,0.3,1.61
1781486804.9589791,1.07,0.36,1.62
1781486805.057127,1.11,0.4,1.69
1781486805.1601768,1.1,0.41,1.9
1781486805.2559547,1.09,0.46,1.96
1781486805.356228,1.11,0.53,1.96
1781486805.467008,1.11,0.56,2.12
1781486805.5571003,1.12,0.63,2.14
1781486805.656957,1.15,0.71,2.13
1781486805.755765,1.19,0.79,2.05
1781486805.8568995,1.16,0.81,2.21
1781486805.9568815,1.12,0.89,2.12
1781486806.0567698,1.11,0.93,2.16
1781486806.1564417,1.06,0.95,2.26
1781486806.2567377,0.99,0.95,2.35
1781486806.3569982,0.95,0.95,2.41
1781486806.4565756,0.89,0.93,2.44
1781486806.5571907,0.81,0.91,2.47
1781486806.6564806,0.76,0.85,2.47
1781486806.7561197,0.68,0.8,2.44
1781486806.8563042,0.6,0.74,2.44
1781486806.9562702,0.6,0.76,2.29
1781486807.055669,0.55,0.75,2.19
1781486807.1564906,0.47,0.72,2.04
1781486807.2569482,0.41,0.71,2.01
1781486807.3561335,0.31,0.67,1.91
1781486807.4560547,0.2,0.63,1.91
1781486807.5571885,0.11,0.61,1.93
1781486807.6557343,-0.01,0.56,2.01
1781486807.7559006,-0.11,0.52,2.05
1781486807.8566368,-0.18,0.53,2.01
1781486807.9558625,-0.25,0.54,1.95
1781486808.0568016,-0.33,0.54,1.95
1781486808.1587756,-0.37,0.52,1.91
1781486808.2562163,-0.4,0.51,1.86
1781486808.3570006,-0.46,0.55,1.95
1781486808.459501,-0.5,0.53,1.88
1781486808.5572155,-0.57,0.56,1.96
1781486808.655913,-0.65,0.56,2.02
