Time,POSX,POSY,POSZ
1781487334.1127229,0.308,0.366,0.0807
1781487334.1183681,0.3081,0.366,0.0808
1781487334.1243346,0.3081,0.3661,0.0808
1781487334.1293938,0.3081,0.3661,0.0808
1781487334.1350794,0.3081,0.3661,0.0808
1781487334.1405444,0.3081,0.366,0.0807
1781487334.1464489,0.3081,0.366,0.0807
1781487334.151905,0.3081,0.3661,0.0808
1781487334.1578603,0.3081,0.3661,0.0808
1781487334.1629522,0.3081,0.3661,0.0808
1781487334.1681046,0.3081,0.366,0.0808
1781487334.1746879,0.3081,0.366,0.0808
1781487334.1795533,0.3081,0.3661,0.0808
1781487334.1851027,0.3081,0.366,0.0807
1781487334.190818,0.3081,0.3661,0.0808
1781487334.1959412,0.3081,0.3661,0.0808
1781487334.2117078,0.3081,0.3661,0.0808
1781487334.2124178,0.3081,0.366,0.0808
1781487334.2134314,0.3081,0.366,0.0807
1781487334.2378368,0.308,0.366,0.0807
1781487334.2382367,0.3081,0.3661,0.0808
1781487334.2385643,0.3081,0.366,0.0808
1781487334.2388847,0.3081,0.3661,0.0808
1781487334.2403429,0.3081,0.3661,0.0808
1781487334.2465663,0.3081,0.3661,0.0808
1781487334.2516832,0.3081,0.366,0.0807
1781487334.257161,0.3081,0.366,0.0808
1781487334.2626987,0.3081,0.3661,0.0808
1781487334.268218,0.308,0.366,0.0808
1781487334.2736156,0.3081,0.3661,0.0808
1781487334.2798803,0.3081,0.366,0.0808
1781487334.2852843,0.3081,0.3661,0.0808
1781487334.290542,0.3081,0.3661,0.0808
1781487334.295917,0.308,0.366,0.0807
1781487334.3014033,0.308,0.366,0.0807
1781487334.3071375,0.3081,0.3661,0.0808
1781487334.3129232,0.3081,0.366,0.0807
1781487334.318618,0.308,0.366,0.0807
1781487334.3237996,0.3081,0.366,0.0808
1781487334.3291953,0.308,0.366,0.0807
1781487334.3363092,0.3081,0.3661,0.0808
1781487334.3480954,0.3081,0.366,0.0807
1781487334.348607,0.3081,0.366,0.0807
1781487334.351734,0.3081,0.366,0.0807
1781487334.3580832,0.3081,0.3661,0.0808
1781487334.363633,0.3081,0.3661,0.0808
1781487334.3682675,0.3081,0.366,0.0807
1781487334.3744104,0.3081,0.3661,0.0808
1781487334.379393,0.3081,0.3661,0.0808
1781487334.3846967,0.3081,0.366,0.0807
1781487334.389789,0.3081,0.3661,0.0808
1781487334.3955219,0.3081,0.3661,0.0808
1781487334.4017859,0.3081,0.3661,0.0808
1781487334.407307,0.3081,0.3661,0.0808
1781487334.4124222,0.3081,0.366,0.0808
1781487334.4176936,0.3081,0.366,0.0808
