Time,POSX,POSY,POSZ
1781487337.638906,0.21,0.48,0.5
1781487337.6425328,0.22,0.48,0.49
1781487337.645491,0.22,0.47,0.46
1781487337.6471694,0.22,0.47,0.48
1781487337.6499255,0.23,0.48,0.45
1781487337.6541793,0.24,0.5,0.45
1781487337.656356,0.23,0.48,0.49
1781487337.659391,0.22,0.47,0.47
1781487337.6632621,0.2,0.46,0.5
1781487337.6670547,0.2,0.47,0.48
1781487337.7576535,0.2,0.47,0.49
1781487337.8568187,0.2,0.47,0.48
1781487337.956434,0.19,0.46,0.51
1781487338.0572987,0.19,0.46,0.51
1781487338.1573088,0.21,0.47,0.47
1781487338.2575467,0.21,0.46,0.47
1781487338.3562772,0.25,0.48,0.46
1781487338.4576476,0.23,0.47,0.47
1781487338.5575624,0.22,0.47,0.46
1781487338.6561227,0.21,0.48,0.45
1781487338.756475,0.21,0.47,0.48
1781487338.8563073,0.21,0.46,0.49
1781487338.9576848,0.2,0.46,0.5
1781487339.0650513,0.2,0.46,0.51
1781487339.1568604,0.2,0.47,0.49
1781487339.257331,0.2,0.48,0.49
1781487339.36096,0.19,0.47,0.49
1781487339.4576204,0.21,0.47,0.5
1781487339.557676,0.22,0.48,0.49
1781487339.6601508,0.21,0.47,0.48
1781487339.7574935,0.22,0.45,0.48
1781487339.857217,0.23,0.44,0.46
1781487339.9568818,0.25,0.42,0.47
1781487340.057695,0.26,0.41,0.49
1781487340.156754,0.26,0.42,0.49
1781487340.2570515,0.26,0.43,0.46
1781487340.357683,0.22,0.46,0.43
1781487340.456231,0.24,0.46,0.41
1781487340.558153,0.25,0.48,0.42
1781487340.6566262,0.23,0.47,0.43
1781487340.7574725,0.23,0.47,0.44
1781487340.8575022,0.22,0.47,0.47
1781487340.9565997,0.24,0.47,0.44
1781487341.0576901,0.25,0.48,0.44
1781487341.1565423,0.25,0.49,0.44
1781487341.2572649,0.22,0.48,0.48
1781487341.3568153,0.22,0.47,0.46
1781487341.4569228,0.21,0.47,0.47
1781487341.5576634,0.21,0.46,0.47
1781487341.6573272,0.25,0.47,0.44
1781487341.756746,0.28,0.49,0.4
1781487341.8573413,0.24,0.44,0.48
1781487341.9572005,0.21,0.41,0.5
1781487342.061135,0.2,0.35,0.56
1781487342.1560931,0.2,0.29,0.67
1781487342.2567008,0.21,0.23,0.75
1781487342.360144,0.27,0.23,0.99
1781487342.4568856,0.37,0.25,1.22
1781487342.5564528,0.43,0.24,1.36
1781487342.6565275,0.4,0.14,1.4
1781487342.7575989,0.44,0.11,1.42
1781487342.8571281,0.44,0.06,1.54
1781487342.957572,0.45,0.03,1.61
1781487343.0562532,0.46,0.0,1.66
1781487343.1566315,0.49,-0.02,1.73
1781487343.2566497,0.53,-0.02,1.74
1781487343.3572433,0.58,0.0,1.79
1781487343.4566994,0.63,0.01,1.8
1781487343.5570111,0.68,0.03,1.86
1781487343.656848,0.72,0.04,2.01
1781487343.757426,0.79,0.08,1.95
1781487343.8674006,0.81,0.1,1.98
1781487343.9564195,0.93,0.19,1.93
1781487344.0564406,0.99,0.23,1.86
1781487344.1568193,0.98,0.23,2.01
1781487344.2578092,0.96,0.26,2.13
1781487344.356602,1.03,0.32,2.03
1781487344.4572067,1.03,0.36,1.86
1781487344.5574555,1.0,0.38,1.72
1781487344.6569285,0.94,0.41,1.62
1781487344.7575254,0.96,0.46,1.61
1781487344.8565438,0.95,0.51,1.62
1781487344.956779,0.89,0.52,1.58
1781487345.05697,0.83,0.56,1.54
1781487345.1570292,0.69,0.52,1.46
1781487345.257958,0.61,0.54,1.52
1781487345.3574164,0.5,0.52,1.5
1781487345.4575787,0.4,0.52,1.49
1781487345.557336,0.31,0.54,1.57
1781487345.65953,0.09,0.47,1.71
1781487345.75807,-0.07,0.41,1.81
1781487345.8581724,-0.19,0.41,1.86
1781487345.9573567,-0.25,0.44,1.89
1781487346.0571773,-0.3,0.47,1.88
1781487346.156353,-0.36,0.49,1.84
1781487346.2575886,-0.39,0.53,1.82
1781487346.3571887,-0.46,0.52,1.83
1781487346.4575648,-0.5,0.55,1.86
1781487346.5578032,-0.54,0.6,1.9
1781487346.6571186,-0.58,0.64,1.94
1781487346.7575836,-0.63,0.67,1.86
1781487346.8575294,-0.68,0.69,1.77
1781487346.9574401,-0.78,0.67,1.81
1781487347.056357,-0.76,0.73,1.78
1781487347.1653905,-0.8,0.73,1.77
1781487347.2565274,-0.79,0.77,1.69
1781487347.3571458,-0.85,0.75,1.76
1781487347.4578683,-0.88,0.74,1.78
1781487347.5565012,-0.86,0.75,1.71
1781487347.6586428,-0.89,0.74,1.78
1781487347.7566023,-0.84,0.76,1.74
1781487347.856374,-0.8,0.77,1.74
1781487347.9562948,-0.79,0.75,1.84
1781487348.0571234,-0.71,0.77,1.78
1781487348.1570184,-0.64,0.78,1.72
1781487348.256359,-0.52,0.83,1.76
1781487348.3577974,-0.43,0.86,1.79
1781487348.4565513,-0.31,0.9,1.8
1781487348.5595362,-0.28,0.86,1.79
1781487348.6568658,-0.24,0.84,1.81
1781487348.7574997,-0.19,0.82,1.8
1781487348.8591552,-0.05,0.86,1.79
1781487348.9569564,0.07,0.9,1.72
1781487349.0563736,0.12,0.88,1.58
1781487349.1592438,0.2,0.87,1.51
1781487349.256195,0.27,0.86,1.47
1781487349.3571815,0.38,0.86,1.43
1781487349.458315,0.47,0.87,1.4
1781487349.556319,0.55,0.88,1.37
1781487349.6565702,0.64,0.9,1.35
1781487349.7570546,0.76,0.94,1.37
1781487349.8573453,0.84,0.95,1.33
1781487349.9564044,0.93,0.98,1.35
1781487350.0673835,1.01,1.0,1.3
1781487350.1571808,1.12,1.01,1.35
1781487350.256607,1.19,1.02,1.33
1781487350.3571646,1.25,1.0,1.37
1781487350.4561203,1.3,1.0,1.38
1781487350.5573008,1.34,0.98,1.44
1781487350.6564698,1.37,0.98,1.44
1781487350.7569823,1.39,0.98,1.46
1781487350.8569362,1.38,0.95,1.53
1781487350.9661462,1.39,0.94,1.56
1781487351.05729,1.37,0.91,1.65
1781487351.1575336,1.35,0.9,1.57
1781487351.2565024,1.32,0.87,1.58
1781487351.357181,1.29,0.84,1.62
1781487351.4564457,1.17,0.77,1.86
1781487351.556231,1.16,0.78,1.82
1781487351.6569276,1.13,0.79,1.74
1781487351.7563624,1.02,0.72,1.91
1781487351.8576648,0.98,0.73,1.84
1781487351.9569135,0.9,0.72,1.81
1781487352.0561469,0.81,0.68,1.84
1781487352.157192,0.73,0.64,1.87
1781487352.257679,0.68,0.66,1.78
1781487352.3574412,0.62,0.65,1.65
