Time,POSX,POSY,POSZ
1781486926.7653768,0.2673,0.2895,0.0816
1781486926.7704034,0.2674,0.2896,0.0816
1781486926.775969,0.2673,0.2895,0.0816
1781486926.7819436,0.2673,0.2895,0.0816
1781486926.7872205,0.2673,0.2895,0.0816
1781486926.792967,0.2673,0.2895,0.0816
1781486926.7979755,0.2673,0.2895,0.0816
1781486926.8041182,0.2673,0.2896,0.0816
1781486926.8092334,0.2673,0.2896,0.0816
1781486926.8156545,0.2673,0.2896,0.0816
1781486926.820703,0.2673,0.2895,0.0816
1781486926.825972,0.2674,0.2895,0.0816
1781486926.8316677,0.2673,0.2895,0.0816
1781486926.8367343,0.2673,0.2895,0.0816
1781486926.8427162,0.2673,0.2896,0.0816
1781486926.8544672,0.2673,0.2895,0.0816
1781486926.8549237,0.2673,0.2896,0.0816
1781486926.8595693,0.2673,0.2895,0.0816
1781486926.8647661,0.2673,0.2896,0.0816
1781486926.8721626,0.2673,0.2895,0.0816
1781486926.8824444,0.2673,0.2896,0.0816
1781486926.8828044,0.2673,0.2895,0.0816
1781486926.8873696,0.2673,0.2895,0.0816
1781486926.8926756,0.2673,0.2895,0.0816
1781486926.8983748,0.2673,0.2895,0.0816
1781486926.9033668,0.2673,0.2895,0.0816
1781486926.9086373,0.2673,0.2895,0.0816
1781486926.9151645,0.2673,0.2895,0.0816
1781486926.921096,0.2673,0.2895,0.0816
1781486926.9258456,0.2673,0.2895,0.0816
1781486926.931194,0.2673,0.2895,0.0816
1781486926.9363954,0.2673,0.2895,0.0816
1781486926.9418805,0.2673,0.2895,0.0816
1781486926.9480631,0.2673,0.2895,0.0816
1781486926.9539921,0.2674,0.2896,0.0816
1781486926.9589586,0.2673,0.2895,0.0816
1781486926.9642832,0.2673,0.2895,0.0816
1781486926.969654,0.2673,0.2895,0.0816
1781486926.9757507,0.2673,0.2895,0.0816
1781486926.9815598,0.2673,0.2896,0.0816
1781486926.9931026,0.2674,0.2896,0.0816
1781486926.9936132,0.2673,0.2895,0.0816
1781486926.998113,0.2674,0.2896,0.0816
1781486927.0047638,0.2673,0.2895,0.0816
1781486927.0108547,0.2673,0.2895,0.0816
1781486927.0149436,0.2674,0.2895,0.0815
