Time,POSX,POSY,POSZ
1781486930.3019648,0.21,0.32,0.73
1781486930.3050408,0.2,0.32,0.71
1781486930.309006,0.2,0.34,0.68
1781486930.3126533,0.18,0.33,0.74
1781486930.3156455,0.18,0.35,0.71
1781486930.3184953,0.16,0.36,0.74
1781486930.3219926,0.15,0.36,0.72
1781486930.3255064,0.15,0.36,0.69
1781486930.328843,0.15,0.35,0.63
1781486930.3324223,0.17,0.34,0.71
1781486930.3569002,0.16,0.35,0.71
1781486930.4565902,0.17,0.35,0.74
1781486930.557179,0.17,0.34,0.84
1781486930.6570609,0.18,0.35,0.79
1781486930.7563746,0.16,0.34,0.73
1781486930.856512,0.16,0.34,0.7
1781486930.9600139,0.17,0.34,0.7
1781486931.056146,0.15,0.32,0.66
1781486931.1567228,0.19,0.34,0.61
1781486931.257191,0.18,0.32,0.58
1781486931.3558583,0.23,0.35,0.57
1781486931.4571946,0.2,0.34,0.54
1781486931.5563684,0.19,0.32,0.59
1781486931.6560745,0.2,0.31,0.61
1781486931.7566118,0.2,0.31,0.64
1781486931.8568494,0.19,0.31,0.61
1781486931.9569151,0.17,0.3,0.58
1781486932.0564725,0.16,0.3,0.6
1781486932.1573536,0.14,0.29,0.71
1781486932.2585206,0.17,0.32,0.67
1781486932.356747,0.15,0.32,0.68
1781486932.4572365,0.12,0.32,0.66
1781486932.5569055,0.07,0.3,0.77
1781486932.657206,-0.01,0.27,0.86
1781486932.7563465,-0.08,0.26,0.9
1781486932.8563228,-0.13,0.27,0.82
1781486932.9574964,-0.19,0.26,0.76
1781486933.0573797,-0.26,0.25,0.74
1781486933.1576064,-0.32,0.25,0.71
1781486933.2564802,-0.39,0.25,0.66
1781486933.3572726,-0.44,0.28,0.74
1781486933.4583273,-0.53,0.33,0.77
1781486933.5559645,-0.62,0.35,0.89
1781486933.6559608,-0.68,0.37,0.82
1781486933.7598784,-0.73,0.38,0.83
1781486933.8566487,-0.83,0.37,0.88
1781486933.9571068,-0.93,0.38,0.81
1781486934.0562954,-1.04,0.37,0.76
1781486934.1567762,-1.13,0.37,0.81
1781486934.257151,-1.22,0.38,0.79
1781486934.3591716,-1.3,0.4,0.75
1781486934.4564497,-1.3,0.47,0.79
1781486934.5574894,-1.38,0.47,0.85
1781486934.6562266,-1.47,0.48,0.87
1781486934.7571871,-1.55,0.46,0.83
1781486934.8565679,-1.62,0.46,0.79
1781486934.9568439,-1.62,0.47,0.79
1781486935.056486,-1.65,0.47,0.82
1781486935.1567547,-1.69,0.43,0.91
1781486935.2566535,-1.72,0.4,1.0
1781486935.3567097,-1.67,0.41,0.91
1781486935.6634946,-1.55,0.41,0.95
1781486935.7564192,-1.45,0.39,1.29
1781486935.8563547,-1.37,0.35,1.24
1781486935.9566321,-1.28,0.32,1.21
1781486936.0571065,-1.2,0.29,1.19
1781486936.156084,-1.11,0.26,1.09
1781486936.2568657,-1.11,0.18,0.97
1781486936.357557,-1.01,0.16,0.91
1781486936.4566424,-0.92,0.14,0.82
1781486936.5579455,-0.85,0.11,0.76
1781486936.6573029,-0.79,0.08,0.71
1781486936.757298,-0.69,0.05,0.75
1781486936.8564909,-0.59,0.03,0.71
1781486936.9563031,-0.44,0.04,0.72
1781486937.056287,-0.36,0.01,0.77
1781486937.1571803,-0.21,0.03,0.76
1781486937.257204,-0.06,0.05,0.69
1781486937.3560522,0.01,0.02,0.7
1781486937.4561641,0.08,0.01,0.69
1781486937.5572639,0.23,0.05,0.65
1781486937.6562095,0.36,0.1,0.65
1781486937.7567098,0.41,0.08,0.64
1781486937.856571,0.6,0.16,0.59
1781486937.95648,0.61,0.15,0.63
1781486938.0564342,0.65,0.14,0.7
1781486938.1559212,0.71,0.16,0.66
1781486938.2568018,0.75,0.21,0.69
1781486938.3559017,0.78,0.25,0.75
1781486938.4574847,0.85,0.32,0.72
1781486938.557299,0.9,0.39,0.77
1781486938.6562974,0.95,0.47,0.72
1781486938.7570684,0.97,0.54,0.82
1781486938.8569508,1.02,0.61,0.77
1781486938.9582486,1.05,0.69,0.71
1781486939.0560055,1.06,0.76,0.7
1781486939.1574755,1.08,0.84,0.79
1781486939.2577465,1.07,0.88,0.81
1781486939.3576384,1.07,0.94,0.83
1781486939.4574075,1.14,1.02,0.82
1781486939.5607603,1.17,1.09,0.79
1781486939.6563902,1.23,1.16,0.88
1781486939.7564936,1.2,1.19,0.86
1781486939.856395,1.19,1.2,0.84
1781486939.9570436,1.19,1.23,0.92
1781486940.0562644,1.13,1.22,0.84
1781486940.1593502,1.04,1.2,0.76
1781486940.2562227,1.0,1.22,0.8
1781486940.3572834,0.92,1.22,0.75
1781486940.4563956,0.87,1.23,0.72
1781486940.556883,0.77,1.18,0.69
1781486940.6560664,0.78,1.2,0.69
1781486940.7571676,0.67,1.15,0.83
1781486940.8569245,0.7,1.2,0.75
1781486940.9563265,0.67,1.19,0.81
1781486941.0562508,0.6,1.15,0.79
1781486941.1563277,0.45,1.08,0.78
1781486941.2571363,0.37,1.06,0.72
1781486941.3574066,0.28,1.03,0.82
1781486941.4665458,0.15,0.98,0.75
1781486941.5565748,0.03,0.96,0.84
1781486941.6566808,-0.08,0.94,0.78
