Time,POSX,POSY,POSZ
1781480879.3310032,0.3753,0.2312,0.0792
1781480879.3361077,0.3753,0.2312,0.0792
1781480879.342299,0.3753,0.2312,0.0792
1781480879.347659,0.3753,0.2312,0.0792
1781480879.3525748,0.3753,0.2312,0.0792
1781480879.358641,0.3753,0.2312,0.0792
1781480879.3637185,0.3753,0.2312,0.0792
1781480879.3698828,0.3753,0.2312,0.0792
1781480879.375052,0.3753,0.2312,0.0792
1781480879.3803716,0.3753,0.2312,0.0792
1781480879.3856306,0.3753,0.2312,0.0791
1781480879.3920932,0.3753,0.2312,0.0792
1781480879.3975153,0.3753,0.2312,0.0792
1781480879.4031227,0.3753,0.2312,0.0792
1781480879.4086065,0.3753,0.2312,0.0792
1781480879.4206538,0.3753,0.2312,0.0792
1781480879.42107,0.3753,0.2312,0.0792
1781480879.425805,0.3753,0.2312,0.0792
1781480879.4310393,0.3753,0.2312,0.0792
1781480879.4374099,0.3753,0.2312,0.0792
1781480879.4513555,0.3753,0.2312,0.0792
1781480879.451759,0.3753,0.2312,0.0791
1781480879.4539747,0.3753,0.2312,0.0792
1781480879.4584045,0.3753,0.2312,0.0792
1781480879.4637964,0.3753,0.2312,0.0792
1781480879.4695697,0.3753,0.2312,0.0792
1781480879.474827,0.3753,0.2312,0.0791
1781480879.480466,0.3753,0.2312,0.0792
1781480879.48568,0.3753,0.2311,0.0791
1781480879.491882,0.3753,0.2312,0.0791
1781480879.4973965,0.3753,0.2311,0.0791
1781480879.502415,0.3753,0.2312,0.0792
1781480879.5077221,0.3753,0.2312,0.0792
1781480879.514032,0.3753,0.2311,0.0791
1781480879.5188642,0.3753,0.2312,0.0792
1781480879.5256362,0.3753,0.2312,0.0792
1781480879.530263,0.3753,0.2311,0.0792
1781480879.5356908,0.3753,0.2312,0.0792
1781480879.541265,0.3753,0.2312,0.0792
1781480879.546898,0.3753,0.2312,0.0792
1781480879.552695,0.3753,0.2311,0.0792
1781480879.5666413,0.3753,0.2311,0.0792
1781480879.5684776,0.3753,0.2312,0.0792
1781480879.5694823,0.3753,0.2312,0.0792
1781480879.5748725,0.3753,0.2312,0.0792
1781480879.5800378,0.3753,0.2312,0.0792
1781480879.5868237,0.3753,0.2312,0.0792
1781480879.5913327,0.3753,0.2312,0.0792
1781480879.59709,0.3753,0.2312,0.0792
1781480879.6022766,0.3753,0.2312,0.0792
1781480879.6091192,0.3753,0.2312,0.0792
1781480879.613437,0.3753,0.2312,0.0792
1781480879.6198387,0.3753,0.2312,0.0792
1781480879.6250935,0.3753,0.2312,0.0792
1781480879.6298804,0.3753,0.2311,0.0791
1781480879.6354823,0.3753,0.2312,0.0792
1781480879.641097,0.3753,0.2312,0.0792
1781480879.647166,0.3753,0.2312,0.0792
1781480879.65283,0.3753,0.2312,0.0792
1781480879.6581218,0.3753,0.2312,0.0792
1781480879.6631544,0.3753,0.2312,0.0792
1781480879.6689546,0.3753,0.2312,0.0792
