Time,POSX,POSY,POSZ
1781480882.9419858,0.35,0.24,0.98
1781480883.2464917,0.38,0.27,1.03
1781480883.2527514,0.4,0.31,0.79
1781480883.2591834,0.39,0.3,0.69
1781480883.2628832,0.41,0.32,0.51
1781480883.2686362,0.39,0.3,0.42
1781480883.2727342,0.38,0.31,0.54
1781480883.2786589,0.41,0.33,0.7
1781480883.2831862,0.41,0.33,0.69
1781480883.2890744,0.41,0.32,0.73
1781480883.293742,0.39,0.29,0.73
1781480883.2962286,0.42,0.33,0.84
1781480883.3016717,0.38,0.29,0.93
1781480883.347975,0.38,0.3,0.91
1781480883.4483383,0.38,0.28,0.76
1781480883.5490007,0.35,0.24,0.84
1781480883.6497436,0.34,0.21,0.92
1781480883.748443,0.32,0.2,0.97
1781480883.8478305,0.34,0.22,0.8
1781480883.9480188,0.33,0.21,0.9
1781480884.0488968,0.32,0.21,0.86
1781480884.1475565,0.34,0.25,0.85
1781480884.2559705,0.33,0.23,0.93
1781480884.3483665,0.32,0.22,0.93
1781480884.4487195,0.33,0.2,0.99
1781480884.554677,0.31,0.18,1.02
1781480884.6484401,0.32,0.18,1.02
1781480884.747532,0.35,0.24,1.05
1781480884.8496432,0.38,0.27,1.08
1781480884.9488606,0.41,0.3,1.1
1781480885.0478327,0.38,0.27,1.11
1781480885.1481698,0.38,0.31,0.92
1781480885.2485938,0.4,0.31,0.98
1781480885.3479278,0.41,0.33,1.03
1781480885.4503143,0.41,0.34,1.03
1781480885.5483382,0.38,0.29,1.07
1781480885.648242,0.38,0.27,0.87
1781480885.7475858,0.37,0.27,0.72
1781480885.8480203,0.4,0.31,0.54
1781480885.9481826,0.37,0.26,0.7
1781480886.0503528,0.39,0.29,0.78
1781480886.1482754,0.36,0.26,0.87
1781480886.248144,0.35,0.24,0.84
1781480886.3484828,0.34,0.2,0.92
1781480886.4491446,0.32,0.2,0.99
1781480886.5486052,0.36,0.27,1.01
1781480886.6476862,0.35,0.25,0.95
1781480886.7482512,0.38,0.29,1.0
1781480886.8480942,0.41,0.32,1.05
1781480886.9479356,0.43,0.34,0.78
1781480887.0479982,0.43,0.35,0.77
1781480887.147744,0.44,0.35,0.77
1781480887.2489226,0.42,0.3,0.87
1781480887.3488712,0.43,0.33,0.64
1781480887.4488578,0.42,0.32,0.7
1781480887.547544,0.42,0.33,0.8
1781480887.647948,0.39,0.3,0.71
1781480887.747514,0.41,0.31,0.69
1781480887.8486087,0.37,0.27,0.81
1781480887.9577658,0.38,0.27,0.64
1781480888.047562,0.37,0.25,0.67
1781480888.148831,0.4,0.29,0.66
1781480888.2479188,0.38,0.26,0.73
1781480888.3479595,0.39,0.27,0.72
1781480888.449074,0.4,0.28,0.77
1781480888.5482755,0.41,0.25,0.65
1781480888.6475432,0.43,0.22,0.75
1781480888.7489908,0.47,0.15,0.72
1781480888.8478544,0.48,0.03,0.62
1781480888.9480422,0.49,-0.06,0.54
1781480889.049081,0.51,-0.12,0.64
1781480889.153576,0.51,-0.21,0.52
1781480889.2493382,0.54,-0.28,0.65
1781480889.3483071,0.54,-0.32,0.69
1781480889.4480517,0.55,-0.33,0.72
1781480889.5482118,0.59,-0.39,0.6
1781480889.6482468,0.62,-0.42,0.51
1781480889.7601504,0.6,-0.43,0.7
1781480889.8481276,0.62,-0.47,0.62
1781480889.9479728,0.58,-0.48,0.53
1781480890.0491028,0.55,-0.48,0.68
1781480890.1487036,0.48,-0.43,0.57
1781480890.2490532,0.43,-0.41,0.73
1781480890.3489265,0.41,-0.4,0.76
1781480890.447958,0.38,-0.37,0.75
1781480890.5483854,0.36,-0.43,0.58
1781480890.6476567,0.35,-0.45,0.54
1781480890.7490642,0.35,-0.47,0.44
1781480890.847914,0.34,-0.49,0.61
1781480890.9488018,0.31,-0.52,0.71
1781480891.0492458,0.31,-0.55,0.57
1781480891.1507509,0.31,-0.55,0.46
1781480891.2480376,0.29,-0.57,0.61
1781480891.3483815,0.26,-0.6,0.69
1781480891.4480338,0.27,-0.61,0.58
1781480891.5476902,0.27,-0.58,0.48
1781480891.6530936,0.24,-0.59,0.64
1781480891.74781,0.22,-0.61,0.72
1781480891.8741426,0.21,-0.58,0.65
1781480891.9566238,0.2,-0.55,0.55
1781480892.0484557,0.17,-0.57,0.58
1781480892.1601648,0.18,-0.56,0.55
1781480892.2502134,0.15,-0.54,0.69
1781480892.3599296,0.14,-0.5,0.72
1781480892.4492905,0.14,-0.48,0.73
1781480892.5484872,0.12,-0.42,0.67
1781480892.6481225,0.13,-0.35,0.73
1781480892.7482247,0.07,-0.34,0.79
1781480892.8476841,0.05,-0.27,0.82
1781480892.9481635,0.01,-0.24,0.8
1781480893.049013,-0.04,-0.2,0.72
1781480893.1488118,-0.11,-0.18,0.71
1781480893.2477427,-0.18,-0.11,0.57
1781480893.349933,-0.22,-0.07,0.54
1781480893.4492517,-0.27,-0.02,0.46
1781480893.5487227,-0.24,-0.02,0.42
1781480893.6486387,-0.26,0.03,0.44
1781480893.748256,-0.28,0.07,0.43
1781480893.8483934,-0.27,0.11,0.35
1781480893.9498193,-0.27,0.12,0.43
1781480894.0487943,-0.25,0.17,0.57
1781480894.1494665,-0.24,0.2,0.66
1781480894.2491007,-0.17,0.25,0.51
1781480894.34927,-0.15,0.32,0.68
1781480894.4481215,-0.13,0.42,0.65
1781480894.5479453,-0.09,0.51,0.62
1781480894.6478372,-0.01,0.58,0.73
1781480894.7517345,0.1,0.6,0.59
1781480894.8481345,0.2,0.66,0.69
1781480894.9486048,0.3,0.7,0.82
1781480895.0574412,0.43,0.75,0.67
1781480895.1482835,0.56,0.77,0.6
