Time,POSX,POSY,POSZ
1781461507.4599583,0.7181,-0.5877,0.0825
1781461507.4651234,0.7181,-0.5877,0.0825
1781461507.4711292,0.7181,-0.5877,0.0825
1781461507.4766037,0.7181,-0.5876,0.0825
1781461507.4835355,0.7181,-0.5877,0.0825
1781461507.4873118,0.7181,-0.5876,0.0824
1781461507.4931858,0.7181,-0.5877,0.0825
1781461507.498225,0.7181,-0.5877,0.0825
1781461507.503926,0.7181,-0.5877,0.0825
1781461507.508874,0.7181,-0.5877,0.0825
1781461507.515246,0.7181,-0.5877,0.0825
1781461507.5203135,0.7181,-0.5877,0.0825
1781461507.5263104,0.7181,-0.5877,0.0825
1781461507.5312192,0.7181,-0.5877,0.0825
1781461507.5371387,0.7181,-0.5877,0.0825
1781461507.5429683,0.7181,-0.5877,0.0826
1781461507.554179,0.7181,-0.5877,0.0825
1781461507.5545623,0.7181,-0.5877,0.0825
1781461507.5596423,0.7181,-0.5877,0.0825
1781461507.5648088,0.7181,-0.5877,0.0825
1781461507.583462,0.7181,-0.5877,0.0825
1781461507.583812,0.7181,-0.5877,0.0825
1781461507.5841048,0.7181,-0.5877,0.0825
1781461507.5870981,0.7181,-0.5877,0.0825
1781461507.5928664,0.7181,-0.5877,0.0825
1781461507.598152,0.7181,-0.5877,0.0825
1781461507.6037128,0.7181,-0.5877,0.0825
1781461507.6091533,0.7181,-0.5877,0.0825
1781461507.6144412,0.7181,-0.5877,0.0825
1781461507.620455,0.7181,-0.5877,0.0825
1781461507.626272,0.7181,-0.5877,0.0825
1781461507.6316803,0.7181,-0.5877,0.0826
1781461507.6371012,0.7181,-0.5877,0.0825
1781461507.6420484,0.7181,-0.5877,0.0825
1781461507.647823,0.7181,-0.5877,0.0825
1781461507.6534882,0.7181,-0.5877,0.0825
1781461507.6594934,0.7181,-0.5877,0.0825
1781461507.6663501,0.7181,-0.5877,0.0825
1781461507.6700351,0.7181,-0.5877,0.0825
1781461507.6755536,0.7181,-0.5877,0.0825
1781461507.6809125,0.7181,-0.5877,0.0825
1781461507.6935117,0.7181,-0.5877,0.0825
1781461507.694587,0.7181,-0.5877,0.0825
1781461507.698998,0.7181,-0.5877,0.0825
1781461507.7036107,0.7181,-0.5877,0.0825
1781461507.7087178,0.7181,-0.5877,0.0825
1781461507.7148762,0.7181,-0.5877,0.0825
1781461507.7205122,0.7181,-0.5877,0.0825
1781461507.7256067,0.7181,-0.5877,0.0825
1781461507.731467,0.7181,-0.5877,0.0825
1781461507.7367234,0.7181,-0.5877,0.0825
1781461507.7430975,0.7181,-0.5877,0.0825
1781461507.748034,0.7181,-0.5876,0.0824
1781461507.7537918,0.7181,-0.5877,0.0825
1781461507.75897,0.7181,-0.5877,0.0825
1781461507.7643332,0.7181,-0.5877,0.0825
1781461507.7700338,0.7181,-0.5877,0.0825
1781461507.7757082,0.7181,-0.5877,0.0825
1781461507.7820785,0.7181,-0.5877,0.0825
1781461507.7871158,0.7181,-0.5877,0.0825
1781461507.7927258,0.7181,-0.5876,0.0825
1781461507.797785,0.7181,-0.5877,0.0825
1781461507.803069,0.7181,-0.5876,0.0825
1781461507.8087983,0.7181,-0.5877,0.0825
1781461507.8150806,0.7181,-0.5877,0.0825
1781461507.8202188,0.7181,-0.5877,0.0825
1781461507.830741,0.7181,-0.5877,0.0825
1781461507.836576,0.7181,-0.5877,0.0825
1781461507.8376076,0.7181,-0.5877,0.0825
1781461507.8428593,0.7181,-0.5877,0.0825
1781461507.848376,0.7181,-0.5877,0.0825
1781461507.854329,0.7181,-0.5877,0.0825
1781461507.8588102,0.7181,-0.5877,0.0825
1781461507.8645446,0.7181,-0.5877,0.0825
1781461507.8701355,0.7181,-0.5877,0.0825
1781461507.8760011,0.7181,-0.5877,0.0825
1781461507.881601,0.7181,-0.5877,0.0825
1781461507.8867054,0.7181,-0.5877,0.0825
1781461507.8932853,0.7181,-0.5877,0.0825
1781461507.8977115,0.7181,-0.5877,0.0825
1781461507.903612,0.7181,-0.5877,0.0825
1781461507.9098017,0.7181,-0.5877,0.0825
1781461507.9148479,0.7181,-0.5877,0.0825
1781461507.9199266,0.7181,-0.5877,0.0825
1781461507.92566,0.7181,-0.5877,0.0825
1781461507.9316888,0.7181,-0.5877,0.0825
1781461507.936941,0.7181,-0.5877,0.0825
1781461507.942837,0.7181,-0.5877,0.0825
1781461507.9477026,0.7181,-0.5877,0.0825
1781461507.953252,0.7181,-0.5877,0.0825
1781461507.9589415,0.7181,-0.5877,0.0825
1781461507.9648085,0.7181,-0.5876,0.0825
1781461507.9756758,0.7181,-0.5877,0.0825
1781461508.000827,0.7181,-0.5877,0.0825
1781461508.001264,0.7181,-0.5877,0.0825
1781461508.0016484,0.7181,-0.5877,0.0825
1781461508.0019546,0.7181,-0.5877,0.0825
1781461508.0022752,0.7181,-0.5877,0.0825
1781461508.0038137,0.7181,-0.5877,0.0825
1781461508.008843,0.7181,-0.5877,0.0825
1781461508.0144312,0.7181,-0.5876,0.0825
