Time,POSX,POSY,POSZ
1781461510.991464,0.71,-0.69,0.56
1781461510.9938002,0.72,-0.7,0.59
1781461510.9962006,0.72,-0.71,0.6
1781461510.9997334,0.73,-0.72,0.54
1781461511.0028794,0.72,-0.74,0.51
1781461511.0045614,0.72,-0.74,0.5
1781461511.0070622,0.72,-0.71,0.48
1781461511.008869,0.72,-0.72,0.42
1781461511.0116353,0.72,-0.71,0.44
1781461511.0157135,0.73,-0.7,0.4
1781461511.0909765,0.72,-0.69,0.41
1781461511.1904912,0.73,-0.68,0.38
1781461511.2909324,0.74,-0.7,0.42
1781461511.3905568,0.74,-0.7,0.38
1781461511.4995997,0.74,-0.69,0.42
1781461511.5917864,0.74,-0.71,0.42
1781461511.6907306,0.74,-0.68,0.45
1781461511.7955935,0.74,-0.71,0.41
1781461511.890515,0.72,-0.71,0.53
1781461511.990427,0.71,-0.68,0.56
1781461512.0920863,0.71,-0.68,0.57
1781461512.191137,0.72,-0.68,0.48
1781461512.2907584,0.72,-0.69,0.45
1781461512.39106,0.72,-0.72,0.44
1781461512.4906611,0.7,-0.71,0.6
1781461512.5900948,0.71,-0.73,0.52
1781461512.701675,0.71,-0.74,0.49
1781461512.7899485,0.73,-0.73,0.46
1781461512.8916404,0.73,-0.73,0.4
1781461512.9907155,0.73,-0.72,0.43
1781461513.0906582,0.73,-0.71,0.42
1781461513.19624,0.72,-0.68,0.42
1781461513.2913907,0.74,-0.71,0.41
1781461513.3923318,0.73,-0.71,0.44
1781461513.4906127,0.72,-0.71,0.4
1781461513.591718,0.72,-0.71,0.41
1781461513.6908817,0.72,-0.73,0.4
1781461513.7911558,0.72,-0.71,0.37
1781461513.8905616,0.73,-0.7,0.37
1781461513.990622,0.73,-0.72,0.4
1781461514.0900285,0.73,-0.7,0.39
1781461514.1922147,0.72,-0.7,0.51
1781461514.2902594,0.73,-0.69,0.5
1781461514.39286,0.74,-0.68,0.46
1781461514.4906504,0.73,-0.67,0.51
1781461514.591574,0.73,-0.67,0.54
1781461514.6989617,0.73,-0.72,0.46
1781461514.7911642,0.73,-0.68,0.45
1781461514.8903146,0.73,-0.7,0.52
1781461514.9906025,0.73,-0.72,0.53
1781461515.0901444,0.72,-0.69,0.52
1781461515.1900756,0.72,-0.68,0.6
1781461515.2910733,0.72,-0.7,0.6
1781461515.3904262,0.72,-0.68,0.55
1781461515.4901314,0.72,-0.67,0.52
1781461515.5901232,0.72,-0.68,0.6
