Time,POSX,POSY,POSZ
1781447651.0903792,-0.1923,0.3191,0.0793
1781447651.096719,-0.1922,0.3191,0.0793
1781447651.1016371,-0.1922,0.3191,0.0793
1781447651.106911,-0.1923,0.3191,0.0793
1781447651.1126285,-0.1923,0.3191,0.0793
1781447651.1186259,-0.1922,0.3191,0.0793
1781447651.1238859,-0.1923,0.3191,0.0793
1781447651.1295416,-0.1922,0.3191,0.0793
1781447651.1340775,-0.1922,0.3191,0.0793
1781447651.1397939,-0.1923,0.3191,0.0793
1781447651.1467495,-0.1923,0.3191,0.0793
1781447651.151024,-0.1922,0.3191,0.0793
1781447651.1573164,-0.1923,0.3191,0.0793
1781447651.162689,-0.1923,0.3191,0.0793
1781447651.1681342,-0.1923,0.3191,0.0793
1781447651.1755362,-0.1923,0.3191,0.0793
1781447651.1846173,-0.1922,0.3191,0.0793
1781447651.1849773,-0.1923,0.3191,0.0793
1781447651.1900685,-0.1923,0.3191,0.0793
1781447651.196306,-0.1922,0.3191,0.0793
1781447651.2118592,-0.1922,0.3191,0.0793
1781447651.212206,-0.1922,0.3191,0.0793
1781447651.2126777,-0.1923,0.3191,0.0793
1781447651.217959,-0.1923,0.3191,0.0793
1781447651.2242763,-0.1923,0.3191,0.0793
1781447651.2290044,-0.1923,0.3191,0.0793
1781447651.2347164,-0.1922,0.3191,0.0794
1781447651.2405827,-0.1923,0.3191,0.0793
1781447651.24576,-0.1922,0.3191,0.0793
1781447651.2516081,-0.1922,0.3191,0.0793
1781447651.2571287,-0.1922,0.3191,0.0793
1781447651.2622368,-0.1923,0.3191,0.0793
1781447651.2677279,-0.1923,0.3191,0.0793
1781447651.2731307,-0.1922,0.3191,0.0793
1781447651.2787523,-0.1923,0.3191,0.0793
1781447651.2841184,-0.1923,0.3191,0.0793
1781447651.2895408,-0.1922,0.3191,0.0793
1781447651.2952259,-0.1923,0.3191,0.0793
1781447651.3010695,-0.1923,0.3191,0.0793
1781447651.3064594,-0.1923,0.3191,0.0793
1781447651.3121727,-0.1923,0.3191,0.0793
1781447651.3227596,-0.1923,0.3191,0.0793
1781447651.3231895,-0.1923,0.3191,0.0793
1781447651.328976,-0.1923,0.3191,0.0793
1781447651.3343983,-0.1923,0.3191,0.0793
1781447651.3398533,-0.1923,0.3191,0.0793
1781447651.34525,-0.1922,0.3191,0.0793
1781447651.351208,-0.1922,0.3191,0.0793
1781447651.3562214,-0.1923,0.3191,0.0793
1781447651.3621194,-0.1922,0.3191,0.0793
1781447651.3675897,-0.1922,0.3191,0.0793
1781447651.3731346,-0.1922,0.3191,0.0793
1781447651.378591,-0.1923,0.3191,0.0793
1781447651.384121,-0.1923,0.3191,0.0793
1781447651.3910155,-0.1923,0.3191,0.0793
1781447651.3952975,-0.1923,0.3191,0.0793
1781447651.401208,-0.1922,0.3191,0.0794
1781447651.4064796,-0.1923,0.3191,0.0793
1781447651.411722,-0.1923,0.3191,0.0793
1781447651.4178953,-0.1923,0.3191,0.0793
1781447651.423381,-0.1922,0.3191,0.0793
