Time,POSX,POSY,POSZ
1781447654.6786387,-0.33,0.21,0.39
1781447654.6838298,-0.35,0.2,0.42
1781447654.6890533,-0.34,0.21,0.33
1781447654.6940365,-0.35,0.2,0.34
1781447654.6975613,-0.37,0.19,0.39
1781447654.7554991,-0.4,0.18,0.43
1781447654.761304,-0.39,0.18,0.43
1781447654.7658834,-0.37,0.18,0.42
1781447654.7713048,-0.36,0.2,0.41
1781447654.776446,-0.36,0.2,0.41
1781447654.7821574,-0.36,0.19,0.43
1781447654.8824282,-0.3,0.22,0.28
1781447654.9812202,-0.33,0.21,0.34
1781447655.0820785,-0.31,0.21,0.28
1781447655.1815283,-0.35,0.18,0.29
1781447655.280968,-0.34,0.19,0.35
1781447655.3816648,-0.29,0.23,0.3
1781447655.4804614,-0.31,0.21,0.3
1781447655.5815237,-0.35,0.2,0.31
1781447655.690057,-0.29,0.24,0.33
1781447655.780086,-0.27,0.25,0.27
1781447655.880173,-0.29,0.25,0.22
1781447655.9889636,-0.31,0.23,0.26
1781447656.0809996,-0.27,0.25,0.23
1781447656.1812363,-0.24,0.26,0.35
1781447656.281528,-0.25,0.26,0.29
1781447656.381303,-0.29,0.26,0.35
1781447656.4807596,-0.29,0.26,0.29
1781447656.5804014,-0.31,0.25,0.34
1781447656.6806602,-0.36,0.25,0.4
1781447656.780624,-0.35,0.24,0.41
1781447656.881309,-0.36,0.22,0.45
1781447656.9812605,-0.35,0.22,0.43
1781447657.081334,-0.29,0.25,0.42
1781447657.1816454,-0.28,0.25,0.33
1781447657.2807727,-0.33,0.23,0.36
1781447657.380304,-0.35,0.22,0.33
1781447657.4830644,-0.35,0.23,0.31
1781447657.5808146,-0.36,0.24,0.32
1781447657.6807637,-0.33,0.25,0.38
1781447657.782514,-0.36,0.23,0.46
1781447657.8807158,-0.34,0.25,0.54
1781447657.980602,-0.33,0.23,0.65
1781447658.0808978,-0.37,0.22,0.62
1781447658.1816,-0.37,0.2,0.72
1781447658.2807958,-0.47,0.14,0.79
1781447658.380988,-0.53,0.14,0.73
1781447658.4805639,-0.52,0.14,0.79
1781447658.5810869,-0.56,0.12,0.83
1781447658.6821072,-0.61,0.12,0.77
1781447658.7805066,-0.66,0.13,0.8
1781447658.881022,-0.7,0.14,0.8
1781447658.992138,-0.76,0.13,0.82
1781447659.0812852,-0.81,0.12,0.83
1781447659.18122,-0.9,0.1,0.86
1781447659.2801924,-0.9,0.13,0.94
1781447659.3810742,-0.97,0.07,0.92
1781447659.4817157,-0.96,0.08,0.97
1781447659.5813487,-0.95,0.08,1.02
1781447659.6805704,-0.95,0.07,1.04
1781447659.7815032,-0.99,0.03,0.99
1781447659.8814487,-0.99,0.01,0.9
1781447659.9810228,-0.99,0.02,0.89
1781447660.0838487,-1.03,-0.02,0.85
1781447660.1815536,-1.03,-0.03,0.89
1781447660.2813354,-1.01,-0.01,0.95
1781447660.381483,-0.95,0.0,1.0
1781447660.4805725,-0.99,-0.02,0.98
1781447660.5812342,-1.02,-0.04,0.97
1781447660.6816754,-1.03,-0.06,0.97
1781447660.7804987,-0.97,-0.02,0.99
1781447660.881506,-1.0,-0.03,0.99
1781447660.9808147,-0.98,0.0,0.96
1781447661.0813541,-0.95,0.02,0.92
1781447661.1806176,-0.93,0.03,0.87
1781447661.28058,-0.94,0.03,0.9
1781447661.3804388,-0.97,0.0,0.88
1781447661.480736,-0.92,0.03,0.91
1781447661.5817308,-0.88,0.05,0.91
1781447661.6801682,-0.86,0.07,0.93
1781447661.7810683,-0.83,0.1,0.99
1781447661.8804598,-0.82,0.12,1.03
1781447661.981588,-0.81,0.13,1.04
1781447662.0819173,-0.79,0.14,1.06
1781447662.1805959,-0.79,0.13,1.09
1781447662.2814417,-0.84,0.05,1.06
1781447662.381158,-0.82,0.01,1.08
1781447662.4802845,-0.79,-0.06,1.09
1781447662.5816264,-0.76,-0.13,1.06
1781447662.6805933,-0.74,-0.21,0.97
1781447662.7805467,-0.72,-0.29,0.97
1781447662.8923,-0.69,-0.33,0.87
1781447662.981616,-0.64,-0.36,0.74
1781447663.080878,-0.54,-0.43,0.81
1781447663.180142,-0.48,-0.46,0.73
1781447663.281238,-0.38,-0.51,0.77
1781447663.3814359,-0.29,-0.56,0.83
1781447663.4803514,-0.18,-0.62,0.89
1781447663.580852,-0.06,-0.64,0.94
1781447663.681209,0.07,-0.63,1.0
1781447663.7802835,0.2,-0.61,1.02
1781447663.881183,0.33,-0.6,1.04
1781447663.9860296,0.52,-0.56,1.01
1781447664.0812142,0.68,-0.53,1.02
1781447664.1809611,0.8,-0.47,1.02
1781447664.280637,0.91,-0.41,1.03
1781447664.3802016,1.06,-0.34,0.93
1781447664.4820132,1.15,-0.25,0.89
1781447664.5812044,1.22,-0.13,0.92
1781447664.6814306,1.26,-0.04,0.91
1781447664.7808304,1.3,0.1,0.95
1781447664.8812256,1.32,0.22,0.97
1781447664.9800115,1.36,0.36,1.06
1781447665.0809252,1.39,0.49,1.12
1781447665.1801755,1.36,0.56,0.98
1781447665.2808805,1.44,0.75,1.05
1781447665.3816926,1.41,0.82,1.18
1781447665.480399,1.37,0.84,1.12
1781447665.5809388,1.36,0.86,1.09
1781447665.6826181,1.28,0.81,0.97
1781447665.7807124,1.21,0.76,0.9
1781447665.881103,1.12,0.68,0.88
1781447665.9889424,1.13,0.69,1.05
