Time,POSX,POSY,POSZ
1781455028.2473931,0.4523,-0.6959,0.0826
1781455028.2532775,0.4523,-0.6959,0.0826
1781455028.2592683,0.4523,-0.6959,0.0826
1781455028.2644577,0.4523,-0.6959,0.0826
1781455028.2700958,0.4523,-0.6959,0.0826
1781455028.275409,0.4523,-0.6959,0.0826
1781455028.2814848,0.4523,-0.6959,0.0826
1781455028.2867906,0.4523,-0.6959,0.0826
1781455028.292234,0.4523,-0.6959,0.0826
1781455028.297964,0.4523,-0.6959,0.0826
1781455028.303687,0.4523,-0.6959,0.0826
1781455028.308937,0.4523,-0.6959,0.0826
1781455028.3146286,0.4523,-0.6959,0.0826
1781455028.320131,0.4523,-0.6959,0.0826
1781455028.3266962,0.4523,-0.696,0.0825
1781455028.333786,0.4523,-0.6959,0.0826
1781455028.3390625,0.4523,-0.6959,0.0826
1781455028.342447,0.4523,-0.696,0.0825
1781455028.3472056,0.4523,-0.6959,0.0826
1781455028.3553226,0.4523,-0.6959,0.0826
1781455028.369571,0.4523,-0.6959,0.0826
1781455028.3699472,0.4523,-0.6959,0.0826
1781455028.3702617,0.4523,-0.6959,0.0826
1781455028.3755498,0.4523,-0.6959,0.0826
1781455028.3804588,0.4523,-0.6959,0.0826
1781455028.3859656,0.4523,-0.6959,0.0826
1781455028.3923829,0.4523,-0.6959,0.0826
1781455028.3973215,0.4523,-0.6959,0.0826
1781455028.4029944,0.4523,-0.6959,0.0826
1781455028.4086077,0.4523,-0.6959,0.0826
1781455028.4146326,0.4523,-0.6959,0.0826
1781455028.4203131,0.4523,-0.6959,0.0826
1781455028.4249933,0.4523,-0.6959,0.0826
1781455028.4305334,0.4523,-0.6959,0.0826
1781455028.4359124,0.4523,-0.6959,0.0826
1781455028.4415839,0.4523,-0.6959,0.0826
1781455028.4468145,0.4523,-0.6959,0.0826
1781455028.4531717,0.4523,-0.6959,0.0826
1781455028.458273,0.4523,-0.6959,0.0826
1781455028.4638195,0.4523,-0.6959,0.0826
1781455028.4692438,0.4523,-0.6959,0.0826
1781455028.4752536,0.4523,-0.6959,0.0826
1781455028.4825013,0.4523,-0.6959,0.0826
1781455028.4910994,0.4523,-0.6959,0.0826
1781455028.4921966,0.4523,-0.6959,0.0826
1781455028.4974868,0.4523,-0.6959,0.0826
1781455028.5027876,0.4523,-0.6959,0.0826
1781455028.509526,0.4523,-0.6959,0.0826
1781455028.5134764,0.4523,-0.6959,0.0826
1781455028.5198305,0.4523,-0.6959,0.0826
1781455028.5249074,0.4523,-0.6959,0.0826
1781455028.53072,0.4523,-0.6959,0.0826
1781455028.5357857,0.4523,-0.6959,0.0826
1781455028.5414953,0.4523,-0.6959,0.0826
1781455028.5471308,0.4523,-0.6959,0.0826
1781455028.553172,0.4523,-0.6959,0.0826
1781455028.5584755,0.4523,-0.6959,0.0826
1781455028.563866,0.4523,-0.6959,0.0826
1781455028.5695727,0.4523,-0.6959,0.0826
1781455028.5747788,0.4523,-0.6959,0.0826
1781455028.5805058,0.4523,-0.6959,0.0826
1781455028.5863178,0.4523,-0.6959,0.0826
1781455028.5921676,0.4523,-0.6959,0.0826
1781455028.5969298,0.4523,-0.6959,0.0826
1781455028.6024365,0.4523,-0.6959,0.0826
1781455028.6096792,0.4523,-0.6959,0.0826
1781455028.6149325,0.4523,-0.6959,0.0826
1781455028.6198084,0.4523,-0.6959,0.0826
1781455028.6294365,0.4523,-0.6959,0.0826
1781455028.6309197,0.4523,-0.6959,0.0826
1781455028.6361067,0.4523,-0.6959,0.0826
1781455028.642168,0.4523,-0.6959,0.0826
1781455028.6485057,0.4523,-0.6959,0.0826
1781455028.6531587,0.4523,-0.6959,0.0826
1781455028.658534,0.4523,-0.6959,0.0826
1781455028.663947,0.4523,-0.6959,0.0826
1781455028.6702273,0.4523,-0.6959,0.0826
1781455028.6746087,0.4523,-0.6959,0.0826
1781455028.6800702,0.4523,-0.6959,0.0826
1781455028.6860356,0.4523,-0.6959,0.0826
1781455028.6922326,0.4523,-0.6959,0.0826
1781455028.6979778,0.4523,-0.6959,0.0826
1781455028.7028089,0.4523,-0.6959,0.0826
1781455028.709049,0.4523,-0.6959,0.0826
1781455028.7136676,0.4523,-0.6959,0.0826
1781455028.7199562,0.4523,-0.6959,0.0826
1781455028.7245917,0.4523,-0.6959,0.0826
1781455028.7305229,0.4523,-0.6959,0.0826
1781455028.7364666,0.4523,-0.6959,0.0826
1781455028.7417638,0.4523,-0.6959,0.0826
1781455028.747645,0.4523,-0.6959,0.0826
1781455028.7528071,0.4523,-0.6959,0.0826
1781455028.761253,0.4523,-0.6959,0.0826
1781455028.791102,0.4523,-0.6959,0.0826
1781455028.7914946,0.4523,-0.6959,0.0826
1781455028.7918048,0.4523,-0.6959,0.0826
1781455028.792118,0.4523,-0.6959,0.0826
1781455028.7924154,0.4523,-0.6959,0.0826
1781455028.7927895,0.4523,-0.6959,0.0826
1781455028.7973475,0.4523,-0.6959,0.0826
1781455028.8030095,0.4523,-0.6959,0.0826
1781455028.8084428,0.4523,-0.6959,0.0826
1781455028.8149421,0.4523,-0.6959,0.0826
1781455028.81929,0.4523,-0.6959,0.0826
1781455028.8247519,0.4523,-0.6959,0.0826
1781455028.831122,0.4523,-0.6959,0.0826
1781455028.8368535,0.4523,-0.6959,0.0826
1781455028.841624,0.4523,-0.6959,0.0826
1781455028.84684,0.4523,-0.6959,0.0826
1781455028.8527362,0.4523,-0.6959,0.0826
1781455028.8582304,0.4523,-0.6959,0.0826
1781455028.8650713,0.4523,-0.6959,0.0826
1781455028.8692393,0.4523,-0.6959,0.0826
1781455028.8746998,0.4523,-0.6959,0.0826
1781455028.880153,0.4523,-0.6959,0.0826
