Time,POSX,POSY,POSZ
1781455031.7783058,0.47,-0.73,0.44
1781455031.7821643,0.45,-0.75,0.42
1781455031.7853086,0.42,-0.76,0.53
1781455031.7880523,0.43,-0.72,0.52
1781455031.7909942,0.45,-0.71,0.42
1781455031.793255,0.47,-0.68,0.4
1781455031.7964935,0.46,-0.73,0.48
1781455031.798798,0.44,-0.75,0.57
1781455031.801419,0.45,-0.74,0.45
1781455031.8061802,0.44,-0.76,0.49
1781455031.8835084,0.46,-0.72,0.6
1781455031.9848502,0.45,-0.75,0.65
1781455032.0822926,0.46,-0.72,0.63
1781455032.1827977,0.48,-0.69,0.63
1781455032.286421,0.46,-0.72,0.64
1781455032.383671,0.48,-0.7,0.52
1781455032.482602,0.48,-0.72,0.52
1781455032.5830328,0.45,-0.76,0.55
1781455032.6826403,0.47,-0.73,0.52
1781455032.7826886,0.46,-0.76,0.6
1781455032.8851526,0.43,-0.78,0.63
1781455032.9822755,0.42,-0.81,0.66
1781455033.0821855,0.41,-0.76,0.69
1781455033.184561,0.4,-0.77,0.67
1781455033.2833884,0.42,-0.73,0.72
1781455033.3821988,0.45,-0.69,0.87
1781455033.4843364,0.41,-0.68,0.83
1781455033.583256,0.4,-0.71,0.79
1781455033.6829314,0.39,-0.68,0.68
1781455033.7826962,0.4,-0.7,0.76
1781455033.8825316,0.43,-0.75,0.78
1781455033.982887,0.46,-0.75,0.83
1781455034.0840015,0.46,-0.74,0.84
1781455034.1831229,0.47,-0.77,0.85
1781455034.2835438,0.48,-0.74,0.87
1781455034.38325,0.47,-0.74,0.87
1781455034.4841628,0.45,-0.76,0.81
1781455034.58295,0.41,-0.78,0.81
1781455034.6828299,0.37,-0.78,0.79
1781455034.7835722,0.32,-0.74,0.7
1781455034.8833885,0.28,-0.7,0.8
1781455034.9824398,0.24,-0.65,0.95
1781455035.0827053,0.16,-0.64,0.93
1781455035.1823366,0.14,-0.53,1.04
1781455035.2834754,0.07,-0.44,0.94
1781455035.3832054,0.03,-0.31,0.95
1781455035.4830737,-0.02,-0.11,0.91
1781455035.6012318,-0.02,0.02,0.9
1781455035.6832266,0.0,0.13,0.9
1781455035.786262,0.06,0.27,0.89
1781455035.8824303,0.16,0.34,0.88
1781455035.9833288,0.23,0.4,0.88
1781455036.0827334,0.33,0.47,0.88
1781455036.1821384,0.43,0.5,0.99
1781455036.2824986,0.53,0.49,1.09
1781455036.3820796,0.64,0.48,1.16
1781455036.4828763,0.78,0.49,1.08
1781455036.5831974,0.87,0.45,0.92
1781455036.6837783,0.97,0.34,0.93
1781455036.7842813,1.05,0.18,0.98
1781455036.8830533,1.09,0.05,0.99
1781455036.9829333,1.1,-0.06,1.0
1781455037.0821939,1.05,-0.15,1.03
1781455037.1831226,1.0,-0.23,1.04
1781455037.2836242,0.92,-0.31,0.97
1781455037.3831768,0.81,-0.34,0.98
1781455037.4834688,0.7,-0.31,0.97
1781455037.5825472,0.55,-0.35,0.93
1781455037.6829886,0.45,-0.33,0.85
1781455037.782267,0.38,-0.32,0.95
1781455037.8823686,0.3,-0.26,1.02
1781455037.990157,0.22,-0.22,1.02
1781455038.0835862,0.15,-0.16,1.08
1781455038.1825554,0.08,-0.11,1.02
1781455038.2835743,0.0,-0.05,1.01
1781455038.382693,-0.06,0.03,1.0
1781455038.4831197,-0.09,0.13,1.03
1781455038.5867739,-0.17,0.25,1.0
1781455038.6822484,-0.18,0.32,1.01
1781455038.7829497,-0.17,0.36,1.04
1781455038.8822458,-0.11,0.43,0.88
1781455038.9833863,-0.06,0.53,0.88
1781455039.0824323,0.04,0.57,0.88
1781455039.1827257,0.15,0.65,0.9
1781455039.2824752,0.26,0.66,0.83
1781455039.3827343,0.36,0.66,0.79
1781455039.4854968,0.48,0.68,0.75
1781455039.5830107,0.59,0.67,0.73
1781455039.682129,0.68,0.62,0.89
1781455039.7825906,0.78,0.58,0.92
1781455039.882341,0.87,0.49,0.96
1781455039.9825456,0.96,0.41,0.97
1781455040.0828283,1.04,0.28,0.99
1781455040.1825032,1.11,0.11,0.96
1781455040.2820802,1.12,0.0,0.98
1781455040.3831525,1.1,-0.06,0.84
1781455040.4824424,1.06,-0.2,0.9
1781455040.5834246,1.01,-0.33,0.9
1781455040.6821668,0.96,-0.41,0.91
1781455040.7839954,0.89,-0.49,0.88
1781455040.8822284,0.81,-0.54,0.94
1781455040.9828103,0.72,-0.56,0.96
1781455041.083361,0.61,-0.56,0.99
1781455041.1831734,0.54,-0.55,1.09
1781455041.283141,0.42,-0.54,1.08
1781455041.383161,0.34,-0.52,1.15
1781455041.4831803,0.27,-0.49,1.2
1781455041.5831733,0.16,-0.51,1.06
1781455041.684555,0.04,-0.54,0.96
1781455041.7826405,-0.09,-0.58,0.86
1781455041.8825178,-0.17,-0.58,0.8
1781455041.9846966,-0.2,-0.49,0.93
1781455042.0837367,-0.25,-0.38,1.03
1781455042.183445,-0.3,-0.32,0.92
1781455042.284093,-0.33,-0.2,0.98
1781455042.382474,-0.36,-0.07,0.99
1781455042.4821446,-0.37,0.08,0.91
1781455042.583037,-0.37,0.21,0.64
1781455042.6834104,-0.36,0.31,0.7
1781455042.7829032,-0.33,0.42,0.71
1781455042.8825011,-0.31,0.48,0.82
1781455042.9834213,-0.21,0.54,0.74
1781455043.0836759,-0.14,0.61,0.84
1781455043.1821198,-0.04,0.64,0.82
1781455043.2867553,0.06,0.65,0.82
1781455043.3835397,0.15,0.66,0.88
1781455043.483076,0.23,0.73,0.91
1781455043.5826254,0.33,0.77,0.86
1781455043.6835382,0.44,0.8,0.81
1781455043.7822354,0.57,0.8,0.85
1781455043.883257,0.7,0.81,0.8
1781455043.9832768,0.83,0.77,0.9
1781455044.0834258,0.96,0.75,0.87
1781455044.1845307,1.06,0.66,0.87
1781455044.283187,1.13,0.53,0.86
1781455044.3821356,1.21,0.36,0.88
1781455044.48524,1.24,0.22,0.87
1781455044.5821092,1.23,0.12,0.77
1781455044.6823885,1.22,-0.03,0.77
1781455044.7858305,1.2,-0.16,0.82
1781455044.8832238,1.12,-0.22,0.69
1781455044.9823713,1.04,-0.27,0.66
1781455045.0830662,0.98,-0.38,0.78
1781455045.1835613,0.89,-0.4,0.73
1781455045.282752,0.83,-0.41,0.86
1781455045.3821225,0.8,-0.46,0.84
1781455045.4825375,0.73,-0.47,0.82
1781455045.5824194,0.71,-0.46,0.88
1781455045.6836457,0.68,-0.48,0.91
1781455045.783405,0.64,-0.51,0.93
1781455045.8824906,0.59,-0.52,0.96
1781455045.983304,0.53,-0.52,0.98
1781455046.091511,0.46,-0.52,0.97
1781455046.182152,0.38,-0.51,0.98
1781455046.282712,0.28,-0.56,0.96
1781455046.3886917,0.25,-0.55,1.06
1781455046.48369,0.15,-0.57,1.02
1781455046.582638,0.06,-0.59,0.99
1781455046.68561,-0.02,-0.57,0.96
1781455046.7832627,-0.07,-0.53,0.97
1781455046.8824472,-0.15,-0.49,0.92
1781455046.9837415,-0.19,-0.37,0.83
1781455047.0827305,-0.18,-0.26,0.83
1781455047.183431,-0.19,-0.16,0.81
1781455047.2836442,-0.21,-0.02,0.77
1781455047.383463,-0.2,0.08,0.8
1781455047.4828272,-0.19,0.14,0.8
1781455047.5825677,-0.16,0.22,0.71
1781455047.6835444,-0.12,0.35,0.8
1781455047.7827106,-0.06,0.39,0.69
1781455047.8907325,-0.04,0.45,0.68
1781455047.9827893,0.06,0.49,0.61
1781455048.0831819,0.11,0.53,0.65
1781455048.182184,0.19,0.58,0.71
1781455048.2827053,0.32,0.63,0.71
1781455048.3831499,0.47,0.66,0.65
1781455048.4837399,0.61,0.72,0.71
1781455048.5832758,0.73,0.71,0.7
1781455048.684005,0.84,0.68,0.71
1781455048.7833674,0.94,0.61,0.81
1781455048.8828092,1.03,0.49,0.87
1781455048.98315,1.11,0.42,0.89
1781455049.085534,1.2,0.33,0.73
1781455049.1836357,1.22,0.2,0.76
1781455049.2828088,1.21,0.04,0.83
1781455049.382744,1.18,-0.07,0.82
1781455049.4826813,1.15,-0.2,0.86
1781455049.5834515,1.1,-0.27,0.89
1781455049.6827753,1.03,-0.34,0.89
1781455049.7835271,0.93,-0.4,0.93
1781455049.882738,0.85,-0.42,1.02
1781455049.9829843,0.76,-0.48,1.0
1781455050.0882869,0.66,-0.52,0.97
1781455050.1830952,0.58,-0.55,0.95
1781455050.283606,0.5,-0.52,0.93
1781455050.383309,0.42,-0.54,0.85
1781455050.4836493,0.34,-0.55,0.78
1781455050.582622,0.21,-0.63,0.77
1781455050.683771,0.11,-0.68,0.73
1781455050.7823284,0.1,-0.62,0.9
1781455050.8829813,0.05,-0.63,0.85
1781455050.9833572,0.0,-0.59,0.79
1781455051.082961,-0.01,-0.49,0.9
1781455051.188454,-0.07,-0.44,0.87
1781455051.282628,-0.13,-0.43,0.89
1781455051.3827891,-0.13,-0.34,1.01
1781455051.4893234,-0.14,-0.27,1.06
1781455051.5829427,-0.18,-0.23,0.94
1781455051.6828415,-0.22,-0.21,0.89
1781455051.7901683,-0.24,-0.12,0.83
1781455051.8830948,-0.24,-0.02,0.82
1781455051.9827693,-0.22,0.13,0.91
1781455052.0835176,-0.28,0.3,0.92
