Time,POSX,POSY,POSZ
1781460045.264441,1.0826,0.896,0.0799
1781460045.269471,1.0826,0.896,0.0799
1781460045.275203,1.0826,0.896,0.0799
1781460045.2803793,1.0826,0.896,0.0799
1781460045.2859225,1.0826,0.896,0.0799
1781460045.2918835,1.0826,0.896,0.0799
1781460045.2977438,1.0826,0.896,0.0799
1781460045.3030396,1.0826,0.896,0.0799
1781460045.3082151,1.0826,0.896,0.0799
1781460045.3138661,1.0826,0.896,0.0799
1781460045.318954,1.0826,0.896,0.0799
1781460045.325584,1.0826,0.896,0.0799
1781460045.3304167,1.0826,0.896,0.0799
1781460045.3559947,1.0826,0.896,0.0799
1781460045.3604696,1.0826,0.896,0.0799
1781460045.361582,1.0826,0.896,0.0799
1781460045.3644516,1.0827,0.896,0.0799
1781460045.3655355,1.0826,0.896,0.0799
1781460045.4200115,1.0826,0.896,0.0799
1781460045.421053,1.0826,0.896,0.0799
1781460045.422076,1.0826,0.896,0.0799
1781460045.4230464,1.0826,0.896,0.0799
1781460045.424008,1.0826,0.896,0.0799
1781460045.4248965,1.0826,0.896,0.0799
1781460045.4258118,1.0826,0.896,0.0799
1781460045.426687,1.0826,0.896,0.0799
1781460045.4275997,1.0826,0.896,0.0799
1781460045.4284835,1.0826,0.896,0.0799
1781460045.4293308,1.0826,0.896,0.0799
1781460045.4301195,1.0826,0.896,0.0799
1781460045.430829,1.0826,0.896,0.0799
1781460045.4362712,1.0826,0.896,0.0799
1781460045.441264,1.0826,0.896,0.0799
1781460045.4466276,1.0826,0.896,0.0799
1781460045.4526036,1.0826,0.896,0.0799
1781460045.4583309,1.0826,0.896,0.0799
1781460045.4638824,1.0826,0.896,0.0799
1781460045.4694126,1.0826,0.896,0.0799
1781460045.4745235,1.0826,0.896,0.0799
1781460045.4800696,1.0826,0.896,0.0799
1781460045.4860592,1.0826,0.896,0.0799
1781460045.4913735,1.0826,0.896,0.0799
1781460045.4970696,1.0826,0.896,0.0799
1781460045.502799,1.0826,0.896,0.0799
1781460045.5082464,1.0826,0.896,0.0799
1781460045.513503,1.0826,0.896,0.0799
1781460045.5195112,1.0826,0.896,0.0799
1781460045.5358374,1.0826,0.896,0.0799
1781460045.5409565,1.0826,0.896,0.0799
1781460045.5424492,1.0826,0.896,0.0799
1781460045.5430703,1.0826,0.896,0.0799
1781460045.5466082,1.0826,0.896,0.0799
1781460045.5533116,1.0826,0.896,0.0799
1781460045.5598304,1.0826,0.896,0.0799
1781460045.5635757,1.0826,0.896,0.0799
1781460045.568775,1.0826,0.896,0.0799
1781460045.5742965,1.0826,0.896,0.0799
1781460045.5840628,1.0826,0.896,0.0799
1781460045.5861607,1.0826,0.896,0.0799
1781460045.5917737,1.0826,0.896,0.0799
1781460045.59691,1.0826,0.896,0.0799
1781460045.6023777,1.0826,0.896,0.0799
1781460045.607567,1.0826,0.896,0.0799
1781460045.6161487,1.0826,0.896,0.0799
1781460045.6192906,1.0826,0.896,0.0799
1781460045.6247349,1.0826,0.896,0.0799
1781460045.629721,1.0826,0.896,0.0799
1781460045.6354327,1.0826,0.896,0.0799
1781460045.641057,1.0826,0.896,0.0799
1781460045.6469061,1.0826,0.896,0.0799
1781460045.652608,1.0826,0.896,0.0799
1781460045.6578825,1.0826,0.896,0.0799
1781460045.6633267,1.0826,0.896,0.0799
1781460045.668433,1.0826,0.896,0.0799
1781460045.6747584,1.0827,0.896,0.0799
1781460045.6801984,1.0826,0.896,0.0799
1781460045.6857219,1.0826,0.896,0.0799
1781460045.691245,1.0826,0.8961,0.0799
1781460045.7034755,1.0826,0.896,0.0799
1781460045.7065303,1.0826,0.896,0.0799
1781460045.7100055,1.0826,0.896,0.0799
1781460045.7153695,1.0826,0.896,0.0799
1781460045.721292,1.0826,0.896,0.0799
1781460045.7252162,1.0826,0.896,0.0799
1781460045.7297335,1.0826,0.896,0.0799
1781460045.7360208,1.0826,0.896,0.0799
1781460045.7412562,1.0826,0.896,0.0799
1781460045.7471018,1.0826,0.896,0.0799
1781460045.7521327,1.0826,0.896,0.0799
