Time,POSX,POSY,POSZ
1781460048.8118725,0.98,1.05,0.21
1781460048.8150861,0.95,1.09,0.14
1781460048.8175387,0.89,1.16,0.1
1781460048.8228283,0.95,1.07,0.15
1781460048.826049,0.92,1.1,0.07
1781460048.8307588,0.98,1.04,0.11
1781460048.8337903,0.93,1.09,0.05
1781460048.8378627,0.88,1.14,-0.01
1781460048.842756,0.85,1.19,-0.02
1781460048.8458173,0.92,1.1,0.08
1781460048.8879263,1.01,1.02,0.19
1781460048.9878185,1.05,0.98,0.2
1781460049.0880597,0.97,1.08,0.14
1781460049.1879306,1.02,1.01,0.21
1781460049.2874703,1.05,0.94,0.26
1781460049.3881478,0.99,1.0,0.25
1781460049.4876926,0.97,1.02,0.16
1781460049.5879695,1.04,0.96,0.25
1781460049.6893375,0.93,1.06,0.23
1781460049.787126,0.87,1.14,0.17
1781460049.888104,0.98,1.05,0.25
1781460049.9872468,1.04,1.09,0.27
1781460050.0868864,0.97,1.14,0.25
1781460050.1868877,0.9,1.17,0.23
1781460050.2879045,0.97,1.1,0.23
1781460050.3882058,0.91,1.14,0.16
1781460050.4869585,0.9,1.15,0.09
1781460050.5905173,0.97,1.08,0.15
1781460050.6868372,1.05,1.0,0.25
1781460050.7872455,0.96,1.09,0.21
1781460050.888093,0.87,1.16,0.2
1781460050.9878976,0.86,1.18,0.15
1781460051.0884051,0.95,1.09,0.21
1781460051.1884708,0.91,1.12,0.14
1781460051.2874935,1.0,1.03,0.24
1781460051.3874648,1.05,0.99,0.25
1781460051.4880278,0.97,1.05,0.2
1781460051.5873196,0.92,1.11,0.12
1781460051.6882734,0.99,1.05,0.19
1781460051.786754,1.04,0.99,0.21
1781460051.896253,1.08,0.94,0.24
1781460051.9882102,1.01,1.03,0.18
1781460052.0872617,0.96,1.09,0.16
1781460052.194395,0.92,1.15,0.11
1781460052.288287,0.88,1.19,0.11
1781460052.3878474,0.87,1.21,0.06
1781460052.4870582,0.85,1.22,0.02
1781460052.5870633,0.86,1.2,0.01
1781460052.6875181,0.95,1.13,0.07
1781460052.798259,1.02,1.05,0.21
1781460052.8867784,1.06,1.02,0.37
1781460052.9878323,1.09,0.99,0.45
1781460053.0878391,1.1,0.98,0.54
1781460053.1874623,1.09,1.0,0.5
1781460053.2886133,1.11,0.96,0.64
1781460053.3876858,1.11,0.98,0.72
1781460053.4870255,1.06,1.02,0.73
1781460053.5876744,1.11,0.99,0.87
1781460053.687072,1.09,0.98,0.87
1781460053.7879243,1.04,1.01,0.81
1781460053.887975,1.01,1.03,0.82
1781460053.9870021,0.98,1.06,0.75
1781460054.0882196,0.9,1.12,0.72
1781460054.190446,0.9,1.09,0.74
1781460054.2876945,0.85,1.11,0.74
1781460054.3867753,0.74,1.18,0.69
1781460054.4869802,0.65,1.23,0.7
1781460054.5871608,0.59,1.25,0.7
1781460054.687055,0.57,1.22,0.7
1781460054.7876806,0.55,1.21,0.67
1781460054.8869274,0.54,1.18,0.73
1781460054.9869065,0.53,1.16,0.76
1781460055.0882902,0.49,1.15,0.76
1781460055.187124,0.46,1.14,0.77
1781460055.2872825,0.47,1.08,0.94
1781460055.3882506,0.41,1.1,0.88
1781460055.4904823,0.39,1.09,0.87
1781460055.5873408,0.36,1.08,0.88
1781460055.6875374,0.32,1.07,0.86
1781460055.7869203,0.27,1.09,0.84
1781460055.8875954,0.31,1.12,1.04
1781460055.9873776,0.28,1.12,1.01
1781460056.096146,0.21,1.02,1.13
1781460056.1875157,0.18,1.02,0.99
1781460056.2895827,0.13,1.0,0.92
1781460056.3878222,0.11,1.0,0.8
1781460056.488256,0.08,0.99,0.7
1781460056.5910482,-0.01,0.96,0.8
1781460056.6870422,-0.09,0.91,0.89
1781460056.7875478,-0.17,0.87,0.96
1781460056.8882766,-0.2,0.86,0.79
1781460056.9885514,-0.28,0.79,0.88
1781460057.0883389,-0.34,0.72,0.85
1781460057.1975684,-0.41,0.64,0.9
1781460057.2880187,-0.44,0.59,0.85
1781460057.4069796,-0.42,0.57,0.66
1781460057.4882145,-0.45,0.52,0.69
1781460057.5882869,-0.42,0.5,0.53
1781460057.6875305,-0.44,0.44,0.48
1781460057.7883794,-0.45,0.39,0.49
1781460057.8870814,-0.44,0.33,0.6
1781460057.9922066,-0.41,0.29,0.49
1781460058.0885503,-0.4,0.25,0.47
1781460058.187731,-0.42,0.17,0.56
1781460058.2978017,-0.49,0.09,0.6
1781460058.388119,-0.52,0.02,0.59
1781460058.4883342,-0.56,-0.04,0.58
1781460058.5880194,-0.57,-0.1,0.57
1781460058.6882536,-0.56,-0.17,0.57
1781460058.790816,-0.44,-0.22,0.48
1781460058.8880455,-0.4,-0.29,0.55
1781460058.9879336,-0.34,-0.39,0.66
1781460059.0980163,-0.15,-0.4,0.59
1781460059.1874652,-0.09,-0.54,0.7
1781460059.2877538,0.07,-0.56,0.65
1781460059.388173,0.2,-0.58,0.61
1781460059.488362,0.31,-0.61,0.58
1781460059.5893085,0.43,-0.64,0.52
1781460059.6872768,0.5,-0.69,0.64
1781460059.787659,0.55,-0.73,0.72
1781460059.8880322,0.6,-0.75,0.8
1781460059.9872224,0.67,-0.75,0.75
1781460060.0871198,0.71,-0.73,0.77
1781460060.1870494,0.76,-0.7,0.82
1781460060.2877657,0.81,-0.7,0.82
1781460060.3870597,0.82,-0.65,0.88
1781460060.4878573,0.88,-0.62,0.78
1781460060.5870004,0.89,-0.59,0.85
1781460060.6880345,0.94,-0.61,0.89
1781460060.7883124,1.01,-0.59,0.83
1781460060.8877697,1.1,-0.53,0.74
1781460060.9880197,1.17,-0.49,0.7
1781460061.0884342,1.17,-0.48,0.77
1781460061.1882617,1.22,-0.42,0.73
1781460061.2878776,1.23,-0.41,0.81
1781460061.395207,1.2,-0.38,0.88
1781460061.48734,1.18,-0.36,0.9
1781460061.5877962,1.16,-0.32,0.91
1781460061.6879656,1.15,-0.29,0.92
1781460061.78784,1.11,-0.26,0.94
1781460061.8872721,1.09,-0.21,0.93
1781460061.9877603,1.06,-0.16,0.92
1781460062.0880098,1.05,-0.1,0.93
1781460062.1880064,1.12,0.02,0.85
1781460062.2968273,1.09,0.06,0.85
1781460062.3874016,1.1,0.15,0.92
1781460062.4879773,1.13,0.26,0.89
1781460062.5925622,1.13,0.31,1.0
1781460062.6873329,1.11,0.38,1.01
1781460062.7880812,1.06,0.44,0.93
1781460062.8880584,1.03,0.54,0.93
1781460062.9873343,0.99,0.59,0.95
1781460063.0882459,0.95,0.67,0.91
1781460063.1879473,0.91,0.73,0.87
1781460063.2872982,0.89,0.76,0.87
1781460063.3870783,0.88,0.78,0.86
1781460063.4973679,0.84,0.82,0.84
1781460063.5868616,0.79,0.83,0.97
1781460063.68815,0.75,0.83,1.1
1781460063.7933836,0.69,0.87,1.04
1781460063.8867948,0.63,0.9,1.02
1781460063.9869974,0.59,0.91,1.12
1781460064.0927098,0.56,0.92,1.19
1781460064.1873147,0.48,0.96,1.1
1781460064.2882986,0.41,1.0,1.01
1781460064.3879502,0.32,1.05,0.93
1781460064.4883668,0.3,1.06,0.88
1781460064.5867565,0.27,1.03,0.9
1781460064.6882968,0.23,1.0,0.88
1781460064.786813,0.19,0.96,0.83
1781460064.8874314,0.18,0.93,0.77
1781460064.9897065,0.07,0.94,0.72
1781460065.086891,0.01,0.87,0.88
1781460065.1869435,-0.05,0.82,0.9
1781460065.2915912,-0.06,0.77,0.85
1781460065.3879128,-0.07,0.74,0.75
1781460065.487248,-0.08,0.66,0.74
1781460065.5874658,-0.14,0.64,0.65
1781460065.6875906,-0.18,0.56,0.68
1781460065.7879853,-0.22,0.48,0.71
1781460065.8947535,-0.24,0.43,0.66
1781460065.9873805,-0.28,0.36,0.64
1781460066.087831,-0.33,0.25,0.81
1781460066.187509,-0.34,0.22,0.71
1781460066.287639,-0.38,0.16,0.75
1781460066.3875766,-0.39,0.1,0.8
1781460066.4880486,-0.38,0.1,0.64
1781460066.5884686,-0.39,0.08,0.57
1781460066.687749,-0.4,0.06,0.48
1781460066.7880049,-0.4,0.01,0.57
1781460066.8874185,-0.4,-0.04,0.61
1781460066.987401,-0.39,-0.1,0.68
1781460067.0949638,-0.34,-0.12,0.55
1781460067.1879373,-0.32,-0.18,0.64
1781460067.2887294,-0.28,-0.27,0.7
1781460067.3885303,-0.31,-0.32,0.77
1781460067.4885645,-0.15,-0.41,0.56
1781460067.58804,-0.07,-0.47,0.44
1781460067.6873221,-0.04,-0.57,0.58
1781460067.7874267,0.02,-0.6,0.49
1781460067.8876746,0.05,-0.66,0.64
1781460067.9881885,0.07,-0.67,0.75
1781460068.0875251,0.14,-0.71,0.75
1781460068.1870155,0.18,-0.73,0.73
1781460068.2950387,0.25,-0.74,0.62
1781460068.38775,0.27,-0.76,0.68
1781460068.48823,0.3,-0.77,0.71
1781460068.5878139,0.35,-0.78,0.74
