Time,POSX,POSY,POSZ
1781459181.523325,1.3154,0.9813,0.0824
1781459181.528924,1.3154,0.9813,0.0824
1781459181.5339067,1.3154,0.9813,0.0824
1781459181.5393803,1.3154,0.9813,0.0824
1781459181.5452428,1.3155,0.9813,0.0824
1781459181.55081,1.3154,0.9813,0.0824
1781459181.5567346,1.3155,0.9813,0.0824
1781459181.56143,1.3154,0.9813,0.0824
1781459181.5674567,1.3154,0.9813,0.0824
1781459181.5730243,1.3154,0.9813,0.0824
1781459181.5788138,1.3154,0.9813,0.0825
1781459181.5840344,1.3154,0.9813,0.0824
1781459181.589256,1.3154,0.9813,0.0824
1781459181.595265,1.3154,0.9813,0.0824
1781459181.6012158,1.3154,0.9813,0.0824
1781459181.6071239,1.3155,0.9813,0.0824
1781459181.6164463,1.3154,0.9813,0.0824
1781459181.6236541,1.3154,0.9813,0.0824
1781459181.655118,1.3154,0.9813,0.0824
1781459181.6554823,1.3154,0.9813,0.0824
1781459181.6557906,1.3155,0.9813,0.0824
1781459181.656171,1.3155,0.9813,0.0825
1781459181.656485,1.3154,0.9813,0.0824
1781459181.656848,1.3154,0.9813,0.0824
1781459181.6572008,1.3155,0.9813,0.0824
1781459181.6629205,1.3155,0.9813,0.0824
1781459181.6670768,1.3154,0.9813,0.0824
1781459181.6724389,1.3155,0.9813,0.0824
1781459181.677876,1.3155,0.9812,0.0824
1781459181.6837933,1.3154,0.9813,0.0824
1781459181.689638,1.3155,0.9813,0.0824
1781459181.6946476,1.3154,0.9813,0.0824
1781459181.7004516,1.3154,0.9813,0.0824
1781459181.7057679,1.3154,0.9813,0.0825
1781459181.7110972,1.3154,0.9813,0.0824
1781459181.7165809,1.3155,0.9813,0.0824
1781459181.7228532,1.3154,0.9813,0.0824
1781459181.7284572,1.3154,0.9813,0.0824
1781459181.7340178,1.3154,0.9813,0.0824
1781459181.7392793,1.3154,0.9813,0.0824
1781459181.744868,1.3155,0.9813,0.0824
1781459181.7508385,1.3154,0.9813,0.0824
