Time,POSX,POSY,POSZ
1781459185.094655,1.27,1.04,0.05
1781459185.0974863,1.26,1.05,0.05
1781459185.1015744,1.25,1.05,0.06
1781459185.152745,1.17,1.12,0.05
1781459185.1568034,1.19,1.11,0.05
1781459185.1592586,1.22,1.08,0.06
1781459185.1633768,1.23,1.08,0.05
1781459185.1663914,1.22,1.08,0.05
1781459185.170346,1.23,1.08,0.05
1781459185.1739686,1.16,1.14,0.02
1781459185.1886516,1.21,1.11,0.04
1781459185.2893472,1.21,1.1,0.02
1781459185.3886437,1.22,1.09,0.02
1781459185.489279,1.24,1.07,0.03
1781459185.5889425,1.27,1.05,0.05
1781459185.6887314,1.19,1.12,0.03
1781459185.788645,1.15,1.14,0.03
1781459185.8884034,1.21,1.1,0.06
1781459185.988956,1.25,1.08,0.09
1781459186.0878825,1.25,1.09,0.08
1781459186.1897216,1.26,1.06,0.07
1781459186.2888882,1.24,1.08,0.06
1781459186.3882763,1.24,1.06,0.06
1781459186.4878495,1.16,1.12,0.05
1781459186.5885594,1.22,1.11,0.09
1781459186.6888351,1.17,1.14,0.07
1781459186.788475,1.19,1.13,0.05
1781459186.889215,1.2,1.11,0.05
1781459186.9890053,1.25,1.09,0.08
1781459187.087686,1.24,1.1,0.05
1781459187.1883547,1.28,1.07,0.11
1781459187.288521,1.28,1.07,0.1
1781459187.3878167,1.27,1.07,0.08
1781459187.4897861,1.22,1.14,0.09
1781459187.5888617,1.26,1.11,0.12
1781459187.6878018,1.25,1.12,0.08
1781459187.7881603,1.24,1.14,0.06
1781459187.887673,1.19,1.2,0.08
1781459187.9899764,1.14,1.24,0.08
1781459188.0889995,1.17,1.21,0.07
1781459188.187859,1.19,1.17,0.06
1781459188.2885191,1.2,1.14,0.03
1781459188.3887742,1.21,1.12,0.01
1781459188.4893923,1.24,1.1,0.01
1781459188.5890377,1.27,1.07,0.03
1781459188.6889734,1.27,1.06,0.05
1781459188.7883382,1.28,1.04,0.05
1781459188.8900774,1.3,1.03,0.17
1781459188.9878573,1.34,1.03,0.25
1781459189.089093,1.34,1.08,0.32
1781459189.1885896,1.36,1.06,0.32
1781459189.2878044,1.31,1.11,0.27
1781459189.3881931,1.35,1.06,0.25
1781459189.4892457,1.36,1.06,0.22
1781459189.5881324,1.43,1.02,0.28
1781459189.68858,1.49,0.98,0.33
1781459189.7879777,1.39,1.05,0.36
1781459189.888201,1.36,1.05,0.36
1781459189.9886265,1.33,1.07,0.35
1781459190.089357,1.31,1.08,0.37
1781459190.1891258,1.28,1.07,0.37
1781459190.288609,1.27,1.06,0.37
1781459190.3888948,1.3,1.03,0.42
1781459190.4876997,1.33,1.0,0.47
1781459190.5894248,1.29,1.01,0.48
1781459190.6883929,1.31,0.97,0.54
1781459190.7887897,1.22,1.01,0.52
1781459190.8890672,1.18,1.01,0.5
1781459190.9881155,1.25,0.97,0.59
1781459191.087694,1.25,0.94,0.63
1781459191.1890898,1.18,0.95,0.6
1781459191.2892776,1.16,0.93,0.65
