Time,POSX,POSY,POSZ
1781456977.3093584,0.959,-0.5253,0.0815
1781456977.3148198,0.959,-0.5253,0.0815
1781456977.3204837,0.959,-0.5253,0.0815
1781456977.3261235,0.959,-0.5253,0.0815
1781456977.3325784,0.959,-0.5253,0.0815
1781456977.3377235,0.959,-0.5253,0.0815
1781456977.3429418,0.959,-0.5253,0.0816
1781456977.347781,0.959,-0.5253,0.0815
1781456977.353589,0.959,-0.5253,0.0815
1781456977.3593378,0.959,-0.5253,0.0815
1781456977.3648021,0.959,-0.5253,0.0815
1781456977.3707058,0.959,-0.5253,0.0816
1781456977.376123,0.959,-0.5253,0.0815
1781456977.3815868,0.959,-0.5253,0.0815
1781456977.3871338,0.959,-0.5253,0.0816
1781456977.3928502,0.959,-0.5253,0.0815
1781456977.4056816,0.959,-0.5253,0.0815
1781456977.4099646,0.959,-0.5253,0.0816
1781456977.4346697,0.959,-0.5253,0.0815
1781456977.4350638,0.959,-0.5253,0.0815
1781456977.435428,0.959,-0.5253,0.0815
1781456977.4357593,0.959,-0.5253,0.0816
1781456977.4361072,0.959,-0.5253,0.0815
1781456977.4373171,0.959,-0.5253,0.0816
1781456977.4421678,0.959,-0.5253,0.0816
1781456977.4484723,0.959,-0.5253,0.0816
1781456977.4538927,0.959,-0.5253,0.0815
1781456977.4596999,0.959,-0.5253,0.0816
1781456977.4645016,0.959,-0.5253,0.0815
1781456977.4701056,0.959,-0.5253,0.0815
1781456977.4754708,0.959,-0.5253,0.0816
1781456977.4815717,0.959,-0.5253,0.0816
1781456977.486756,0.959,-0.5253,0.0816
1781456977.4924288,0.959,-0.5253,0.0815
1781456977.497782,0.959,-0.5253,0.0816
1781456977.5031536,0.959,-0.5253,0.0816
1781456977.5086763,0.959,-0.5253,0.0816
1781456977.5150023,0.959,-0.5253,0.0816
1781456977.5204115,0.959,-0.5253,0.0816
1781456977.5258825,0.959,-0.5253,0.0816
1781456977.5312483,0.959,-0.5253,0.0816
1781456977.545572,0.959,-0.5253,0.0816
1781456977.5481153,0.959,-0.5253,0.0816
1781456977.5484586,0.959,-0.5253,0.0816
1781456977.5534575,0.959,-0.5253,0.0815
