Time,POSX,POSY,POSZ
1781456980.8354802,0.87,-0.47,0.32
1781456980.8392434,0.87,-0.47,0.26
1781456980.8430684,0.87,-0.49,0.21
1781456980.846765,0.85,-0.47,0.26
1781456980.850098,0.86,-0.48,0.22
1781456980.8538978,0.88,-0.48,0.19
1781456980.8574395,0.88,-0.48,0.17
1781456980.8614984,0.88,-0.5,0.15
1781456980.8648925,0.86,-0.48,0.22
1781456980.8668187,0.88,-0.48,0.19
1781456980.8880477,0.86,-0.46,0.26
1781456980.988111,0.86,-0.46,0.23
1781456981.0881586,0.87,-0.49,0.19
1781456981.1878603,0.88,-0.49,0.21
1781456981.2877843,0.89,-0.48,0.25
1781456981.3879285,0.9,-0.48,0.21
1781456981.48723,0.9,-0.48,0.21
1781456981.5873098,0.9,-0.48,0.25
1781456981.6872494,0.88,-0.47,0.28
1781456981.7870965,0.87,-0.47,0.33
1781456981.8978865,0.87,-0.48,0.26
1781456981.9881818,0.85,-0.45,0.26
1781456982.0869665,0.86,-0.46,0.28
1781456982.188191,0.87,-0.46,0.32
1781456982.2867353,0.89,-0.47,0.27
1781456982.3873181,0.88,-0.48,0.22
1781456982.487526,0.87,-0.48,0.25
1781456982.5874407,0.87,-0.49,0.28
1781456982.6883948,0.89,-0.5,0.23
1781456982.7923737,0.9,-0.5,0.2
1781456982.8877203,0.89,-0.49,0.25
1781456982.9925172,0.88,-0.49,0.2
1781456983.0873613,0.86,-0.46,0.26
1781456983.188259,0.85,-0.45,0.29
1781456983.2878454,0.86,-0.46,0.28
1781456983.388117,0.87,-0.47,0.23
1781456983.4882164,0.87,-0.48,0.19
1781456983.5871196,0.87,-0.48,0.22
1781456983.687369,0.86,-0.49,0.24
1781456983.7887018,0.87,-0.49,0.19
1781456983.8884695,0.86,-0.49,0.21
1781456983.9880269,0.86,-0.5,0.17
1781456984.102123,0.91,-0.51,0.17
1781456984.1874325,0.89,-0.5,0.2
1781456984.2879162,0.92,-0.51,0.21
1781456984.387666,0.9,-0.51,0.17
1781456984.4883182,0.9,-0.51,0.18
1781456984.588004,0.9,-0.51,0.16
1781456984.68856,0.89,-0.5,0.2
1781456984.7873197,0.85,-0.47,0.29
1781456984.887398,0.84,-0.46,0.3
1781456984.988248,0.86,-0.47,0.25
1781456985.0872443,0.86,-0.49,0.26
1781456985.1876454,0.84,-0.47,0.32
1781456985.287195,0.84,-0.46,0.33
1781456985.3873591,0.85,-0.47,0.33
1781456985.4918616,0.86,-0.47,0.27
1781456985.5867672,0.87,-0.47,0.3
1781456985.6875002,0.85,-0.46,0.35
1781456985.7906168,0.86,-0.46,0.34
1781456985.8867066,0.86,-0.46,0.34
1781456985.9877357,0.87,-0.48,0.28
1781456986.0866127,0.85,-0.47,0.31
1781456986.1871252,0.9,-0.49,0.29
1781456986.2871838,0.91,-0.5,0.24
1781456986.3902452,0.9,-0.5,0.3
1781456986.4866228,0.88,-0.51,0.24
1781456986.5873423,0.9,-0.5,0.21
1781456986.6871243,0.91,-0.51,0.19
1781456986.788316,0.91,-0.51,0.27
1781456986.8877072,0.91,-0.5,0.42
1781456986.9874444,0.95,-0.54,0.52
1781456987.087606,0.97,-0.52,0.56
1781456987.1865969,1.04,-0.56,0.64
1781456987.2874076,1.1,-0.59,0.72
1781456987.3873582,1.12,-0.58,0.73
1781456987.4877183,1.15,-0.58,0.75
1781456987.5898907,1.13,-0.55,0.84
1781456987.6875744,1.14,-0.53,0.85
1781456987.787651,1.19,-0.55,0.82
1781456987.887431,1.23,-0.54,0.79
1781456987.9870765,1.28,-0.55,0.78
1781456988.0869575,1.33,-0.57,0.73
1781456988.188084,1.39,-0.6,0.75
1781456988.2865777,1.42,-0.61,0.69
1781456988.3876202,1.47,-0.6,0.69
1781456988.4873703,1.5,-0.62,0.67
1781456988.5878057,1.49,-0.6,0.67
1781456988.686908,1.52,-0.6,0.66
1781456988.7869976,1.55,-0.61,0.67
1781456988.8867724,1.59,-0.63,0.66
1781456988.9873753,1.55,-0.59,0.62
1781456989.0873978,1.59,-0.63,0.6
1781456989.1866043,1.57,-0.63,0.53
1781456989.2869685,1.56,-0.64,0.55
1781456989.387662,1.55,-0.62,0.5
1781456989.4867408,1.52,-0.64,0.53
1781456989.5882607,1.52,-0.64,0.48
1781456989.6877263,1.55,-0.66,0.47
1781456989.7871907,1.53,-0.64,0.44
1781456989.8869555,1.5,-0.62,0.43
1781456989.9879255,1.48,-0.6,0.43
1781456990.088279,1.47,-0.61,0.41
1781456990.1879833,1.53,-0.67,0.44
1781456990.2875323,1.53,-0.68,0.51
1781456990.3874328,1.53,-0.66,0.49
1781456990.4877362,1.52,-0.65,0.44
1781456990.5875883,1.49,-0.63,0.44
1781456990.688068,1.53,-0.65,0.43
1781456990.7880704,1.51,-0.62,0.42
1781456990.8867722,1.53,-0.63,0.47
1781456990.9927046,1.51,-0.61,0.44
1781456991.0882545,1.56,-0.65,0.47
