Time,POSX,POSY,POSZ
1781452308.6408334,0.085,0.9839,0.0768
1781452308.6462224,0.085,0.9839,0.0767
1781452308.651979,0.085,0.9839,0.0767
1781452308.6579058,0.085,0.9839,0.0767
1781452308.6626048,0.085,0.9839,0.0767
1781452308.6684759,0.0851,0.9839,0.0768
1781452308.67377,0.085,0.9839,0.0767
1781452308.6788633,0.0851,0.9839,0.0768
1781452308.6851363,0.085,0.9839,0.0768
1781452308.691557,0.085,0.9839,0.0768
1781452308.696412,0.085,0.9839,0.0767
1781452308.701734,0.085,0.9839,0.0767
1781452308.7074275,0.085,0.9839,0.0767
1781452308.7128549,0.0851,0.9839,0.0768
1781452308.7182171,0.085,0.9839,0.0767
1781452308.723913,0.085,0.9839,0.0768
1781452308.7297394,0.085,0.9839,0.0768
1781452308.7364695,0.085,0.9839,0.0767
1781452308.7447922,0.085,0.9839,0.0767
1781452308.7715452,0.085,0.9839,0.0767
1781452308.7719207,0.085,0.9839,0.0767
1781452308.772244,0.085,0.9839,0.0767
1781452308.772536,0.085,0.9839,0.0767
1781452308.7728052,0.085,0.9839,0.0768
1781452308.7738125,0.0851,0.9839,0.0768
1781452308.7796915,0.0851,0.9839,0.0768
1781452308.7847028,0.085,0.9839,0.0767
1781452308.790296,0.085,0.9839,0.0767
1781452308.796113,0.085,0.9839,0.0768
1781452308.8014119,0.085,0.9839,0.0768
1781452308.806734,0.085,0.9839,0.0768
1781452308.8124878,0.0851,0.9839,0.0768
1781452308.8181374,0.085,0.9839,0.0767
1781452308.823489,0.085,0.9839,0.0769
1781452308.828797,0.085,0.9839,0.0768
1781452308.8348331,0.0851,0.9839,0.0768
1781452308.8399942,0.085,0.9839,0.0768
1781452308.846436,0.0851,0.9839,0.0768
1781452308.851314,0.0851,0.9839,0.0768
1781452308.8568318,0.085,0.9839,0.0767
1781452308.8623626,0.085,0.9839,0.0768
1781452308.86807,0.0851,0.9839,0.0768
1781452308.8734193,0.085,0.9839,0.0767
1781452308.8826792,0.085,0.9839,0.0767
1781452308.8878014,0.085,0.9839,0.0768
1781452308.8902102,0.0851,0.9839,0.0768
1781452308.8968291,0.085,0.9839,0.0767
1781452308.902254,0.085,0.9839,0.0769
1781452308.9074345,0.0851,0.9839,0.0768
1781452308.9122279,0.085,0.9839,0.0767
1781452308.9179277,0.085,0.9839,0.0767
1781452308.9238446,0.085,0.9839,0.0768
1781452308.9305327,0.085,0.9839,0.0768
1781452308.9346259,0.085,0.9839,0.0767
1781452308.9402463,0.085,0.9839,0.0768
1781452308.9452922,0.085,0.9839,0.0767
1781452308.9510925,0.0851,0.9839,0.0768
1781452308.9577515,0.0851,0.9839,0.0768
1781452308.97014,0.085,0.9839,0.0767
1781452308.9706252,0.085,0.9839,0.0767
1781452308.9736717,0.085,0.9839,0.0767
1781452308.9791164,0.085,0.9839,0.0767
1781452308.9845135,0.085,0.9839,0.0767
1781452308.9905334,0.085,0.9839,0.0768
1781452308.9961536,0.085,0.9839,0.0767
1781452309.0012426,0.0851,0.9839,0.0768
1781452309.0066278,0.085,0.9839,0.0768
1781452309.0125103,0.0851,0.9839,0.0768
1781452309.0239048,0.085,0.9839,0.0768
1781452309.0258517,0.0851,0.9839,0.0768
1781452309.0307407,0.085,0.9839,0.0767
1781452309.0351286,0.085,0.9839,0.0768
1781452309.0407393,0.085,0.9839,0.0767
1781452309.046017,0.0851,0.9839,0.0768
1781452309.0521054,0.085,0.9839,0.0768
1781452309.0574524,0.085,0.9839,0.0768
1781452309.0623713,0.0851,0.9839,0.0768
1781452309.0680842,0.085,0.9839,0.0768
1781452309.0730495,0.085,0.9839,0.0768
1781452309.0788174,0.085,0.9839,0.0768
1781452309.0845203,0.085,0.9839,0.0768
1781452309.0904486,0.085,0.9839,0.0767
1781452309.095853,0.085,0.9839,0.0768
1781452309.101137,0.085,0.9839,0.0768
1781452309.1064107,0.085,0.9839,0.0768
1781452309.1130874,0.085,0.9839,0.0768
1781452309.1181154,0.085,0.9839,0.0768
1781452309.123719,0.085,0.9839,0.0767
1781452309.1288414,0.085,0.9839,0.0768
1781452309.1349852,0.085,0.9839,0.0768
1781452309.1401844,0.085,0.9839,0.0769
1781452309.1459637,0.085,0.9839,0.0768
1781452309.1521242,0.085,0.9839,0.0767
1781452309.1594853,0.0851,0.9839,0.0768
1781452309.17137,0.085,0.9839,0.0768
1781452309.1718144,0.0851,0.9839,0.0768
1781452309.1738663,0.085,0.9839,0.0767
1781452309.179043,0.085,0.9839,0.0767
1781452309.1856964,0.085,0.9839,0.0767
1781452309.190074,0.0851,0.9839,0.0768
1781452309.195731,0.085,0.9839,0.0768
1781452309.2017586,0.085,0.9839,0.0767
1781452309.2073402,0.085,0.9839,0.0767
1781452309.212826,0.085,0.9839,0.0767
1781452309.2180228,0.085,0.9839,0.0767
1781452309.2235243,0.085,0.9839,0.0769
1781452309.2292328,0.085,0.9839,0.0768
1781452309.2350523,0.085,0.9839,0.0767
1781452309.2402909,0.085,0.9839,0.0767
1781452309.245821,0.085,0.9839,0.0768
1781452309.2512343,0.085,0.9839,0.0768
1781452309.2569108,0.0851,0.9839,0.0768
1781452309.2622695,0.0851,0.9839,0.0768
1781452309.2684622,0.085,0.9839,0.0767
1781452309.2737799,0.085,0.9839,0.0767
1781452309.2794333,0.0851,0.9839,0.0768
1781452309.2846713,0.0851,0.9839,0.0768
1781452309.2899702,0.085,0.9839,0.0767
1781452309.297841,0.085,0.9839,0.0767
1781452309.3066258,0.085,0.9839,0.0767
1781452309.3070996,0.085,0.9839,0.0767
1781452309.312876,0.085,0.9839,0.0768
1781452309.3182175,0.085,0.9839,0.0768
1781452309.3253067,0.085,0.9839,0.0768
1781452309.3293228,0.085,0.9839,0.0768
1781452309.3351736,0.0851,0.9839,0.0768
1781452309.3409786,0.0851,0.9839,0.0769
1781452309.345639,0.0851,0.9839,0.0769
1781452309.351232,0.085,0.9839,0.0768
1781452309.3570735,0.085,0.9839,0.0769
1781452309.3620431,0.085,0.9838,0.0768
1781452309.3718157,0.085,0.9837,0.0768
1781452309.3740785,0.085,0.9838,0.0768
1781452309.3794637,0.0849,0.9838,0.0767
1781452309.3848,0.085,0.9838,0.0768
1781452309.390008,0.085,0.9838,0.0768
1781452309.3959873,0.085,0.9838,0.0769
1781452309.401852,0.085,0.9838,0.0768
1781452309.407107,0.0849,0.9838,0.0767
1781452309.4120083,0.085,0.9838,0.0769
1781452309.417777,0.085,0.9838,0.0768
1781452309.4235318,0.085,0.9838,0.0769
1781452309.429024,0.085,0.9838,0.0768
1781452309.4346373,0.085,0.9838,0.0769
1781452309.44685,0.085,0.9838,0.0768
1781452309.4472857,0.0849,0.9838,0.0768
1781452309.4518428,0.085,0.9838,0.0769
1781452309.4577587,0.0849,0.9838,0.0768
1781452309.4738345,0.085,0.9838,0.0769
1781452309.4742434,0.0849,0.9838,0.0767
1781452309.4745455,0.085,0.9838,0.0768
1781452309.4786665,0.0849,0.9838,0.0768
1781452309.485028,0.0849,0.9838,0.0768
1781452309.4902413,0.0849,0.9838,0.0768
1781452309.4953275,0.085,0.9838,0.0768
1781452309.5011146,0.085,0.9838,0.0768
1781452309.5065575,0.085,0.9838,0.0768
1781452309.5128546,0.0849,0.9838,0.0768
1781452309.517796,0.085,0.9838,0.0769
1781452309.5235393,0.085,0.9837,0.0768
1781452309.529669,0.085,0.9839,0.0767
1781452309.5346093,0.085,0.9839,0.0768
1781452309.5398035,0.085,0.9839,0.0768
1781452309.5463269,0.085,0.9839,0.0768
1781452309.5515637,0.085,0.9839,0.0768
1781452309.5569923,0.0851,0.9839,0.0769
1781452309.5623462,0.085,0.9839,0.0768
1781452309.5684488,0.085,0.9839,0.0768
1781452309.5855272,0.085,0.9839,0.0768
1781452309.5859969,0.085,0.9838,0.0768
1781452309.5869982,0.0851,0.9839,0.0769
1781452309.5909784,0.0851,0.9839,0.0768
1781452309.5955315,0.085,0.9839,0.0769
1781452309.6033776,0.085,0.9839,0.0768
1781452309.6070867,0.085,0.9839,0.0768
1781452309.612723,0.085,0.9839,0.0768
1781452309.6186388,0.0851,0.9839,0.0768
1781452309.6233578,0.085,0.9839,0.0768
