Time,POSX,POSY,POSZ
1781453257.5101442,0.2196,0.6849,0.0783
1781453257.5165339,0.2197,0.6849,0.0783
1781453257.5211313,0.2197,0.685,0.0783
1781453257.5265849,0.2196,0.6849,0.0783
1781453257.5320163,0.2196,0.6849,0.0783
1781453257.5380216,0.2196,0.685,0.0783
1781453257.5432727,0.2197,0.6849,0.0783
1781453257.549529,0.2197,0.6849,0.0783
1781453257.5543084,0.2196,0.6849,0.0783
1781453257.5598195,0.2197,0.685,0.0783
1781453257.5656807,0.2198,0.685,0.0783
1781453257.5715137,0.2197,0.685,0.0783
1781453257.5767741,0.2197,0.6849,0.0783
1781453257.582057,0.2197,0.685,0.0783
1781453257.587849,0.2197,0.685,0.0783
1781453257.6012528,0.2196,0.6849,0.0783
1781453257.6034245,0.2197,0.6849,0.0783
1781453257.60547,0.2197,0.685,0.0783
1781453257.6098852,0.2196,0.6849,0.0783
1781453257.61544,0.2197,0.685,0.0783
1781453257.6360438,0.2198,0.685,0.0783
1781453257.6363852,0.2197,0.685,0.0784
1781453257.6366906,0.2196,0.6849,0.0783
1781453257.6379979,0.2197,0.685,0.0782
1781453257.6437356,0.2196,0.6849,0.0783
1781453257.64857,0.2196,0.6849,0.0783
1781453257.6541696,0.2197,0.685,0.0783
1781453257.6597795,0.2197,0.6849,0.0783
1781453257.6659534,0.2197,0.6849,0.0783
1781453257.671849,0.2196,0.6849,0.0783
1781453257.6767194,0.2197,0.6849,0.0782
1781453257.6817687,0.2197,0.685,0.0783
1781453257.6874564,0.2196,0.6849,0.0783
1781453257.6930466,0.2197,0.6849,0.0783
1781453257.6986675,0.2197,0.685,0.0783
1781453257.7038062,0.2197,0.6849,0.0783
1781453257.7096794,0.2197,0.685,0.0783
1781453257.7150445,0.2197,0.6849,0.0783
1781453257.7200842,0.2197,0.6849,0.0783
1781453257.7261066,0.2197,0.6849,0.0783
1781453257.7320209,0.2197,0.685,0.0783
1781453257.7375562,0.2197,0.685,0.0783
1781453257.743912,0.2197,0.685,0.0783
1781453257.7530186,0.2196,0.6849,0.0783
1781453257.7580454,0.2197,0.685,0.0783
1781453257.760166,0.2197,0.685,0.0783
1781453257.7655103,0.2196,0.6849,0.0783
1781453257.7706587,0.2197,0.6849,0.0783
1781453257.7786431,0.2196,0.6849,0.0783
1781453257.7816837,0.2197,0.6849,0.0783
1781453257.7873273,0.2197,0.6849,0.0783
1781453257.7935288,0.2197,0.685,0.0783
1781453257.798378,0.2197,0.6849,0.0783
1781453257.8046954,0.2197,0.6849,0.0783
1781453257.810144,0.2197,0.685,0.0783
1781453257.814825,0.2197,0.685,0.0783
1781453257.8203206,0.2197,0.685,0.0783
1781453257.8267398,0.2197,0.6849,0.0783
1781453257.8318014,0.2197,0.685,0.0783
1781453257.8373945,0.2196,0.6849,0.0783
1781453257.8428662,0.2197,0.685,0.0783
1781453257.848363,0.2197,0.685,0.0783
1781453257.853369,0.2197,0.685,0.0783
