Time,POSX,POSY,POSZ
1781453261.0777252,0.18,0.82,0.57
1781453261.0821588,0.19,0.86,0.76
1781453261.0857294,0.17,0.83,0.65
1781453261.0882912,0.18,0.82,0.64
1781453261.0905802,0.18,0.87,0.81
1781453261.0938103,0.19,0.84,0.69
1781453261.0968733,0.19,0.8,0.58
1781453261.0994217,0.19,0.79,0.59
1781453261.1014867,0.19,0.79,0.49
1781453261.104985,0.19,0.84,0.69
1781453261.1810179,0.2,0.81,0.67
1781453261.2797556,0.2,0.78,0.55
1781453261.379311,0.21,0.76,0.49
1781453261.4908864,0.22,0.82,0.63
1781453261.5789285,0.23,0.86,0.75
1781453261.6791964,0.22,0.83,0.7
1781453261.7826912,0.21,0.81,0.58
1781453261.879555,0.21,0.78,0.61
1781453261.9790168,0.22,0.83,0.73
1781453262.0797741,0.21,0.87,0.87
1781453262.178934,0.22,0.85,0.7
1781453262.2789724,0.2,0.84,0.61
1781453262.379159,0.19,0.8,0.6
1781453262.478991,0.19,0.79,0.52
1781453262.5792172,0.21,0.83,0.68
1781453262.6884665,0.2,0.85,0.79
1781453262.7789073,0.2,0.84,0.75
1781453262.879876,0.19,0.87,0.88
1781453262.9898098,0.2,0.85,0.78
1781453263.0790138,0.2,0.84,0.73
1781453263.1794026,0.2,0.87,0.85
1781453263.2863193,0.18,0.83,0.72
1781453263.3797865,0.2,0.8,0.62
1781453263.4794693,0.21,0.85,0.77
1781453263.5794804,0.21,0.89,0.92
1781453263.6790633,0.21,0.86,0.83
1781453263.7794344,0.21,0.84,0.77
1781453263.8788247,0.2,0.83,0.76
1781453263.9792256,0.2,0.83,0.75
1781453264.0799775,0.19,0.86,0.88
1781453264.1793542,0.18,0.9,0.98
1781453264.2798774,0.18,0.84,0.8
1781453264.3798363,0.19,0.8,0.74
1781453264.4792407,0.19,0.79,0.73
1781453264.5789874,0.2,0.84,0.89
1781453264.680623,0.2,0.83,0.83
1781453264.779121,0.2,0.82,0.72
1781453264.8786032,0.19,0.86,0.87
1781453264.979281,0.18,0.83,0.73
1781453265.0796976,0.19,0.82,0.69
1781453265.1791575,0.19,0.83,0.6
1781453265.2785935,0.2,0.82,0.57
1781453265.3789372,0.19,0.78,0.49
1781453265.4785793,0.21,0.84,0.67
1781453265.5794752,0.21,0.82,0.65
1781453265.6793954,0.21,0.81,0.6
1781453265.7789834,0.21,0.87,0.75
1781453265.880107,0.21,0.9,0.88
1781453265.9791913,0.19,0.91,1.01
1781453266.0800486,0.2,0.93,1.05
1781453266.1791263,0.19,0.88,0.88
1781453266.2798994,0.2,0.85,0.77
1781453266.3798647,0.2,0.86,0.85
1781453266.4883888,0.18,0.85,0.7
1781453266.58025,0.19,0.88,0.86
1781453266.6800585,0.19,0.86,0.82
1781453266.786361,0.18,0.87,0.88
1781453266.8786576,0.18,0.91,1.0
1781453266.979527,0.18,0.93,1.06
1781453267.0834544,0.19,0.9,0.95
1781453267.1792037,0.2,0.88,0.88
1781453267.2794895,0.2,0.85,0.72
1781453267.3821764,0.2,0.82,0.68
1781453267.4787931,0.2,0.84,0.78
