Time,POSX,POSY,POSZ
1781452129.800588,1.17,-0.67,0.31
1781452129.805173,1.16,-0.66,0.33
1781452129.809628,1.18,-0.65,0.32
1781452129.8152406,1.18,-0.65,0.31
1781452129.8212283,1.19,-0.69,0.29
1781452129.8251548,1.2,-0.68,0.3
1781452129.829343,1.21,-0.66,0.31
1781452129.8325732,1.2,-0.65,0.32
1781452129.8370097,1.18,-0.65,0.32
1781452129.8413029,1.18,-0.67,0.37
1781452129.877074,1.18,-0.67,0.44
1781452129.9784615,1.2,-0.68,0.38
1781452130.076924,1.19,-0.69,0.34
1781452130.1828487,1.18,-0.69,0.39
1781452130.278988,1.18,-0.69,0.36
1781452130.3770816,1.18,-0.69,0.42
1781452130.478268,1.19,-0.68,0.4
1781452130.5769503,1.18,-0.69,0.37
1781452130.6774528,1.18,-0.67,0.34
1781452130.7776833,1.19,-0.66,0.31
1781452130.877055,1.18,-0.67,0.32
1781452130.9771428,1.18,-0.66,0.31
1781452131.0884295,1.18,-0.68,0.31
1781452131.1766896,1.18,-0.68,0.27
1781452131.2766557,1.18,-0.68,0.28
1781452131.385151,1.18,-0.67,0.29
1781452131.477656,1.19,-0.66,0.3
1781452131.5773258,1.2,-0.68,0.38
1781452131.6812224,1.17,-0.7,0.43
1781452131.776715,1.16,-0.7,0.48
1781452131.8775067,1.17,-0.67,0.45
1781452131.980652,1.19,-0.69,0.48
1781452132.077725,1.18,-0.69,0.42
1781452132.1776295,1.19,-0.67,0.4
1781452132.2780964,1.19,-0.67,0.37
1781452132.3782752,1.16,-0.65,0.39
1781452132.4778752,1.16,-0.64,0.39
1781452132.576693,1.17,-0.65,0.34
1781452132.6799796,1.2,-0.66,0.38
1781452132.7770276,1.2,-0.66,0.36
1781452132.8765037,1.19,-0.66,0.33
1781452132.9786632,1.18,-0.67,0.31
1781452133.0766518,1.17,-0.66,0.33
1781452133.1781127,1.2,-0.69,0.41
1781452133.276779,1.23,-0.7,0.46
1781452133.3768733,1.21,-0.69,0.58
1781452133.4780827,1.22,-0.71,0.67
1781452133.5790315,1.17,-0.69,0.79
1781452133.6770713,1.12,-0.69,0.89
1781452133.7768478,1.09,-0.67,0.97
1781452133.878741,1.06,-0.64,1.03
1781452133.9769542,1.06,-0.64,1.02
1781452134.0773633,1.04,-0.64,1.03
1781452134.1783435,1.01,-0.63,1.05
1781452134.2769697,0.99,-0.66,1.08
1781452134.378092,1.05,-0.74,0.99
1781452134.4780138,1.07,-0.8,0.9
1781452134.577989,1.11,-0.86,0.83
1781452134.6781633,1.17,-0.92,0.78
1781452134.7766368,1.21,-0.93,0.74
1781452134.8781435,1.18,-0.87,0.76
1781452134.9778435,1.14,-0.81,0.83
1781452135.0779622,1.12,-0.77,0.87
1781452135.1875808,1.12,-0.74,0.92
1781452135.2769103,1.14,-0.75,0.89
1781452135.3782296,1.12,-0.72,0.95
1781452135.4823222,1.11,-0.73,0.99
1781452135.576582,1.17,-0.75,0.96
1781452135.6765044,1.17,-0.75,0.94
1781452135.7766247,1.15,-0.71,0.99
1781452135.87686,1.12,-0.71,1.06
1781452135.9773114,1.14,-0.71,0.93
1781452136.0778944,1.13,-0.72,0.95
1781452136.176489,1.17,-0.77,0.88
1781452136.2777636,1.14,-0.73,0.94
1781452136.3780153,1.11,-0.71,0.98
1781452136.4775379,1.17,-0.74,0.92
1781452136.5784352,1.14,-0.75,0.93
1781452136.6765618,1.1,-0.73,0.96
1781452136.7780867,1.08,-0.73,0.94
1781452136.8782108,1.12,-0.74,0.88
1781452136.978298,1.09,-0.7,0.94
1781452137.077024,1.06,-0.67,1.0
1781452137.17677,1.02,-0.66,1.0
1781452137.2775173,1.0,-0.65,1.05
1781452137.3767807,0.98,-0.63,1.09
1781452137.4770892,0.96,-0.61,1.07
1781452137.5766504,0.9,-0.64,1.12
1781452137.6772132,0.87,-0.62,1.09
1781452137.7781215,0.84,-0.62,1.1
1781452137.8765597,0.82,-0.62,1.09
1781452137.9773932,0.82,-0.58,1.12
1781452138.0779579,0.79,-0.54,1.2
1781452138.178311,0.77,-0.49,1.25
1781452138.2767296,0.76,-0.43,1.24
1781452138.3768485,0.72,-0.37,1.23
1781452138.4770072,0.67,-0.31,1.22
1781452138.5779443,0.62,-0.22,1.16
1781452138.6767354,0.52,-0.16,1.15
1781452138.7767363,0.51,-0.06,1.17
1781452138.8767338,0.45,0.04,1.14
1781452138.9790096,0.47,0.19,1.03
1781452139.0779853,0.53,0.29,1.1
1781452139.177719,0.61,0.4,1.02
1781452139.2766402,0.68,0.46,0.96
1781452139.3774767,0.76,0.5,0.92
1781452139.4771895,0.87,0.55,0.86
1781452139.5771425,0.95,0.55,0.9
1781452139.6770906,1.06,0.54,0.85
1781452139.7779791,1.12,0.47,0.91
1781452139.879168,1.22,0.41,0.84
1781452139.978098,1.28,0.33,0.81
1781452140.076673,1.28,0.18,0.8
1781452140.191418,1.28,0.04,0.84
1781452140.2773354,1.28,-0.07,0.84
1781452140.3767314,1.23,-0.17,0.86
1781452140.4777741,1.15,-0.24,0.87
1781452140.5768454,1.03,-0.28,0.91
1781452140.678547,0.98,-0.35,0.89
1781452140.7765236,0.91,-0.42,0.94
1781452140.878787,0.84,-0.48,0.97
1781452140.9769118,0.75,-0.51,0.98
1781452141.076933,0.72,-0.47,0.84
1781452141.1784177,0.68,-0.43,0.74
1781452141.2770443,0.6,-0.41,0.84
1781452141.377823,0.49,-0.39,0.94
1781452141.4777014,0.4,-0.37,1.01
1781452141.5779927,0.37,-0.36,1.07
1781452141.6870413,0.31,-0.32,1.08
1781452141.776522,0.26,-0.25,0.94
1781452141.8772073,0.14,-0.19,0.84
1781452141.9782925,0.05,-0.12,0.73
1781452142.078346,0.0,-0.06,0.65
1781452142.1766934,-0.04,-0.03,0.68
1781452142.2820976,-0.07,0.04,0.64
1781452142.3769965,-0.13,0.07,0.8
1781452142.4769833,-0.12,0.15,0.78
1781452142.5794199,-0.09,0.23,0.8
1781452142.677529,-0.07,0.31,0.85
1781452142.779044,0.02,0.41,0.92
1781452142.8801029,0.12,0.48,0.99
1781452142.9774528,0.2,0.58,0.9
1781452143.0765963,0.34,0.65,0.85
1781452143.1777215,0.49,0.67,0.9
1781452143.2768652,0.61,0.67,0.84
1781452143.3779922,0.73,0.61,0.87
1781452143.480603,0.83,0.54,0.85
1781452143.5785766,0.91,0.45,0.89
1781452143.6770933,1.05,0.39,0.84
1781452143.7779086,1.1,0.27,0.82
1781452143.8773856,1.16,0.16,0.8
1781452143.9898746,1.2,0.09,0.89
1781452144.0771701,1.26,0.04,0.81
1781452144.1768467,1.25,-0.04,0.82
1781452144.2769856,1.25,-0.09,0.76
1781452144.378083,1.17,-0.14,0.87
1781452144.4775214,1.09,-0.19,0.74
1781452144.5769458,1.01,-0.21,0.62
1781452144.6780627,0.95,-0.28,0.69
1781452144.77663,0.88,-0.34,0.79
1781452144.8779397,0.81,-0.38,0.86
1781452144.9768274,0.78,-0.44,0.89
1781452145.0765748,0.72,-0.47,0.94
1781452145.1783993,0.7,-0.49,0.95
1781452145.2769065,0.62,-0.52,1.01
1781452145.3819654,0.59,-0.53,1.05
1781452145.476528,0.56,-0.51,1.04
1781452145.5767746,0.51,-0.5,1.11
1781452145.6787472,0.49,-0.46,1.07
1781452145.7765017,0.42,-0.42,1.08
1781452145.8766143,0.4,-0.39,1.13
1781452145.986188,0.34,-0.37,1.17
1781452146.0771904,0.29,-0.31,1.17
1781452146.1778615,0.26,-0.26,1.17
1781452146.2807431,0.17,-0.17,1.03
1781452146.376863,0.13,-0.11,1.05
1781452146.477937,0.07,0.01,0.9
1781452146.5818903,0.03,0.1,0.83
1781452146.6765444,0.02,0.18,0.82
1781452146.776468,0.01,0.29,0.75
1781452146.8797054,-0.01,0.4,0.7
1781452146.9765468,0.06,0.45,0.79
1781452147.0778773,0.15,0.51,0.87
1781452147.1798377,0.2,0.58,0.94
1781452147.2779872,0.24,0.66,0.9
1781452147.3775952,0.34,0.72,0.77
1781452147.4778001,0.47,0.73,0.82
1781452147.5768034,0.62,0.73,0.85
1781452147.6776335,0.74,0.66,0.89
1781452147.7791178,0.91,0.64,0.87
1781452147.8769,1.06,0.59,0.88
1781452147.9767952,1.19,0.51,0.86
1781452148.0780702,1.28,0.43,0.82
1781452148.177211,1.31,0.29,0.87
1781452148.2772353,1.34,0.18,0.87
1781452148.3818996,1.36,0.06,0.96
1781452148.4769235,1.39,-0.02,0.86
1781452148.5766551,1.34,-0.12,0.9
1781452148.678709,1.27,-0.2,0.98
1781452148.7786903,1.18,-0.26,0.97
1781452148.877137,1.06,-0.31,0.99
1781452148.9766636,1.03,-0.4,1.0
1781452149.0765712,0.94,-0.46,1.01
1781452149.1772087,0.86,-0.5,1.02
1781452149.2798934,0.8,-0.53,0.97
1781452149.3777058,0.73,-0.54,0.86
1781452149.4779322,0.59,-0.53,0.94
1781452149.5768716,0.44,-0.5,1.0
1781452149.6768062,0.36,-0.38,0.82
1781452149.7790158,0.28,-0.28,0.75
1781452149.8777058,0.24,-0.16,0.69
1781452149.9776478,0.08,-0.04,0.67
1781452150.0781784,0.02,0.04,0.81
1781452150.178204,0.01,0.14,0.88
1781452150.2769945,0.02,0.24,0.94
1781452150.3961153,0.04,0.34,1.0
1781452150.4779372,0.02,0.47,0.97
1781452150.5772347,0.08,0.56,1.03
1781452150.6774006,0.14,0.63,1.15
1781452150.7775073,0.17,0.69,1.24
1781452150.8827927,0.2,0.76,1.3
1781452150.9772127,0.29,0.8,1.32
1781452151.0770576,0.38,0.85,1.25
1781452151.1871738,0.47,0.88,1.14
1781452151.2777925,0.52,0.89,1.09
1781452151.3765128,0.62,0.89,0.99
1781452151.4770205,0.72,0.87,1.01
1781452151.5776844,0.78,0.82,0.94
1781452151.67744,0.87,0.77,0.87
1781452151.777988,0.99,0.77,0.85
1781452151.8771486,1.11,0.72,0.82
1781452151.9784951,1.21,0.68,0.8
1781452152.0776293,1.26,0.61,0.76
1781452152.1771467,1.27,0.52,0.87
1781452152.2795072,1.28,0.42,0.94
1781452152.3769145,1.33,0.36,0.87
1781452152.477554,1.38,0.29,0.81
1781452152.577153,1.36,0.19,0.81
1781452152.6773517,1.39,0.09,0.84
1781452152.7778318,1.35,-0.02,0.95
1781452152.8855674,1.36,-0.1,0.83
1781452152.9785953,1.29,-0.2,0.85
1781452153.0779958,1.15,-0.29,0.9
1781452153.1775432,0.99,-0.34,0.91
1781452153.2768364,0.88,-0.45,0.93
1781452153.3766208,0.8,-0.52,0.92
1781452153.4765627,0.69,-0.52,0.92
1781452153.5767212,0.64,-0.5,0.87
1781452153.678407,0.55,-0.47,0.96
1781452153.7892444,0.47,-0.42,1.01
1781452153.8779397,0.37,-0.38,1.04
1781452153.9778364,0.33,-0.26,0.9
1781452154.077209,0.3,-0.17,0.97
1781452154.176577,0.27,-0.08,1.0
1781452154.2780967,0.24,0.05,0.87
1781452154.377309,0.21,0.19,0.77
1781452154.4765277,0.17,0.28,0.88
1781452154.578086,0.19,0.35,1.03
1781452154.6876488,0.21,0.47,0.97
1781452154.776474,0.27,0.54,1.03
1781452154.8766987,0.38,0.61,1.03
1781452154.9781296,0.47,0.67,0.93
1781452155.0772367,0.6,0.65,1.01
1781452155.1786718,0.67,0.69,0.95
1781452155.276562,0.78,0.7,0.96
1781452155.3766406,0.91,0.63,1.03
1781452155.477571,1.03,0.59,0.94
1781452155.5836356,1.04,0.46,0.9
1781452155.6778429,1.09,0.34,0.86
1781452155.776729,1.17,0.25,0.79
1781452155.8868136,1.22,0.14,0.73
1781452155.9767125,1.22,0.03,0.67
1781452156.077591,1.17,-0.1,0.7
1781452156.1833956,1.1,-0.19,0.55
1781452156.2779028,0.94,-0.25,0.58
1781452156.3767033,0.86,-0.34,0.67
1781452156.476887,0.8,-0.39,0.62
1781452156.578073,0.72,-0.45,0.73
1781452156.676837,0.63,-0.47,0.85
1781452156.7778275,0.54,-0.45,0.94
1781452156.877282,0.42,-0.41,0.99
1781452156.9769726,0.35,-0.32,0.81
1781452157.0901117,0.31,-0.22,0.73
1781452157.1765654,0.25,-0.14,0.7
1781452157.2772374,0.16,-0.07,0.71
1781452157.3866808,0.1,0.01,0.76
1781452157.4783275,0.05,0.1,0.78
1781452157.578077,0.01,0.18,0.92
1781452157.6767273,0.0,0.27,0.95
1781452157.7801445,0.0,0.4,0.87
1781452157.899941,0.04,0.51,0.81
1781452157.9901733,0.12,0.62,0.75
1781452158.0801349,0.19,0.69,0.73
1781452158.1787221,0.29,0.7,0.88
1781452158.2782767,0.45,0.7,0.99
1781452158.3775296,0.58,0.72,0.99
1781452158.4775877,0.69,0.7,0.91
1781452158.5785723,0.81,0.71,0.96
1781452158.6774564,0.96,0.7,0.91
1781452158.7817826,1.09,0.65,0.91
1781452158.876467,1.17,0.58,0.91
1781452158.976459,1.26,0.49,0.94
1781452159.0767574,1.32,0.38,0.94
1781452159.177597,1.35,0.25,0.95
1781452159.2781794,1.37,0.16,0.95
1781452159.377092,1.42,0.08,0.89
1781452159.4782448,1.38,-0.04,0.9
1781452159.5769174,1.37,-0.13,0.92
1781452159.677865,1.31,-0.19,1.0
1781452159.7773888,1.26,-0.22,0.98
1781452159.880863,1.2,-0.25,0.96
1781452159.9782152,1.16,-0.26,0.82
1781452160.0767853,1.16,-0.32,0.87
1781452160.1771429,1.1,-0.36,0.93
1781452160.2766871,1.04,-0.4,0.95
1781452160.3805263,0.91,-0.47,1.02
1781452160.4769034,0.79,-0.48,1.06
1781452160.578246,0.74,-0.47,1.16
1781452160.6780293,0.63,-0.45,1.22
1781452160.7771652,0.49,-0.46,1.22
1781452160.877089,0.41,-0.42,1.25
1781452160.98541,0.37,-0.36,1.2
1781452161.0781806,0.26,-0.32,1.19
1781452161.176904,0.22,-0.24,1.15
1781452161.2782962,0.1,-0.1,1.0
1781452161.3781383,0.08,-0.02,1.05
1781452161.477984,0.06,0.1,0.99
1781452161.5769448,0.06,0.21,1.05
1781452161.6768987,0.06,0.33,0.98
1781452161.7779129,0.05,0.49,0.9
1781452161.876607,0.08,0.58,0.92
1781452161.976892,0.13,0.66,0.99
1781452162.077754,0.17,0.78,0.91
1781452162.1770792,0.23,0.79,1.06
1781452162.2770314,0.4,0.73,1.18
1781452162.3766518,0.47,0.79,1.11
1781452162.4780529,0.59,0.81,1.07
1781452162.577293,0.71,0.79,1.07
1781452162.6851861,0.84,0.78,0.99
1781452162.7774227,0.94,0.73,1.0
1781452162.876562,1.05,0.7,0.93
1781452162.9777412,1.12,0.63,1.0
1781452163.0780888,1.19,0.6,0.96
1781452163.1770322,1.2,0.5,0.97
1781452163.2767055,1.29,0.39,0.78
1781452163.3771782,1.24,0.28,0.82
1781452163.4768226,1.28,0.21,0.84
1781452163.577286,1.28,0.12,0.82
1781452163.6774771,1.3,0.02,0.82
1781452163.7774465,1.35,-0.03,0.76
1781452163.8770628,1.34,-0.1,0.73
1781452163.9767833,1.29,-0.19,0.76
1781452164.0767674,1.23,-0.3,0.81
1781452164.1769187,1.08,-0.34,0.85
1781452164.2770734,1.02,-0.44,0.86
1781452164.3781197,0.94,-0.48,0.75
1781452164.4765697,0.85,-0.53,0.76
1781452164.5773807,0.81,-0.5,0.67
1781452164.6785457,0.77,-0.45,0.62
1781452164.7777634,0.67,-0.45,0.76
1781452164.877984,0.53,-0.46,0.87
1781452164.9773765,0.41,-0.43,0.94
1781452165.0771282,0.38,-0.36,1.0
1781452165.1777458,0.32,-0.3,1.02
1781452165.2769735,0.32,-0.21,1.09
1781452165.3768942,0.34,-0.08,0.99
1781452165.4766796,0.39,0.06,0.86
1781452165.5786333,0.37,0.17,0.86
1781452165.6766412,0.38,0.26,1.0
1781452165.7768204,0.41,0.34,1.1
1781452165.8765862,0.48,0.47,1.07
1781452165.9769328,0.54,0.57,1.01
1781452166.0768342,0.67,0.59,1.03
1781452166.1800144,0.76,0.63,0.94
1781452166.2780292,0.86,0.6,1.01
1781452166.3779318,0.96,0.58,1.01
1781452166.4770136,1.02,0.54,0.97
1781452166.5770662,1.05,0.42,0.95
1781452166.6767995,1.13,0.34,0.86
1781452166.776676,1.17,0.2,0.92
1781452166.878041,1.21,0.11,0.83
1781452166.9772155,1.17,-0.04,0.88
1781452167.0772266,1.11,-0.13,0.83
1781452167.1782246,1.0,-0.22,0.75
1781452167.2805557,0.9,-0.32,0.82
1781452167.3782527,0.76,-0.41,0.89
1781452167.4775853,0.67,-0.39,0.79
1781452167.5795898,0.57,-0.41,0.91
1781452167.677225,0.49,-0.34,0.78
1781452167.778027,0.41,-0.27,0.66
1781452167.8769932,0.35,-0.22,0.77
1781452167.9774475,0.27,-0.15,0.89
1781452168.0767343,0.19,-0.03,0.86
1781452168.1764486,0.09,0.07,0.96
1781452168.2768188,0.06,0.23,0.85
1781452168.378176,0.0,0.31,0.93
1781452168.4781697,0.01,0.45,0.88
1781452168.5780342,0.04,0.58,0.86
1781452168.6769059,0.13,0.64,1.04
1781452168.7770607,0.22,0.75,0.92
1781452168.8779452,0.34,0.75,1.03
1781452168.9771254,0.52,0.76,1.05
1781452169.0766416,0.65,0.78,1.01
1781452169.1780195,0.79,0.78,1.01
1781452169.2772152,0.89,0.72,0.95
1781452169.3774638,1.01,0.66,0.96
1781452169.478273,1.11,0.59,0.98
1781452169.5779183,1.23,0.54,0.91
1781452169.6774056,1.26,0.4,0.9
1781452169.778018,1.31,0.27,0.91
1781452169.8784559,1.31,0.12,0.87
1781452169.9779227,1.37,0.02,0.8
1781452170.0780668,1.4,-0.07,0.74
1781452170.1801558,1.34,-0.17,0.86
1781452170.277383,1.31,-0.26,0.81
1781452170.3766832,1.25,-0.33,0.8
1781452170.476674,1.24,-0.41,0.81
1781452170.5784628,1.16,-0.45,0.86
1781452170.6773946,1.08,-0.47,0.91
1781452170.7808225,1.01,-0.49,0.88
1781452170.8786757,0.95,-0.47,0.77
1781452170.9766474,0.82,-0.54,0.89
1781452171.0780802,0.69,-0.56,0.98
1781452171.17763,0.64,-0.51,1.05
1781452171.2778916,0.47,-0.54,1.11
1781452171.377377,0.4,-0.47,1.14
1781452171.478046,0.31,-0.38,1.14
1781452171.5787706,0.27,-0.23,0.99
1781452171.6778235,0.18,-0.16,1.11
1781452171.7766137,0.08,-0.01,0.98
1781452171.8772354,0.02,0.1,0.98
1781452171.9773386,0.01,0.19,1.01
1781452172.0765872,0.02,0.28,1.01
1781452172.1838994,0.0,0.4,0.99
1781452172.2777388,0.05,0.47,1.04
1781452172.3772209,0.1,0.55,1.15
1781452172.477437,0.18,0.63,1.17
1781452172.5765953,0.18,0.72,1.08
1781452172.67775,0.23,0.82,0.96
1781452172.7770717,0.26,0.91,0.87
1781452172.8774998,0.37,0.89,0.89
1781452172.9770002,0.49,0.88,0.94
1781452173.07977,0.6,0.89,0.92
1781452173.1780422,0.7,0.85,1.03
1781452173.277929,0.81,0.86,0.99
1781452173.3770254,0.85,0.79,0.91
1781452173.4770298,0.92,0.72,0.91
1781452173.5776327,1.02,0.69,0.88
1781452173.676971,1.13,0.64,0.83
1781452173.7777524,1.19,0.57,0.84
1781452173.877569,1.27,0.5,0.8
1781452173.976686,1.27,0.36,0.89
1781452174.0888789,1.28,0.27,0.89
1781452174.1766934,1.29,0.16,0.86
1781452174.2779007,1.33,0.1,0.79
1781452174.3785446,1.32,0.02,0.83
1781452174.4773815,1.33,-0.04,0.75
1781452174.5781033,1.32,-0.16,0.81
1781452174.6779208,1.25,-0.24,0.83
1781452174.7785118,1.16,-0.32,0.87
1781452174.8809433,1.02,-0.34,0.84
1781452174.9768517,0.97,-0.43,0.85
1781452175.0765898,0.85,-0.47,0.89
1781452175.1773283,0.76,-0.51,0.88
1781452175.2773948,0.67,-0.53,0.93
1781452175.3779364,0.53,-0.55,1.0
1781452175.4777725,0.46,-0.48,0.99
1781452175.5771816,0.36,-0.43,1.02
1781452175.6790614,0.25,-0.37,1.01
1781452175.7772388,0.08,-0.3,0.93
1781452175.877756,-0.06,-0.25,0.9
1781452175.9797838,-0.16,-0.17,0.88
1781452176.0770164,-0.26,-0.13,0.86
1781452176.1775427,-0.36,-0.11,0.85
1781452176.2874076,-0.44,-0.09,0.82
1781452176.3768482,-0.53,-0.06,0.85
1781452176.478464,-0.61,-0.04,0.88
1781452176.5772192,-0.66,-0.04,0.87
1781452176.6784103,-0.68,-0.06,0.89
1781452176.7769744,-0.73,-0.04,0.88
1781452176.8781106,-0.81,-0.02,0.83
1781452176.9769704,-0.84,-0.03,0.88
1781452177.0769582,-0.88,-0.04,0.88
1781452177.1782122,-0.91,-0.04,0.89
1781452177.276972,-0.94,-0.04,0.93
1781452177.384161,-0.97,-0.06,0.92
1781452177.4771118,-0.98,-0.06,0.94
1781452177.5769012,-0.98,-0.05,0.93
1781452177.678514,-0.95,-0.09,0.88
1781452177.7782383,-0.93,-0.11,0.85
1781452177.8767831,-0.95,-0.11,0.86
1781452177.9777846,-0.91,-0.13,0.85
1781452178.077013,-0.84,-0.15,0.84
1781452178.1776602,-0.81,-0.1,0.88
1781452178.279054,-0.8,-0.06,0.91
1781452178.3777988,-0.77,0.0,0.94
1781452178.477958,-0.78,0.08,0.97
1781452178.576965,-0.78,0.16,0.96
1781452178.678222,-0.76,0.22,0.96
1781452178.7846277,-0.77,0.29,0.89
1781452178.877933,-0.74,0.34,0.9
1781452178.9771986,-0.73,0.39,0.91
1781452179.078037,-0.71,0.42,0.95
1781452179.1769361,-0.65,0.4,0.89
1781452179.2775557,-0.64,0.41,0.94
1781452179.3783364,-0.59,0.4,0.9
