Time,POSX,POSY,POSZ
1781453986.7615452,0.5665,0.9282,0.077
1781453986.7669272,0.5665,0.9281,0.077
1781453986.7719755,0.5665,0.9282,0.077
1781453986.7778368,0.5664,0.9281,0.077
1781453986.7831233,0.5665,0.9282,0.0771
1781453986.7889123,0.5665,0.9282,0.0771
1781453986.79381,0.5664,0.9281,0.077
1781453986.7993593,0.5665,0.9281,0.077
1781453986.80526,0.5665,0.9282,0.0771
1781453986.810912,0.5665,0.9281,0.0771
1781453986.8163085,0.5665,0.9282,0.077
1781453986.8217702,0.5664,0.9281,0.077
1781453986.8276925,0.5665,0.9282,0.077
1781453986.8328032,0.5665,0.9282,0.077
1781453986.838437,0.5665,0.9282,0.0771
1781453986.843763,0.5664,0.9281,0.077
1781453986.8496187,0.5665,0.9282,0.077
1781453986.855225,0.5664,0.9281,0.077
1781453986.8644552,0.5665,0.9282,0.0771
1781453986.8926523,0.5665,0.9281,0.077
1781453986.8929946,0.5664,0.9281,0.077
1781453986.8932922,0.5664,0.9281,0.077
1781453986.8935802,0.5664,0.9281,0.077
1781453986.893865,0.5665,0.9282,0.077
1781453986.8941557,0.5665,0.9282,0.0771
1781453986.9000394,0.5664,0.9281,0.077
1781453986.9055202,0.5665,0.9282,0.077
1781453986.9107854,0.5665,0.9282,0.077
1781453986.9164803,0.5665,0.9282,0.0771
1781453986.9215617,0.5665,0.9281,0.077
1781453986.9272847,0.5666,0.9282,0.0771
1781453986.9330719,0.5665,0.9282,0.0771
1781453986.938117,0.5665,0.9282,0.0771
1781453986.9435205,0.5665,0.9282,0.077
1781453986.9491644,0.5665,0.9282,0.0771
1781453986.9544497,0.5665,0.9281,0.077
1781453986.9611537,0.5665,0.9281,0.077
1781453986.9665697,0.5665,0.9282,0.077
1781453986.972023,0.5665,0.9282,0.077
1781453986.9771347,0.5665,0.9281,0.077
1781453986.9826858,0.5665,0.9282,0.077
1781453986.9878848,0.5665,0.9282,0.0771
1781453986.9936185,0.5664,0.9281,0.077
1781453987.006345,0.5665,0.9282,0.077
1781453987.007494,0.5664,0.9281,0.077
1781453987.0099196,0.5665,0.9281,0.0771
1781453987.017048,0.5665,0.9281,0.077
1781453987.022748,0.5664,0.9281,0.077
1781453987.0270703,0.5664,0.9281,0.077
1781453987.0329301,0.5665,0.9281,0.077
1781453987.0384164,0.5665,0.9281,0.077
1781453987.0438836,0.5664,0.9281,0.077
1781453987.0492027,0.5665,0.9282,0.077
1781453987.0549495,0.5665,0.9282,0.0771
1781453987.060559,0.5665,0.9282,0.077
1781453987.0662036,0.5665,0.9281,0.077
1781453987.0718713,0.5665,0.9282,0.077
1781453987.0768526,0.5665,0.9282,0.077
1781453987.0826766,0.5665,0.9282,0.0771
1781453987.0878422,0.5664,0.9281,0.077
1781453987.0940375,0.5665,0.9282,0.077
1781453987.0996742,0.5665,0.9282,0.077
1781453987.1047757,0.5665,0.9282,0.077
1781453987.110244,0.5666,0.9282,0.077
1781453987.1163485,0.5664,0.9281,0.077
1781453987.1218472,0.5664,0.9281,0.077
1781453987.1272042,0.5665,0.9281,0.0771
1781453987.13267,0.5664,0.9281,0.077
1781453987.1448703,0.5664,0.9281,0.077
1781453987.1453626,0.5665,0.9281,0.077
1781453987.1498163,0.5665,0.9281,0.077
1781453987.1547768,0.5664,0.9281,0.077
1781453987.1600866,0.5664,0.9281,0.077
1781453987.1662118,0.5665,0.9282,0.077
1781453987.1716342,0.5665,0.9281,0.077
1781453987.1767607,0.5664,0.9281,0.077
1781453987.1826975,0.5664,0.9281,0.077
1781453987.1880083,0.5665,0.9281,0.077
1781453987.1935222,0.5665,0.9281,0.077
1781453987.19921,0.5665,0.9281,0.077
1781453987.2050028,0.5665,0.9282,0.077
1781453987.2105215,0.5665,0.9281,0.077
1781453987.2159908,0.5664,0.9281,0.077
1781453987.2216628,0.5665,0.9282,0.0771
1781453987.227169,0.5665,0.9282,0.077
1781453987.2322292,0.5665,0.9281,0.077
1781453987.2377722,0.5665,0.9282,0.077
1781453987.243773,0.5664,0.9281,0.077
1781453987.249415,0.5665,0.9282,0.077
1781453987.254836,0.5665,0.9281,0.077
1781453987.2602215,0.5664,0.9281,0.077
1781453987.2662308,0.5665,0.9282,0.077
1781453987.27121,0.5665,0.9281,0.077
1781453987.2822957,0.5665,0.9281,0.077
1781453987.3070807,0.5665,0.9281,0.077
1781453987.3074605,0.5664,0.9281,0.077
1781453987.3077524,0.5665,0.9281,0.077
1781453987.3080409,0.5665,0.9282,0.077
1781453987.3083181,0.5665,0.9282,0.077
1781453987.3101857,0.5665,0.9282,0.0771
1781453987.3161402,0.5665,0.9281,0.077
1781453987.3212745,0.5664,0.9281,0.077
1781453987.327006,0.5665,0.9282,0.0771
1781453987.332534,0.5665,0.9282,0.077
1781453987.3377397,0.5665,0.9282,0.077
1781453987.344466,0.5664,0.9281,0.077
1781453987.3495848,0.5665,0.9282,0.077
1781453987.354803,0.5665,0.9282,0.0771
1781453987.3603933,0.5665,0.9282,0.0771
1781453987.3660383,0.5664,0.9281,0.077
1781453987.3711982,0.5664,0.9281,0.077
1781453987.3767729,0.5665,0.9282,0.077
1781453987.3825653,0.5664,0.9281,0.077
1781453987.3884277,0.5664,0.9281,0.077
1781453987.3938468,0.5665,0.9282,0.0771
1781453987.3995001,0.5665,0.9282,0.0771
1781453987.4044425,0.5665,0.9281,0.077
1781453987.4106784,0.5664,0.9281,0.077
1781453987.42145,0.5665,0.9282,0.077
1781453987.4219415,0.5664,0.9281,0.077
1781453987.42724,0.5665,0.9282,0.0771
1781453987.4326086,0.5664,0.9281,0.077
1781453987.4396825,0.5665,0.9282,0.0771
1781453987.4435596,0.5664,0.9281,0.077
1781453987.449582,0.5664,0.9281,0.077
1781453987.4549131,0.5665,0.9281,0.0771
1781453987.4603014,0.5664,0.9281,0.077
1781453987.4658604,0.5665,0.9282,0.077
1781453987.471135,0.5665,0.9282,0.0771
1781453987.4769,0.5665,0.9282,0.077
1781453987.4829266,0.5665,0.9282,0.077
1781453987.488444,0.5664,0.9281,0.077
1781453987.4933233,0.5664,0.9281,0.077
1781453987.4990072,0.5665,0.9282,0.077
1781453987.505639,0.5665,0.9282,0.077
1781453987.5108964,0.5665,0.9281,0.077
1781453987.5159423,0.5664,0.9281,0.077
1781453987.521358,0.5665,0.9281,0.077
1781453987.5267491,0.5664,0.9281,0.077
1781453987.5323732,0.5665,0.9281,0.077
1781453987.5381525,0.5665,0.9281,0.077
1781453987.5436666,0.5664,0.9281,0.077
1781453987.5493107,0.5665,0.9282,0.077
1781453987.5593994,0.5664,0.9281,0.077
1781453987.5608258,0.5665,0.9282,0.0771
1781453987.5662575,0.5665,0.9282,0.0771
1781453987.5723162,0.5665,0.9281,0.0771
1781453987.5780277,0.5664,0.9281,0.077
1781453987.5829456,0.5664,0.9281,0.077
1781453987.5881288,0.5664,0.9281,0.077
1781453987.5933743,0.5664,0.9281,0.077
1781453987.5995078,0.5664,0.9281,0.077
1781453987.6050637,0.5664,0.9281,0.077
1781453987.6105077,0.5665,0.9282,0.077
1781453987.6163738,0.5665,0.9282,0.077
1781453987.6211424,0.5665,0.9281,0.077
1781453987.6265895,0.5665,0.9282,0.0771
1781453987.6328316,0.5664,0.9281,0.077
1781453987.6382704,0.5664,0.9281,0.077
1781453987.6439111,0.5665,0.9281,0.077
1781453987.6497674,0.5665,0.9281,0.0771
1781453987.654497,0.5665,0.9282,0.0771
1781453987.6602166,0.5665,0.9281,0.077
1781453987.6665437,0.5664,0.9281,0.077
1781453987.671625,0.5665,0.9282,0.077
1781453987.6770787,0.5665,0.9281,0.0771
1781453987.6827574,0.5665,0.9281,0.077
1781453987.6879265,0.5664,0.9281,0.077
1781453987.7237349,0.5665,0.9281,0.077
1781453987.724164,0.5665,0.9281,0.077
1781453987.7244835,0.5665,0.9281,0.0771
1781453987.724785,0.5665,0.9281,0.077
1781453987.7250788,0.5665,0.9282,0.0771
1781453987.7253613,0.5665,0.9281,0.077
1781453987.726976,0.5665,0.9282,0.0771
1781453987.7325356,0.5665,0.9281,0.077
1781453987.7383978,0.5665,0.9282,0.0771
1781453987.7439003,0.5665,0.9281,0.077
1781453987.74957,0.5665,0.9282,0.077
1781453987.7548385,0.5664,0.9281,0.077
1781453987.760247,0.5665,0.9282,0.0771
1781453987.7659876,0.5665,0.9282,0.077
1781453987.7710667,0.5664,0.9281,0.077
1781453987.7764919,0.5664,0.9281,0.077
1781453987.7822473,0.5665,0.9281,0.077
1781453987.7885454,0.5665,0.9281,0.0771
1781453987.7944665,0.5665,0.9282,0.077
1781453987.7993097,0.5665,0.9281,0.077
1781453987.8048062,0.5665,0.9281,0.077
1781453987.8101664,0.5664,0.9281,0.077
1781453987.8160827,0.5665,0.9281,0.077
1781453987.8217385,0.5664,0.9281,0.077
1781453987.8277657,0.5665,0.9282,0.077
1781453987.8400822,0.5665,0.9282,0.077
1781453987.8404768,0.5665,0.9282,0.0771
1781453987.843576,0.5665,0.9281,0.077
1781453987.8501482,0.5665,0.9282,0.077
1781453987.8550625,0.5665,0.9282,0.0771
1781453987.8605366,0.5664,0.9281,0.077
1781453987.86585,0.5664,0.9281,0.077
1781453987.871267,0.5665,0.9282,0.0771
1781453987.8767347,0.5665,0.9281,0.077
1781453987.8829687,0.5664,0.9281,0.077
1781453987.888294,0.5665,0.9282,0.077
1781453987.8934991,0.5664,0.9281,0.077
1781453987.899351,0.5665,0.9282,0.077
1781453987.9050815,0.5665,0.9282,0.0771
1781453987.9105911,0.5664,0.9281,0.077
1781453987.9158232,0.5664,0.9281,0.077
1781453987.9216955,0.5665,0.9282,0.0771
1781453987.926813,0.5664,0.9281,0.077
1781453987.9326248,0.5665,0.9282,0.077
1781453987.938,0.5665,0.9282,0.077
1781453987.9441607,0.5665,0.9282,0.0771
1781453987.949586,0.5664,0.9281,0.077
1781453987.9551642,0.5664,0.9281,0.077
1781453987.9603689,0.5664,0.9281,0.077
1781453987.9660165,0.5665,0.9281,0.077
1781453987.9717486,0.5664,0.9281,0.077
1781453987.9828866,0.5665,0.9281,0.077
1781453987.985297,0.5665,0.9281,0.077
1781453987.9879286,0.5665,0.9282,0.0771
1781453987.9947922,0.5665,0.9282,0.0771
1781453988.014148,0.5665,0.9281,0.077
1781453988.014566,0.5665,0.9281,0.077
1781453988.0149035,0.5664,0.9281,0.077
1781453988.0167735,0.5665,0.9282,0.0771
1781453988.0212603,0.5665,0.9281,0.077
1781453988.0265849,0.5664,0.9281,0.077
1781453988.033164,0.5665,0.9281,0.077
1781453988.0380888,0.5665,0.9281,0.0771
1781453988.0439327,0.5665,0.9281,0.077
1781453988.049125,0.5665,0.9282,0.077
1781453988.0554633,0.5665,0.9281,0.0771
1781453988.0603044,0.5665,0.9281,0.0771
1781453988.066186,0.5664,0.9281,0.077
1781453988.0713465,0.5664,0.9281,0.077
1781453988.077438,0.5665,0.9282,0.077
1781453988.0824642,0.5665,0.9281,0.077
1781453988.0878353,0.5665,0.9281,0.077
1781453988.093452,0.5665,0.9281,0.0771
1781453988.0989134,0.5665,0.9281,0.077
1781453988.1049418,0.5665,0.9281,0.077
1781453988.110385,0.5664,0.9281,0.077
1781453988.121794,0.5665,0.9281,0.077
1781453988.1222825,0.5665,0.9282,0.077
1781453988.1269038,0.5665,0.9282,0.077
1781453988.133006,0.5664,0.9281,0.077
1781453988.137983,0.5665,0.9281,0.077
1781453988.143619,0.5665,0.9281,0.077
1781453988.1492195,0.5665,0.9282,0.0771
1781453988.1549451,0.5664,0.9281,0.077
1781453988.1606102,0.5665,0.9281,0.077
1781453988.1665616,0.5665,0.9281,0.077
1781453988.171191,0.5665,0.9282,0.0771
1781453988.176718,0.5665,0.9282,0.0771
1781453988.1825268,0.5665,0.9282,0.077
1781453988.1887925,0.5665,0.9282,0.077
1781453988.1935546,0.5665,0.9282,0.0771
1781453988.1997197,0.5665,0.9281,0.077
1781453988.2045841,0.5664,0.9281,0.077
1781453988.2105627,0.5665,0.9282,0.0771
1781453988.2160163,0.5664,0.9281,0.077
1781453988.2222855,0.5665,0.9281,0.077
1781453988.2271824,0.5664,0.9281,0.077
1781453988.2323787,0.5665,0.9281,0.077
1781453988.2381494,0.5665,0.9282,0.0771
1781453988.243368,0.5665,0.9282,0.0771
1781453988.2495854,0.5664,0.9281,0.077
1781453988.2613122,0.5664,0.9281,0.077
1781453988.261792,0.5665,0.9282,0.0771
1781453988.2667325,0.5666,0.9281,0.077
1781453988.271561,0.5665,0.9281,0.077
1781453988.2772486,0.5664,0.9281,0.077
1781453988.2828972,0.5665,0.9281,0.077
1781453988.2884674,0.5664,0.9281,0.077
1781453988.2938173,0.5665,0.9282,0.077
1781453988.299261,0.5664,0.9281,0.077
1781453988.3046763,0.5665,0.9282,0.077
1781453988.3105767,0.5665,0.9281,0.077
1781453988.3158793,0.5664,0.9281,0.077
1781453988.3220003,0.5665,0.9281,0.077
1781453988.3268788,0.5665,0.9281,0.0771
1781453988.3332913,0.5665,0.9282,0.0771
1781453988.337791,0.5665,0.9282,0.077
1781453988.3439221,0.5664,0.9281,0.077
1781453988.3494203,0.5665,0.9282,0.077
1781453988.3549125,0.5664,0.9281,0.077
1781453988.359857,0.5665,0.9281,0.077
1781453988.3660033,0.5664,0.9281,0.077
1781453988.372689,0.5665,0.9282,0.0771
1781453988.377158,0.5665,0.9281,0.0771
1781453988.3825026,0.5665,0.9282,0.0771
1781453988.3878481,0.5665,0.9282,0.077
1781453988.4017832,0.5664,0.9281,0.077
1781453988.4022207,0.5665,0.9282,0.0771
1781453988.4055307,0.5664,0.9281,0.077
1781453988.4296792,0.5665,0.9282,0.0771
1781453988.430145,0.5665,0.9281,0.0771
1781453988.4305522,0.5665,0.9282,0.077
1781453988.430909,0.5665,0.9282,0.077
1781453988.433001,0.5664,0.9281,0.077
1781453988.4384255,0.5664,0.9281,0.077
1781453988.443934,0.5665,0.9282,0.0771
1781453988.4490898,0.5664,0.9281,0.077
1781453988.4544907,0.5664,0.9281,0.077
1781453988.460538,0.5665,0.9281,0.077
1781453988.466131,0.5665,0.9281,0.0771
1781453988.4715436,0.5665,0.9282,0.077
