Time,POSX,POSY,POSZ
1781453990.2892492,0.67,0.79,0.37
1781453990.2938826,0.68,0.79,0.38
1781453990.2978952,0.68,0.79,0.38
1781453990.3004124,0.67,0.8,0.36
1781453990.3038187,0.68,0.81,0.35
1781453990.3065042,0.68,0.8,0.35
1781453990.3095334,0.69,0.81,0.35
1781453990.3140316,0.7,0.8,0.36
1781453990.3158758,0.7,0.8,0.37
1781453990.3194358,0.71,0.8,0.37
1781453990.3811162,0.71,0.81,0.37
1781453990.481053,0.71,0.8,0.38
1781453990.579994,0.7,0.8,0.38
1781453990.6805716,0.69,0.79,0.39
1781453990.78031,0.7,0.78,0.4
1781453990.8804035,0.69,0.78,0.4
1781453990.9809935,0.68,0.8,0.37
1781453991.0935829,0.69,0.82,0.35
1781453991.1801987,0.68,0.81,0.36
1781453991.2804916,0.68,0.8,0.38
1781453991.3811228,0.69,0.81,0.37
1781453991.4802568,0.67,0.8,0.38
1781453991.5817723,0.67,0.8,0.38
1781453991.6808274,0.69,0.8,0.37
1781453991.7810125,0.68,0.78,0.38
1781453991.8814566,0.67,0.8,0.38
1781453991.9811237,0.67,0.8,0.39
1781453992.0812223,0.67,0.8,0.39
1781453992.1804216,0.67,0.8,0.37
1781453992.28058,0.68,0.8,0.37
1781453992.3893614,0.68,0.81,0.32
1781453992.481265,0.68,0.8,0.33
1781453992.5805666,0.7,0.81,0.33
1781453992.6809409,0.7,0.81,0.32
1781453992.7801335,0.7,0.8,0.33
1781453992.8805394,0.71,0.8,0.32
1781453992.981035,0.71,0.79,0.32
1781453993.090914,0.71,0.8,0.33
1781453993.17998,0.7,0.78,0.35
1781453993.2811592,0.69,0.79,0.34
1781453993.3811574,0.69,0.8,0.35
1781453993.4803765,0.68,0.81,0.34
1781453993.5803432,0.68,0.81,0.34
1781453993.6855035,0.68,0.81,0.33
1781453993.781297,0.69,0.82,0.35
1781453993.8861084,0.7,0.82,0.35
1781453993.981287,0.7,0.82,0.36
1781453994.0800073,0.71,0.8,0.37
1781453994.1802337,0.78,0.77,0.69
1781453994.2813594,0.77,0.78,0.62
1781453994.380471,0.74,0.81,0.54
1781453994.4827256,0.72,0.84,0.48
1781453994.580857,0.72,0.86,0.43
1781453994.6805823,0.73,0.87,0.4
1781453994.7804844,0.73,0.88,0.36
1781453994.8818254,0.8,0.86,0.24
1781453994.9806523,0.79,0.89,0.24
1781453995.0813775,0.77,0.89,0.28
1781453995.1807313,0.74,0.88,0.32
1781453995.280761,0.73,0.84,0.38
1781453995.3805964,0.64,0.83,0.42
1781453995.4804425,0.59,0.82,0.45
1781453995.5807354,0.5,0.77,0.52
1781453995.6803114,0.45,0.7,0.65
1781453995.78107,0.41,0.66,0.63
1781453995.8818886,0.34,0.59,0.63
1781453995.9814744,0.33,0.54,0.65
1781453996.0807836,0.31,0.48,0.61
1781453996.1802428,0.3,0.39,0.77
1781453996.280419,0.31,0.31,0.91
1781453996.3808632,0.32,0.24,1.0
1781453996.4802947,0.34,0.25,0.88
1781453996.5816627,0.33,0.26,0.75
1781453996.6811745,0.25,0.28,0.76
1781453996.7799726,0.17,0.27,0.69
1781453996.880527,0.12,0.24,0.75
1781453996.981301,0.05,0.19,0.83
1781453997.0805502,0.03,0.21,0.75
1781453997.180957,0.01,0.17,0.83
1781453997.2803771,-0.03,0.13,0.94
1781453997.380829,-0.03,0.13,0.9
1781453997.4804816,-0.05,0.13,0.94
1781453997.5803251,-0.09,0.17,0.84
1781453997.6804168,-0.1,0.19,0.85
1781453997.7817948,-0.19,0.14,0.94
1781453997.8803701,-0.24,0.12,0.9
1781453997.9815342,-0.26,0.15,0.9
1781453998.0824227,-0.26,0.17,0.92
1781453998.1812248,-0.36,0.14,0.88
1781453998.2811012,-0.37,0.16,0.83
1781453998.3938222,-0.43,0.15,0.81
1781453998.4804087,-0.45,0.18,0.79
1781453998.5812685,-0.43,0.22,0.78
1781453998.681523,-0.48,0.2,0.79
1781453998.7800155,-0.46,0.23,0.85
