Time,POSX,POSY,POSZ
1781449077.574863,1.3291,-0.7212,0.0839
1781449077.5804963,1.329,-0.7212,0.0838
1781449077.5852554,1.3291,-0.7212,0.0839
1781449077.5907974,1.329,-0.7212,0.0838
1781449077.5968146,1.329,-0.7212,0.0838
1781449077.6020265,1.3291,-0.7212,0.0838
1781449077.6077714,1.329,-0.7212,0.0838
1781449077.6148744,1.3291,-0.7212,0.0838
1781449077.6188068,1.329,-0.7212,0.0838
1781449077.6246045,1.3291,-0.7212,0.0838
1781449077.6298378,1.3291,-0.7212,0.0838
1781449077.6352036,1.329,-0.7212,0.0838
1781449077.6413167,1.3291,-0.7212,0.0839
1781449077.6471627,1.3291,-0.7212,0.0838
1781449077.6521528,1.3291,-0.7212,0.0839
1781449077.6573355,1.3291,-0.7212,0.0839
1781449077.6635904,1.3291,-0.7212,0.0838
1781449077.6772635,1.3291,-0.7212,0.0839
1781449077.709905,1.3291,-0.7212,0.0839
1781449077.7103307,1.3291,-0.7212,0.0838
1781449077.7107854,1.329,-0.7212,0.0838
1781449077.7111988,1.3291,-0.7212,0.0839
1781449077.7115717,1.329,-0.7212,0.0838
1781449077.7119253,1.329,-0.7212,0.0838
1781449077.7123177,1.3291,-0.7212,0.0838
1781449077.7132025,1.329,-0.7212,0.0837
1781449077.7185616,1.3291,-0.7212,0.0838
1781449077.724274,1.3291,-0.7212,0.0838
1781449077.7304423,1.3291,-0.7212,0.0838
1781449077.7355886,1.3291,-0.7212,0.0838
1781449077.7408187,1.329,-0.7212,0.0838
1781449077.7460434,1.3291,-0.7212,0.0838
1781449077.751573,1.3291,-0.7212,0.0839
1781449077.7569582,1.3291,-0.7212,0.0839
1781449077.763517,1.329,-0.7212,0.0838
1781449077.768028,1.3291,-0.7212,0.0839
1781449077.7739992,1.3291,-0.7212,0.0838
1781449077.7794857,1.3291,-0.7212,0.0838
1781449077.7847328,1.329,-0.7212,0.0838
1781449077.790362,1.329,-0.7212,0.0838
1781449077.7961605,1.329,-0.7212,0.0838
1781449077.8018875,1.3291,-0.7212,0.0838
1781449077.807599,1.329,-0.7212,0.0838
1781449077.8129697,1.329,-0.7212,0.0838
1781449077.818941,1.3291,-0.7212,0.0839
1781449077.8338723,1.329,-0.7212,0.0838
1781449077.8345263,1.3291,-0.7212,0.0838
1781449077.835741,1.329,-0.7212,0.0837
1781449077.8413973,1.3291,-0.7212,0.0839
1781449077.847405,1.329,-0.7212,0.0838
1781449077.8547575,1.329,-0.7212,0.0838
1781449077.8590987,1.3291,-0.7212,0.0838
1781449077.8635397,1.3291,-0.7212,0.0838
1781449077.8687365,1.3291,-0.7212,0.0838
1781449077.8756406,1.3291,-0.7212,0.0838
1781449077.8805003,1.329,-0.7212,0.0838
1781449077.884995,1.329,-0.7212,0.0838
1781449077.8920493,1.329,-0.7212,0.0838
1781449077.8965082,1.3291,-0.7212,0.0839
1781449077.9017951,1.3291,-0.7212,0.0839
1781449077.907371,1.3291,-0.7212,0.0839
1781449077.9127533,1.3291,-0.7212,0.0838
1781449077.9179335,1.3291,-0.7212,0.0839
1781449077.923779,1.3291,-0.7212,0.0838
1781449077.9297729,1.3291,-0.7212,0.0839
1781449077.9348114,1.329,-0.7212,0.0838
1781449077.9403672,1.3291,-0.7212,0.0839
1781449077.9465718,1.329,-0.7212,0.0838
1781449077.9513757,1.329,-0.7212,0.0837
1781449077.9573603,1.3291,-0.7212,0.0839
1781449077.962789,1.3291,-0.7212,0.0839
1781449077.9685388,1.329,-0.7212,0.0838
1781449077.9738,1.3291,-0.7212,0.0839
1781449077.990562,1.3291,-0.7212,0.0839
1781449078.0257893,1.329,-0.7212,0.0838
1781449078.0263345,1.329,-0.7212,0.0838
1781449078.0268083,1.3291,-0.7212,0.0839
1781449078.0271935,1.3291,-0.7212,0.0838
1781449078.0275846,1.329,-0.7212,0.0838
1781449078.027957,1.3291,-0.7212,0.0838
1781449078.028324,1.3291,-0.7212,0.0838
1781449078.0287035,1.329,-0.7212,0.0838
1781449078.0294871,1.3291,-0.7212,0.0839
1781449078.0350616,1.3291,-0.7212,0.0838
1781449078.0407288,1.329,-0.7212,0.0838
1781449078.0461211,1.3291,-0.7212,0.0839
1781449078.0518403,1.329,-0.7212,0.0838
1781449078.0574384,1.3291,-0.7212,0.0838
1781449078.0633757,1.329,-0.7212,0.0838
1781449078.0681703,1.3291,-0.7212,0.0839
1781449078.073622,1.329,-0.7212,0.0838
1781449078.079211,1.329,-0.7212,0.0838
1781449078.0851727,1.329,-0.7212,0.0838
1781449078.09048,1.3291,-0.7212,0.0838
1781449078.0961177,1.3291,-0.7212,0.0839
1781449078.1014667,1.3291,-0.7212,0.0839
1781449078.1070468,1.3291,-0.7212,0.0839
1781449078.1130354,1.3291,-0.7212,0.0838
1781449078.1185799,1.329,-0.7212,0.0838
1781449078.1240127,1.329,-0.7212,0.0838
1781449078.1295047,1.329,-0.7212,0.0838
1781449078.1436677,1.3291,-0.7212,0.0839
1781449078.1441915,1.3291,-0.7212,0.0839
1781449078.1463745,1.3291,-0.7212,0.0838
1781449078.1517792,1.329,-0.7212,0.0838
1781449078.1572096,1.3291,-0.7212,0.0838
1781449078.1643317,1.329,-0.7212,0.0838
1781449078.1687138,1.3291,-0.7212,0.0839
1781449078.1739564,1.3291,-0.7212,0.0839
1781449078.1796494,1.3291,-0.7212,0.0839
1781449078.1850007,1.329,-0.7212,0.0838
1781449078.1905088,1.3291,-0.7212,0.0839
1781449078.1962283,1.3291,-0.7212,0.0839
1781449078.201904,1.329,-0.7212,0.0838
1781449078.2071562,1.329,-0.7212,0.0838
1781449078.2129161,1.329,-0.7212,0.0838
1781449078.218271,1.3291,-0.7212,0.0839
1781449078.2239733,1.3291,-0.7212,0.0839
1781449078.2294757,1.3291,-0.7212,0.0838
1781449078.2349305,1.329,-0.7212,0.0838
1781449078.2404737,1.3291,-0.7212,0.0839
1781449078.24601,1.329,-0.7212,0.0838
1781449078.2516253,1.3291,-0.7212,0.0838
1781449078.257505,1.3291,-0.7212,0.0839
1781449078.2627265,1.3291,-0.7212,0.0839
1781449078.2683806,1.3291,-0.7212,0.0839
1781449078.2737544,1.329,-0.7212,0.0838
1781449078.2791753,1.329,-0.7212,0.0838
1781449078.2853224,1.3291,-0.7212,0.0838
1781449078.3001506,1.3291,-0.7212,0.0839
1781449078.333066,1.329,-0.7212,0.0837
1781449078.333587,1.329,-0.7212,0.0838
1781449078.3340118,1.3291,-0.7212,0.0838
1781449078.3344846,1.329,-0.7212,0.0838
1781449078.3349276,1.3291,-0.7212,0.0839
