Time,POSX,POSY,POSZ
1781449081.1586347,1.22,-0.59,0.39
1781449081.1628556,1.23,-0.59,0.41
1781449081.1686778,1.26,-0.62,0.37
1781449081.1977978,1.25,-0.61,0.38
1781449081.2023995,1.23,-0.6,0.4
1781449081.2077618,1.22,-0.57,0.42
1781449081.209711,1.21,-0.57,0.45
1781449081.2142365,1.22,-0.57,0.42
1781449081.2170866,1.21,-0.55,0.44
1781449081.2233043,1.2,-0.56,0.43
1781449081.2785025,1.2,-0.55,0.44
1781449081.3771896,1.2,-0.56,0.53
1781449081.4783423,1.2,-0.56,0.5
1781449081.5905402,1.22,-0.58,0.46
1781449081.677857,1.23,-0.59,0.42
1781449081.7770376,1.27,-0.62,0.39
1781449081.877882,1.25,-0.62,0.39
1781449081.9783728,1.26,-0.61,0.39
1781449082.077806,1.25,-0.6,0.38
1781449082.1778042,1.24,-0.59,0.4
1781449082.2773778,1.26,-0.61,0.47
1781449082.37712,1.24,-0.61,0.44
1781449082.4776807,1.25,-0.6,0.42
1781449082.5783594,1.24,-0.6,0.41
1781449082.6897724,1.23,-0.59,0.42
1781449082.777507,1.23,-0.59,0.41
1781449082.876944,1.21,-0.58,0.41
1781449082.9781826,1.21,-0.57,0.41
1781449083.0780873,1.2,-0.56,0.41
1781449083.1802697,1.22,-0.56,0.4
1781449083.2780714,1.21,-0.56,0.39
1781449083.377652,1.2,-0.56,0.38
1781449083.48081,1.22,-0.57,0.37
1781449083.5774498,1.21,-0.57,0.38
1781449083.6772292,1.22,-0.59,0.38
1781449083.778256,1.24,-0.59,0.39
1781449083.8771932,1.27,-0.61,0.28
1781449083.9773028,1.24,-0.62,0.36
1781449084.0779705,1.23,-0.59,0.38
1781449084.178324,1.2,-0.56,0.39
1781449084.289899,1.19,-0.55,0.41
1781449084.3778224,1.22,-0.55,0.44
1781449084.4791315,1.18,-0.51,0.59
1781449084.5776167,1.19,-0.5,0.66
1781449084.6770823,1.17,-0.49,0.82
1781449084.780875,1.18,-0.48,0.91
1781449084.8780446,1.25,-0.49,0.93
1781449084.9775114,1.25,-0.48,1.0
1781449085.0885694,1.27,-0.48,0.99
1781449085.1781855,1.33,-0.45,0.9
1781449085.277782,1.34,-0.45,0.89
1781449085.3772428,1.34,-0.47,0.91
1781449085.477057,1.4,-0.41,0.88
1781449085.5782778,1.37,-0.42,0.91
1781449085.6783092,1.41,-0.36,0.9
1781449085.7779744,1.45,-0.3,0.88
1781449085.8805187,1.47,-0.26,0.85
1781449085.976957,1.48,-0.21,0.84
1781449086.0777984,1.44,-0.25,0.92
1781449086.1811557,1.38,-0.28,1.02
1781449086.2774248,1.32,-0.3,1.05
1781449086.3779182,1.32,-0.27,1.21
1781449086.4771724,1.25,-0.27,1.16
1781449086.5784116,1.21,-0.26,1.12
1781449086.677351,1.19,-0.23,1.23
1781449086.777064,1.18,-0.18,1.15
1781449086.8770723,1.15,-0.14,1.27
1781449086.979592,1.12,-0.09,1.42
1781449087.0774431,1.07,-0.06,1.54
1781449087.178582,1.01,-0.02,1.58
1781449087.279261,1.02,0.09,1.63
1781449087.3773677,0.98,0.15,1.67
1781449087.480331,0.89,0.19,1.69
1781449087.577859,0.83,0.28,1.68
1781449087.679965,0.72,0.33,1.72
1781449087.7778301,0.64,0.37,1.72
1781449087.8784325,0.6,0.44,1.75
1781449087.9775493,0.55,0.5,1.78
1781449088.0780518,0.53,0.53,1.84
1781449088.1769845,0.44,0.57,1.87
1781449088.276888,0.3,0.61,1.89
1781449088.3772743,0.18,0.65,1.87
1781449088.4778914,-0.03,0.71,1.87
1781449088.5783584,-0.01,0.6,1.92
1781449088.6784759,-0.19,0.62,1.89
1781449088.776989,-0.3,0.55,1.8
1781449088.8790267,-0.43,0.54,1.81
1781449088.9778028,-0.5,0.47,1.79
1781449089.0781,-0.62,0.45,1.79
1781449089.1962194,-0.68,0.38,1.81
1781449089.300603,-0.72,0.31,1.74
1781449089.3781006,-0.73,0.25,1.74
1781449089.4791682,-0.74,0.14,1.69
1781449089.577108,-0.78,0.07,1.71
1781449089.678914,-0.82,-0.02,1.72
1781449089.7772868,-0.82,-0.12,1.68
1781449089.8890653,-0.8,-0.21,1.67
1781449089.978857,-0.73,-0.31,1.69
1781449090.105269,-0.66,-0.38,1.7
1781449090.2070932,-0.57,-0.45,1.72
1781449090.2790496,-0.45,-0.53,1.78
1781449090.379953,-0.33,-0.59,1.83
1781449090.4774604,-0.18,-0.62,1.79
1781449090.579583,-0.25,-0.5,1.26
1781449090.7024443,-0.1,-0.52,1.44
1781449090.7778387,0.02,-0.51,1.57
