Time,POSX,POSY,POSZ
1781450542.7102742,1.2896,-0.4783,0.0826
1781450542.7151196,1.2896,-0.4783,0.0826
1781450542.7205756,1.2896,-0.4783,0.0826
1781450542.7261667,1.2896,-0.4783,0.0826
1781450542.7314613,1.2896,-0.4783,0.0826
1781450542.7370765,1.2896,-0.4783,0.0826
1781450542.7425838,1.2896,-0.4783,0.0826
1781450542.7479644,1.2896,-0.4783,0.0826
1781450542.7534518,1.2896,-0.4783,0.0826
1781450542.7596052,1.2896,-0.4783,0.0826
1781450542.7648356,1.2896,-0.4783,0.0826
1781450542.7703393,1.2896,-0.4783,0.0826
1781450542.775863,1.2896,-0.4783,0.0826
1781450542.7817507,1.2896,-0.4783,0.0826
1781450542.78667,1.2896,-0.4783,0.0826
1781450542.7921882,1.2896,-0.4783,0.0826
1781450542.8037574,1.2896,-0.4783,0.0826
1781450542.8042119,1.2896,-0.4783,0.0826
1781450542.8092535,1.2896,-0.4783,0.0826
1781450542.8144028,1.2896,-0.4783,0.0826
1781450542.832294,1.2896,-0.4783,0.0826
1781450542.8326507,1.2896,-0.4783,0.0826
1781450542.8329344,1.2896,-0.4783,0.0826
1781450542.8363998,1.2896,-0.4783,0.0826
1781450542.8426943,1.2896,-0.4783,0.0826
1781450542.8476,1.2896,-0.4783,0.0826
1781450542.8536928,1.2896,-0.4783,0.0826
1781450542.860104,1.2896,-0.4783,0.0826
1781450542.8645773,1.2896,-0.4783,0.0826
1781450542.8699038,1.2896,-0.4783,0.0826
1781450542.8754091,1.2896,-0.4783,0.0826
1781450542.8810937,1.2896,-0.4783,0.0826
1781450542.8869078,1.2896,-0.4783,0.0826
1781450542.8920107,1.2896,-0.4783,0.0826
1781450542.897884,1.2896,-0.4783,0.0826
1781450542.9031212,1.2896,-0.4783,0.0826
1781450542.9081826,1.2896,-0.4783,0.0826
1781450542.9148433,1.2896,-0.4783,0.0826
1781450542.9204562,1.2896,-0.4783,0.0826
1781450542.9253755,1.2896,-0.4783,0.0826
1781450542.9318485,1.2896,-0.4783,0.0826
1781450542.938407,1.2896,-0.4783,0.0826
1781450542.9466674,1.2896,-0.4783,0.0826
1781450542.9475992,1.2896,-0.4783,0.0826
1781450542.9530506,1.2896,-0.4783,0.0826
1781450542.9617093,1.2896,-0.4783,0.0826
1781450542.9650772,1.2896,-0.4783,0.0826
1781450542.9705818,1.2896,-0.4783,0.0826
1781450542.9756439,1.2896,-0.4783,0.0826
1781450542.981526,1.2896,-0.4783,0.0826
1781450542.9867184,1.2896,-0.4783,0.0826
1781450542.992166,1.2896,-0.4783,0.0826
1781450542.9978557,1.2896,-0.4783,0.0826
1781450543.0029593,1.2896,-0.4783,0.0826
1781450543.0086281,1.2896,-0.4783,0.0826
1781450543.0146658,1.2896,-0.4783,0.0826
1781450543.019723,1.2896,-0.4783,0.0826
1781450543.0251799,1.2896,-0.4783,0.0826
1781450543.0324512,1.2896,-0.4783,0.0826
1781450543.0366864,1.2896,-0.4783,0.0826
1781450543.0425034,1.2896,-0.4783,0.0826
1781450543.0473208,1.2896,-0.4783,0.0826
