Time,POSX,POSY,POSZ
1781450546.250744,1.25,-0.44,0.47
1781450546.2552383,1.25,-0.43,0.42
1781450546.2571692,1.26,-0.45,0.52
1781450546.260326,1.26,-0.44,0.47
1781450546.2653148,1.25,-0.44,0.52
1781450546.268963,1.25,-0.43,0.54
1781450546.28031,1.26,-0.44,0.59
1781450546.2848487,1.23,-0.45,0.63
1781450546.2877452,1.24,-0.46,0.64
1781450546.2927084,1.26,-0.47,0.66
1781450546.3752284,1.3,-0.49,0.57
1781450546.4748323,1.3,-0.48,0.51
1781450546.5759864,1.29,-0.47,0.5
1781450546.6758983,1.28,-0.44,0.47
1781450546.7758634,1.26,-0.45,0.62
1781450546.875733,1.25,-0.45,0.6
1781450546.9750202,1.27,-0.45,0.63
1781450547.0741932,1.26,-0.45,0.59
1781450547.1758132,1.25,-0.42,0.56
1781450547.2743282,1.24,-0.43,0.64
1781450547.3758128,1.23,-0.43,0.67
1781450547.4748042,1.25,-0.43,0.54
1781450547.5752625,1.22,-0.44,0.59
1781450547.674513,1.23,-0.43,0.55
1781450547.7746556,1.22,-0.43,0.59
1781450547.8751385,1.24,-0.45,0.59
1781450547.9788508,1.24,-0.44,0.58
1781450548.0757902,1.22,-0.46,0.59
1781450548.1744115,1.22,-0.46,0.51
1781450548.2742631,1.22,-0.47,0.55
1781450548.37435,1.24,-0.47,0.59
1781450548.4752352,1.23,-0.45,0.56
1781450548.5749152,1.22,-0.44,0.59
1781450548.675862,1.21,-0.43,0.61
1781450548.774982,1.22,-0.43,0.54
1781450548.879605,1.21,-0.44,0.58
1781450548.974743,1.23,-0.46,0.62
1781450549.075122,1.24,-0.45,0.56
1781450549.1743631,1.23,-0.44,0.59
1781450549.2750587,1.24,-0.44,0.61
1781450549.3750932,1.24,-0.42,0.56
1781450549.4774625,1.23,-0.42,0.54
1781450549.5742352,1.22,-0.44,0.59
1781450549.6746032,1.23,-0.43,0.61
1781450549.777272,1.23,-0.42,0.57
1781450549.874923,1.23,-0.43,0.64
1781450549.974311,1.24,-0.45,0.66
1781450550.0764081,1.23,-0.44,0.59
1781450550.1752677,1.27,-0.47,0.51
1781450550.274313,1.25,-0.45,0.52
1781450550.3742933,1.24,-0.44,0.6
1781450550.4745584,1.23,-0.43,0.58
1781450550.5752733,1.22,-0.43,0.57
1781450550.6745765,1.21,-0.42,0.58
1781450550.7749197,1.22,-0.41,0.57
1781450550.874998,1.26,-0.43,0.64
1781450550.975211,1.2,-0.46,0.73
1781450551.0753126,1.18,-0.45,0.78
1781450551.1745672,1.14,-0.41,0.8
1781450551.2753525,1.12,-0.39,0.84
1781450551.375089,1.12,-0.35,0.85
1781450551.4746957,1.12,-0.32,0.84
1781450551.5779364,1.09,-0.29,0.92
1781450551.675589,1.11,-0.26,0.83
1781450551.774779,1.16,-0.23,0.74
1781450551.874468,1.18,-0.2,0.67
1781450551.975037,1.2,-0.21,0.78
1781450552.0746143,1.19,-0.19,0.8
1781450552.1746492,1.15,-0.17,0.9
1781450552.275909,1.16,-0.16,0.88
1781450552.3747444,1.2,-0.18,0.91
1781450552.4753072,1.18,-0.17,0.88
1781450552.5744941,1.16,-0.16,0.91
1781450552.675333,1.2,-0.12,0.84
1781450552.7748926,1.21,-0.07,0.77
1781450552.874927,1.24,-0.04,0.73
1781450552.975007,1.26,-0.03,0.69
1781450553.0743823,1.28,-0.02,0.67
1781450553.1752539,1.29,-0.03,0.65
1781450553.277611,1.27,-0.05,0.72
1781450553.374655,1.27,-0.06,0.71
1781450553.4743354,1.27,-0.07,0.74
1781450553.5742269,1.27,-0.09,0.79
1781450553.6749845,1.28,-0.06,0.76
1781450553.7743826,1.26,-0.06,0.8
1781450553.8759592,1.19,-0.11,0.82
1781450553.9749413,1.23,-0.06,0.79
1781450554.0742068,1.16,-0.07,0.85
1781450554.1752336,1.11,-0.06,0.86
1781450554.275249,1.15,-0.03,0.87
1781450554.3759673,1.22,-0.02,0.92
1781450554.4746041,1.18,-0.03,0.93
1781450554.5754004,1.21,0.01,0.87
1781450554.6748228,1.21,0.02,0.95
1781450554.781157,1.23,0.05,0.97
1781450554.8743834,1.22,0.05,0.92
1781450554.974545,1.23,0.13,0.87
1781450555.0810485,1.22,0.19,0.88
1781450555.1744232,1.17,0.21,0.88
1781450555.274962,1.19,0.28,0.84
1781450555.379267,1.13,0.31,0.82
1781450555.4745572,1.1,0.36,0.78
1781450555.575096,1.11,0.45,0.76
1781450555.6786895,1.03,0.45,0.78
1781450555.7747953,1.06,0.51,0.8
1781450555.8756392,1.09,0.54,0.79
1781450555.9752002,1.05,0.52,0.79
1781450556.0751157,1.03,0.5,0.83
1781450556.1753743,1.01,0.48,0.86
1781450556.2754476,1.03,0.53,0.81
1781450556.3746107,1.04,0.6,0.81
1781450556.4750795,1.03,0.64,0.77
1781450556.5762327,1.0,0.69,0.74
1781450556.6758142,0.94,0.71,0.81
1781450556.775543,0.84,0.77,0.82
1781450556.874894,0.79,0.8,0.83
1781450556.9744732,0.75,0.88,0.8
1781450557.0747304,0.68,0.88,0.95
1781450557.175532,0.61,0.91,0.91
1781450557.2754018,0.5,0.93,0.86
1781450557.3765116,0.43,0.9,0.86
1781450557.4747474,0.33,0.84,0.85
1781450557.575264,0.24,0.8,0.73
1781450557.6752326,0.14,0.73,0.7
1781450557.7740736,0.02,0.66,0.66
1781450557.8751378,-0.05,0.57,0.63
1781450557.9766526,-0.09,0.47,0.64
1781450558.0755696,-0.15,0.38,0.6
1781450558.1757102,-0.2,0.29,0.58
1781450558.2820215,-0.22,0.2,0.57
1781450558.3754344,-0.22,0.12,0.54
1781450558.4756339,-0.18,0.01,0.71
1781450558.5757997,-0.14,-0.09,0.82
1781450558.674801,-0.09,-0.19,0.92
1781450558.7743714,-0.02,-0.27,0.99
1781450558.8756588,0.05,-0.29,0.86
1781450558.9761531,0.09,-0.32,0.74
1781450559.0777364,0.12,-0.35,0.64
1781450559.1752348,0.19,-0.38,0.54
1781450559.282086,0.27,-0.45,0.69
1781450559.3747404,0.34,-0.44,0.77
1781450559.4763944,0.4,-0.4,0.8
1781450559.5757964,0.49,-0.4,0.82
1781450559.675148,0.57,-0.38,0.9
1781450559.7742703,0.71,-0.38,0.95
1781450559.8746197,0.83,-0.34,0.94
1781450559.9748166,0.91,-0.28,0.93
1781450560.075367,0.99,-0.18,0.84
1781450560.1743224,0.97,-0.14,0.88
1781450560.2771752,1.01,-0.02,0.83
1781450560.3741586,1.03,0.12,0.79
1781450560.474064,1.03,0.26,0.76
1781450560.5743434,0.98,0.35,0.79
1781450560.6742456,0.95,0.42,0.79
1781450560.7760513,0.9,0.5,0.78
1781450560.876222,0.8,0.56,0.8
1781450560.9751987,0.75,0.63,0.83
1781450561.074669,0.66,0.68,0.84
1781450561.1752768,0.64,0.69,1.0
1781450561.274386,0.58,0.7,1.12
1781450561.3755965,0.55,0.67,1.21
1781450561.4753797,0.49,0.67,1.19
1781450561.5754492,0.46,0.64,1.15
1781450561.675232,0.39,0.63,1.01
1781450561.7745109,0.35,0.56,1.12
1781450561.8750236,0.3,0.5,1.14
1781450561.9746587,0.3,0.45,1.12
1781450562.0756083,0.3,0.43,1.0
1781450562.1741762,0.25,0.39,0.92
1781450562.274082,0.16,0.36,0.82
1781450562.3752346,0.04,0.32,0.74
1781450562.4756284,-0.05,0.27,0.67
1781450562.5835783,-0.08,0.2,0.68
1781450562.675015,-0.11,0.13,0.68
1781450562.7743244,-0.12,0.03,0.76
1781450562.8813834,-0.14,-0.03,0.68
1781450562.9759214,-0.09,-0.12,0.65
1781450563.0754871,-0.03,-0.2,0.59
1781450563.1756186,0.08,-0.3,0.61
1781450563.2754157,0.16,-0.36,0.54
1781450563.3752425,0.24,-0.4,0.48
1781450563.4743447,0.34,-0.44,0.56
1781450563.5747614,0.39,-0.45,0.68
1781450563.6742673,0.49,-0.45,0.78
1781450563.7750306,0.63,-0.45,0.76
1781450563.8829694,0.7,-0.42,0.86
1781450563.974198,0.82,-0.4,0.89
1781450564.0753183,0.96,-0.37,0.83
1781450564.1745791,1.05,-0.31,0.87
1781450564.275174,1.12,-0.25,0.86
1781450564.37491,1.22,-0.17,0.86
1781450564.4743292,1.27,-0.09,0.9
1781450564.574721,1.28,0.03,0.96
1781450564.6744435,1.22,0.04,0.91
1781450564.7769036,1.22,0.12,0.96
1781450564.8755271,1.23,0.2,0.95
1781450564.9750664,1.24,0.28,0.98
1781450565.08209,1.23,0.36,0.95
1781450565.1752093,1.22,0.45,0.89
1781450565.2746298,1.22,0.51,0.99
1781450565.377713,1.17,0.59,0.94
1781450565.4745603,1.11,0.67,0.88
1781450565.574716,1.04,0.72,0.83
1781450565.6753798,0.97,0.78,0.84
1781450565.774835,0.88,0.84,0.85
1781450565.875066,0.83,0.87,0.84
1781450565.9754012,0.79,0.89,0.84
1781450566.0743227,0.7,0.94,0.81
1781450566.1747148,0.63,0.98,0.77
1781450566.274445,0.62,1.0,0.77
1781450566.3750684,0.57,1.01,0.78
1781450566.4754379,0.54,0.97,0.91
1781450566.5746377,0.46,0.97,0.86
1781450566.6752737,0.44,0.92,0.95
1781450566.775317,0.41,0.85,1.05
1781450566.8783348,0.37,0.77,1.09
1781450566.974925,0.31,0.69,1.12
1781450567.0742962,0.28,0.62,1.13
1781450567.1754527,0.23,0.51,1.21
1781450567.2741437,0.15,0.44,1.15
1781450567.3751597,0.07,0.38,1.08
1781450567.4781075,-0.01,0.3,1.07
1781450567.5761163,-0.07,0.24,1.0
1781450567.6746755,-0.12,0.22,0.86
1781450567.7854452,-0.15,0.19,0.76
1781450567.8752198,-0.16,0.15,0.73
1781450567.9741638,-0.19,0.13,0.68
1781450568.082923,-0.21,0.09,0.64
1781450568.1745737,-0.19,0.03,0.63
1781450568.2749426,-0.15,-0.06,0.76
1781450568.3785427,-0.1,-0.15,0.88
1781450568.47609,-0.05,-0.24,0.94
1781450568.5748212,0.0,-0.33,0.98
1781450568.6768029,0.06,-0.37,0.8
1781450568.7747498,0.13,-0.45,0.87
1781450568.874114,0.21,-0.48,0.73
1781450568.9741366,0.28,-0.53,0.7
1781450569.0755146,0.41,-0.57,0.76
1781450569.1748614,0.49,-0.55,0.59
1781450569.274457,0.62,-0.58,0.65
1781450569.3758163,0.74,-0.59,0.74
1781450569.4757793,0.8,-0.55,0.86
1781450569.575262,0.89,-0.54,0.85
1781450569.674359,0.96,-0.47,0.96
1781450569.7742412,1.03,-0.43,0.99
1781450569.8752184,1.09,-0.38,0.94
1781450569.9751775,1.19,-0.28,0.88
1781450570.0752249,1.27,-0.16,0.81
1781450570.1752532,1.28,-0.1,0.83
1781450570.2757633,1.3,0.03,0.87
1781450570.3742764,1.31,0.11,0.88
1781450570.4818099,1.3,0.19,0.83
1781450570.5746584,1.27,0.32,0.9
1781450570.6741762,1.23,0.4,0.84
1781450570.7855718,1.23,0.51,0.86
1781450570.8753333,1.21,0.57,0.98
1781450570.9750028,1.18,0.64,0.98
1781450571.0822177,1.14,0.67,1.02
1781450571.1757321,1.07,0.72,0.96
1781450571.275498,1.01,0.77,0.88
1781450571.3754807,0.97,0.79,0.9
1781450571.47525,0.87,0.85,0.88
1781450571.5743692,0.85,0.84,1.01
1781450571.6859539,0.79,0.88,0.93
1781450571.7743592,0.75,0.88,1.02
1781450571.8740888,0.69,0.9,1.0
1781450571.9754975,0.65,0.89,1.08
1781450572.0745678,0.61,0.92,1.02
1781450572.1755404,0.57,0.9,1.14
1781450572.2801597,0.52,0.87,1.17
1781450572.3751059,0.45,0.84,1.18
1781450572.474783,0.43,0.8,1.25
1781450572.5744083,0.34,0.78,1.12
1781450572.6757727,0.31,0.71,1.16
1781450572.7742422,0.29,0.64,1.19
1781450572.8745482,0.25,0.62,1.07
1781450572.975431,0.13,0.58,0.97
1781450573.0746186,0.04,0.51,0.98
1781450573.1742675,-0.03,0.44,1.06
1781450573.2741227,-0.07,0.37,1.13
1781450573.375756,-0.06,0.32,1.13
1781450573.474928,-0.09,0.3,0.98
1781450573.5754929,-0.09,0.24,0.92
1781450573.6881769,-0.12,0.21,0.79
1781450573.7755737,-0.07,0.09,0.88
1781450573.8910236,-0.08,0.05,0.77
1781450573.9758387,-0.07,-0.02,0.77
1781450574.0958452,-0.06,-0.13,0.87
1781450574.1757808,-0.04,-0.17,0.76
1781450574.2850435,-0.05,-0.23,0.67
1781450574.375543,0.01,-0.33,0.77
1781450574.476432,0.06,-0.42,0.86
1781450574.5741944,0.09,-0.45,0.74
1781450574.675954,0.15,-0.48,0.64
