Time,POSX,POSY,POSZ
1781449843.703521,-1.1226,0.5927,0.0801
1781449843.7089002,-1.1226,0.5927,0.0801
1781449843.7144864,-1.1226,0.5928,0.0801
1781449843.7199762,-1.1226,0.5928,0.0801
1781449843.726,-1.1226,0.5928,0.0801
1781449843.730817,-1.1226,0.5927,0.0801
1781449843.736345,-1.1226,0.5927,0.0801
1781449843.7419298,-1.1225,0.5928,0.0803
1781449843.747941,-1.1226,0.5927,0.0801
1781449843.7532487,-1.1225,0.5928,0.0802
1781449843.758881,-1.1225,0.5928,0.0803
1781449843.7641656,-1.1226,0.5928,0.0801
1781449843.7695644,-1.1226,0.5928,0.0801
1781449843.7752368,-1.1226,0.5928,0.0801
1781449843.7814627,-1.1226,0.5928,0.0801
1781449843.7863882,-1.1226,0.5927,0.0801
1781449843.796174,-1.1226,0.5927,0.0802
1781449843.79906,-1.1226,0.5927,0.0801
1781449843.8038023,-1.1226,0.5927,0.0802
1781449843.8219528,-1.1226,0.5928,0.0801
1781449843.8222985,-1.1226,0.5928,0.0801
1781449843.822609,-1.1226,0.5927,0.0801
1781449843.8254554,-1.1226,0.5928,0.0801
1781449843.8304262,-1.1226,0.5927,0.0802
1781449843.8372967,-1.1226,0.5927,0.0802
1781449843.8420599,-1.1225,0.5928,0.0803
1781449843.8477225,-1.1226,0.5928,0.0801
1781449843.8530853,-1.1226,0.5927,0.0801
1781449843.8586664,-1.1226,0.5927,0.0802
1781449843.8644216,-1.1226,0.5927,0.0801
1781449843.8696787,-1.1226,0.5928,0.0801
1781449843.8756747,-1.1225,0.5927,0.0803
1781449843.8807068,-1.1226,0.5928,0.0801
1781449843.8867044,-1.1226,0.5927,0.0802
1781449843.8918765,-1.1226,0.5927,0.0802
1781449843.897367,-1.1225,0.5927,0.0804
1781449843.9025748,-1.1226,0.5927,0.08
1781449843.9082594,-1.1226,0.5928,0.0801
1781449843.914319,-1.1226,0.5928,0.0801
1781449843.91986,-1.1225,0.5928,0.0803
1781449843.9253788,-1.1225,0.5928,0.0803
1781449843.9374893,-1.1226,0.5927,0.0801
1781449843.9383228,-1.1226,0.5927,0.0802
1781449843.9429402,-1.1225,0.5927,0.0803
1781449843.9486735,-1.1226,0.5928,0.0801
1781449843.9532318,-1.1226,0.5927,0.0801
1781449843.9587615,-1.1226,0.5927,0.0802
1781449843.964139,-1.1226,0.5928,0.0801
1781449843.9692652,-1.1226,0.5928,0.0801
1781449843.9754913,-1.1226,0.5928,0.0801
1781449843.981317,-1.1226,0.5927,0.0801
1781449843.9864006,-1.1225,0.5927,0.0804
1781449843.9916584,-1.1226,0.5927,0.0802
1781449843.9967651,-1.1226,0.5928,0.0802
1781449844.0027874,-1.1225,0.5928,0.0803
1781449844.0089967,-1.1225,0.5928,0.0803
1781449844.014083,-1.1225,0.5927,0.0803
1781449844.0197868,-1.1226,0.5928,0.0801
1781449844.0249581,-1.1226,0.5928,0.0801
1781449844.030058,-1.1225,0.5928,0.0803
1781449844.0360165,-1.1225,0.5928,0.0803
1781449844.0423365,-1.1226,0.5927,0.0802
1781449844.0473633,-1.1226,0.5928,0.0802
1781449844.0526836,-1.1226,0.5928,0.0801
1781449844.0579982,-1.1226,0.5927,0.0802
1781449844.063402,-1.1226,0.5927,0.0802
1781449844.0750227,-1.1226,0.5927,0.0802
1781449844.0755198,-1.1225,0.5928,0.0803
1781449844.08071,-1.1225,0.5928,0.0803
1781449844.0861495,-1.1226,0.5927,0.0802
1781449844.0936418,-1.1226,0.5927,0.0801
1781449844.0974102,-1.1227,0.5927,0.0802
1781449844.1032917,-1.1225,0.5928,0.0802
1781449844.1092567,-1.1226,0.5928,0.0801
1781449844.1142845,-1.1226,0.5927,0.0802
1781449844.1199305,-1.1225,0.5927,0.0804
1781449844.1254034,-1.1226,0.5927,0.0801
1781449844.1306255,-1.1226,0.5927,0.0802
1781449844.136563,-1.1226,0.5928,0.0801
1781449844.1419137,-1.1226,0.5927,0.0802
1781449844.147616,-1.1226,0.5928,0.0801
1781449844.1527088,-1.1226,0.5928,0.0801
1781449844.1581872,-1.1226,0.5927,0.0802
1781449844.1641476,-1.1226,0.5928,0.0801
1781449844.1694765,-1.1225,0.5927,0.0804
1781449844.175195,-1.1225,0.5927,0.0803
1781449844.1804624,-1.1226,0.5927,0.0801
1781449844.1856396,-1.1226,0.5927,0.0801
1781449844.1913292,-1.1226,0.5927,0.0802
1781449844.1978052,-1.1226,0.5928,0.0801
1781449844.2027893,-1.1226,0.5928,0.0801
1781449844.2141228,-1.1226,0.5927,0.0801
1781449844.2383015,-1.1226,0.5927,0.0802
1781449844.2386603,-1.1226,0.5928,0.0801
1781449844.2389612,-1.1225,0.5928,0.0802
1781449844.2392511,-1.1226,0.5928,0.0801
1781449844.2395456,-1.1226,0.5927,0.0802
1781449844.241315,-1.1226,0.5927,0.0802
1781449844.2472456,-1.1226,0.5927,0.0801
1781449844.2522078,-1.1226,0.5928,0.0801
1781449844.2588468,-1.1226,0.5927,0.0802
1781449844.2642336,-1.1226,0.5927,0.0802
1781449844.2695453,-1.1226,0.5927,0.0801
1781449844.2747254,-1.1226,0.5928,0.0801
1781449844.2800832,-1.1226,0.5928,0.0801
1781449844.2859344,-1.1226,0.5928,0.0801
1781449844.291979,-1.1226,0.5928,0.0801
1781449844.2973373,-1.1226,0.5927,0.0802
1781449844.302586,-1.1226,0.5927,0.0802
1781449844.3079746,-1.1226,0.5927,0.0801
1781449844.3137774,-1.1226,0.5927,0.0802
1781449844.320206,-1.1225,0.5928,0.0802
1781449844.3252552,-1.1226,0.5928,0.0801
1781449844.3306844,-1.1226,0.5928,0.0801
