Time,POSX,POSY,POSZ
1781449847.2298746,-1.25,0.59,0.16
1781449847.2316902,-1.28,0.58,0.17
1781449847.234596,-1.25,0.6,0.18
1781449847.2368448,-1.21,0.62,0.19
1781449847.2388897,-1.22,0.6,0.18
1781449847.2410686,-1.21,0.61,0.2
1781449847.2753105,-1.23,0.61,0.18
1781449847.2780092,-1.24,0.6,0.16
1781449847.2793427,-1.23,0.61,0.16
1781449847.2825224,-1.25,0.61,0.14
1781449847.2873952,-1.25,0.6,0.16
1781449847.3769073,-1.25,0.59,0.14
1781449847.4761376,-1.27,0.59,0.14
1781449847.5762408,-1.28,0.58,0.16
1781449847.6757386,-1.29,0.57,0.19
1781449847.7763906,-1.27,0.58,0.19
1781449847.8756523,-1.27,0.58,0.17
1781449847.9759817,-1.24,0.6,0.19
1781449848.0863273,-1.24,0.61,0.15
1781449848.1756685,-1.22,0.63,0.16
1781449848.276131,-1.22,0.62,0.14
1781449848.3774161,-1.25,0.6,0.15
1781449848.4769406,-1.21,0.61,0.18
1781449848.5766823,-1.22,0.62,0.16
1781449848.6790287,-1.22,0.62,0.14
1781449848.7759233,-1.21,0.6,0.23
1781449848.8759818,-1.24,0.58,0.22
1781449848.976862,-1.21,0.57,0.29
1781449849.0767746,-1.21,0.58,0.25
1781449849.1947842,-1.24,0.57,0.26
1781449849.27635,-1.26,0.56,0.22
1781449849.381688,-1.26,0.57,0.2
1781449849.4766245,-1.26,0.58,0.17
1781449849.5763488,-1.29,0.57,0.2
1781449849.6755536,-1.29,0.57,0.19
1781449849.7767549,-1.24,0.59,0.22
1781449849.876183,-1.23,0.61,0.21
1781449849.9769478,-1.2,0.62,0.2
1781449850.076069,-1.2,0.63,0.19
1781449850.1767263,-1.19,0.64,0.19
1781449850.2818186,-1.21,0.62,0.17
1781449850.3759217,-1.19,0.64,0.16
1781449850.4768815,-1.18,0.65,0.18
1781449850.5777118,-1.19,0.63,0.16
1781449850.676417,-1.2,0.63,0.16
1781449850.7761154,-1.22,0.63,0.14
1781449850.8763077,-1.22,0.61,0.12
1781449850.975719,-1.22,0.62,0.14
1781449851.0767515,-1.2,0.62,0.13
1781449851.1799066,-1.26,0.58,0.09
1781449851.2756348,-1.21,0.61,0.14
1781449851.3766744,-1.22,0.61,0.14
1781449851.4767392,-1.22,0.58,0.16
1781449851.5761614,-1.2,0.61,0.15
1781449851.6761048,-1.25,0.58,0.13
1781449851.7759047,-1.27,0.59,0.1
1781449851.8786337,-1.29,0.59,0.25
1781449851.9764948,-1.28,0.61,0.2
1781449852.0767398,-1.29,0.61,0.25
1781449852.1786702,-1.27,0.63,0.29
1781449852.276843,-1.27,0.64,0.32
1781449852.3760288,-1.23,0.64,0.28
1781449852.4756427,-1.28,0.65,0.36
1781449852.5761738,-1.36,0.68,0.51
1781449852.676851,-1.33,0.67,0.39
1781449852.7756622,-1.31,0.66,0.33
1781449852.8780174,-1.3,0.64,0.26
1781449852.9763482,-1.29,0.64,0.28
1781449853.0758455,-1.27,0.64,0.21
1781449853.175891,-1.26,0.63,0.16
1781449853.2769158,-1.24,0.63,0.18
1781449853.376198,-1.21,0.61,0.21
1781449853.476584,-1.24,0.55,0.35
1781449853.5764213,-1.25,0.51,0.4
1781449853.6760657,-1.28,0.45,0.51
1781449853.776385,-1.25,0.41,0.56
1781449853.877295,-1.24,0.36,0.61
