Time,POSX,POSY,POSZ
1781451684.3360424,-0.9265,-0.3537,0.0839
1781451684.3414762,-0.9265,-0.3537,0.0839
1781451684.3469417,-0.9265,-0.3537,0.0839
1781451684.3520992,-0.9266,-0.3537,0.0839
1781451684.357633,-0.9265,-0.3537,0.0839
1781451684.3631203,-0.9265,-0.3537,0.0839
1781451684.3686228,-0.9266,-0.3537,0.0839
1781451684.3741584,-0.9265,-0.3537,0.0839
1781451684.3799937,-0.9265,-0.3537,0.0839
1781451684.3851144,-0.9265,-0.3537,0.0839
1781451684.3912206,-0.9265,-0.3537,0.0839
1781451684.3967552,-0.9265,-0.3537,0.0839
1781451684.4022715,-0.9265,-0.3537,0.0839
1781451684.407175,-0.9266,-0.3537,0.0839
1781451684.413118,-0.9265,-0.3537,0.0839
1781451684.419669,-0.9265,-0.3537,0.0839
1781451684.4321527,-0.9265,-0.3537,0.0839
1781451684.432674,-0.9265,-0.3537,0.0839
1781451684.4354162,-0.9265,-0.3537,0.0839
1781451684.4430528,-0.9265,-0.3537,0.0839
1781451684.4665594,-0.9265,-0.3537,0.0839
1781451684.467093,-0.9265,-0.3537,0.0839
1781451684.467424,-0.9265,-0.3537,0.0839
1781451684.4677472,-0.9265,-0.3537,0.0839
1781451684.4680734,-0.9265,-0.3537,0.0839
1781451684.475556,-0.9265,-0.3537,0.0839
1781451684.4801655,-0.9265,-0.3537,0.0839
1781451684.48582,-0.9265,-0.3537,0.0839
1781451684.4912999,-0.9265,-0.3537,0.0839
1781451684.4963207,-0.9266,-0.3537,0.0839
1781451684.5019925,-0.9265,-0.3537,0.0839
1781451684.5077522,-0.9265,-0.3537,0.0839
1781451684.5133457,-0.9265,-0.3537,0.0839
1781451684.51883,-0.9265,-0.3537,0.0839
1781451684.5245426,-0.9265,-0.3537,0.0839
1781451684.529626,-0.9265,-0.3537,0.0839
1781451684.5353262,-0.9265,-0.3537,0.0839
1781451684.5410252,-0.9265,-0.3537,0.0839
1781451684.5465617,-0.9265,-0.3537,0.0839
1781451684.5522397,-0.9265,-0.3537,0.0839
1781451684.5581973,-0.9265,-0.3537,0.0839
1781451684.5631957,-0.9265,-0.3537,0.0839
1781451684.5688586,-0.9266,-0.3537,0.0839
1781451684.5743263,-0.9265,-0.3537,0.0839
1781451684.5848925,-0.9265,-0.3537,0.0839
1781451684.585462,-0.9265,-0.3537,0.0839
1781451684.5908334,-0.9265,-0.3537,0.0839
1781451684.5961545,-0.9265,-0.3537,0.0839
1781451684.6038651,-0.9265,-0.3537,0.0839
1781451684.6075494,-0.9265,-0.3537,0.0839
1781451684.6131175,-0.9265,-0.3537,0.0839
1781451684.6185167,-0.9266,-0.3537,0.0839
1781451684.623513,-0.9265,-0.3537,0.0839
1781451684.6292577,-0.9265,-0.3537,0.0839
1781451684.6349132,-0.9265,-0.3537,0.0839
1781451684.6409864,-0.9265,-0.3537,0.0839
1781451684.6459136,-0.9266,-0.3537,0.0839
1781451684.6514974,-0.9265,-0.3537,0.0839
1781451684.6569495,-0.9265,-0.3537,0.0839
1781451684.6626892,-0.9265,-0.3537,0.0839
1781451684.668382,-0.9265,-0.3537,0.0839
1781451684.6741192,-0.9265,-0.3537,0.0839
1781451684.6794248,-0.9266,-0.3537,0.0839
1781451684.6849296,-0.9265,-0.3537,0.0839
1781451684.6904037,-0.9265,-0.3537,0.0839
1781451684.696269,-0.9265,-0.3537,0.0839
1781451684.7017434,-0.9265,-0.3537,0.0839
1781451684.707109,-0.9265,-0.3537,0.0839
1781451684.7124414,-0.9265,-0.3537,0.0839
1781451684.7256505,-0.9265,-0.3537,0.0839
1781451684.7265236,-0.9265,-0.3537,0.0839
1781451684.7314794,-0.9265,-0.3537,0.0839
1781451684.7348676,-0.9265,-0.3537,0.0839
1781451684.7420695,-0.9265,-0.3537,0.0839
1781451684.7459123,-0.9265,-0.3537,0.0839
1781451684.7512426,-0.9265,-0.3537,0.0839
1781451684.7575922,-0.9265,-0.3537,0.0839
1781451684.7627258,-0.9265,-0.3537,0.0839
1781451684.7685032,-0.9265,-0.3537,0.0839
1781451684.7742465,-0.9265,-0.3537,0.0839
1781451684.780471,-0.9265,-0.3537,0.0839
1781451684.784828,-0.9265,-0.3537,0.0839
1781451684.8362572,-0.9265,-0.3537,0.0839
1781451684.8370645,-0.9265,-0.3537,0.0839
1781451684.8406634,-0.9265,-0.3537,0.0839
1781451684.8414576,-0.9265,-0.3537,0.0839
1781451684.8421404,-0.9265,-0.3537,0.0839
1781451684.8427653,-0.9266,-0.3537,0.0839
1781451684.8433642,-0.9265,-0.3537,0.0839
1781451684.849443,-0.9266,-0.3537,0.0839
1781451684.8501768,-0.9265,-0.3537,0.0839
1781451684.8710074,-0.9265,-0.3537,0.0839
1781451684.931526,-0.9265,-0.3537,0.0839
1781451684.9321995,-0.9265,-0.3537,0.0839
1781451684.9328022,-0.9265,-0.3537,0.0839
1781451684.9340608,-0.9265,-0.3537,0.0839
1781451684.9349031,-0.9265,-0.3537,0.0839
1781451684.9354944,-0.9265,-0.3537,0.0839
1781451684.9360788,-0.9265,-0.3537,0.0839
1781451684.9366715,-0.9265,-0.3537,0.0839
1781451684.937269,-0.9265,-0.3537,0.0839
1781451684.93787,-0.9266,-0.3537,0.0839
1781451684.9385295,-0.9265,-0.3537,0.0839
1781451684.9391017,-0.9265,-0.3537,0.0839
1781451684.9396777,-0.9266,-0.3537,0.0839
1781451684.940358,-0.9265,-0.3537,0.0839
1781451684.9409041,-0.9265,-0.3537,0.0839
1781451684.9414508,-0.9265,-0.3537,0.0839
1781451684.9625478,-0.9266,-0.3537,0.0839
1781451684.963797,-0.9265,-0.3537,0.0839
1781451684.9645386,-0.9265,-0.3537,0.0839
1781451685.0309138,-0.9265,-0.3537,0.0839
1781451685.1091948,-0.9265,-0.3537,0.0839
1781451685.1099625,-0.9265,-0.3537,0.0839
1781451685.1105683,-0.9265,-0.3537,0.0839
1781451685.1110802,-0.9265,-0.3537,0.0839
1781451685.1115978,-0.9265,-0.3537,0.0839
1781451685.1121027,-0.9265,-0.3537,0.0839
1781451685.112662,-0.9265,-0.3537,0.0839
1781451685.1133,-0.9265,-0.3537,0.0839
1781451685.2243712,-0.9265,-0.3537,0.0839
1781451685.2904046,-0.9265,-0.3537,0.0839
1781451685.2911232,-0.9265,-0.3537,0.0839
1781451685.2917624,-0.9265,-0.3537,0.0839
1781451685.292328,-0.9265,-0.3537,0.0839
1781451685.293868,-0.9265,-0.3537,0.0839
1781451685.2945254,-0.9265,-0.3537,0.0839
1781451685.2951765,-0.9265,-0.3537,0.0839
1781451685.2957764,-0.9265,-0.3537,0.0839
1781451685.296329,-0.9265,-0.3537,0.0839
1781451685.2968934,-0.9265,-0.3537,0.0839
1781451685.3752978,-0.9265,-0.3537,0.0839
1781451685.3774743,-0.9265,-0.3537,0.0839
1781451685.3782465,-0.9265,-0.3537,0.0839
1781451685.3789406,-0.9265,-0.3537,0.0839
1781451685.3796241,-0.9266,-0.3537,0.0839
1781451685.3802567,-0.9265,-0.3537,0.0839
1781451685.3808959,-0.9265,-0.3537,0.0839
1781451685.381542,-0.9265,-0.3537,0.0839
1781451685.3853776,-0.9265,-0.3537,0.0839
