Time,POSX,POSY,POSZ
1781451687.9410257,-0.87,-0.41,0.4
1781451687.9457538,-0.83,-0.41,0.48
1781451687.9489465,-0.81,-0.4,0.5
1781451687.9524937,-0.81,-0.39,0.5
1781451687.9546695,-0.86,-0.42,0.51
1781451687.9565816,-0.86,-0.4,0.43
1781451687.9594564,-0.85,-0.38,0.38
1781451687.9643817,-0.89,-0.41,0.25
1781451687.9665816,-0.86,-0.42,0.35
1781451687.9697325,-0.87,-0.42,0.35
1781451687.977527,-0.87,-0.41,0.29
1781451688.0769792,-0.88,-0.4,0.25
1781451688.1773827,-0.86,-0.39,0.28
1781451688.2766654,-0.86,-0.39,0.28
1781451688.3763633,-0.91,-0.43,0.34
1781451688.4860587,-0.88,-0.4,0.35
1781451688.5774307,-0.87,-0.38,0.37
1781451688.6762426,-0.9,-0.4,0.41
1781451688.7846062,-0.88,-0.4,0.43
1781451688.876362,-0.91,-0.43,0.45
1781451688.9773436,-0.87,-0.4,0.47
1781451689.0809863,-0.9,-0.42,0.5
1781451689.1763787,-0.92,-0.43,0.49
1781451689.2762673,-0.9,-0.41,0.45
1781451689.3776207,-0.9,-0.41,0.38
1781451689.4761653,-0.87,-0.39,0.4
1781451689.5762253,-0.84,-0.37,0.46
1781451689.676922,-0.89,-0.4,0.49
1781451689.7771447,-0.88,-0.41,0.46
1781451689.876433,-0.87,-0.4,0.4
1781451689.9769742,-0.89,-0.41,0.41
1781451690.0761938,-0.94,-0.43,0.43
1781451690.1772618,-0.95,-0.45,0.54
1781451690.2767296,-0.9,-0.41,0.7
1781451690.3770168,-0.85,-0.42,0.77
1781451690.4773216,-0.79,-0.42,0.82
1781451690.5791252,-0.7,-0.42,0.87
1781451690.6770592,-0.58,-0.43,0.92
1781451690.7759156,-0.47,-0.44,1.04
1781451690.876868,-0.4,-0.39,1.09
1781451690.9774165,-0.3,-0.4,1.14
1781451691.0773952,-0.29,-0.33,1.16
1781451691.1765158,-0.26,-0.31,1.19
1781451691.276616,-0.24,-0.28,1.23
1781451691.3765407,-0.21,-0.27,1.28
1781451691.4760773,-0.06,-0.34,1.35
1781451691.576638,0.04,-0.37,1.41
1781451691.677169,0.16,-0.41,1.41
1781451691.7789128,0.23,-0.41,1.44
1781451691.8773212,0.13,-0.32,1.26
1781451691.9761877,0.15,-0.34,1.32
1781451692.076417,0.11,-0.32,1.35
1781451692.1765292,0.08,-0.31,1.35
1781451692.2759807,0.07,-0.28,1.34
1781451692.3762186,0.18,-0.33,1.4
1781451692.4772067,0.29,-0.37,1.42
1781451692.5770123,0.24,-0.36,1.39
1781451692.6759734,0.13,-0.27,1.2
1781451692.7773633,0.16,-0.32,1.29
1781451692.8766026,0.26,-0.34,1.4
1781451692.9770765,0.18,-0.27,1.25
1781451693.0760183,0.17,-0.24,1.29
1781451693.17649,0.17,-0.3,1.36
1781451693.277127,0.17,-0.33,1.42
1781451693.3765311,0.17,-0.29,1.42
1781451693.4772017,0.31,-0.35,1.46
1781451693.587227,0.33,-0.32,1.45
1781451693.677122,0.24,-0.34,1.41
1781451693.77731,0.19,-0.28,1.22
1781451693.8852956,0.28,-0.32,1.33
1781451693.9769287,0.23,-0.32,1.38
1781451694.076313,0.13,-0.23,1.14
1781451694.1859658,0.24,-0.29,1.26
1781451694.2764223,0.2,-0.27,1.32
1781451694.3764834,0.16,-0.32,1.38
1781451694.4771256,0.15,-0.34,1.44
1781451694.5764968,0.16,-0.35,1.49
1781451694.6761768,0.17,-0.38,1.54
1781451694.7769315,0.3,-0.41,1.6
1781451694.8764648,0.31,-0.33,1.52
1781451694.975886,0.25,-0.33,1.48
1781451695.0758207,0.17,-0.24,1.22
1781451695.1765335,0.19,-0.23,1.23
1781451695.2760153,0.18,-0.21,1.21
1781451695.3861887,0.21,-0.19,1.21
1781451695.4773347,0.23,-0.17,1.2
1781451695.5768683,0.16,-0.14,0.99
1781451695.6764503,0.2,-0.18,1.09
1781451695.7760878,0.24,-0.2,1.14
1781451695.8765101,0.28,-0.26,1.23
1781451695.9765105,0.35,-0.3,1.26
1781451696.077098,0.41,-0.34,1.3
1781451696.1759343,0.42,-0.35,1.32
1781451696.277257,0.39,-0.43,1.35
1781451696.3773248,0.42,-0.43,1.37
1781451696.477074,0.47,-0.45,1.39
1781451696.5769558,0.48,-0.44,1.41
1781451696.6762214,0.48,-0.44,1.42
1781451696.7762055,0.49,-0.44,1.43
1781451696.8763504,0.51,-0.43,1.43
1781451696.9762156,0.52,-0.42,1.44
1781451697.0763943,0.54,-0.44,1.44
1781451697.175904,0.56,-0.43,1.45
1781451697.2771695,0.59,-0.44,1.46
1781451697.3758588,0.6,-0.44,1.49
1781451697.4760487,0.61,-0.4,1.49
1781451697.5854914,0.62,-0.38,1.51
1781451697.6758332,0.64,-0.37,1.52
1781451697.7768679,0.66,-0.36,1.52
1781451697.88215,0.67,-0.37,1.54
1781451697.9758284,0.68,-0.37,1.51
1781451698.076072,0.7,-0.37,1.49
1781451698.1766577,0.7,-0.38,1.47
1781451698.276708,0.72,-0.39,1.47
1781451698.3763335,0.72,-0.42,1.45
1781451698.4770916,0.73,-0.44,1.43
1781451698.5770574,0.75,-0.45,1.41
1781451698.6771429,0.76,-0.48,1.41
1781451698.7772987,0.77,-0.49,1.4
1781451698.8772995,0.78,-0.51,1.39
1781451698.9759574,0.81,-0.47,1.34
1781451699.0762448,0.82,-0.48,1.37
1781451699.1770897,0.82,-0.48,1.4
1781451699.277357,0.8,-0.45,1.43
1781451699.3787856,0.8,-0.42,1.45
1781451699.4767814,0.79,-0.38,1.4
1781451699.57686,0.78,-0.34,1.38
1781451699.6768858,0.78,-0.31,1.38
1781451699.776469,0.8,-0.29,1.37
1781451699.8767347,0.85,-0.27,1.34
1781451699.9764805,0.88,-0.22,1.38
1781451700.0760424,0.94,-0.14,1.38
1781451700.1770868,0.96,-0.12,1.3
1781451700.2770684,0.99,-0.07,1.41
1781451700.3765352,1.04,0.0,1.41
1781451700.4770114,1.1,0.04,1.36
1781451700.5768297,1.15,0.09,1.3
1781451700.6759992,1.17,0.16,1.38
1781451700.77665,1.16,0.25,1.48
1781451700.877333,1.16,0.32,1.52
1781451700.9794433,1.17,0.37,1.44
1781451701.0761766,1.14,0.44,1.5
1781451701.1761851,1.11,0.51,1.55
1781451701.2763088,1.08,0.58,1.58
1781451701.3763168,1.04,0.62,1.62
1781451701.477947,1.0,0.67,1.64
1781451701.5773191,0.95,0.7,1.55
1781451701.6768572,0.86,0.73,1.47
1781451701.776073,0.77,0.75,1.51
1781451701.8763077,0.66,0.72,1.44
1781451701.976412,0.46,0.65,1.42
1781451702.0764484,0.4,0.64,1.43
1781451702.176,0.33,0.58,1.4
1781451702.2765384,0.28,0.55,1.37
1781451702.3760412,0.26,0.45,1.43
1781451702.4764464,0.16,0.38,1.46
1781451702.5784552,0.06,0.27,1.39
1781451702.675987,-0.04,0.2,1.33
1781451702.776736,-0.14,0.11,1.29
1781451702.8770392,-0.2,0.04,1.27
1781451702.97741,-0.24,-0.01,1.25
1781451703.0759993,-0.27,-0.07,1.25
1781451703.1848483,-0.33,-0.08,1.25
1781451703.2772453,-0.34,-0.12,1.25
1781451703.3763154,-0.31,-0.11,1.26
1781451703.4759927,-0.27,-0.11,1.27
1781451703.5763893,-0.23,-0.12,1.27
1781451703.6762435,-0.18,-0.11,1.33
1781451703.7764897,-0.16,-0.08,1.34
1781451703.8763363,-0.14,-0.09,1.37
1781451703.976129,-0.11,-0.07,1.41
1781451704.0773597,-0.07,-0.08,1.41
1781451704.1760135,-0.07,-0.08,1.42
1781451704.2764573,-0.06,-0.11,1.41
1781451704.3773463,-0.06,-0.14,1.43
1781451704.47728,-0.05,-0.19,1.42
1781451704.576145,-0.06,-0.24,1.34
1781451704.6761465,-0.13,-0.29,1.28
1781451704.7773676,-0.26,-0.31,1.24
1781451704.8759441,-0.4,-0.3,1.18
1781451704.976598,-0.57,-0.27,1.04
1781451705.0763588,-0.67,-0.2,1.02
1781451705.176219,-0.74,-0.07,1.01
1781451705.2768095,-0.78,0.08,0.94
1781451705.3773715,-0.83,0.24,0.94
1781451705.4760392,-0.86,0.39,1.0
1781451705.5769467,-0.85,0.53,0.94
1781451705.6773045,-0.85,0.64,0.95
1781451705.7773893,-0.9,0.76,1.19
1781451705.8759143,-0.91,0.83,1.39
1781451705.9772322,-0.8,0.76,1.48
1781451706.077324,-0.7,0.69,1.53
1781451706.1769526,-0.56,0.59,1.65
1781451706.2762473,-0.45,0.46,1.72
1781451706.377309,-0.38,0.36,1.7
1781451706.476849,-0.3,0.26,1.65
1781451706.576921,-0.24,0.17,1.61
1781451706.676103,-0.2,0.08,1.58
1781451706.7855284,-0.18,0.02,1.55
1781451706.8764596,-0.19,-0.02,1.52
1781451706.9767542,-0.19,-0.07,1.51
1781451707.078659,-0.2,-0.1,1.53
1781451707.1761656,-0.22,-0.15,1.53
1781451707.2763822,-0.24,-0.19,1.53
1781451707.376701,-0.24,-0.22,1.53
1781451707.47739,-0.23,-0.24,1.54
1781451707.5771952,-0.24,-0.26,1.55
1781451707.6759415,-0.25,-0.26,1.54
1781451707.776913,-0.27,-0.25,1.56
1781451707.876449,-0.29,-0.21,1.6
1781451707.9762897,-0.34,-0.18,1.6
1781451708.0768454,-0.39,-0.11,1.62
1781451708.1766975,-0.44,-0.07,1.61
1781451708.2774732,-0.48,-0.03,1.62
1781451708.3762388,-0.53,0.0,1.61
1781451708.4771676,-0.57,0.02,1.58
1781451708.5781791,-0.6,0.01,1.6
1781451708.6758919,-0.62,0.02,1.58
1781451708.7765253,-0.65,0.02,1.56
1781451708.8767145,-0.66,0.01,1.56
1781451708.9769003,-0.67,0.01,1.57
1781451709.0763617,-0.67,0.0,1.53
1781451709.1836634,-0.68,0.0,1.51
1781451709.277053,-0.7,0.03,1.5
1781451709.375829,-0.7,0.06,1.48
1781451709.482356,-0.72,0.1,1.48
1781451709.5768008,-0.72,0.15,1.5
1781451709.6770113,-0.72,0.21,1.55
1781451709.7764583,-0.71,0.27,1.52
1781451709.8760273,-0.69,0.32,1.55
1781451709.9771605,-0.65,0.37,1.52
1781451710.076636,-0.61,0.39,1.48
1781451710.1760375,-0.58,0.45,1.48
1781451710.277247,-0.54,0.49,1.47
1781451710.376145,-0.5,0.5,1.5
1781451710.476752,-0.45,0.54,1.46
1781451710.5769718,-0.42,0.58,1.43
1781451710.6768894,-0.38,0.61,1.37
1781451710.776893,-0.35,0.62,1.33
1781451710.8758483,-0.36,0.64,1.32
1781451710.9813683,-0.36,0.68,1.37
1781451711.0766728,-0.37,0.7,1.4
1781451711.1769853,-0.38,0.72,1.36
1781451711.2769227,-0.36,0.76,1.33
1781451711.3773549,-0.35,0.78,1.32
1781451711.4757988,-0.29,0.82,1.29
1781451711.5859885,-0.25,0.86,1.33
1781451711.6769133,-0.18,0.9,1.24
1781451711.776298,-0.14,0.94,1.24
1781451711.8766515,-0.11,0.97,1.27
1781451711.9762647,-0.09,0.98,1.28
1781451712.0773892,-0.06,1.0,1.29
1781451712.1782167,-0.04,1.0,1.29
1781451712.2772384,-0.02,1.01,1.3
1781451712.3766227,-0.02,1.04,1.35
1781451712.4758565,0.02,1.03,1.37
1781451712.5760128,0.05,1.02,1.35
1781451712.6760223,0.07,1.04,1.35
1781451712.7853272,0.11,1.05,1.4
1781451712.8762689,0.16,1.06,1.43
1781451712.9762564,0.21,1.06,1.45
1781451713.0766976,0.23,1.08,1.47
1781451713.1758287,0.28,1.12,1.49
1781451713.276531,0.32,1.07,1.5
1781451713.3810892,0.52,1.15,1.55
1781451713.4770112,0.55,1.11,1.61
1781451713.5768998,0.59,1.08,1.64
1781451713.6852064,0.65,1.07,1.65
1781451713.7764235,0.68,1.04,1.66
1781451713.8766663,0.74,0.99,1.61
1781451713.985511,0.8,0.98,1.62
1781451714.0766206,0.83,0.96,1.64
1781451714.1757348,0.88,0.95,1.62
1781451714.285563,0.9,0.92,1.66
1781451714.375752,0.96,0.89,1.48
1781451714.4764292,0.94,0.85,1.26
1781451714.5833004,1.03,0.76,1.24
1781451714.6757274,1.06,0.72,1.22
1781451714.7769866,1.1,0.64,1.22
1781451714.897641,1.13,0.57,1.2
1781451714.976299,1.15,0.53,1.21
1781451715.081685,1.17,0.5,1.21
1781451715.1777182,1.18,0.46,1.17
1781451715.2878685,1.18,0.45,1.18
1781451715.377294,1.19,0.43,1.17
1781451715.476418,1.21,0.39,1.17
1781451715.5774062,1.22,0.35,1.15
1781451715.6762738,1.24,0.31,1.13
1781451715.7778046,1.25,0.26,1.12
1781451715.8771365,1.24,0.22,1.11
1781451715.9770336,1.22,0.16,1.13
1781451716.075935,1.21,0.11,1.12
1781451716.1759677,1.18,0.03,1.17
1781451716.2775073,1.18,-0.04,1.16
1781451716.3761342,1.19,-0.09,1.17
1781451716.4774537,1.18,-0.15,1.21
1781451716.5865602,1.13,-0.21,1.3
1781451716.676806,1.11,-0.26,1.33
1781451716.7760913,1.08,-0.31,1.36
1781451716.8758402,1.04,-0.32,1.39
1781451716.9764638,1.02,-0.34,1.41
1781451717.0776968,0.99,-0.35,1.45
1781451717.1773617,0.98,-0.36,1.47
