Time,POSX,POSY,POSZ
1781450946.521579,0.98,-0.48,0.44
1781450946.523543,0.99,-0.49,0.49
1781450946.5277069,0.97,-0.49,0.56
1781450946.5316942,0.98,-0.49,0.55
1781450946.5336745,0.97,-0.49,0.54
1781450946.5365906,0.99,-0.48,0.5
1781450946.5394254,0.99,-0.47,0.47
1781450946.5427177,0.99,-0.48,0.45
1781450946.5455682,1.0,-0.49,0.44
1781450946.5480487,1.0,-0.48,0.47
1781450946.578659,0.99,-0.49,0.42
1781450946.6752589,1.0,-0.49,0.42
1781450946.7741473,0.99,-0.5,0.41
1781450946.8759265,1.0,-0.49,0.34
1781450946.9741035,1.0,-0.49,0.28
1781450947.074411,0.98,-0.5,0.41
1781450947.174458,0.96,-0.49,0.46
1781450947.275463,0.97,-0.48,0.45
1781450947.3738565,0.98,-0.47,0.36
1781450947.4767199,0.96,-0.47,0.38
1781450947.5742712,0.97,-0.47,0.31
1781450947.6752088,0.99,-0.47,0.34
1781450947.7748415,0.99,-0.47,0.36
1781450947.8746717,0.99,-0.47,0.37
1781450947.9749737,0.98,-0.46,0.38
1781450948.0743861,0.98,-0.46,0.39
1781450948.176075,0.98,-0.46,0.4
1781450948.275321,0.98,-0.46,0.32
1781450948.3764024,0.99,-0.44,0.29
1781450948.4753537,1.0,-0.46,0.25
1781450948.5756824,1.01,-0.48,0.33
1781450948.6749494,0.98,-0.47,0.37
1781450948.7744617,0.98,-0.48,0.29
1781450948.8770294,1.0,-0.49,0.4
1781450948.974138,1.0,-0.5,0.38
1781450949.0748923,1.0,-0.5,0.38
1781450949.1846087,0.99,-0.5,0.36
1781450949.2752202,0.99,-0.5,0.29
1781450949.3748736,0.99,-0.5,0.34
1781450949.4740827,1.0,-0.51,0.27
1781450949.5738878,0.98,-0.49,0.3
1781450949.673894,0.99,-0.48,0.33
1781450949.773978,1.0,-0.49,0.29
1781450949.8739364,1.0,-0.5,0.4
1781450949.975993,1.01,-0.5,0.33
1781450950.075356,1.0,-0.49,0.35
1781450950.1743412,0.99,-0.5,0.45
1781450950.2857878,1.01,-0.5,0.45
1781450950.3747945,0.99,-0.47,0.41
1781450950.4754393,1.02,-0.49,0.43
1781450950.5746152,1.05,-0.5,0.39
1781450950.6739683,1.04,-0.49,0.4
1781450950.7743616,0.97,-0.49,0.57
1781450950.8752422,0.92,-0.49,0.69
1781450950.975287,0.87,-0.5,0.78
