Time,POSX,POSY,POSZ
1781448740.9778905,0.7878,-0.6094,0.0832
1781448740.9822867,0.7878,-0.6094,0.0832
1781448740.9885921,0.7878,-0.6094,0.0832
1781448740.994554,0.7878,-0.6093,0.0832
1781448740.999563,0.7878,-0.6094,0.0832
1781448741.0047588,0.7877,-0.6093,0.0833
1781448741.0101507,0.7878,-0.6093,0.0833
1781448741.0168138,0.7878,-0.6094,0.0832
1781448741.0218337,0.7878,-0.6094,0.0832
1781448741.0272737,0.7878,-0.6094,0.0832
1781448741.033338,0.7878,-0.6094,0.0832
1781448741.0381055,0.7878,-0.6094,0.0832
1781448741.044208,0.7878,-0.6093,0.0833
1781448741.0498667,0.7878,-0.6094,0.0832
1781448741.0545042,0.7878,-0.6094,0.0832
1781448741.0603907,0.7878,-0.6093,0.0832
1781448741.0725272,0.7878,-0.6094,0.0832
1781448741.0729914,0.7878,-0.6093,0.0832
1781448741.0775294,0.7878,-0.6093,0.0832
1781448741.0829065,0.7878,-0.6094,0.0832
1781448741.1015534,0.7878,-0.6093,0.0832
1781448741.1019115,0.7878,-0.6094,0.0832
1781448741.10221,0.7878,-0.6094,0.0832
1781448741.1050537,0.7878,-0.6093,0.0832
1781448741.1109228,0.7878,-0.6093,0.0833
1781448741.116158,0.7878,-0.6094,0.0832
1781448741.1216245,0.7878,-0.6094,0.0832
1781448741.1268291,0.7878,-0.6093,0.0832
1781448741.132501,0.7878,-0.6093,0.0832
1781448741.1384225,0.7878,-0.6094,0.0832
1781448741.1444237,0.7878,-0.6094,0.0832
1781448741.1492562,0.7878,-0.6094,0.0832
1781448741.1542544,0.7878,-0.6094,0.0832
1781448741.160004,0.7878,-0.6094,0.0832
1781448741.165249,0.7878,-0.6093,0.0832
1781448741.171029,0.7878,-0.6093,0.0833
1781448741.1765153,0.7878,-0.6094,0.0832
1781448741.1821778,0.7878,-0.6094,0.0832
1781448741.1878405,0.7877,-0.6093,0.0833
1781448741.1932867,0.7878,-0.6094,0.0832
1781448741.1989892,0.7878,-0.6094,0.0832
1781448741.209585,0.7878,-0.6094,0.0832
1781448741.215846,0.7877,-0.6094,0.0832
1781448741.2169523,0.7878,-0.6093,0.0832
1781448741.2218652,0.7878,-0.6093,0.0832
1781448741.2266865,0.7878,-0.6094,0.0832
1781448741.232359,0.7878,-0.6094,0.0832
1781448741.237788,0.7878,-0.6094,0.0832
1781448741.2430308,0.7878,-0.6093,0.0832
1781448741.2486165,0.7878,-0.6094,0.0832
1781448741.25455,0.7878,-0.6094,0.0832
1781448741.2601264,0.7878,-0.6093,0.0832
1781448741.2655976,0.7878,-0.6094,0.0832
1781448741.2707725,0.7878,-0.6094,0.0832
1781448741.2762434,0.7878,-0.6093,0.0833
1781448741.2835386,0.7878,-0.6094,0.0832
1781448741.287864,0.7878,-0.6094,0.0832
1781448741.293202,0.7878,-0.6094,0.0832
1781448741.2986221,0.7878,-0.6094,0.0832
1781448741.304075,0.7877,-0.6093,0.0832
1781448741.3096669,0.7878,-0.6094,0.0832
1781448741.3156486,0.7878,-0.6094,0.0832
1781448741.3208427,0.7878,-0.6093,0.0832
1781448741.3264017,0.7878,-0.6094,0.0832
1781448741.332078,0.7878,-0.6093,0.0832
1781448741.337512,0.7878,-0.6093,0.0833
1781448741.3436687,0.7878,-0.6093,0.0832
1781448741.3535898,0.7878,-0.6094,0.0832
1781448741.3544037,0.7878,-0.6094,0.0832
1781448741.36002,0.7878,-0.6094,0.0832
1781448741.36541,0.7878,-0.6093,0.0833
1781448741.371382,0.7878,-0.6094,0.0832
1781448741.3768532,0.7878,-0.6094,0.0832
1781448741.3824897,0.7878,-0.6093,0.0833
1781448741.3877785,0.7878,-0.6094,0.0832
1781448741.393137,0.7878,-0.6094,0.0832
1781448741.398561,0.7878,-0.6094,0.0832
1781448741.4043171,0.7878,-0.6094,0.0832
1781448741.409858,0.7878,-0.6094,0.0832
1781448741.4155393,0.7878,-0.6094,0.0832
1781448741.4209692,0.7878,-0.6094,0.0832
1781448741.426515,0.7878,-0.6094,0.0832
1781448741.431868,0.7878,-0.6094,0.0832
1781448741.4377258,0.7878,-0.6094,0.0832
1781448741.4432688,0.7878,-0.6094,0.0832
1781448741.4489443,0.7878,-0.6093,0.0832
1781448741.4544718,0.7878,-0.6094,0.0832
1781448741.4597228,0.7878,-0.6094,0.0832
1781448741.4653409,0.7878,-0.6094,0.0832
1781448741.4709778,0.7878,-0.6094,0.0832
1781448741.4766018,0.7878,-0.6094,0.0832
1781448741.4919472,0.7878,-0.6094,0.0832
1781448741.4929454,0.7878,-0.6094,0.0832
1781448741.4933734,0.7878,-0.6094,0.0832
1781448741.5195873,0.7878,-0.6094,0.0832
1781448741.5199952,0.7878,-0.6093,0.0832
1781448741.520275,0.7878,-0.6094,0.0832
1781448741.520548,0.7878,-0.6094,0.0832
1781448741.5213125,0.7878,-0.6093,0.0833
1781448741.526227,0.7878,-0.6094,0.0832
1781448741.5323358,0.7878,-0.6094,0.0832
1781448741.537759,0.7878,-0.6093,0.0833
1781448741.54306,0.7878,-0.6094,0.0832
1781448741.5486834,0.7878,-0.6094,0.0832
1781448741.554123,0.7878,-0.6094,0.0832
1781448741.5595865,0.7878,-0.6094,0.0832
1781448741.5655847,0.7878,-0.6094,0.0832
1781448741.571182,0.7878,-0.6094,0.0832
1781448741.5764363,0.7878,-0.6094,0.0832
1781448741.5818934,0.7878,-0.6094,0.0832
1781448741.5875008,0.7878,-0.6093,0.0832
1781448741.5933359,0.7878,-0.6094,0.0832
1781448741.598889,0.7878,-0.6094,0.0832
1781448741.6043227,0.7878,-0.6094,0.0832
1781448741.6095243,0.7878,-0.6094,0.0832
1781448741.615238,0.7878,-0.6094,0.0832
1781448741.6208117,0.7878,-0.6094,0.0832
1781448741.6331363,0.7878,-0.6094,0.0832
1781448741.6335418,0.7878,-0.6094,0.0832
1781448741.6389108,0.7878,-0.6094,0.0832
1781448741.6432307,0.7878,-0.6094,0.0832
1781448741.6505382,0.7877,-0.6094,0.0833
1781448741.6547422,0.7878,-0.6094,0.0832
1781448741.660263,0.7878,-0.6094,0.0832
1781448741.6654894,0.7878,-0.6094,0.0832
1781448741.6708019,0.7878,-0.6094,0.0832
1781448741.676369,0.7878,-0.6093,0.0832
1781448741.6819475,0.7878,-0.6094,0.0832
1781448741.6877723,0.7878,-0.6094,0.0832
1781448741.693108,0.7878,-0.6094,0.0833
1781448741.698939,0.7878,-0.6093,0.0833
1781448741.704334,0.7878,-0.6094,0.0832
1781448741.7101789,0.7878,-0.6094,0.0832
1781448741.7153437,0.7878,-0.6094,0.0832
1781448741.7210994,0.7877,-0.6094,0.0832
1781448741.7264612,0.7878,-0.6094,0.0832
1781448741.7320619,0.7878,-0.6094,0.0832
1781448741.7374709,0.7878,-0.6094,0.0832
1781448741.7429981,0.7878,-0.6094,0.0832
1781448741.7490463,0.7878,-0.6094,0.0832
1781448741.754247,0.7878,-0.6093,0.0833
1781448741.760002,0.7878,-0.6094,0.0832
1781448741.774422,0.7878,-0.6094,0.0832
1781448741.775394,0.7878,-0.6094,0.0832
1781448741.7765148,0.7878,-0.6094,0.0832
1781448741.7827568,0.7878,-0.6093,0.0832
1781448741.7878666,0.7878,-0.6093,0.0833
1781448741.7941582,0.7878,-0.6094,0.0832
1781448741.798573,0.7878,-0.6094,0.0832
1781448741.8041992,0.7878,-0.6093,0.0833
1781448741.8095798,0.7878,-0.6094,0.0832
1781448741.8158894,0.7878,-0.6094,0.0832
1781448741.8209972,0.7878,-0.6094,0.0832
1781448741.8265553,0.7878,-0.6094,0.0832
1781448741.8319213,0.7878,-0.6094,0.0832
1781448741.8375573,0.7878,-0.6094,0.0832
1781448741.8432682,0.7878,-0.6094,0.0833
1781448741.8487396,0.7877,-0.6094,0.0832
1781448741.8541782,0.7878,-0.6094,0.0832
1781448741.8596535,0.7878,-0.6094,0.0832
1781448741.8653388,0.7878,-0.6094,0.0832
1781448741.8708043,0.7878,-0.6094,0.0832
1781448741.8763082,0.7878,-0.6093,0.0832
1781448741.8818066,0.7878,-0.6094,0.0832
1781448741.8880177,0.7878,-0.6094,0.0832
1781448741.8932054,0.7878,-0.6094,0.0832
1781448741.8987691,0.7878,-0.6094,0.0832
1781448741.9049559,0.7878,-0.6094,0.0832
1781448741.939959,0.7878,-0.6094,0.0832
1781448741.940363,0.7878,-0.6093,0.0832
1781448741.940687,0.7878,-0.6094,0.0832
1781448741.940974,0.7877,-0.6093,0.0832
1781448741.9412503,0.7878,-0.6093,0.0832
1781448741.9415228,0.7878,-0.6093,0.0832
1781448741.9431405,0.7878,-0.6094,0.0832
1781448741.9489424,0.7878,-0.6093,0.0832
1781448741.954558,0.7878,-0.6093,0.0832
1781448741.95954,0.7878,-0.6094,0.0832
1781448741.965924,0.7878,-0.6094,0.0832
1781448741.9709518,0.7878,-0.6093,0.0832
1781448741.9765341,0.7878,-0.6094,0.0832
1781448741.981971,0.7878,-0.6094,0.0832
1781448741.9874566,0.7878,-0.6094,0.0832
1781448741.992941,0.7878,-0.6094,0.0832
1781448741.998997,0.7878,-0.6094,0.0832
1781448742.004253,0.7878,-0.6093,0.0832
1781448742.00983,0.7878,-0.6093,0.0832
1781448742.0154757,0.7877,-0.6094,0.0832
1781448742.0208411,0.7878,-0.6094,0.0832
1781448742.0267868,0.7878,-0.6094,0.0832
1781448742.0323699,0.7878,-0.6094,0.0832
1781448742.0375836,0.7878,-0.6094,0.0832
1781448742.047997,0.7878,-0.6093,0.0832
1781448742.048955,0.7878,-0.6093,0.0832
1781448742.0544956,0.7878,-0.6094,0.0832
1781448742.0624545,0.7878,-0.6094,0.0832
1781448742.065468,0.7878,-0.6094,0.0832
1781448742.071658,0.7878,-0.6094,0.0832
1781448742.0763142,0.7878,-0.6094,0.0832
1781448742.0818121,0.7878,-0.6093,0.0833
1781448742.0877357,0.7878,-0.6094,0.0832
1781448742.0931242,0.7878,-0.6094,0.0832
1781448742.09873,0.7878,-0.6094,0.0832
1781448742.1043541,0.7878,-0.6094,0.0832
1781448742.1096177,0.7878,-0.6093,0.0832
1781448742.1154156,0.7878,-0.6094,0.0832
1781448742.1215115,0.7878,-0.6094,0.0832
1781448742.1264203,0.7878,-0.6094,0.0832
