Time,POSX,POSY,POSZ
1781448744.5024102,0.81,-0.58,0.21
1781448744.5052211,0.8,-0.58,0.23
1781448744.5074944,0.81,-0.58,0.24
1781448744.5092053,0.8,-0.59,0.24
1781448744.5132322,0.79,-0.57,0.27
1781448744.5151799,0.78,-0.55,0.33
1781448744.5183938,0.78,-0.54,0.36
1781448744.522908,0.78,-0.55,0.37
1781448744.5246348,0.79,-0.55,0.36
1781448744.5280743,0.79,-0.56,0.33
1781448744.5867257,0.79,-0.55,0.33
1781448744.6781268,0.79,-0.55,0.34
1781448744.7783096,0.79,-0.54,0.33
1781448744.8826115,0.8,-0.54,0.33
1781448744.9782505,0.8,-0.56,0.3
1781448745.0781481,0.79,-0.57,0.28
1781448745.1804764,0.78,-0.57,0.28
1781448745.2790656,0.78,-0.56,0.34
1781448745.3786478,0.77,-0.56,0.34
1781448745.4782841,0.78,-0.57,0.28
1781448745.5781705,0.77,-0.56,0.3
1781448745.6782784,0.79,-0.58,0.29
1781448745.7779796,0.83,-0.59,0.23
1781448745.882334,0.8,-0.56,0.22
1781448745.9781053,0.85,-0.58,0.17
1781448746.0777376,0.82,-0.55,0.2
1781448746.1776593,0.85,-0.56,0.14
1781448746.2782629,0.84,-0.54,0.12
1781448746.3785641,0.84,-0.54,0.13
1781448746.4788764,0.85,-0.55,0.14
1781448746.5858183,0.86,-0.54,0.15
1781448746.6783562,0.9,-0.57,0.13
1781448746.7775943,0.94,-0.62,0.1
1781448746.8779352,0.93,-0.62,0.08
1781448746.9785993,0.89,-0.59,0.14
1781448747.0783284,0.88,-0.59,0.16
1781448747.1784074,0.87,-0.59,0.22
1781448747.2886138,0.9,-0.6,0.17
1781448747.3775826,0.91,-0.61,0.13
1781448747.479024,0.92,-0.63,0.11
1781448747.5818286,0.89,-0.61,0.14
1781448747.677773,0.88,-0.62,0.12
1781448747.7786033,0.87,-0.62,0.1
1781448747.8804007,0.86,-0.62,0.14
1781448747.9789722,0.85,-0.6,0.14
1781448748.0776436,0.85,-0.61,0.14
1781448748.1788335,0.84,-0.6,0.19
1781448748.2790954,0.83,-0.6,0.26
1781448748.3784285,0.84,-0.61,0.29
1781448748.4792824,0.81,-0.6,0.31
1781448748.5775645,0.81,-0.61,0.34
1781448748.6777737,0.81,-0.61,0.35
1781448748.7780194,0.82,-0.61,0.35
1781448748.8777542,0.82,-0.61,0.33
1781448748.9780598,0.82,-0.63,0.34
1781448749.07866,0.79,-0.61,0.27
1781448749.1781895,0.78,-0.62,0.31
1781448749.2793264,0.8,-0.62,0.27
1781448749.3788118,0.79,-0.63,0.28
1781448749.478763,0.79,-0.63,0.23
1781448749.5778022,0.77,-0.63,0.27
1781448749.6788301,0.79,-0.62,0.25
1781448749.7781098,0.81,-0.63,0.21
1781448749.8790524,0.83,-0.63,0.21
1781448749.9788685,0.87,-0.65,0.19
1781448750.0777524,0.85,-0.63,0.21
1781448750.1778316,0.85,-0.61,0.24
1781448750.2775466,0.87,-0.61,0.2
