Time,POSX,POSY,POSZ
1781448242.7234797,-0.9332,-0.0809,0.0822
1781448242.7286534,-0.9332,-0.0809,0.0822
1781448242.7342744,-0.9332,-0.0809,0.0822
1781448242.7396667,-0.9332,-0.0809,0.0822
1781448242.745795,-0.9332,-0.0809,0.0822
1781448242.7511673,-0.9332,-0.0809,0.0822
1781448242.7560685,-0.9332,-0.0809,0.0822
1781448242.7621171,-0.9332,-0.0809,0.0822
1781448242.767364,-0.9332,-0.0809,0.0822
1781448242.7735567,-0.9332,-0.0809,0.0822
1781448242.778736,-0.9332,-0.0809,0.0822
1781448242.7842221,-0.9332,-0.0809,0.0822
1781448242.7896533,-0.9332,-0.0809,0.0822
1781448242.7951698,-0.9332,-0.0809,0.0822
1781448242.8007538,-0.9332,-0.0809,0.0822
1781448242.814073,-0.9332,-0.0809,0.0822
1781448242.8167744,-0.9332,-0.0809,0.0822
1781448242.817856,-0.9332,-0.0809,0.0822
1781448242.8228056,-0.9332,-0.0809,0.0822
1781448242.8285575,-0.9332,-0.0808,0.0822
1781448242.8432748,-0.9332,-0.0809,0.0822
1781448242.8437786,-0.9332,-0.0809,0.0822
1781448242.8452501,-0.9332,-0.0809,0.0822
1781448242.8507648,-0.9332,-0.0809,0.0822
1781448242.8563404,-0.9332,-0.0809,0.0822
1781448242.8618264,-0.9332,-0.0809,0.0822
1781448242.867136,-0.9332,-0.0809,0.0822
1781448242.8731186,-0.9332,-0.0809,0.0822
1781448242.878772,-0.9332,-0.0809,0.0822
1781448242.883945,-0.9332,-0.0809,0.0822
1781448242.889442,-0.9332,-0.0809,0.0822
1781448242.894607,-0.9332,-0.0809,0.0822
1781448242.900362,-0.9331,-0.0809,0.0822
1781448242.9056275,-0.9332,-0.0809,0.0822
1781448242.911232,-0.9332,-0.0809,0.0822
1781448242.9167066,-0.9332,-0.0809,0.0822
1781448242.9222748,-0.9332,-0.0808,0.0822
1781448242.928202,-0.9332,-0.0809,0.0822
1781448242.933427,-0.9332,-0.0809,0.0822
1781448242.939002,-0.9332,-0.0809,0.0822
1781448242.9458065,-0.9332,-0.0809,0.0822
1781448242.955173,-0.9332,-0.0809,0.0822
1781448242.9560292,-0.9332,-0.0809,0.0822
1781448242.961651,-0.9332,-0.0809,0.0822
1781448242.967292,-0.9331,-0.0809,0.0822
1781448242.9730716,-0.9332,-0.0809,0.0822
1781448242.977832,-0.9332,-0.0809,0.0822
1781448242.9833064,-0.9332,-0.0809,0.0822
1781448242.9892285,-0.9332,-0.0809,0.0822
1781448242.994701,-0.9332,-0.0809,0.0822
1781448243.0000703,-0.9332,-0.0809,0.0822
1781448243.005791,-0.9332,-0.0809,0.0822
1781448243.0111117,-0.9332,-0.0809,0.0822
1781448243.0165203,-0.9332,-0.0809,0.0822
1781448243.022457,-0.9332,-0.0809,0.0822
1781448243.0278568,-0.9332,-0.0809,0.0822
1781448243.033447,-0.9332,-0.0809,0.0822
1781448243.0390522,-0.9331,-0.0809,0.0822
1781448243.0446744,-0.9332,-0.0809,0.0822
1781448243.0500035,-0.9332,-0.0809,0.0822
1781448243.0557215,-0.9332,-0.0809,0.0822
1781448243.0611572,-0.9332,-0.0809,0.0822
1781448243.0670965,-0.9332,-0.0809,0.0822
1781448243.0722961,-0.9332,-0.0809,0.0822
1781448243.0779667,-0.9332,-0.0809,0.0822
1781448243.0846636,-0.9332,-0.0809,0.0822
1781448243.0928128,-0.9332,-0.0809,0.0822
1781448243.09465,-0.9332,-0.0809,0.0822
1781448243.1002827,-0.9332,-0.0809,0.0822
