Time,POSX,POSY,POSZ
1781448246.2783928,-0.86,-0.05,0.12
1781448246.2822921,-0.85,-0.04,0.11
1781448246.2860363,-0.86,-0.06,0.11
1781448246.2885768,-0.85,-0.05,0.12
1781448246.292709,-0.86,-0.05,0.12
1781448246.2948294,-0.85,-0.04,0.13
1781448246.297761,-0.86,-0.05,0.11
1781448246.3006544,-0.85,-0.05,0.13
1781448246.3025832,-0.85,-0.04,0.1
1781448246.3069844,-0.86,-0.04,0.1
1781448246.3800535,-0.85,-0.04,0.09
1781448246.4799137,-0.85,-0.03,0.09
1781448246.5797644,-0.86,-0.04,0.09
1781448246.6791925,-0.89,-0.06,0.12
1781448246.7791328,-0.91,-0.08,0.12
1781448246.880673,-0.88,-0.06,0.11
1781448246.980184,-0.88,-0.05,0.1
1781448247.0791852,-0.88,-0.05,0.1
1781448247.1789591,-0.91,-0.08,0.12
1781448247.2800055,-0.95,-0.11,0.14
1781448247.3794107,-0.96,-0.1,0.13
1781448247.4793384,-0.95,-0.1,0.12
1781448247.5792704,-0.93,-0.1,0.1
1781448247.6791246,-0.91,-0.09,0.07
1781448247.7891445,-0.89,-0.07,0.08
1781448247.8791327,-0.91,-0.08,0.1
1781448247.9802203,-0.91,-0.09,0.07
1781448248.0792875,-0.93,-0.1,0.07
1781448248.178935,-0.91,-0.08,0.09
1781448248.2789853,-0.94,-0.1,0.11
1781448248.3800943,-0.89,-0.08,0.16
1781448248.4798267,-0.9,-0.07,0.14
1781448248.579662,-0.89,-0.07,0.12
1781448248.680015,-0.87,-0.07,0.17
1781448248.7799048,-0.88,-0.07,0.16
1781448248.8792768,-0.88,-0.07,0.13
1781448248.9792519,-0.87,-0.09,0.22
1781448249.0821934,-0.87,-0.1,0.16
1781448249.1795952,-0.86,-0.08,0.16
1781448249.2789545,-0.87,-0.09,0.15
1781448249.3790836,-0.85,-0.07,0.17
1781448249.4791214,-0.96,-0.13,0.07
1781448249.5791519,-1.05,-0.19,0.18
1781448249.6818197,-1.0,-0.14,0.15
1781448249.7792919,-0.96,-0.11,0.13
1781448249.879261,-0.92,-0.09,0.12
1781448249.9803147,-0.91,-0.09,0.1
1781448250.0795257,-0.91,-0.1,0.06
1781448250.1790993,-0.89,-0.07,0.1
1781448250.2801223,-0.9,-0.07,0.07
1781448250.3796237,-0.88,-0.06,0.09
1781448250.479941,-0.86,-0.05,0.1
1781448250.5793436,-0.88,-0.07,0.11
1781448250.6876109,-0.89,-0.09,0.09
1781448250.7787356,-0.89,-0.07,0.1
1781448250.879034,-0.9,-0.08,0.09
1781448250.9846292,-0.89,-0.07,0.09
1781448251.0802457,-0.88,-0.06,0.09
1781448251.1788335,-0.87,-0.07,0.1
1781448251.2816873,-0.88,-0.07,0.09
1781448251.3799045,-0.87,-0.07,0.1
1781448251.4801874,-0.86,-0.05,0.11
1781448251.5803301,-0.85,-0.05,0.09
1781448251.6789398,-0.85,-0.04,0.1
1781448251.7801042,-0.88,-0.07,0.1
1781448251.8793526,-0.87,-0.07,0.1
1781448251.98001,-0.89,-0.08,0.11
1781448252.0797029,-0.89,-0.07,0.1
1781448252.1800818,-0.86,-0.04,0.14
1781448252.2801278,-0.9,-0.08,0.15
1781448252.378744,-0.9,-0.08,0.15
1781448252.4787729,-0.86,-0.06,0.22
1781448252.579606,-0.89,-0.06,0.18
1781448252.6787853,-0.88,-0.06,0.15
1781448252.7796154,-0.9,-0.06,0.18
1781448252.8876867,-0.93,-0.07,0.33
1781448252.9797747,-0.9,-0.05,0.45
1781448253.0797439,-0.96,-0.07,0.56
1781448253.1804488,-1.01,-0.07,0.63
1781448253.2790463,-0.98,-0.02,0.66
1781448253.3789146,-0.95,0.04,0.65
1781448253.4823382,-0.91,0.11,0.68
1781448253.5799947,-0.87,0.19,0.75
1781448253.6794605,-0.83,0.28,0.76
1781448253.7791157,-0.82,0.38,0.81
1781448253.8816957,-0.79,0.46,0.8
1781448253.9786544,-0.81,0.51,0.82
1781448254.0836184,-0.79,0.59,0.83
1781448254.179021,-0.82,0.63,0.84
1781448254.280007,-0.83,0.66,0.84
1781448254.3914106,-0.82,0.68,0.79
1781448254.4800246,-0.84,0.66,0.8
1781448254.5805953,-0.85,0.6,0.74
1781448254.679199,-0.8,0.59,0.69
1781448254.779032,-0.75,0.57,0.71
1781448254.8805952,-0.78,0.49,0.76
1781448254.9794853,-0.77,0.4,0.79
