Time,POSX,POSY,POSZ
1773866614.476676,-0.9974,0.4391,0.0671
1773866614.4795678,-0.9974,0.4391,0.0671
1773866614.484231,-0.9974,0.4391,0.0671
1773866614.4896476,-0.9974,0.439,0.0672
1773866614.4953315,-0.9974,0.4391,0.0671
1773866614.5013597,-0.9974,0.4391,0.0671
1773866614.5062394,-0.9974,0.4391,0.0671
1773866614.5121787,-0.9974,0.4391,0.0671
1773866614.5190272,-0.9974,0.4391,0.0671
1773866614.523236,-0.9974,0.4391,0.0671
1773866614.528537,-0.9974,0.439,0.0672
1773866614.5340807,-0.9974,0.4391,0.067
1773866614.5397172,-0.9974,0.4391,0.0671
1773866614.5999157,-0.9974,0.4391,0.0671
1773866614.6038291,-0.9974,0.4391,0.0671
1773866614.606757,-0.9974,0.4391,0.0671
1773866614.6095505,-0.9974,0.4391,0.0671
1773866614.6126757,-0.9974,0.4391,0.067
1773866614.6162124,-0.9974,0.4391,0.0671
1773866614.6195211,-0.9974,0.4391,0.0671
1773866614.6315012,-0.9974,0.4391,0.0671
1773866614.6432462,-0.9974,0.4391,0.0671
1773866614.64753,-0.9974,0.4391,0.0671
1773866614.652373,-0.9974,0.4391,0.0671
1773866614.6567857,-0.9974,0.4391,0.0671
1773866614.6608617,-0.9974,0.4391,0.0671
1773866614.6649594,-0.9974,0.4391,0.0671
1773866614.668964,-0.9974,0.4391,0.0671
1773866614.673457,-0.9974,0.4391,0.0671
1773866614.6774015,-0.9974,0.4391,0.067
1773866614.6813147,-0.9974,0.4391,0.0671
1773866614.6851735,-0.9974,0.4391,0.0671
1773866614.6896741,-0.9974,0.4391,0.0671
1773866614.6934104,-0.9974,0.4391,0.0671
1773866614.7054749,-0.9974,0.4391,0.067
1773866614.7567377,-0.9974,0.4391,0.0671
1773866614.7602634,-0.9974,0.4391,0.0671
1773866614.7637503,-0.9974,0.4391,0.0671
1773866614.767105,-0.9974,0.4391,0.0671
1773866614.7702894,-0.9974,0.4391,0.0671
1773866614.7928154,-0.9974,0.4391,0.0671
1773866614.7969384,-0.9974,0.4391,0.0671
1773866614.8021712,-0.9974,0.4391,0.0671
1773866614.8068092,-0.9974,0.4391,0.0671
1773866614.8109605,-0.9974,0.4391,0.0671
1773866614.8152833,-0.9974,0.4391,0.0671
1773866614.8198454,-0.9974,0.4391,0.0671
1773866614.8239534,-0.9974,0.4391,0.067
1773866614.8277714,-0.9974,0.4391,0.0671
1773866614.8316507,-0.9974,0.4391,0.067
1773866614.835368,-0.9974,0.4391,0.067
1773866614.8393562,-0.9974,0.4391,0.0671
1773866614.8430219,-0.9974,0.4391,0.0671
