Time,POSX,POSY,POSZ
1773866616.4000487,-0.97,0.4,0.29
1773866616.5000458,-0.96,0.39,0.29
1773866616.607044,-0.96,0.39,0.29
1773866616.7000532,-0.9519,0.3981,0.29
1773866616.800061,-0.9633,0.3938,0.2829
1773866616.9203892,-0.9816,0.3982,0.2798
1773866617.0000596,-0.994,0.3946,0.2788
1773866617.106066,-1.0017,0.3926,0.2781
1773866617.2000413,-1.0005,0.3914,0.2825
1773866617.3000536,-1.0041,0.3863,0.2897
1773866617.403618,-0.9977,0.3915,0.2901
1773866617.5000448,-0.9891,0.3908,0.2983
1773866617.6000447,-0.9756,0.3904,0.3076
1773866617.7000194,-0.9701,0.3901,0.31
1773866617.800261,-0.9626,0.39,0.3079
1773866617.9068432,-0.9465,0.3898,0.3027
1773866618.0000267,-0.9427,0.3827,0.2989
1773866618.1000302,-0.9261,0.3847,0.2928
1773866618.2040646,-0.9143,0.3861,0.2884
1773866618.3000233,-0.9237,0.3872,0.2956
1773866618.4001033,-0.9202,0.3812,0.3349
1773866618.5180128,-0.9036,0.3698,0.4019
1773866618.6002223,-0.9,0.3589,0.4901
1773866618.7037632,-0.9137,0.3374,0.5884
1773866618.799997,-0.9273,0.319,0.717
1773866618.900077,-0.9505,0.2958,0.8824
1773866619.0043616,-0.9941,0.2725,1.0716
1773866619.1000214,-1.0452,0.2566,1.2651
1773866619.199974,-1.1184,0.2387,1.4332
1773866619.300143,-1.1907,0.2262,1.5775
1773866619.4005814,-1.2821,0.211,1.7277
1773866619.5041554,-1.3743,0.1971,1.8367
1773866619.6002898,-1.4577,0.1881,1.9329
1773866619.699981,-1.537,0.1852,2.0166
1773866619.8131888,-1.6093,0.1796,2.083
1773866619.8999937,-1.6654,0.1743,2.1079
1773866620.0054824,-1.719,0.1599,2.1354
1773866620.0999708,-1.7689,0.1407,2.1421
1773866620.2000237,-1.8076,0.1138,2.146
1773866620.3179154,-1.8482,0.0799,2.1448
1773866620.400272,-1.8585,0.0398,2.1168
1773866620.505946,-1.8904,-0.0208,2.1225
1773866620.6000576,-1.895,-0.0786,2.1497
1773866620.7074423,-1.8928,-0.1447,2.1476
1773866620.8000524,-1.9058,-0.2149,2.1129
1773866620.9049478,-1.9029,-0.2967,2.0755
1773866621.0000534,-1.8808,-0.3815,2.0445
1773866621.1208549,-1.8499,-0.485,2.0242
1773866621.2005184,-1.8377,-0.5912,2.0318
1773866621.3337786,-1.8031,-0.7074,2.037
1773866621.400056,-1.7559,-0.79,2.0339
1773866621.5000339,-1.7011,-0.8862,2.029
1773866621.6020155,-1.6409,-0.9768,2.0279
1773866621.7000318,-1.5775,-1.0607,2.0323
1773866621.8037324,-1.5081,-1.1371,2.0418
1773866621.9000297,-1.4358,-1.2055,2.0604
1773866622.0037835,-1.3567,-1.268,2.1004
1773866622.1001916,-1.2983,-1.333,2.0978
1773866622.2054837,-1.2292,-1.3903,2.1026
1773866622.300812,-1.1494,-1.4372,2.1142
1773866622.4032984,-1.0818,-1.4907,2.0993
1773866622.5000255,-1.003,-1.5368,2.0708
1773866622.612533,-0.9136,-1.5797,2.0435
1773866622.7000103,-0.819,-1.6009,2.0359
1773866622.8280864,-0.7058,-1.631,2.0448
1773866622.9000535,-0.624,-1.6398,2.0391
1773866623.0002706,-0.5242,-1.6574,2.0226
1773866623.100193,-0.4153,-1.6739,2.0137
1773866623.200001,-0.2835,-1.6866,2.0203
1773866623.3000052,-0.155,-1.7,2.0217
1773866623.3999422,-0.0195,-1.7106,2.0524
1773866623.5018601,0.1154,-1.7232,2.0712
1773866623.5999036,0.2329,-1.7228,2.0777
1773866623.704929,0.3607,-1.7253,2.0891
1773866623.8002408,0.4689,-1.7201,2.0965
1773866623.905729,0.6152,-1.7266,2.0854
1773866623.999924,0.7581,-1.7311,2.0734
1773866624.1122968,0.9019,-1.7359,2.0749
1773866624.199931,1.0029,-1.7211,2.0884
1773866624.331847,1.1308,-1.7076,2.1062
1773866624.4005716,1.213,-1.6933,2.1196
1773866624.5316672,1.3306,-1.6713,2.1418
1773866624.6001225,1.3963,-1.6373,2.1835
1773866624.714542,1.4874,-1.6049,2.2297
1773866624.799948,1.5546,-1.5671,2.2402
1773866624.9018385,1.6359,-1.5201,2.2355
1773866625.000066,1.7101,-1.4662,2.2279
1773866625.0998802,1.773,-1.4042,2.2087
1773866625.203249,1.8387,-1.3327,2.2209
1773866625.2998948,1.9003,-1.256,2.229
1773866625.3999875,1.982,-1.1745,2.2048
1773866625.5183227,2.0394,-1.0827,2.1668
1773866625.5998647,2.0654,-0.9998,2.1359
1773866625.7026925,2.0989,-0.9035,2.1401
1773866625.799838,2.1259,-0.8077,2.1332
1773866625.8998964,2.1428,-0.7066,2.1316
1773866626.0041285,2.1628,-0.6013,2.1438
1773866626.0998888,2.1899,-0.4913,2.1393
1773866626.199847,2.2278,-0.3733,2.1692
1773866626.3177629,2.2787,-0.243,2.188
1773866626.3998382,2.3112,-0.1331,2.2037
1773866626.4997408,2.3457,-0.009,2.1956
1773866626.5997767,2.3709,0.1101,2.1861
1773866626.699781,2.3697,0.2252,2.2023
1773866626.804097,2.3538,0.3398,2.194
1773866626.8997433,2.3142,0.4461,2.1579
1773866626.9997456,2.3013,0.5675,2.1285
1773866627.099748,2.2933,0.687,2.1107
1773866627.2001321,2.266,0.8019,2.1079
1773866627.3007214,2.2347,0.9198,2.1094
1773866627.4001691,2.2008,1.0391,2.1107
1773866627.4997933,2.1554,1.16,2.0919
1773866627.6077375,2.1121,1.2775,2.0681
1773866627.7000885,2.0466,1.3727,2.0421
1773866627.7997172,1.9696,1.468,2.0299
1773866627.899727,1.8974,1.5549,2.0314
1773866627.9998252,1.8621,1.629,2.0494
1773866628.1056058,1.8333,1.6873,2.0961
1773866628.1997435,1.7845,1.7302,2.1199
1773866628.2997694,1.7063,1.7702,2.1371
1773866628.40727,1.606,1.8114,2.1297
1773866628.499884,1.4983,1.8384,2.1604
1773866628.599718,1.394,1.8645,2.1561
1773866628.6997159,1.3106,1.8859,2.1794
1773866628.7996972,1.2259,1.9008,2.1993
1773866628.9012988,1.1334,1.9085,2.2134
1773866628.999716,1.0436,1.9126,2.2398
1773866629.0997465,0.9279,1.9198,2.2618
1773866629.2161596,0.7833,1.9369,2.248
1773866629.2997065,0.6445,1.9358,2.256
1773866629.404935,0.4909,1.9463,2.2326
1773866629.4996924,0.3432,1.9583,2.192
1773866629.599693,0.1979,1.9663,2.1823
1773866629.7060957,0.0603,1.978,2.1553
1773866629.799797,-0.0693,1.9814,2.1294
1773866629.8997707,-0.1953,1.9836,2.1107
1773866630.0189548,-0.3372,1.9867,2.1034
1773866630.0998013,-0.441,1.9802,2.0799
1773866630.2006743,-0.5647,1.9747,2.079
1773866630.299784,-0.6772,1.9691,2.0754
1773866630.3997407,-0.8099,1.954,2.0665
1773866630.506353,-0.9249,1.9392,2.0534
1773866630.5997465,-1.0389,1.913,2.0449
1773866630.6997585,-1.1669,1.8808,2.0454
1773866630.8212445,-1.3059,1.8439,2.0319
1773866630.8997397,-1.4041,1.7961,2.0081
1773866630.9998863,-1.5195,1.7423,1.9967
1773866631.0997393,-1.643,1.6802,2.0055
1773866631.1997616,-1.7827,1.609,1.9924
1773866631.3024259,-1.9029,1.5277,1.9998
1773866631.3997378,-2.0059,1.4441,2.0222
1773866631.4997463,-2.1029,1.3512,2.0188
1773866631.607371,-2.1688,1.2603,2.0063
1773866631.699744,-2.2027,1.1669,1.9848
1773866631.7997422,-2.2308,1.0697,1.9693
1773866631.8997452,-2.2357,0.9717,1.9948
1773866631.999786,-2.2374,0.8735,2.0136
1773866632.0997493,-2.2373,0.772,2.0108
1773866632.1997306,-2.2162,0.6683,2.0089
1773866632.2996993,-2.1838,0.5634,2.0242
1773866632.4043922,-2.1484,0.4521,2.0654
1773866632.4999132,-2.1166,0.3397,2.0618
1773866632.599706,-2.0859,0.2204,2.079
1773866632.71245,-2.0472,0.0912,2.085
1773866632.7998538,-2.0284,-0.0303,2.0687
1773866632.8998427,-1.9996,-0.1574,2.0406
1773866632.9999282,-1.9805,-0.2847,2.0103
1773866633.099965,-1.9488,-0.4018,1.9917
1773866633.2043884,-1.8984,-0.5208,1.965
1773866633.2999954,-1.8639,-0.6459,1.9464
1773866633.399791,-1.8388,-0.7837,1.9529
1773866633.5061386,-1.7803,-0.9157,1.9478
1773866633.5997918,-1.7346,-1.0398,1.9615
1773866633.6998317,-1.6652,-1.1519,1.9615
1773866633.81264,-1.5805,-1.2558,1.9715
1773866633.9001203,-1.4865,-1.3273,1.9891
1773866633.9998057,-1.3818,-1.3991,2.0084
1773866634.099895,-1.2741,-1.4591,2.0489
1773866634.1998003,-1.1614,-1.5136,2.0946
1773866634.303022,-1.0475,-1.5631,2.1509
1773866634.4001007,-0.9232,-1.6067,2.1641
1773866634.4997802,-0.7754,-1.655,2.1468
1773866634.6068318,-0.6283,-1.7058,2.114
1773866634.699948,-0.5055,-1.7405,2.0896
1773866634.799759,-0.384,-1.7718,2.0587
1773866634.89975,-0.2503,-1.7937,2.0495
1773866634.9996722,-0.1147,-1.809,2.0362
1773866635.1008606,0.0095,-1.8102,2.0465
1773866635.1998155,0.1397,-1.8101,2.054
1773866635.2997031,0.2826,-1.8106,2.0429
1773866635.402603,0.4461,-1.8189,2.0315
1773866635.4996736,0.6045,-1.8237,2.0167
1773866635.5996852,0.7488,-1.829,2.0492
1773866635.7230809,0.9147,-1.8393,2.07
1773866635.7996516,1.0353,-1.8328,2.094
1773866635.9295866,1.1709,-1.8214,2.1127
1773866635.9996457,1.2365,-1.7865,2.1107
1773866636.1360579,1.3987,-1.7672,2.1314
1773866636.199652,1.4698,-1.7192,2.1301
1773866636.3001025,1.565,-1.6691,2.1172
1773866636.3996577,1.6372,-1.6087,2.1206
1773866636.4996524,1.6938,-1.5345,2.1361
1773866636.5996306,1.742,-1.4573,2.1306
1773866636.699645,1.7846,-1.3751,2.1164
1773866636.8014057,1.8409,-1.2858,2.1492
1773866636.899946,1.8944,-1.1894,2.1593
1773866637.0030432,1.9541,-1.0867,2.1764
1773866637.0996346,2.0085,-0.9823,2.1617
1773866637.1998284,2.0752,-0.8681,2.1476
1773866637.2996216,2.1386,-0.7479,2.1206
1773866637.3996494,2.1735,-0.6269,2.1375
1773866637.5002093,2.2145,-0.5022,2.1397
1773866637.599623,2.246,-0.3825,2.1246
1773866637.6997435,2.2686,-0.2625,2.1169
1773866637.8042812,2.2861,-0.144,2.1213
1773866637.8995428,2.2881,-0.0272,2.0979
1773866638.0009549,2.2722,0.0929,2.0877
1773866638.0995524,2.2666,0.2104,2.0705
1773866638.1995416,2.2604,0.3348,2.0449
1773866638.3000653,2.2402,0.4604,2.0664
1773866638.399546,2.2032,0.5822,2.0988
1773866638.522635,2.1781,0.7201,2.1262
1773866638.5995347,2.1406,0.8209,2.1186
1773866638.7073784,2.1107,0.9492,2.1366
1773866638.799549,2.0762,1.0624,2.1295
1773866638.8995783,2.0381,1.181,2.1078
1773866638.9995422,1.9833,1.2878,2.0821
1773866639.0999646,1.9232,1.3863,2.0536
1773866639.204882,1.8694,1.4815,2.0763
1773866639.299525,1.7879,1.5643,2.073
1773866639.399819,1.7126,1.6427,2.0673
1773866639.5067353,1.6412,1.7113,2.0766
1773866639.5996933,1.5363,1.7632,2.0835
1773866639.699557,1.4177,1.817,2.0918
1773866639.7995248,1.3103,1.861,2.0912
1773866639.8997605,1.2046,1.8947,2.0874
1773866640.0016303,1.0867,1.9253,2.0947
1773866640.0995402,0.9658,1.9477,2.1131
1773866640.1995454,0.8539,1.9609,2.1364
1773866640.3095982,0.7184,1.9806,2.1602
1773866640.399623,0.6002,1.986,2.1532
1773866640.499564,0.4641,2.0011,2.1548
1773866640.5996149,0.3165,2.022,2.1359
1773866640.6995673,0.1544,2.0441,2.1023
1773866640.8104205,0.0117,2.0537,2.0909
1773866640.8996139,-0.119,2.0545,2.0831
1773866640.999572,-0.2619,2.0629,2.0906
1773866641.0995667,-0.3965,2.0633,2.0796
1773866641.1995733,-0.5316,2.058,2.0552
1773866641.303526,-0.6629,2.0497,2.0342
1773866641.3995616,-0.7828,2.0369,2.0494
1773866641.4995928,-0.9064,2.0236,2.0439
1773866641.605918,-1.0311,2.0067,2.0333
1773866641.6995637,-1.1454,1.9783,2.0229
1773866641.7995217,-1.2569,1.9444,2.0453
1773866641.9200637,-1.3864,1.9064,2.0515
1773866641.999518,-1.4922,1.86,2.05
1773866642.1018462,-1.6008,1.8107,2.0752
1773866642.1995351,-1.7028,1.7517,2.0967
1773866642.2995505,-1.8022,1.6859,2.0891
1773866642.4049792,-1.9018,1.6148,2.0603
1773866642.4995515,-1.9797,1.5353,2.0396
1773866642.599538,-2.0477,1.4483,2.0213
1773866642.7131772,-2.1164,1.357,2.0112
1773866642.7995205,-2.1587,1.2654,1.9951
1773866642.899512,-2.1905,1.1681,1.9832
1773866642.9995291,-2.2117,1.0666,1.9815
1773866643.099871,-2.2322,0.9588,1.9806
