Time,POSX,POSY,POSZ
1773866616.4000487,-0.97,0.4,0.29
1773866616.5000458,-0.96,0.39,0.29
1773866616.607044,-0.96,0.39,0.29
1773866616.7000532,-0.95,0.4,0.29
1773866616.800061,-0.97,0.39,0.28
1773866616.9203892,-0.99,0.4,0.28
1773866617.0000596,-1.0,0.39,0.28
1773866617.106066,-1.0,0.39,0.28
1773866617.2000413,-0.99,0.39,0.29
1773866617.3000536,-1.0,0.38,0.3
1773866617.403618,-0.98,0.4,0.29
1773866617.5000448,-0.97,0.39,0.31
1773866617.6000447,-0.95,0.39,0.32
1773866617.7000194,-0.96,0.39,0.31
1773866617.800261,-0.95,0.39,0.3
1773866617.9068432,-0.92,0.39,0.29
1773866618.0000267,-0.94,0.37,0.29
1773866618.1000302,-0.9,0.39,0.28
1773866618.2040646,-0.9,0.39,0.28
1773866618.3000233,-0.95,0.39,0.31
1773866618.4001033,-0.92,0.37,0.41
1773866618.5180128,-0.88,0.35,0.52
1773866618.6002223,-0.9,0.34,0.65
1773866618.7037632,-0.95,0.3,0.75
1773866618.799997,-0.96,0.29,0.93
1773866618.900077,-1.0,0.26,1.15
1773866619.0043616,-1.08,0.24,1.36
1773866619.1000214,-1.14,0.24,1.55
1773866619.199974,-1.25,0.22,1.64
1773866619.300143,-1.31,0.22,1.72
1773866619.4005814,-1.43,0.2,1.87
1773866619.5041554,-1.51,0.19,1.88
1773866619.6002898,-1.57,0.19,1.96
1773866619.699981,-1.63,0.2,2.01
1773866619.8131888,-1.67,0.19,2.02
1773866619.8999937,-1.71,0.18,2.01
1773866620.0054824,-1.74,0.15,2.02
1773866620.0999708,-1.79,0.12,2.01
1773866620.2000237,-1.8,0.08,2.01
1773866620.3179154,-1.83,0.04,1.99
1773866620.400272,-1.81,-0.02,1.96
1773866620.505946,-1.87,-0.11,2.02
1773866620.6000576,-1.83,-0.16,2.11
1773866620.7074423,-1.81,-0.23,2.04
1773866620.8000524,-1.87,-0.31,1.96
1773866620.9049478,-1.83,-0.4,1.92
1773866621.0000534,-1.78,-0.49,1.92
1773866621.1208549,-1.73,-0.6,1.92
1773866621.2005184,-1.78,-0.74,2.01
1773866621.3337786,-1.69,-0.81,1.99
1773866621.400056,-1.64,-0.89,2.0
1773866621.5000339,-1.57,-0.97,1.98
1773866621.6020155,-1.51,-1.04,1.99
1773866621.7000318,-1.45,-1.11,2.01
1773866621.8037324,-1.38,-1.16,2.03
1773866621.9000297,-1.31,-1.22,2.07
1773866622.0037835,-1.23,-1.26,2.15
1773866622.1001916,-1.22,-1.34,2.06
1773866622.2054837,-1.14,-1.37,2.08
1773866622.300812,-1.04,-1.41,2.11
1773866622.4032984,-1.01,-1.47,2.04
1773866622.5000255,-0.91,-1.51,1.99
1773866622.612533,-0.82,-1.53,1.97
1773866622.7000103,-0.7,-1.54,2.01
1773866622.8280864,-0.6,-1.55,2.05
1773866622.9000535,-0.53,-1.58,2.02
1773866623.0002706,-0.43,-1.59,1.98
1773866623.100193,-0.31,-1.61,1.99
1773866623.200001,-0.14,-1.62,2.03
1773866623.3000052,-0.03,-1.64,2.02
1773866623.3999422,0.11,-1.65,2.11
1773866623.5018601,0.23,-1.67,2.1
1773866623.5999036,0.31,-1.65,2.08
1773866623.704929,0.44,-1.66,2.1
1773866623.8002408,0.52,-1.65,2.1
1773866623.905729,0.72,-1.68,2.05
1773866623.999924,0.87,-1.69,2.04
1773866624.1122968,0.97,-1.69,2.07
1773866624.199931,1.03,-1.65,2.11
1773866624.331847,1.12,-1.63,2.13
1773866624.4005716,1.24,-1.64,2.14
1773866624.5316672,1.3,-1.59,2.17
1773866624.6001225,1.39,-1.55,2.26
1773866624.714542,1.44,-1.52,2.3
1773866624.799948,1.52,-1.48,2.24
1773866624.9018385,1.6,-1.42,2.2
1773866625.000066,1.67,-1.36,2.19
1773866625.0998802,1.71,-1.29,2.15
1773866625.203249,1.78,-1.21,2.23
1773866625.2998948,1.85,-1.13,2.23
1773866625.3999875,1.97,-1.05,2.14
1773866625.5183227,1.95,-0.96,2.08
1773866625.5998647,1.98,-0.88,2.07
1773866625.7026925,2.0,-0.78,2.15
1773866625.799838,2.03,-0.69,2.12
1773866625.8998964,2.03,-0.59,2.13
1773866626.0041285,2.06,-0.49,2.17
1773866626.0998888,2.12,-0.37,2.13
1773866626.199847,2.18,-0.25,2.23
1773866626.3177629,2.24,-0.13,2.22
1773866626.3998382,2.28,-0.02,2.23
1773866626.4997408,2.3,0.1,2.17
1773866626.5997767,2.31,0.2,2.16
1773866626.699781,2.26,0.3,2.23
1773866626.804097,2.22,0.4,2.17
1773866626.8997433,2.15,0.5,2.08
1773866626.9997456,2.2,0.64,2.07
1773866627.099748,2.21,0.75,2.08
1773866627.2001321,2.15,0.85,2.11
1773866627.3007214,2.12,0.97,2.12
1773866627.4001691,2.09,1.09,2.12
1773866627.4997933,2.03,1.21,2.06
1773866627.6077375,2.0,1.3,2.03
1773866627.7000885,1.9,1.38,2.0
1773866627.7997172,1.81,1.46,2.02
1773866627.899727,1.76,1.53,2.05
1773866627.9998252,1.81,1.58,2.1
1773866628.1056058,1.8,1.6,2.2
1773866628.1997435,1.71,1.64,2.17
1773866628.2997694,1.58,1.67,2.17
1773866628.40727,1.45,1.71,2.11
1773866628.499884,1.33,1.74,2.22
1773866628.599718,1.25,1.76,2.14
1773866628.6997159,1.22,1.78,2.22
1773866628.7996972,1.14,1.79,2.23
1773866628.9012988,1.04,1.79,2.23
1773866628.999716,0.96,1.8,2.28
1773866629.0997465,0.8,1.82,2.29
1773866629.2161596,0.63,1.85,2.2
1773866629.2997065,0.47,1.85,2.26
1773866629.404935,0.33,1.87,2.17
1773866629.4996924,0.19,1.9,2.1
1773866629.599693,0.07,1.9,2.16
1773866629.7060957,-0.03,1.92,2.1
1773866629.799797,-0.16,1.92,2.08
1773866629.8997707,-0.26,1.92,2.08
1773866630.0189548,-0.39,1.92,2.1
1773866630.0998013,-0.49,1.92,2.04
1773866630.2006743,-0.61,1.91,2.09
1773866630.299784,-0.7,1.91,2.08
1773866630.3997407,-0.87,1.88,2.06
1773866630.506353,-0.93,1.87,2.04
1773866630.5997465,-1.07,1.83,2.04
1773866630.6997585,-1.21,1.79,2.06
1773866630.8212445,-1.32,1.75,2.02
1773866630.8997397,-1.43,1.69,1.97
1773866630.9998863,-1.53,1.63,1.99
1773866631.0997393,-1.67,1.56,2.04
1773866631.1997616,-1.84,1.48,1.98
1773866631.3024259,-1.91,1.39,2.03
1773866631.3997378,-1.99,1.31,2.08
1773866631.4997463,-2.07,1.21,2.02
1773866631.607371,-2.06,1.14,1.99
1773866631.699744,-2.07,1.04,1.95
1773866631.7997422,-2.08,0.95,1.95
1773866631.8997452,-2.05,0.86,2.06
1773866631.999786,-2.06,0.77,2.06
1773866632.0997493,-2.07,0.67,2.01
1773866632.1997306,-2.02,0.57,2.01
1773866632.2996993,-1.98,0.47,2.06
1773866632.4043922,-1.95,0.36,2.15
1773866632.4999132,-1.95,0.24,2.05
1773866632.599706,-1.93,0.12,2.11
1773866632.71245,-1.88,0.0,2.09
1773866632.7998538,-1.93,-0.14,2.03
1773866632.8998427,-1.88,-0.25,1.98
1773866632.9999282,-1.89,-0.37,1.95
1773866633.099965,-1.84,-0.46,1.96
1773866633.2043884,-1.76,-0.57,1.92
1773866633.2999954,-1.77,-0.72,1.92
1773866633.399791,-1.77,-0.87,1.98
1773866633.5061386,-1.65,-0.97,1.95
1773866633.5997918,-1.64,-1.1,2.0
1773866633.6998317,-1.53,-1.17,1.97
1773866633.81264,-1.43,-1.23,2.0
1773866633.9001203,-1.32,-1.29,2.03
1773866633.9998057,-1.21,-1.34,2.05
1773866634.099895,-1.11,-1.38,2.13
1773866634.1998003,-1.0,-1.43,2.18
1773866634.303022,-0.9,-1.47,2.25
1773866634.4001007,-0.76,-1.52,2.17
1773866634.4997802,-0.58,-1.58,2.09
1773866634.6068318,-0.46,-1.63,2.03
1773866634.699948,-0.38,-1.66,2.03
1773866634.799759,-0.28,-1.68,1.99
1773866634.89975,-0.13,-1.69,2.03
1773866634.9996722,0.0,-1.7,2.01
1773866635.1008606,0.09,-1.68,2.07
1773866635.1998155,0.23,-1.69,2.07
1773866635.2997031,0.39,-1.7,2.02
1773866635.402603,0.58,-1.73,2.01
1773866635.4996736,0.73,-1.74,1.99
1773866635.5996852,0.83,-1.75,2.12
1773866635.7230809,0.98,-1.76,2.11
1773866635.7996516,1.11,-1.76,2.14
1773866635.9295866,1.15,-1.71,2.14
1773866635.9996457,1.21,-1.67,2.1
1773866636.1360579,1.42,-1.66,2.16
1773866636.199652,1.47,-1.59,2.12
1773866636.3001025,1.53,-1.53,2.08
1773866636.3996577,1.56,-1.46,2.12
1773866636.4996524,1.59,-1.37,2.16
1773866636.5996306,1.63,-1.3,2.11
1773866636.699645,1.67,-1.22,2.08
1773866636.8014057,1.76,-1.13,2.21
1773866636.899946,1.82,-1.03,2.17
1773866637.0030432,1.89,-0.93,2.2
1773866637.0996346,1.95,-0.83,2.12
1773866637.1998284,2.04,-0.71,2.11
1773866637.2996216,2.1,-0.59,2.06
1773866637.3996494,2.08,-0.48,2.17
1773866637.5002093,2.14,-0.36,2.14
1773866637.599623,2.16,-0.26,2.09
1773866637.6997435,2.17,-0.15,2.1
1773866637.8042812,2.18,-0.05,2.13
1773866637.8995428,2.17,0.07,2.05
1773866638.0009549,2.12,0.18,2.07
1773866638.0995524,2.15,0.29,2.04
1773866638.1995416,2.15,0.42,2.0
1773866638.3000653,2.11,0.54,2.12
1773866638.399546,2.05,0.65,2.17
1773866638.522635,2.05,0.77,2.18
1773866638.5995347,2.02,0.88,2.1
1773866638.7073784,2.0,1.0,2.17
1773866638.799549,1.97,1.11,2.11
1773866638.8995783,1.93,1.22,2.06
1773866638.9995422,1.85,1.3,2.03
1773866639.0999646,1.79,1.38,2.0
1773866639.204882,1.76,1.46,2.13
1773866639.299525,1.63,1.54,2.07
1773866639.399819,1.58,1.6,2.06
1773866639.5067353,1.53,1.64,2.1
1773866639.5996933,1.36,1.69,2.1
1773866639.699557,1.23,1.74,2.11
1773866639.7995248,1.16,1.77,2.09
1773866639.8997605,1.07,1.79,2.08
1773866640.0016303,0.94,1.82,2.11
1773866640.0995402,0.82,1.84,2.15
1773866640.1995454,0.74,1.84,2.18
1773866640.3095982,0.58,1.87,2.2
1773866640.399623,0.48,1.88,2.13
1773866640.499564,0.33,1.91,2.15
1773866640.5996149,0.17,1.95,2.09
1773866640.6995673,-0.01,1.98,2.03
1773866640.8104205,-0.08,1.96,2.07
1773866640.8996139,-0.22,1.97,2.07
1773866640.999572,-0.36,1.99,2.11
1773866641.0995667,-0.47,1.98,2.06
1773866641.1995733,-0.6,1.97,2.01
1773866641.303526,-0.71,1.96,2.0
1773866641.3995616,-0.82,1.95,2.09
1773866641.4995928,-0.94,1.94,2.04
1773866641.605918,-1.05,1.92,2.02
1773866641.6995637,-1.17,1.88,2.01
1773866641.7995217,-1.26,1.84,2.1
1773866641.9200637,-1.38,1.8,2.07
1773866641.999518,-1.53,1.75,2.05
1773866642.1018462,-1.59,1.7,2.13
1773866642.1995351,-1.69,1.63,2.14
1773866642.2995505,-1.78,1.56,2.07
1773866642.4049792,-1.87,1.49,2.0
1773866642.4995515,-1.93,1.4,2.0
1773866642.599538,-1.97,1.31,1.99
1773866642.7131772,-2.02,1.23,2.0
1773866642.7995205,-2.07,1.13,1.97
1773866642.899512,-2.06,1.04,1.97
1773866642.9995291,-2.07,0.94,1.99
1773866643.099871,-2.1,0.83,1.99
1773866643.2044513,-2.09,0.72,1.96
1773866643.2995243,-2.08,0.62,1.98
1773866643.3998346,-2.07,0.52,1.93
1773866643.508025,-2.07,0.41,2.05
1773866643.5995364,-2.06,0.29,2.03
1773866643.6995242,-2.07,0.16,1.96
1773866643.7995894,-2.0,0.05,2.02
1773866643.8997195,-2.06,-0.1,1.97
1773866644.0028822,-2.0,-0.2,2.03
1773866644.099557,-1.92,-0.29,1.97
1773866644.199562,-1.91,-0.4,1.92
1773866644.3055465,-1.83,-0.5,1.9
1773866644.3999279,-1.72,-0.6,1.94
1773866644.499559,-1.65,-0.71,1.92
1773866644.6208997,-1.64,-0.83,1.92
1773866644.6995518,-1.55,-0.92,1.93
1773866644.8021243,-1.5,-1.03,1.93
1773866644.8996,-1.5,-1.14,1.98
1773866644.9995885,-1.44,-1.25,1.96
1773866645.104625,-1.31,-1.28,2.04
1773866645.1996386,-1.21,-1.33,2.04
1773866645.2995605,-1.14,-1.4,2.03
1773866645.4175494,-1.02,-1.43,2.08
1773866645.4995918,-0.96,-1.51,2.0
1773866645.601613,-0.88,-1.57,1.96
1773866645.6995466,-0.75,-1.6,2.06
1773866645.7995558,-0.63,-1.62,2.04
1773866645.9056127,-0.49,-1.62,2.12
1773866645.9995549,-0.29,-1.65,2.15
1773866646.0995524,-0.13,-1.66,2.14
1773866646.2169144,0.02,-1.67,2.14
1773866646.299571,0.13,-1.66,2.18
