Time,POSX,POSY,POSZ
1773860312.8540328,-1.0278,0.3224,0.0675
1773860312.8576906,-1.0278,0.3224,0.0674
1773860312.8685806,-1.0277,0.3224,0.0675
1773860312.8729646,-1.0278,0.3224,0.0675
1773860312.8757594,-1.0278,0.3224,0.0674
1773860312.8800635,-1.0278,0.3224,0.0674
1773860312.8848555,-1.0278,0.3224,0.0674
1773860312.8913121,-1.0278,0.3224,0.0674
1773860312.8970637,-1.0278,0.3224,0.0675
1773860312.9021385,-1.0278,0.3224,0.0674
1773860312.9075959,-1.0278,0.3224,0.0675
1773860312.913098,-1.0278,0.3223,0.0675
1773860312.9205685,-1.0278,0.3223,0.0675
1773860312.9243658,-1.0278,0.3224,0.0675
1773860312.9297557,-1.0278,0.3224,0.0674
1773860312.9353821,-1.0278,0.3224,0.0675
1773860312.9891422,-1.0278,0.3224,0.0674
1773860312.9918938,-1.0278,0.3223,0.0675
1773860312.9944303,-1.0278,0.3224,0.0675
1773860312.9969213,-1.0278,0.3224,0.0674
1773860313.011428,-1.0277,0.3224,0.0674
1773860313.0143309,-1.0278,0.3224,0.0675
1773860313.017312,-1.0278,0.3224,0.0674
1773860313.019994,-1.0278,0.3224,0.0675
1773860313.0227785,-1.0278,0.3224,0.0675
1773860313.0255988,-1.0278,0.3224,0.0675
1773860313.0283878,-1.0277,0.3224,0.0675
1773860313.0311718,-1.0278,0.3224,0.0675
1773860313.0341427,-1.0277,0.3224,0.0674
1773860313.0366979,-1.0278,0.3224,0.0675
1773860313.0393047,-1.0278,0.3224,0.0674
1773860313.042062,-1.0278,0.3224,0.0675
1773860313.0446997,-1.0278,0.3224,0.0675
1773860313.0469844,-1.0278,0.3224,0.0675
1773860313.0497925,-1.0278,0.3224,0.0675
1773860313.0523176,-1.0278,0.3223,0.0675
1773860313.0545423,-1.0277,0.3224,0.0675
1773860313.059927,-1.0278,0.3224,0.0675
1773860313.063364,-1.0278,0.3224,0.0675
1773860313.0703273,-1.0278,0.3224,0.0674
1773860313.0830271,-1.0278,0.3224,0.0674
1773860313.0898793,-1.0278,0.3224,0.0675
1773860313.1304722,-1.0278,0.3224,0.0674
1773860313.1335266,-1.0278,0.3224,0.0674
1773860313.136461,-1.0278,0.3224,0.0675
1773860313.1394942,-1.0278,0.3224,0.0675
1773860313.1426952,-1.0278,0.3224,0.0675
1773860313.1453578,-1.0278,0.3223,0.0675
1773860313.1480498,-1.0278,0.3224,0.0675
1773860313.1505802,-1.0278,0.3223,0.0675
1773860313.1529963,-1.0278,0.3223,0.0675
1773860313.1555483,-1.0278,0.3223,0.0675
1773860313.1581185,-1.0278,0.3223,0.0675
1773860313.160856,-1.0278,0.3223,0.0675
1773860313.1635947,-1.0278,0.3223,0.0675
1773860313.1662395,-1.0278,0.3223,0.0675
1773860313.1686287,-1.0278,0.3223,0.0675
1773860313.1711771,-1.0278,0.3223,0.0675
1773860313.181925,-1.0278,0.3223,0.0675
1773860313.1844127,-1.0278,0.3223,0.0675
1773860313.199414,-1.0278,0.3224,0.0675
1773860313.2026153,-1.0278,0.3223,0.0675
1773860313.2057188,-1.0278,0.3223,0.0675
1773860313.2087927,-1.0278,0.3223,0.0675
1773860313.211605,-1.0278,0.3223,0.0675
1773860313.214431,-1.0278,0.3223,0.0675
1773860313.2186213,-1.0278,0.3224,0.0675
1773860313.225624,-1.0278,0.3223,0.0675
1773860313.2689233,-1.0278,0.3223,0.0675
1773860313.2715409,-1.0278,0.3223,0.0675
1773860313.2741222,-1.0278,0.3223,0.0675
1773860313.2766416,-1.0278,0.3223,0.0675
1773860313.2791207,-1.0278,0.3223,0.0675
1773860313.2818716,-1.0278,0.3223,0.0675
1773860313.284042,-1.0278,0.3223,0.0675
1773860313.2859,-1.0278,0.3223,0.0675
1773860313.2901566,-1.0278,0.3223,0.0675
1773860313.2932723,-1.0279,0.3223,0.0675
1773860313.2957916,-1.0279,0.3223,0.0675
1773860313.2982967,-1.0278,0.3223,0.0675
1773860313.311598,-1.0278,0.3223,0.0675
1773860313.3161018,-1.0278,0.3223,0.0675
1773860313.3191473,-1.0278,0.3223,0.0675
1773860313.3222919,-1.0278,0.3223,0.0675
1773860313.3244555,-1.0279,0.3224,0.0675
1773860313.327894,-1.0278,0.3223,0.0675
1773860313.3367956,-1.0278,0.3224,0.0675
1773860313.3387823,-1.0278,0.3223,0.0675
1773860313.342635,-1.0278,0.3223,0.0675
1773860313.3467302,-1.0278,0.3223,0.0675
1773860313.352321,-1.0278,0.3223,0.0675
1773860313.3577914,-1.0278,0.3223,0.0675
1773860313.3651617,-1.0278,0.3224,0.0675
1773860313.4083004,-1.0279,0.3223,0.0675
1773860313.4115887,-1.0278,0.3223,0.0675
1773860313.4136393,-1.0279,0.3223,0.0675
1773860313.4163852,-1.0279,0.3223,0.0675
1773860313.4182749,-1.0278,0.3224,0.0675
1773860313.4210732,-1.0279,0.3223,0.0675
1773860313.4233363,-1.0278,0.3223,0.0675
1773860313.4320445,-1.0278,0.3223,0.0675
1773860313.4386396,-1.0278,0.3223,0.0675
1773860313.444354,-1.0278,0.3224,0.0675
1773860313.4472802,-1.0278,0.3223,0.0675
1773860313.4500327,-1.0278,0.3223,0.0675
1773860313.452739,-1.0278,0.3223,0.0675
1773860313.455203,-1.0278,0.3223,0.0675
1773860313.4596906,-1.0278,0.3223,0.0675
1773860313.4618359,-1.0278,0.3223,0.0675
1773860313.4640598,-1.0278,0.3223,0.0675
1773860313.466563,-1.0278,0.3223,0.0675
1773860313.4689515,-1.0279,0.3223,0.0675
1773860313.4745607,-1.0278,0.3224,0.0674
1773860313.4877918,-1.0278,0.3224,0.0674
1773860313.4901412,-1.0278,0.3224,0.0675
1773860313.492673,-1.0278,0.3224,0.0675
1773860313.4970815,-1.0278,0.3224,0.0674
1773860313.5031912,-1.0278,0.3224,0.0675
1773860313.5074804,-1.0278,0.3224,0.0674
1773860313.5501158,-1.0278,0.3224,0.0674
1773860313.558139,-1.0278,0.3224,0.0675
1773860313.5663555,-1.0278,0.3224,0.0674
1773860313.5688634,-1.0278,0.3224,0.0674
1773860313.5713565,-1.0278,0.3224,0.0674
1773860313.5735807,-1.0278,0.3224,0.0675
1773860313.5780463,-1.0278,0.3224,0.0674
1773860313.580432,-1.0277,0.3224,0.0674
1773860313.5830693,-1.0278,0.3223,0.0675
1773860313.5858114,-1.0278,0.3223,0.0675
1773860313.5881283,-1.0278,0.3224,0.0675
1773860313.5907893,-1.0278,0.3224,0.0675
1773860313.5935984,-1.0278,0.3224,0.0674
1773860313.5959616,-1.0278,0.3224,0.0674
1773860313.5983715,-1.0277,0.3224,0.0674
1773860313.6007702,-1.0278,0.3224,0.0675
1773860313.6033487,-1.0278,0.3224,0.0675
1773860313.6079023,-1.0278,0.3224,0.0674
1773860313.61804,-1.0277,0.3224,0.0674
1773860313.6200337,-1.0278,0.3224,0.0674
1773860313.6258757,-1.0278,0.3224,0.0675
1773860313.638384,-1.0278,0.3224,0.0675
1773860313.6426806,-1.0278,0.3224,0.0674
1773860313.6452887,-1.0278,0.3224,0.0674
1773860313.6541467,-1.0278,0.3224,0.0674
1773860313.6920202,-1.0278,0.3224,0.0675
1773860313.6945696,-1.0278,0.3224,0.0675
1773860313.6971066,-1.0278,0.3224,0.0675
1773860313.69965,-1.0278,0.3224,0.0674
1773860313.7021136,-1.0278,0.3224,0.0674
1773860313.7044902,-1.0278,0.3223,0.0675
1773860313.7107184,-1.0278,0.3224,0.0674
1773860313.713129,-1.0278,0.3224,0.0674
1773860313.715612,-1.0278,0.3224,0.0674
1773860313.7180738,-1.0278,0.3224,0.0674
1773860313.7204037,-1.0277,0.3225,0.0675
1773860313.7228785,-1.0278,0.3224,0.0674
1773860313.725436,-1.0278,0.3224,0.0674
1773860313.7276783,-1.0277,0.3224,0.0674
1773860313.7301211,-1.0278,0.3224,0.0674
1773860313.7352576,-1.0278,0.3224,0.0675
1773860313.7476454,-1.0278,0.3224,0.0674
1773860313.7510767,-1.0278,0.3224,0.0674
1773860313.7537105,-1.0278,0.3224,0.0674
1773860313.7577987,-1.0278,0.3224,0.0674
1773860313.7628338,-1.0278,0.3224,0.0674
1773860313.768386,-1.0277,0.3224,0.0674
1773860313.7826192,-1.0278,0.3224,0.0674
1773860313.7851856,-1.0278,0.3224,0.0674
1773860313.790705,-1.0278,0.3224,0.0674
1773860313.835172,-1.0278,0.3224,0.0674
1773860313.8392026,-1.0278,0.3224,0.0674
1773860313.843004,-1.0278,0.3224,0.0675
1773860313.8500316,-1.0278,0.3224,0.0674
1773860313.853984,-1.0277,0.3224,0.0675
1773860313.8580015,-1.0278,0.3224,0.0674
1773860313.8629544,-1.0278,0.3224,0.0675
1773860313.8668177,-1.0278,0.3224,0.0674
1773860313.8707118,-1.0279,0.3223,0.0674
1773860313.8748894,-1.0278,0.3223,0.0674
1773860313.8775299,-1.0278,0.3223,0.0674
1773860313.893488,-1.0278,0.3223,0.0674
1773860313.8958995,-1.0278,0.3223,0.0674
1773860313.8985314,-1.0278,0.3223,0.0674
1773860313.900686,-1.0278,0.3223,0.0674
1773860313.9031055,-1.0278,0.3224,0.0674
1773860313.9057293,-1.0278,0.3224,0.0674
1773860313.908338,-1.0278,0.3224,0.0674
1773860313.91099,-1.0278,0.3223,0.0674
1773860313.9138088,-1.0278,0.3224,0.0674
1773860313.9174683,-1.0278,0.3223,0.0674
1773860313.9201052,-1.0278,0.3223,0.0674
1773860313.9227636,-1.0278,0.3224,0.0674
1773860313.9260097,-1.0277,0.3224,0.0674
1773860313.9285264,-1.0278,0.3224,0.0674
1773860313.9725387,-1.0278,0.3223,0.0674
1773860313.975297,-1.0278,0.3223,0.0674
1773860313.9777527,-1.0277,0.3224,0.0674
1773860313.9802246,-1.0278,0.3224,0.0674
1773860313.982683,-1.0278,0.3224,0.0674
1773860313.9852123,-1.0278,0.3224,0.0674
1773860313.9994755,-1.0278,0.3224,0.0675
1773860314.002072,-1.0278,0.3223,0.0674
1773860314.0046904,-1.0278,0.3223,0.0674
1773860314.0111794,-1.0278,0.3223,0.0674
1773860314.013918,-1.0278,0.3223,0.0674
1773860314.016581,-1.0278,0.3223,0.0674
1773860314.0192087,-1.0278,0.3223,0.0674
1773860314.0220873,-1.0277,0.3224,0.0674
1773860314.0255113,-1.0278,0.3223,0.0674
1773860314.0280392,-1.0278,0.3224,0.0674
1773860314.0305624,-1.0278,0.3223,0.0674
1773860314.0331433,-1.0278,0.3223,0.0674
1773860314.0359457,-1.0278,0.3223,0.0674
1773860314.038507,-1.0278,0.3223,0.0674
1773860314.0408113,-1.0278,0.3223,0.0674
1773860314.0468612,-1.0277,0.3224,0.0675
1773860314.0555892,-1.0277,0.3224,0.0674
1773860314.0582492,-1.0278,0.3223,0.0674
1773860314.0631914,-1.0278,0.3223,0.0674
1773860314.0692658,-1.0278,0.3223,0.0674
1773860314.123416,-1.0277,0.3224,0.0674
1773860314.126871,-1.0278,0.3223,0.0674
1773860314.1291914,-1.0278,0.3224,0.0674
1773860314.1312594,-1.0278,0.3223,0.0674
1773860314.1335855,-1.0278,0.3223,0.0674
1773860314.135685,-1.0278,0.3224,0.0674
1773860314.1377048,-1.0278,0.3223,0.0674
1773860314.1445034,-1.0278,0.3224,0.0674
1773860314.1470144,-1.0278,0.3224,0.0674
1773860314.1494644,-1.0277,0.3224,0.0674
1773860314.1519923,-1.0278,0.3224,0.0674
1773860314.1544704,-1.0278,0.3224,0.0674
1773860314.16079,-1.0278,0.3224,0.0675
1773860314.1632502,-1.0278,0.3224,0.0675
1773860314.1657202,-1.0277,0.3224,0.0674
1773860314.1682243,-1.0277,0.3224,0.0674
1773860314.1707628,-1.0278,0.3223,0.0674
1773860314.176252,-1.0278,0.3223,0.0674
1773860314.1787186,-1.0278,0.3223,0.0675
1773860314.1812012,-1.0278,0.3224,0.0674
1773860314.1946228,-1.0277,0.3224,0.0675
1773860314.1989782,-1.0278,0.3224,0.0675
1773860314.2013004,-1.0278,0.3224,0.0674
1773860314.2061684,-1.0278,0.3224,0.0674
1773860314.214912,-1.0278,0.3224,0.0674
1773860314.254246,-1.0278,0.3224,0.0674
1773860314.258352,-1.0278,0.3224,0.0674
1773860314.2609441,-1.0278,0.3224,0.0674
1773860314.2635548,-1.0278,0.3224,0.0674
1773860314.2659812,-1.0278,0.3223,0.0674
1773860314.26871,-1.0278,0.3224,0.0674
1773860314.2713585,-1.0278,0.3224,0.0674
1773860314.2741265,-1.0278,0.3224,0.0674
1773860314.2787652,-1.0278,0.3224,0.0674
1773860314.281271,-1.0277,0.3224,0.0674
1773860314.2840517,-1.0277,0.3224,0.0674
1773860314.2865133,-1.0278,0.3224,0.0674
1773860314.2891512,-1.0278,0.3224,0.0674
1773860314.295571,-1.0278,0.3224,0.0674
1773860314.2982335,-1.0278,0.3224,0.0674
1773860314.3104327,-1.0278,0.3224,0.0675
1773860314.3141596,-1.0278,0.3224,0.0675
1773860314.3165863,-1.0277,0.3224,0.0674
1773860314.3189363,-1.0277,0.3224,0.0674
1773860314.3216581,-1.0277,0.3224,0.0674
1773860314.3315518,-1.0278,0.3224,0.0675
1773860314.3341014,-1.0278,0.3224,0.0674
1773860314.3366492,-1.0278,0.3224,0.0674
1773860314.3404746,-1.0278,0.3224,0.0674
1773860314.346027,-1.0278,0.3224,0.0674
1773860314.3539047,-1.0278,0.3224,0.0675
1773860314.3951035,-1.0278,0.3224,0.0674
1773860314.3982944,-1.0278,0.3224,0.0674
1773860314.4009373,-1.0278,0.3224,0.0675
1773860314.403441,-1.0278,0.3224,0.0674
1773860314.4062967,-1.0278,0.3224,0.0674
1773860314.408362,-1.0278,0.3224,0.0674
1773860314.4100504,-1.0278,0.3224,0.0674
1773860314.412135,-1.0278,0.3224,0.0674
1773860314.414242,-1.0278,0.3224,0.0674
1773860314.427751,-1.0278,0.3224,0.0674
1773860314.4317787,-1.0277,0.3224,0.0674
1773860314.4358535,-1.0277,0.3224,0.0674
1773860314.4398353,-1.0277,0.3224,0.0675
1773860314.4426148,-1.0278,0.3224,0.0675
1773860314.444865,-1.0277,0.3224,0.0674
1773860314.4476194,-1.0278,0.3224,0.0674
1773860314.4499304,-1.0278,0.3224,0.0674
1773860314.4526393,-1.0278,0.3224,0.0675
1773860314.4581175,-1.0278,0.3224,0.0674
1773860314.4631417,-1.0278,0.3224,0.0674
1773860314.469046,-1.0277,0.3224,0.0674
1773860314.473898,-1.0277,0.3224,0.0674
1773860314.4795833,-1.0277,0.3224,0.0674
1773860314.4908469,-1.0277,0.3224,0.0674
1773860314.533524,-1.0278,0.3224,0.0674
1773860314.5367758,-1.0278,0.3224,0.0674
1773860314.539498,-1.0278,0.3224,0.0674
1773860314.5422723,-1.0278,0.3224,0.0675
1773860314.5454774,-1.0278,0.3224,0.0674
1773860314.557732,-1.0277,0.3224,0.0674
1773860314.5622494,-1.0278,0.3224,0.0674
1773860314.5646334,-1.0277,0.3224,0.0674
1773860314.567042,-1.0277,0.3224,0.0674
1773860314.5692453,-1.0278,0.3224,0.0674
1773860314.5719907,-1.0278,0.3224,0.0675
1773860314.5751805,-1.0277,0.3224,0.0674
1773860314.5779498,-1.0278,0.3224,0.0674
1773860314.580298,-1.0278,0.3224,0.0674
1773860314.582887,-1.0277,0.3224,0.0674
1773860314.5854335,-1.0278,0.3224,0.0674
1773860314.587987,-1.0278,0.3224,0.0674
1773860314.5907018,-1.0278,0.3224,0.0674
1773860314.5939403,-1.0277,0.3224,0.0674
1773860314.5966501,-1.0278,0.3224,0.0675
1773860314.6140015,-1.0278,0.3224,0.0675
1773860314.616593,-1.0278,0.3224,0.0674
1773860314.619346,-1.0278,0.3223,0.0675
1773860314.6221058,-1.0278,0.3223,0.0675
1773860314.6252093,-1.0278,0.3223,0.0675
1773860314.6748521,-1.0278,0.3223,0.0675
1773860314.6854405,-1.0279,0.3223,0.0674
1773860314.6885734,-1.0278,0.3223,0.0674
1773860314.6917028,-1.0279,0.3223,0.0674
1773860314.6945064,-1.0278,0.3223,0.0674
1773860314.6974666,-1.0278,0.3223,0.0675
1773860314.7001958,-1.0278,0.3223,0.0674
1773860314.703979,-1.0278,0.3223,0.0675
1773860314.706814,-1.0278,0.3223,0.0675
1773860314.7094085,-1.0278,0.3223,0.0675
1773860314.711995,-1.0278,0.3223,0.0675
1773860314.7144513,-1.0279,0.3223,0.0674
1773860314.7171142,-1.0278,0.3223,0.0674
1773860314.7197828,-1.0279,0.3223,0.0674
1773860314.7224112,-1.0279,0.3223,0.0674
1773860314.7279856,-1.0278,0.3223,0.0674
1773860314.73039,-1.0278,0.3223,0.0675
1773860314.7329776,-1.0278,0.3223,0.0674
1773860314.735594,-1.0278,0.3223,0.0675
1773860314.7381458,-1.0279,0.3223,0.0675
1773860314.7518353,-1.0279,0.3223,0.0674
1773860314.755829,-1.0279,0.3223,0.0674
1773860314.7584333,-1.0279,0.3223,0.0674
1773860314.7638698,-1.0279,0.3223,0.0674
1773860314.7670033,-1.0279,0.3223,0.0674
1773860314.7699213,-1.0279,0.3223,0.0675
1773860314.7763987,-1.0279,0.3223,0.0675
1773860314.8185816,-1.0279,0.3223,0.0675
1773860314.8219833,-1.0279,0.3223,0.0674
1773860314.8245912,-1.0279,0.3223,0.0674
1773860314.827264,-1.0278,0.3223,0.0675
1773860314.8299532,-1.0279,0.3223,0.0674
1773860314.8326106,-1.0279,0.3223,0.0674
1773860314.8351557,-1.0279,0.3223,0.0674
1773860314.837743,-1.0279,0.3223,0.0674
1773860314.8443274,-1.0279,0.3223,0.0674
1773860314.8467357,-1.0279,0.3223,0.0674
1773860314.8492374,-1.0278,0.3223,0.0674
1773860314.8519726,-1.0279,0.3223,0.0674
1773860314.8546052,-1.0279,0.3223,0.0674
1773860314.8757262,-1.0279,0.3223,0.0674
1773860314.881605,-1.0278,0.3223,0.0675
1773860314.8891497,-1.0279,0.3222,0.0675
1773860314.8956857,-1.0279,0.3223,0.0674
1773860314.8999517,-1.0278,0.3223,0.0675
1773860314.903553,-1.0279,0.3223,0.0674
1773860314.9066675,-1.0279,0.3223,0.0674
1773860314.911872,-1.0279,0.3223,0.0674
1773860314.9148529,-1.0279,0.3222,0.0674
1773860314.9592671,-1.0279,0.3223,0.0674
1773860314.9619112,-1.0279,0.3223,0.0675
1773860314.9646797,-1.0279,0.3223,0.0674
1773860314.9675648,-1.0278,0.3223,0.0674
1773860314.9695013,-1.0279,0.3223,0.0674
1773860314.9719715,-1.0279,0.3223,0.0674
1773860314.9741528,-1.0279,0.3222,0.0674
1773860314.976842,-1.0279,0.3223,0.0674
1773860314.9794023,-1.0279,0.3222,0.0674
1773860314.9816468,-1.0279,0.3223,0.0674
1773860314.9837706,-1.0279,0.3223,0.0674
1773860314.9980228,-1.0279,0.3222,0.0674
1773860315.000653,-1.0279,0.3222,0.0674
1773860315.0036097,-1.0278,0.3223,0.0674
1773860315.006578,-1.0279,0.3223,0.0674
1773860315.012538,-1.0279,0.3223,0.0674
1773860315.0160918,-1.0278,0.3223,0.0675
1773860315.018891,-1.0279,0.3223,0.0674
1773860315.0213313,-1.0279,0.3222,0.0674
1773860315.0240693,-1.0279,0.3223,0.0674
1773860315.0265825,-1.0279,0.3222,0.0675
1773860315.035163,-1.0279,0.3223,0.0674
1773860315.0378926,-1.0279,0.3223,0.0674
1773860315.040771,-1.0279,0.3223,0.0674
1773860315.0433424,-1.0279,0.3223,0.0674
1773860315.046183,-1.0279,0.3223,0.0674
