Time,POSX,POSY,POSZ
1773860317.1384797,-0.8,0.19,0.43
1773860317.2394826,-0.9,0.1,0.53
1773860317.3384776,-1.0176,0.0412,0.6771
1773860317.438544,-1.1641,-0.0112,0.8789
1773860317.5421312,-1.2721,-0.0766,1.0252
1773860317.6385138,-1.439,-0.1311,1.224
1773860317.738533,-1.584,-0.1728,1.4223
1773860317.839353,-1.7222,-0.2132,1.613
1773860317.9385254,-1.7849,-0.2149,1.7505
1773860318.0389068,-1.813,-0.1962,1.9015
1773860318.1411247,-1.8928,-0.1995,1.9895
1773860318.238574,-1.8883,-0.1715,2.054
1773860318.3385124,-1.9284,-0.1714,2.1033
1773860318.4437292,-1.9685,-0.1822,2.1366
1773860318.5385158,-2.0197,-0.206,2.178
1773860318.6392355,-2.083,-0.2439,2.2053
1773860318.7437599,-2.0748,-0.2627,2.2561
1773860318.8385105,-2.0684,-0.3051,2.2558
1773860318.9385068,-1.9867,-0.3382,2.2645
1773860319.0514324,-1.8549,-0.3659,2.2613
1773860319.1385012,-1.7552,-0.4245,2.2562
1773860319.238465,-1.6582,-0.4978,2.2385
1773860319.3509698,-1.543,-0.5823,2.2365
1773860319.438789,-1.4578,-0.692,2.2097
1773860319.5384662,-1.3531,-0.802,2.1823
1773860319.6483736,-1.2597,-0.9263,2.1622
1773860319.7384498,-1.1503,-1.0288,2.1241
1773860319.8384824,-1.061,-1.1403,2.1273
1773860319.9398263,-0.9413,-1.2282,2.1082
1773860320.0384526,-0.8311,-1.3103,2.0692
1773860320.1386015,-0.7135,-1.3767,2.0399
1773860320.2409027,-0.5838,-1.4321,2.0146
1773860320.3384762,-0.4685,-1.4764,2.0184
1773860320.438521,-0.3542,-1.5161,2.0207
1773860320.541604,-0.2472,-1.5558,2.0252
1773860320.6385133,-0.1401,-1.5921,2.0207
1773860320.7383623,-0.0186,-1.623,2.0238
1773860320.8402977,0.116,-1.643,2.019
1773860320.9383376,0.2499,-1.6532,2.0546
1773860321.038355,0.3931,-1.6585,2.0899
1773860321.1429179,0.5712,-1.6676,2.1119
1773860321.238335,0.7349,-1.6692,2.1163
1773860321.3383093,0.9008,-1.6629,2.1093
1773860321.442268,1.0812,-1.6537,2.1271
1773860321.5383396,1.2225,-1.6236,2.1354
1773860321.6383536,1.3515,-1.5846,2.1279
1773860321.7392597,1.4624,-1.5352,2.1518
1773860321.838305,1.5613,-1.4751,2.1849
1773860321.9383168,1.6572,-1.4078,2.1983
1773860322.0461988,1.7526,-1.325,2.2046
1773860322.138327,1.8234,-1.2328,2.204
1773860322.2383094,1.8881,-1.1364,2.177
1773860322.3383243,1.9391,-1.0342,2.1405
1773860322.4402518,1.9914,-0.9278,2.1004
1773860322.5383294,2.0346,-0.8233,2.0613
1773860322.6383083,2.0951,-0.7192,2.0364
1773860322.7420733,2.146,-0.605,2.0184
1773860322.8382955,2.1768,-0.4876,1.9927
1773860322.9382937,2.2067,-0.3577,1.9775
1773860323.0386198,2.2275,-0.2169,1.9537
1773860323.1651394,2.2458,-0.0586,1.9522
1773860323.2382486,2.2347,0.0806,1.9838
1773860323.3615522,2.2512,0.2581,1.9988
1773860323.4387434,2.255,0.4069,2.0008
1773860323.5566838,2.2466,0.5724,2.0217
1773860323.6381905,2.2062,0.6988,2.0599
1773860323.7543507,2.1676,0.8422,2.0648
1773860323.838214,2.0939,0.9475,2.0743
1773860323.9474776,2.0602,1.0662,2.1082
1773860324.0504239,1.9797,1.1748,2.109
1773860324.1422238,1.9067,1.263,2.1387
1773860324.2381961,1.8376,1.3446,2.1698
1773860324.3423069,1.7176,1.4235,2.1859
1773860324.438492,1.5752,1.4764,2.2064
1773860324.5443063,1.4213,1.512,2.1914
1773860324.6381905,1.2445,1.5222,2.1763
1773860324.7429419,1.0489,1.511,2.1553
1773860324.8398194,0.8533,1.4645,2.1463
1773860324.9389596,0.6944,1.3887,2.1099
1773860325.0381615,0.5434,1.2942,2.0802
1773860325.1383586,0.4144,1.1869,2.0488
1773860325.238418,0.3156,1.0674,2.0329
1773860325.338161,0.2256,0.933,2.0051
1773860325.4571702,0.138,0.8002,1.9741
1773860325.5386326,0.0872,0.6768,1.958
1773860325.6593866,0.0099,0.5603,1.9543
1773860325.7382405,-0.0682,0.4676,1.9907
1773860325.8585474,-0.1801,0.3838,2.0061
1773860325.9382467,-0.273,0.3271,2.0085
1773860326.045636,-0.405,0.2815,2.0098
1773860326.1384346,-0.5562,0.2503,1.9981
1773860326.2440238,-0.7256,0.2432,2.006
1773860326.3382428,-0.8549,0.2752,2.0286
1773860326.4462101,-0.9959,0.3344,2.0484
1773860326.5382917,-1.1139,0.4165,2.0527
1773860326.638204,-1.2061,0.5255,2.0492
1773860326.73844,-1.2739,0.6478,2.0432
1773860326.8381994,-1.3204,0.776,2.0356
1773860326.9421039,-1.3376,0.9021,2.0135
1773860327.0382488,-1.3337,1.0071,2.0176
1773860327.1382039,-1.2988,1.0888,1.994
1773860327.2456124,-1.2587,1.1613,1.9301
1773860327.3382027,-1.2298,1.2044,1.8523
1773860327.4382167,-1.2222,1.2388,1.7729
1773860327.5429506,-1.1918,1.2394,1.6723
1773860327.6388595,-1.1545,1.2126,1.576
1773860327.7407262,-1.127,1.1596,1.4868
1773860327.8381665,-1.1338,1.0927,1.3987
1773860327.9382117,-1.1575,1.0204,1.2966
1773860328.041226,-1.2034,0.954,1.1842
1773860328.1381795,-1.2533,0.8957,1.0679
1773860328.2387397,-1.2983,0.8403,0.9489
1773860328.3408675,-1.3393,0.7935,0.8287
1773860328.4381964,-1.3891,0.7472,0.7243
1773860328.5381963,-1.4271,0.7108,0.6346
1773860328.642126,-1.4535,0.6847,0.5483
