Time,POSX,POSY,POSZ
1773860317.1384797,-0.8,0.19,0.43
1773860317.2394826,-0.9,0.1,0.53
1773860317.3384776,-1.02,0.04,0.68
1773860317.438544,-1.17,-0.01,0.89
1773860317.5421312,-1.26,-0.08,1.01
1773860317.6385138,-1.47,-0.13,1.25
1773860317.738533,-1.59,-0.16,1.44
1773860317.839353,-1.72,-0.2,1.62
1773860317.9385254,-1.7,-0.16,1.7
1773860318.0389068,-1.69,-0.12,1.87
1773860318.1411247,-1.85,-0.16,1.87
1773860318.238574,-1.73,-0.09,1.92
1773860318.3385124,-1.85,-0.14,1.95
1773860318.4437292,-1.89,-0.17,1.96
1773860318.5385158,-1.98,-0.22,2.05
1773860318.6392355,-2.06,-0.28,2.05
1773860318.7437599,-1.92,-0.26,2.15
1773860318.8385105,-1.94,-0.35,2.08
1773860318.9385068,-1.72,-0.36,2.11
1773860319.0514324,-1.51,-0.37,2.08
1773860319.1385012,-1.51,-0.5,2.12
1773860319.238465,-1.43,-0.59,2.07
1773860319.3509698,-1.3,-0.68,2.1
1773860319.438789,-1.29,-0.85,2.06
1773860319.5384662,-1.16,-0.94,2.03
1773860319.6483736,-1.11,-1.07,2.03
1773860319.7384498,-0.97,-1.14,1.98
1773860319.8384824,-0.94,-1.25,2.07
1773860319.9398263,-0.77,-1.28,2.01
1773860320.0384526,-0.69,-1.35,1.94
1773860320.1386015,-0.57,-1.38,1.94
1773860320.2409027,-0.43,-1.41,1.93
1773860320.3384762,-0.35,-1.44,2.0
1773860320.438521,-0.25,-1.47,2.0
1773860320.541604,-0.17,-1.51,2.01
1773860320.6385133,-0.06,-1.55,1.99
1773860320.7383623,0.08,-1.57,2.01
1773860320.8402977,0.23,-1.57,1.99
1773860320.9383376,0.36,-1.57,2.11
1773860321.038355,0.51,-1.57,2.14
1773860321.1429179,0.74,-1.59,2.13
1773860321.238335,0.88,-1.59,2.1
1773860321.3383093,1.03,-1.57,2.07
1773860321.442268,1.22,-1.56,2.14
1773860321.5383396,1.29,-1.5,2.13
1773860321.6383536,1.38,-1.45,2.09
1773860321.7392597,1.45,-1.39,2.18
1773860321.838305,1.53,-1.32,2.23
1773860321.9383168,1.62,-1.25,2.2
1773860322.0461988,1.7,-1.15,2.19
1773860322.138327,1.76,-1.05,2.18
1773860322.2383094,1.8,-0.96,2.1
1773860322.3383243,1.83,-0.86,2.05
1773860322.4402518,1.89,-0.76,2.01
1773860322.5383294,1.93,-0.67,1.98
1773860322.6383083,2.03,-0.58,1.99
1773860322.7420733,2.06,-0.46,1.99
1773860322.8382955,2.07,-0.34,1.95
1773860322.9382937,2.1,-0.2,1.96
1773860323.0386198,2.11,-0.05,1.92
1773860323.1651394,2.1,0.09,1.97
1773860323.2382486,2.11,0.26,2.06
1773860323.3615522,2.13,0.42,2.04
1773860323.4387434,2.17,0.58,2.01
1773860323.5566838,2.1,0.69,2.07
1773860323.6381905,2.04,0.8,2.14
1773860323.7543507,1.99,0.9,2.07
1773860323.838214,1.88,0.99,2.09
1773860323.9474776,1.93,1.08,2.17
1773860324.0504239,1.77,1.18,2.1
1773860324.1422238,1.73,1.25,2.19
1773860324.2381961,1.68,1.31,2.22
1773860324.3423069,1.47,1.37,2.2
1773860324.438492,1.3,1.39,2.23
1773860324.5443063,1.15,1.38,2.14
1773860324.6381905,0.94,1.37,2.13
1773860324.7429419,0.74,1.31,2.1
1773860324.8398194,0.56,1.22,2.12
1773860324.9389596,0.5,1.1,2.03
1773860325.0381615,0.38,0.99,2.02
1773860325.1383586,0.31,0.88,1.99
1773860325.238418,0.28,0.76,2.01
1773860325.338161,0.21,0.62,1.96
1773860325.4571702,0.16,0.52,1.93
1773860325.5386326,0.12,0.43,1.94
1773860325.6593866,0.05,0.36,1.97
1773860325.7382405,-0.1,0.31,2.08
1773860325.8585474,-0.21,0.28,2.05
1773860325.9382467,-0.33,0.26,2.02
1773860326.045636,-0.49,0.26,2.02
1773860326.1384346,-0.7,0.25,1.98
1773860326.2440238,-0.87,0.3,2.03
1773860326.3382428,-0.93,0.4,2.08
1773860326.4462101,-1.06,0.51,2.09
1773860326.5382917,-1.16,0.62,2.06
1773860326.638204,-1.18,0.77,2.04
1773860326.73844,-1.2,0.9,2.03
1773860326.8381994,-1.21,1.02,2.02
1773860326.9421039,-1.17,1.12,1.97
1773860327.0382488,-1.15,1.17,2.03
1773860327.1382039,-1.06,1.19,1.95
1773860327.2456124,-1.02,1.23,1.81
1773860327.3382027,-1.05,1.22,1.71
1773860327.4382167,-1.09,1.23,1.64
1773860327.5429506,-1.02,1.16,1.51
1773860327.6388595,-0.99,1.09,1.43
1773860327.7407262,-0.99,0.99,1.37
1773860327.8381665,-1.08,0.91,1.29
1773860327.9382117,-1.14,0.84,1.17
1773860328.041226,-1.23,0.8,1.05
1773860328.1381795,-1.29,0.77,0.93
1773860328.2387397,-1.32,0.73,0.82
1773860328.3408675,-1.35,0.71,0.71
1773860328.4381964,-1.42,0.67,0.64
1773860328.5381963,-1.43,0.66,0.59
1773860328.642126,-1.43,0.66,0.52
1773860328.7382007,-1.44,0.65,0.49
1773860328.8381886,-1.44,0.64,0.46
1773860328.939728,-1.48,0.65,0.44
1773860329.0381768,-1.48,0.64,0.44
1773860329.1383693,-1.36,0.62,0.4
1773860329.2404082,-1.38,0.62,0.39
1773860329.3381584,-1.36,0.62,0.36
1773860329.438466,-1.38,0.63,0.36
1773860329.5415459,-1.3,0.62,0.33
1773860329.6381536,-1.3,0.62,0.32
1773860329.7381818,-1.33,0.61,0.32
1773860329.8444412,-1.36,0.62,0.33
1773860329.9381554,-1.34,0.6,0.33
1773860330.0382857,-1.36,0.61,0.33
