Time,POSX,POSY,POSZ
1775747471.2703154,-1.5,0.71,0.56
1775747471.383612,-1.5,0.71,0.57
1775747471.4698117,-1.5,0.71,0.56
1775747471.5701473,-1.5,0.7,0.59
1775747471.6851459,-1.49,0.7,0.59
1775747471.7702749,-1.48,0.7,0.59
1775747471.8691227,-1.5,0.71,0.59
1775747471.9803934,-1.53,0.71,0.59
1775747472.0701096,-1.51,0.69,0.59
1775747472.1691213,-1.52,0.7,0.58
1775747472.2772949,-1.53,0.71,0.57
1775747472.370226,-1.49,0.7,0.55
1775747472.4697442,-1.5,0.71,0.54
1775747472.5701485,-1.47,0.7,0.53
1775747472.7095082,-1.48,0.7,0.53
1775747472.7706506,-1.49,0.7,0.54
1775747472.8689098,-1.41,0.7,0.55
1775747473.0120366,-1.45,0.71,0.55
1775747473.0716453,-1.48,0.71,0.55
1775747473.171385,-1.48,0.71,0.56
1775747473.3093143,-1.5,0.71,0.55
1775747473.370966,-1.5,0.71,0.56
1775747473.470838,-1.46,0.71,0.55
1775747473.6093502,-1.49,0.7,0.55
1775747473.672089,-1.49,0.7,0.56
1775747473.770384,-1.49,0.7,0.55
1775747473.9082427,-1.52,0.71,0.56
1775747473.96991,-1.45,0.7,0.55
1775747474.0716114,-1.48,0.71,0.56
1775747474.2085614,-1.48,0.7,0.57
1775747474.2689996,-1.5,0.69,0.57
1775747474.370975,-1.5,0.69,0.57
1775747474.5063102,-1.51,0.69,0.58
1775747474.5689793,-1.47,0.69,0.56
1775747474.6697624,-1.42,0.7,0.57
1775747474.8097112,-1.49,0.71,0.57
1775747474.8689003,-1.5,0.71,0.57
1775747474.9710183,-1.53,0.71,0.57
1775747475.0964122,-1.5,0.69,0.56
1775747475.1720693,-1.39,0.67,0.5
1775747475.269797,-1.34,0.67,0.49
1775747475.397505,-1.34,0.63,0.41
1775747475.4687293,-1.51,0.63,0.44
1775747475.5696006,-1.41,0.64,0.48
1775747475.6891308,-1.52,0.65,0.51
1775747475.7704175,-1.64,0.66,0.55
1775747475.8695867,-1.67,0.66,0.56
1775747475.9860165,-1.71,0.66,0.6
1775747476.0712745,-1.74,0.69,0.62
1775747476.169281,-1.72,0.68,0.6
1775747476.2942286,-1.61,0.63,0.55
1775747476.371507,-1.48,0.62,0.56
1775747476.471627,-1.41,0.56,0.55
1775747476.596024,-1.39,0.5,0.53
1775747476.6687462,-1.49,0.5,0.68
1775747476.7691286,-1.6,0.45,0.98
1775747476.9003584,-1.56,0.46,1.1
1775747476.968666,-1.46,0.45,1.16
1775747477.0711157,-1.44,0.43,1.3
1775747477.202585,-1.39,0.46,1.43
1775747477.2686296,-1.36,0.45,1.55
1775747477.370121,-1.34,0.47,1.64
1775747477.4995487,-1.35,0.45,1.7
1775747477.5692863,-1.34,0.45,1.74
1775747477.6695423,-1.41,0.45,1.8
1775747477.7935722,-1.4,0.48,1.85
1775747477.8705428,-1.39,0.48,1.87
1775747477.969385,-1.41,0.49,1.89
1775747478.0752368,-1.48,0.52,2.02
1775747478.1691597,-1.48,0.57,1.97
1775747478.2715318,-1.44,0.58,1.92
1775747478.3741992,-1.46,0.59,1.89
1775747478.4704077,-1.46,0.61,1.93
1775747478.569437,-1.49,0.63,1.95
1775747478.6721706,-1.55,0.66,1.97
1775747478.8089375,-1.6,0.68,1.96
1775747478.8716536,-1.61,0.7,1.99
1775747478.9704762,-1.61,0.72,2.0
1775747479.1100693,-1.61,0.73,2.13
1775747479.1701393,-1.62,0.72,2.1
1775747479.269526,-1.64,0.72,2.03
1775747479.413013,-1.68,0.71,2.04
1775747479.4703877,-1.72,0.7,2.04
1775747479.571555,-1.77,0.67,2.07
1775747479.715384,-1.79,0.65,2.09
1775747479.7699702,-1.82,0.6,2.1
1775747479.8699188,-1.85,0.56,2.07
1775747480.007941,-1.85,0.5,2.07
1775747480.070023,-1.83,0.44,2.07
1775747480.1695826,-1.85,0.39,2.15
1775747480.3092263,-1.84,0.33,2.17
1775747480.369277,-1.81,0.26,2.15
1775747480.4698553,-1.85,0.16,2.15
1775747480.6115265,-1.86,0.08,2.08
1775747480.6708522,-1.8,-0.0,2.04
1775747480.7702627,-1.8,-0.1,2.12
1775747480.9184175,-1.81,-0.18,2.04
1775747480.9696536,-1.78,-0.27,2.05
1775747481.0733917,-1.74,-0.36,2.07
1775747481.263662,-1.7,-0.46,2.1
1775747481.2796426,-1.66,-0.52,2.04
1775747481.4622877,-1.6,-0.6,2.01
1775747481.477616,-1.55,-0.68,1.98
1775747481.6610496,-1.46,-0.75,1.97
1775747481.6746662,-1.41,-0.83,2.0
1775747481.8376172,-1.34,-0.91,2.06
1775747481.8747966,-1.26,-1.02,2.03
1775747482.0112875,-1.11,-1.11,2.08
1775747482.0704021,-1.02,-1.19,2.06
1775747482.1863005,-0.97,-1.27,2.02
1775747482.2687562,-0.84,-1.34,1.97
1775747482.3711421,-0.74,-1.41,1.95
1775747482.4910858,-0.59,-1.46,1.92
1775747482.5691679,-0.5,-1.5,1.91
1775747482.6686485,-0.43,-1.5,2.03
1775747482.7980614,-0.31,-1.55,2.05
1775747482.8690772,-0.17,-1.6,2.0
1775747482.9696035,-0.01,-1.63,2.04
1775747483.105073,0.05,-1.61,2.02
1775747483.169408,0.11,-1.6,1.96
1775747483.2699456,0.17,-1.59,2.06
1775747483.4005075,0.26,-1.6,2.05
1775747483.4700825,0.35,-1.57,2.08
1775747483.5695102,0.44,-1.57,2.04
1775747483.6998255,0.51,-1.56,2.0
1775747483.770088,0.62,-1.54,1.99
1775747483.8694382,0.72,-1.53,2.0
1775747484.0110004,0.83,-1.52,2.04
1775747484.0688605,0.93,-1.51,2.02
1775747484.17026,1.06,-1.5,2.0
1775747484.3122394,1.16,-1.47,1.99
1775747484.3696241,1.27,-1.42,2.07
1775747484.4710426,1.4,-1.37,2.07
1775747484.6026058,1.53,-1.31,2.05
1775747484.6694515,1.64,-1.22,2.04
1775747484.7702658,1.72,-1.15,2.01
1775747484.8984702,1.81,-1.09,2.0
1775747484.9712892,1.85,-1.01,2.05
1775747485.0704272,1.94,-0.91,2.05
1775747485.2020965,1.98,-0.8,1.99
1775747485.2699907,2.0,-0.7,2.09
1775747485.3690996,2.03,-0.59,2.02
1775747485.4997,2.11,-0.48,1.97
1775747485.5693831,2.18,-0.35,1.93
1775747485.6687934,2.22,-0.23,1.95
1775747485.7976923,2.26,-0.08,1.97
1775747485.869913,2.28,0.05,1.95
1775747485.9712746,2.29,0.19,2.01
1775747486.0936093,2.23,0.31,2.06
1775747486.1689925,2.21,0.44,2.16
1775747486.2714462,2.19,0.57,2.07
