Time,POSX,POSY,POSZ
1775751168.88724,-1.0519,-0.0217,0.174
1775751168.8940275,-1.0519,-0.0218,0.174
1775751168.8972428,-1.0519,-0.0217,0.174
1775751168.903894,-1.052,-0.0217,0.174
1775751168.9086235,-1.0519,-0.0217,0.174
1775751168.9153838,-1.0519,-0.0218,0.174
1775751168.9194796,-1.0519,-0.0218,0.174
1775751168.925119,-1.0519,-0.0218,0.174
1775751168.9303195,-1.0519,-0.0218,0.174
1775751168.9359415,-1.0519,-0.0218,0.174
1775751168.9424787,-1.052,-0.0217,0.174
1775751168.9474573,-1.052,-0.0217,0.174
1775751168.952926,-1.052,-0.0218,0.174
1775751168.958841,-1.052,-0.0217,0.174
1775751168.964507,-1.0519,-0.0217,0.174
1775751168.9703064,-1.0519,-0.0217,0.174
1775751168.978325,-1.0519,-0.0217,0.174
1775751168.9864817,-1.0519,-0.0217,0.174
1775751168.9872136,-1.0519,-0.0217,0.174
1775751168.992422,-1.0519,-0.0217,0.174
1775751169.014966,-1.0519,-0.0217,0.174
1775751169.0154626,-1.0519,-0.0217,0.174
1775751169.0159166,-1.0519,-0.0217,0.174
1775751169.0163481,-1.052,-0.0217,0.174
1775751169.0200858,-1.052,-0.0217,0.174
1775751169.0248277,-1.052,-0.0217,0.174
1775751169.030306,-1.0519,-0.0217,0.174
1775751169.0368805,-1.0519,-0.0218,0.174
1775751169.0441763,-1.0519,-0.0217,0.174
1775751169.0474973,-1.0519,-0.0218,0.174
1775751169.052635,-1.0519,-0.0218,0.174
1775751169.0585,-1.0519,-0.0217,0.174
1775751169.0635648,-1.0519,-0.0218,0.174
1775751169.0691578,-1.0519,-0.0217,0.174
1775751169.0748582,-1.052,-0.0217,0.174
1775751169.0809748,-1.0519,-0.0217,0.174
1775751169.0871408,-1.052,-0.0217,0.174
1775751169.0923045,-1.0519,-0.0217,0.174
1775751169.0971892,-1.052,-0.0217,0.174
1775751169.1042092,-1.052,-0.0217,0.174
1775751169.1112487,-1.052,-0.0217,0.174
1775751169.1147652,-1.0519,-0.0217,0.174
1775751169.1263545,-1.0519,-0.0217,0.174
1775751169.127498,-1.052,-0.0217,0.174
1775751169.132106,-1.0519,-0.0217,0.174
1775751169.137002,-1.0519,-0.0217,0.174
1775751169.1434999,-1.0519,-0.0217,0.174
1775751169.1488128,-1.0519,-0.0217,0.174
1775751169.1532102,-1.052,-0.0217,0.174
1775751169.1585298,-1.0519,-0.0217,0.174
1775751169.1640272,-1.052,-0.0217,0.174
1775751169.1700468,-1.0519,-0.0217,0.174
1775751169.1753075,-1.0519,-0.0217,0.174
1775751169.1808577,-1.0519,-0.0217,0.174
1775751169.1867468,-1.052,-0.0217,0.174
1775751169.1923766,-1.0519,-0.0217,0.174
1775751169.197667,-1.0519,-0.0217,0.174
1775751169.20309,-1.0519,-0.0217,0.174
1775751169.2093322,-1.0519,-0.0217,0.174
1775751169.2140152,-1.0519,-0.0217,0.174
1775751169.2199705,-1.0519,-0.0217,0.174
1775751169.2250657,-1.0519,-0.0217,0.174
1775751169.2312138,-1.0519,-0.0217,0.174
1775751169.2379382,-1.0519,-0.0217,0.174
1775751169.2420895,-1.0519,-0.0217,0.174
1775751169.2477894,-1.0519,-0.0217,0.174
1775751169.25306,-1.0519,-0.0217,0.174
1775751169.258402,-1.0519,-0.0217,0.174
1775751169.2727892,-1.0519,-0.0217,0.174
1775751169.274106,-1.052,-0.0217,0.174
1775751169.275365,-1.0519,-0.0217,0.174
1775751169.2806501,-1.0519,-0.0217,0.174
1775751169.2864068,-1.0519,-0.0217,0.174
1775751169.2936018,-1.0519,-0.0217,0.174
1775751169.2974863,-1.0519,-0.0217,0.174
1775751169.3029988,-1.0519,-0.0217,0.174
1775751169.3088388,-1.0519,-0.0217,0.174
1775751169.3146482,-1.0519,-0.0217,0.174
1775751169.3207314,-1.0519,-0.0217,0.174
1775751169.3251379,-1.0519,-0.0217,0.174
1775751169.33068,-1.0519,-0.0217,0.174
1775751169.3366532,-1.0519,-0.0217,0.174
1775751169.3424284,-1.0519,-0.0217,0.174
1775751169.3479867,-1.0519,-0.0217,0.174
1775751169.3539395,-1.0519,-0.0217,0.174
1775751169.358432,-1.0519,-0.0217,0.174
1775751169.3637753,-1.0519,-0.0217,0.174
1775751169.369404,-1.0519,-0.0218,0.174
1775751169.3749301,-1.0519,-0.0217,0.174
1775751169.381468,-1.0519,-0.0217,0.174
1775751169.3861032,-1.0519,-0.0217,0.174
1775751169.392329,-1.0519,-0.0217,0.174
1775751169.3969357,-1.052,-0.0217,0.174
1775751169.4026406,-1.0519,-0.0217,0.174
1775751169.4242127,-1.0519,-0.0217,0.174
1775751169.4454005,-1.0519,-0.0217,0.174
1775751169.4460452,-1.0519,-0.0217,0.174
1775751169.4464655,-1.0519,-0.0217,0.174
1775751169.446857,-1.0519,-0.0217,0.174
