Time,POSX,POSY,POSZ
1775751171.9736445,-1.01,0.08,0.57
1775751172.0734658,-1.03,0.08,0.57
1775751172.175659,-1.0202,0.0898,0.5602
1775751172.2762709,-1.0351,0.0833,0.5584
1775751172.3746214,-1.0329,0.0951,0.5722
1775751172.4737005,-1.0442,0.0938,0.5843
1775751172.6043754,-1.0384,0.0931,0.5968
1775751172.6740947,-1.035,0.0923,0.596
1775751172.7739868,-1.0469,0.0874,0.601
1775751172.8985288,-1.064,0.0887,0.6044
1775751172.9762933,-1.0565,0.0894,0.6009
1775751173.0749338,-1.0482,0.086,0.5911
1775751173.1775594,-1.0385,0.0836,0.5882
1775751173.2743454,-1.0356,0.082,0.5824
1775751173.3748143,-1.0373,0.081,0.5783
1775751173.4774778,-1.0312,0.0803,0.5791
1775751173.6167767,-1.0118,0.0834,0.5834
1775751173.6760812,-1.0103,0.0822,0.5859
1775751173.7747297,-1.0087,0.0812,0.5845
1775751173.9056754,-1.0037,0.0805,0.587
1775751173.9736602,-1.0047,0.0802,0.5884
1775751174.0743032,-1.0117,0.0799,0.5828
1775751174.1914918,-1.0066,0.0796,0.5787
1775751174.2742958,-1.0035,0.0796,0.5791
1775751174.3765593,-1.0077,0.0762,0.5794
1775751174.4739852,-1.0143,0.0737,0.5763
1775751174.6130044,-1.0121,0.0718,0.5774
1775751174.6760473,-1.0144,0.0708,0.5749
1775751174.774535,-1.0059,0.0733,0.5764
1775751174.90039,-0.9995,0.0751,0.5775
1775751174.973931,-0.9857,0.0765,0.5783
1775751175.0738792,-0.9722,0.0775,0.5789
1775751175.2006645,-0.9686,0.0816,0.5759
1775751175.275394,-0.9772,0.0845,0.5771
1775751175.3745553,-0.9765,0.0898,0.5813
1775751175.5055418,-0.9688,0.094,0.5879
1775751175.5747428,-0.9646,0.0932,0.5857
1775751175.6765246,-0.9611,0.0961,0.5908
1775751175.8010073,-0.9549,0.0983,0.598
1775751175.872965,-0.955,0.0994,0.5928
1775751175.973852,-0.9415,0.0938,0.5794
1775751176.1026828,-0.9412,0.0897,0.5624
1775751176.1744528,-0.9391,0.0834,0.5478
1775751176.2744539,-0.9207,0.0788,0.5205
