Time,POSX,POSY,POSZ
1774554344.6634333,-2.7283,1.9024,0.9743
1774554344.6644568,-2.7283,1.9024,0.9743
1774554344.6779041,-2.7283,1.9024,0.9743
1774554344.6792848,-2.7283,1.9024,0.9743
1774554344.6799493,-2.7283,1.9024,0.9743
1774554344.6805108,-2.7283,1.9024,0.9743
1774554344.7222743,-2.7283,1.9024,0.9743
1774554344.7246013,-2.7283,1.9024,0.9743
1774554344.7289984,-2.7283,1.9024,0.9743
1774554344.729754,-2.7283,1.9024,0.9743
1774554344.730929,-2.7283,1.9024,0.9743
1774554344.7414181,-2.7283,1.9024,0.9743
1774554344.742732,-2.7283,1.9024,0.9743
1774554344.7446837,-2.7283,1.9024,0.9743
1774554344.7453854,-2.7283,1.9024,0.9743
1774554344.75799,-2.7283,1.9024,0.9743
1774554344.7595344,-2.7283,1.9024,0.9743
1774554344.777839,-2.7283,1.9024,0.9743
1774554344.778649,-2.7283,1.9024,0.9743
1774554344.7793703,-2.7283,1.9024,0.9743
1774554344.8271923,-2.7283,1.9024,0.9743
1774554344.8281813,-2.7283,1.9024,0.9743
1774554344.8291323,-2.7283,1.9024,0.9743
1774554344.8300774,-2.7283,1.9024,0.9743
1774554344.8310447,-2.7283,1.9024,0.9743
1774554344.8319423,-2.7283,1.9024,0.9743
1774554344.8328135,-2.7283,1.9024,0.9743
1774554344.8337424,-2.7283,1.9024,0.9743
1774554344.8346949,-2.7283,1.9024,0.9743
1774554344.835633,-2.7283,1.9024,0.9743
1774554344.83638,-2.7283,1.9024,0.9743
1774554344.8393104,-2.7283,1.9024,0.9743
1774554344.853028,-2.7283,1.9024,0.9743
1774554344.853763,-2.7283,1.9024,0.9743
1774554344.854348,-2.7283,1.9024,0.9743
1774554344.868268,-2.7283,1.9024,0.9743
1774554344.8690693,-2.7283,1.9024,0.9743
1774554344.8839915,-2.7283,1.9024,0.9743
1774554344.8847246,-2.7283,1.9024,0.9743
1774554344.8853347,-2.7283,1.9024,0.9743
1774554344.8995066,-2.7283,1.9024,0.9743
1774554344.9002433,-2.7283,1.9024,0.9743
1774554344.9008465,-2.7283,1.9024,0.9743
1774554344.9191425,-2.7283,1.9024,0.9743
1774554344.9232874,-2.7283,1.9024,0.9743
1774554344.931888,-2.7283,1.9024,0.9743
1774554344.9406185,-2.7283,1.9024,0.9743
1774554344.9449224,-2.7283,1.9024,0.9743
1774554344.949733,-2.7283,1.9024,0.9743
1774554344.9513116,-2.7283,1.9024,0.9743
1774554344.9520018,-2.7283,1.9024,0.9743
1774554344.9649403,-2.7283,1.9024,0.9743
1774554344.965789,-2.7283,1.9024,0.9743
1774554344.9677556,-2.7283,1.9024,0.9743
1774554344.9787028,-2.7283,1.9024,0.9743
1774554344.9794898,-2.7283,1.9024,0.9743
1774554344.981642,-2.7283,1.9024,0.9743
1774554344.9951067,-2.7283,1.9024,0.9743
1774554344.9958975,-2.7283,1.9024,0.9743
1774554344.996579,-2.7283,1.9024,0.9743
1774554345.0524547,-2.7283,1.9024,0.9743
1774554345.0533707,-2.7283,1.9024,0.9743
1774554345.0542538,-2.7283,1.9024,0.9743
1774554345.0550027,-2.7283,1.9024,0.9743
1774554345.055933,-2.7283,1.9024,0.9743
1774554345.056694,-2.7283,1.9024,0.9743
1774554345.0575771,-2.7283,1.9024,0.9743
1774554345.0584466,-2.7283,1.9024,0.9743
1774554345.0592918,-2.7283,1.9024,0.9743
1774554345.0599098,-2.7283,1.9024,0.9743
1774554345.0604334,-2.7283,1.9024,0.9743
1774554345.075148,-2.7283,1.9024,0.9743
1774554345.0758586,-2.7283,1.9024,0.9743
1774554345.0764472,-2.7283,1.9024,0.9743
1774554345.0894325,-2.7283,1.9024,0.9743
1774554345.0902388,-2.7283,1.9024,0.9743
1774554345.0909336,-2.7283,1.9024,0.9743
1774554345.1055937,-2.7283,1.9024,0.9743
1774554345.1063218,-2.7283,1.9024,0.9743
1774554345.1072168,-2.7283,1.9024,0.9743
1774554345.1212718,-2.7283,1.9024,0.9743
1774554345.1221213,-2.7283,1.9024,0.9743
1774554345.122939,-2.7283,1.9024,0.9743
1774554345.1237833,-2.7283,1.9024,0.9743
1774554345.1250837,-2.7283,1.9024,0.9743
1774554345.1261764,-2.7283,1.9024,0.9743
1774554345.1373029,-2.3783,2.5181,1.3323
1774554345.1493425,3.5809,-1.3864,0.8183
1774554345.1540868,-2.4381,2.5366,1.3596
1774554345.1617181,-2.4334,2.5325,1.3442
1774554345.1635296,-2.3677,2.4819,1.3561
1774554345.1642983,-2.4216,2.5251,1.3594
1774554345.1667008,-2.4156,2.5215,1.3673
1774554345.1677501,-2.409,2.5177,1.3748
1774554345.1788998,-2.4023,2.5139,1.3823
1774554345.1806533,-2.3959,2.5104,1.3905
1774554345.182953,-2.3891,2.5063,1.3984
1774554345.216933,-2.3271,2.4502,1.413
1774554345.2179174,-2.3762,2.4973,1.4157
1774554345.2188284,-2.3158,2.4385,1.4307
1774554345.2538235,-2.3635,2.4855,1.4329
1774554345.2548618,-2.3579,2.4791,1.442
1774554345.2570696,-2.352,2.4721,1.4509
1774554345.2581933,-2.3463,2.4649,1.4598
1774554345.2592695,-2.341,2.4573,1.4687
1774554345.2603118,-2.3361,2.4495,1.4778
1774554345.261393,-2.3308,2.4413,1.4866
1774554345.262536,-2.2722,2.38,1.5021
1774554345.2634652,-2.2674,2.3716,1.5107
1774554345.2640653,-2.2628,2.363,1.5191
1774554345.2646444,-2.2587,2.3546,1.5278
1774554345.267072,-2.2545,2.3464,1.5359
1774554345.271782,-2.2505,2.3385,1.5445
1774554345.2773356,-2.2461,2.3306,1.5528
