Time,POSX,POSY,POSZ
1774554348.261598,-1.38,0.01,1.91
1774554348.3616478,-1.35,-0.06,1.89
1774554348.4615223,-1.31,-0.14,2.02
1774554348.5618575,-1.27,-0.2,2.01
1774554348.6612475,-1.24,-0.27,1.98
1774554348.7624943,-1.2,-0.32,2.1
1774554348.8619773,-1.19,-0.41,2.16
1774554348.9850934,-1.13,-0.48,2.13
1774554349.0614395,-1.14,-0.57,2.09
1774554349.1617937,-1.14,-0.64,2.13
1774554349.262328,-1.1,-0.68,2.05
1774554349.3625896,-1.05,-0.7,2.0
1774554349.4610841,-0.97,-0.74,1.97
1774554349.5630207,-0.9,-0.77,1.96
1774554349.661367,-0.81,-0.79,1.96
1774554349.7611532,-0.73,-0.81,2.0
1774554349.8790648,-0.67,-0.82,1.99
1774554349.9608936,-0.57,-0.84,1.99
1774554350.06393,-0.49,-0.84,1.99
1774554350.1618178,-0.38,-0.85,2.01
1774554350.2618704,-0.31,-0.86,2.0
1774554350.361006,-0.25,-0.86,1.94
1774554350.461439,-0.17,-0.88,1.9
1774554350.5696108,-0.12,-0.87,1.89
1774554350.6614692,0.03,-0.89,1.87
1774554350.761707,0.06,-0.89,1.93
1774554350.8617866,0.12,-0.88,1.91
1774554350.9621334,0.18,-0.88,1.9
1774554351.0618496,0.25,-0.89,1.96
1774554351.1619067,0.31,-0.88,1.94
1774554351.273464,0.38,-0.88,2.05
1774554351.3617148,0.45,-0.88,2.13
1774554351.4710758,0.6,-0.91,2.05
1774554351.561225,0.73,-0.92,2.0
1774554351.6626852,0.87,-0.93,1.95
1774554351.76095,1.06,-0.95,1.99
1774554351.8655448,1.16,-0.93,2.13
1774554351.9616032,1.19,-0.89,2.23
1774554352.0619075,1.29,-0.86,2.14
1774554352.1616929,1.32,-0.8,2.08
1774554352.2620945,1.38,-0.73,2.01
1774554352.3625994,1.45,-0.67,1.99
1774554352.4615011,1.47,-0.61,1.98
1774554352.5652971,1.57,-0.55,2.0
1774554352.6620946,1.6,-0.46,2.09
1774554352.7616155,1.67,-0.37,2.06
1774554352.861276,1.69,-0.26,2.0
1774554352.9616344,1.74,-0.14,1.98
1774554353.061437,1.82,-0.04,1.96
1774554353.161231,1.85,0.09,1.98
1774554353.2689161,1.87,0.22,1.98
1774554353.3615756,1.86,0.34,2.02
1774554353.462636,1.86,0.45,2.01
1774554353.5613086,1.85,0.57,2.01
1774554353.6619964,1.82,0.68,2.01
1774554353.7609303,1.79,0.79,1.96
