Time,POSX,POSY,POSZ
1776174236.6611025,-1.33,0.53,0.74
1776174236.7617362,-1.32,0.53,0.74
1776174236.8607302,-1.34,0.53,0.74
1776174237.0334866,-1.33,0.54,0.74
1776174237.0604053,-1.35,0.54,0.75
1776174237.210623,-1.37,0.54,0.75
1776174237.26009,-1.33,0.55,0.73
1776174237.3924842,-1.35,0.54,0.75
1776174237.4604645,-1.34,0.54,0.75
1776174237.5779178,-1.36,0.54,0.76
1776174237.659422,-1.4,0.53,0.76
1776174237.7610357,-1.38,0.53,0.75
1776174237.860985,-1.39,0.53,0.75
1776174237.9608202,-1.39,0.53,0.76
1776174238.12918,-1.38,0.53,0.76
1776174238.1608872,-1.35,0.54,0.75
1776174238.320243,-1.36,0.54,0.75
1776174238.3608294,-1.36,0.54,0.75
1776174238.512927,-1.33,0.54,0.75
1776174238.561721,-1.34,0.54,0.74
1776174238.7143798,-1.36,0.53,0.76
1776174238.7619426,-1.37,0.53,0.76
1776174238.8981133,-1.35,0.53,0.75
1776174238.9624267,-1.35,0.53,0.75
1776174239.075577,-1.38,0.53,0.75
1776174239.1609254,-1.36,0.54,0.77
1776174239.2609706,-1.38,0.54,0.77
1776174239.4286742,-1.38,0.54,0.75
