Time,POSX,POSY,POSZ
1773858424.5764997,-1.002,0.1332,0.1146
1773858424.578699,-1.0019,0.1331,0.1147
1773858424.5807433,-1.0019,0.133,0.1147
1773858424.5830462,-1.0019,0.133,0.1147
1773858424.585172,-1.0019,0.133,0.1147
1773858424.5901318,-1.002,0.1332,0.1146
1773858424.594902,-1.0019,0.133,0.1147
1773858424.6100717,-1.002,0.1332,0.1146
1773858424.6123636,-1.0019,0.133,0.1147
1773858424.6145568,-1.0019,0.133,0.1147
1773858424.6175272,-1.002,0.1332,0.1147
1773858424.6225965,-1.0019,0.133,0.1147
1773858424.6280975,-1.0019,0.133,0.1147
1773858424.6350408,-1.002,0.1332,0.1146
1773858424.6412811,-1.0019,0.133,0.1147
1773858424.6870325,-1.0019,0.133,0.1147
1773858424.689539,-1.0019,0.133,0.1147
1773858424.6950397,-1.0019,0.133,0.1147
1773858424.6972415,-1.0019,0.133,0.1147
1773858424.699642,-1.0019,0.133,0.1147
1773858424.7079785,-1.0019,0.133,0.1147
1773858424.7107093,-1.002,0.1332,0.1146
1773858424.7149184,-1.002,0.1332,0.1146
1773858424.7171507,-1.0019,0.1331,0.1147
1773858424.7193458,-1.0019,0.133,0.1147
1773858424.721564,-1.002,0.1332,0.1147
1773858424.7295024,-1.002,0.1331,0.1147
1773858424.7318547,-1.0019,0.133,0.1147
1773858424.734123,-1.0019,0.133,0.1147
1773858424.7363489,-1.0019,0.133,0.1147
1773858424.7385664,-1.0019,0.133,0.1147
1773858424.7465663,-1.0019,0.133,0.1147
1773858424.7488275,-1.0019,0.133,0.1147
1773858424.750892,-1.0019,0.133,0.1147
1773858424.7530992,-1.0019,0.133,0.1147
1773858424.7555883,-1.0019,0.133,0.1147
1773858424.7609158,-1.0019,0.1331,0.1147
1773858424.7666273,-1.0019,0.133,0.1147
1773858424.7721565,-1.0019,0.133,0.1147
1773858424.777836,-1.0019,0.133,0.1147
1773858424.827561,-1.0019,0.133,0.1147
1773858424.8335218,-1.0019,0.1331,0.1147
1773858424.8355837,-1.0019,0.133,0.1147
1773858424.8377874,-1.0019,0.133,0.1147
1773858424.846507,-1.002,0.1332,0.1146
1773858424.8487535,-1.0019,0.133,0.1147
1773858424.85085,-1.0019,0.133,0.1147
1773858424.8529925,-1.0019,0.133,0.1147
1773858424.855244,-1.0019,0.133,0.1147
1773858424.857688,-1.0019,0.133,0.1147
1773858424.8641646,-1.002,0.1332,0.1146
