Time,POSX,POSY,POSZ
1775071540.4557748,-2.16,0.5,1.98
1775071540.7396128,-2.06,0.55,1.91
1775071540.7566154,-2.02,0.59,1.9
1775071540.7756128,-2.01,0.63,1.93
1775071540.798879,-2.0,0.65,1.9
1775071540.8334131,-2.01,0.68,1.93
1775071540.9486575,-2.02,0.71,1.97
1775071540.9832323,-1.93,0.78,1.93
1775071541.0052347,-1.96,0.81,1.99
1775071541.1616244,-1.96,0.85,1.94
1775071541.1850371,-1.96,0.89,1.94
1775071541.2335832,-1.97,0.94,1.95
1775071541.3539202,-1.89,1.01,1.9
1775071541.433084,-1.96,1.02,1.93
1775071541.535773,-2.02,1.05,1.92
1775071541.7183545,-2.06,1.1,1.96
1775071541.7408006,-2.15,1.13,1.99
1775071541.906833,-2.23,1.17,2.01
1775071541.9431396,-2.32,1.19,1.98
1775071542.102175,-2.41,1.21,1.96
1775071542.1366963,-2.49,1.24,1.99
1775071542.2842548,-2.49,1.25,2.0
1775071542.3384228,-2.52,1.26,2.01
1775071542.475165,-2.51,1.26,2.1
1775071542.5334496,-2.48,1.27,2.07
1775071542.6647053,-2.42,1.25,2.04
1775071542.7372665,-2.34,1.25,2.03
1775071542.8535805,-2.29,1.24,2.05
1775071542.9338691,-2.21,1.24,2.07
1775071543.045019,-2.18,1.23,2.02
1775071543.133266,-2.11,1.23,2.02
1775071543.2383175,-2.04,1.21,2.07
1775071543.4049497,-1.99,1.23,2.01
1775071543.4367259,-1.91,1.24,2.01
1775071543.6027946,-1.87,1.23,2.1
1775071543.6326349,-1.85,1.23,2.07
1775071543.7907946,-1.78,1.24,2.05
1775071543.8383737,-1.73,1.25,1.97
1775071543.979074,-1.69,1.25,1.95
1775071544.0377777,-1.67,1.25,1.98
1775071544.171433,-1.63,1.27,2.01
1775071544.2387822,-1.58,1.3,1.98
1775071544.3623369,-1.62,1.3,1.93
1775071544.4337678,-1.62,1.29,1.94
1775071544.5453267,-1.6,1.3,2.01
1775071544.6370764,-1.59,1.3,1.98
1775071544.7401314,-1.56,1.3,2.02
1775071544.922489,-1.53,1.3,2.08
1775071544.9400206,-1.43,1.34,2.03
1775071545.1103606,-1.33,1.36,2.0
1775071545.1367717,-1.23,1.38,1.95
1775071545.306727,-1.2,1.37,2.01
1775071545.3389368,-1.16,1.35,1.97
1775071545.496775,-1.07,1.37,1.94
1775071545.5329463,-1.0,1.38,2.03
1775071545.6915698,-0.94,1.36,2.05
1775071546.1384566,-0.85,1.39,1.99
1775071546.171459,-0.77,1.38,1.94
1775071546.3915524,-0.69,1.36,1.9
1775071546.8072195,-0.64,1.33,1.91
1775071546.956093,-0.6,1.31,1.92
1775071546.9870946,-0.57,1.29,1.89
1775071547.0130951,-0.5,1.26,2.03
1775071547.1407056,-0.42,1.26,2.04
1775071547.1717055,-0.32,1.25,1.97
1775071547.201703,-0.27,1.21,2.0
1775071547.3332639,-0.21,1.16,2.04
1775071547.3624105,-0.14,1.11,2.05
1775071547.38841,-0.07,1.05,2.05
1775071547.4343328,-0.01,0.98,2.03
1775071547.5278835,0.05,0.9,2.05
1775071547.5464065,0.1,0.81,2.01
1775071547.57141,0.15,0.73,2.06
1775071547.6022656,0.15,0.64,2.06
1775071547.7208333,0.15,0.55,2.05
1775071547.745867,0.12,0.47,2.07
1775071547.7698708,0.13,0.38,2.08
1775071547.8895304,0.14,0.28,2.09
1775071547.9375825,0.15,0.18,2.14
1775071548.080818,0.12,0.1,2.08
1775071548.1338108,0.09,0.03,2.1
1775071548.301824,0.04,-0.04,2.11
1775071548.3338025,0.0,-0.12,2.11
1775071548.4880657,-0.03,-0.19,2.17
1775071548.5384593,-0.07,-0.25,2.22
1775071548.6654596,-0.12,-0.3,2.21
1775071548.736691,-0.17,-0.35,2.15
1775071548.853515,-0.23,-0.39,2.13
1775071548.9325747,-0.3,-0.43,2.2
1775071549.0408707,-0.33,-0.47,2.09
1775071549.2204313,-0.41,-0.51,2.01
