Time,Filt_X,Filt_Y,Filt_Z
1775073400.300,-2.5300,0.7700,2.0400
1775073400.788,-2.5370,0.7690,2.0380
1775073400.800,-2.5483,0.7651,2.0372
1775073400.815,-2.5555,0.7636,2.0305
1775073400.836,-2.5619,0.7582,2.0224
1775073400.880,-2.5577,0.7504,2.0172
1775073400.980,-2.5450,0.7404,2.0115
1775073401.010,-2.5375,0.7243,2.0143
1775073401.034,-2.5327,0.7029,2.0179
1775073401.162,-2.5364,0.6756,2.0161
1775073401.231,-2.5198,0.6550,2.0095
1775073401.350,-2.4978,0.6385,2.0065
1775073401.435,-2.4680,0.6307,2.0039
1775073401.551,-2.4352,0.6296,1.9995
1775073401.630,-2.4007,0.6367,1.9925
1775073401.778,-2.3746,0.6500,1.9923
1775073401.831,-2.3622,0.6690,1.9871
1775073401.969,-2.3380,0.6961,1.9814
1775073402.031,-2.3392,0.7205,1.9762
1775073402.164,-2.3372,0.7454,1.9656
1775073402.230,-2.3455,0.7619,1.9690
1775073402.353,-2.3680,0.7677,1.9661
1775073402.437,-2.3972,0.7619,1.9685
1775073402.538,-2.4215,0.7437,1.9767
1775073402.715,-2.4353,0.7174,1.9820
1775073402.744,-2.4458,0.6836,1.9798
1775073402.894,-2.4332,0.6523,1.9738
1775073402.930,-2.4089,0.6250,1.9654
1775073403.088,-2.3750,0.6045,1.9529
1775073403.132,-2.3325,0.5911,1.9466
1775073403.276,-2.2872,0.5870,1.9429
1775073403.331,-2.2445,0.5943,1.9427
1775073403.470,-2.2021,0.6138,1.9494
1775073403.535,-2.1639,0.6445,1.9574
1775073403.658,-2.1355,0.6810,1.9647
1775073403.736,-2.1279,0.7179,1.9772
1775073403.859,-2.1381,0.7551,1.9845
1775073403.937,-2.1723,0.7876,1.9951
1775073404.123,-2.2251,0.8129,2.0056
1775073404.168,-2.2716,0.8326,2.0080
1775073404.615,-2.3164,0.8433,2.0072
1775073405.073,-2.3648,0.8440,2.0015
1775073405.282,-2.4163,0.8356,2.0013
1775073405.321,-2.4637,0.8160,2.0012
1775073405.522,-2.5073,0.7834,2.0041
1775073405.581,-2.5396,0.7391,2.0067
1775073405.747,-2.5596,0.6842,2.0030
1775073405.774,-2.5667,0.6228,1.9967
1775073405.806,-2.5680,0.5545,1.9880
1775073405.834,-2.5512,0.4880,1.9762
1775073405.964,-2.5301,0.4222,1.9626
1775073405.995,-2.5051,0.3580,1.9473
1775073406.031,-2.4696,0.2992,1.9406
1775073406.156,-2.4266,0.2453,1.9355
1775073406.177,-2.3819,0.1948,1.9330
1775073406.207,-2.3327,0.1473,1.9327
1775073406.230,-2.2825,0.1006,1.9334
1775073406.347,-2.2432,0.0505,1.9391
1775073406.374,-2.2149,-0.0066,1.9382
1775073406.398,-2.1774,-0.0599,1.9434
1775073406.424,-2.1307,-0.1099,1.9540
1775073406.529,-2.0796,-0.1589,1.9656
1775073406.546,-2.0256,-0.2070,1.9851
1775073406.569,-1.9691,-0.2543,2.0096
1775073406.699,-1.9142,-0.3039,2.0226
1775073406.736,-1.8608,-0.3565,2.0233
1775073406.883,-1.8027,-0.4069,2.0200
1775073406.931,-1.7394,-0.4582,2.0200
1775073407.074,-1.6715,-0.5093,2.0150
1775073407.132,-1.5953,-0.5614,2.0115
