Time,POSX,POSY,POSZ
1775073400.2995632,-2.53,0.77,2.04
1775073400.7877269,-2.6,0.76,2.02
1775073400.800264,-2.65,0.73,2.03
1775073400.8152623,-2.62,0.75,1.97
1775073400.835961,-2.62,0.71,1.95
1775073400.8799734,-2.52,0.68,1.97
1775073400.9801931,-2.43,0.65,1.96
1775073401.0097272,-2.47,0.58,2.04
1775073401.0341275,-2.49,0.51,2.05
1775073401.1621232,-2.57,0.43,2.0
1775073401.2306166,-2.37,0.47,1.95
1775073401.3495061,-2.3,0.49,1.98
1775073401.435426,-2.2,0.56,1.98
1775073401.5508473,-2.14,0.62,1.96
1775073401.6301353,-2.09,0.7,1.93
1775073401.7777803,-2.14,0.77,1.99
1775073401.8310478,-2.25,0.84,1.94
1775073401.9688804,-2.12,0.94,1.93
1775073402.0309293,-2.35,0.94,1.93
1775073402.1640546,-2.32,0.97,1.87
1775073402.2301452,-2.42,0.91,2.0
1775073402.3525195,-2.57,0.82,1.94
1775073402.4367173,-2.66,0.71,1.99
1775073402.537567,-2.64,0.58,2.05
1775073402.714763,-2.56,0.48,2.03
1775073402.7435205,-2.54,0.38,1.96
1775073402.8940873,-2.32,0.37,1.92
1775073402.9303734,-2.19,0.38,1.89
1775073403.088475,-2.07,0.42,1.84
1775073403.1315007,-1.95,0.47,1.89
1775073403.2755694,-1.88,0.55,1.91
1775073403.331333,-1.86,0.66,1.94
1775073403.4697564,-1.82,0.79,2.01
1775073403.5351927,-1.82,0.92,2.03
1775073403.6583295,-1.88,1.01,2.03
1775073403.736074,-2.06,1.05,2.09
1775073403.8591113,-2.23,1.09,2.05
1775073403.9366186,-2.48,1.08,2.09
1775073404.1233985,-2.7,1.04,2.1
1775073404.1682801,-2.69,1.01,2.03
1775073404.6148388,-2.72,0.94,2.0
1775073405.073303,-2.8,0.85,1.95
1775073405.2823937,-2.88,0.76,2.0
1775073405.3209386,-2.89,0.64,2.0
1775073405.5224164,-2.9,0.49,2.03
1775073405.5814154,-2.83,0.34,2.03
1775073405.7470396,-2.74,0.19,1.97
1775073405.7740397,-2.63,0.07,1.94
1775073405.805582,-2.58,-0.06,1.91
1775073405.833579,-2.4,-0.11,1.87
1775073405.9636645,-2.34,-0.17,1.84
1775073405.9946842,-2.28,-0.22,1.81
1775073406.0312083,-2.15,-0.23,1.88
1775073406.155609,-2.04,-0.24,1.89
1775073406.176602,-1.98,-0.26,1.91
1775073406.2071457,-1.89,-0.28,1.93
1775073406.2301464,-1.83,-0.32,1.94
1775073406.3466082,-1.89,-0.4,1.99
1775073406.3736105,-1.96,-0.52,1.93
1775073406.3983185,-1.84,-0.54,1.99
1775073406.4237742,-1.71,-0.56,2.05
1775073406.5293133,-1.62,-0.6,2.07
1775073406.5458584,-1.54,-0.64,2.16
1775073406.5688574,-1.46,-0.68,2.23
1775073406.6985002,-1.42,-0.75,2.14
1775073406.7360702,-1.38,-0.83,2.03
1775073406.8829734,-1.28,-0.86,1.99
1775073406.9312294,-1.17,-0.92,2.02
1775073407.0735548,-1.06,-0.97,1.97
1775073407.1316013,-0.91,-1.03,1.98
1775073407.2653277,-0.85,-1.1,1.92
1775073407.3304112,-0.71,-1.14,1.95
1775073407.4480991,-0.6,-1.18,1.95
1775073407.5304332,-0.52,-1.21,2.01
1775073407.6376815,-0.39,-1.22,1.98
1775073407.8082206,-0.23,-1.24,1.97
1775073407.8328855,-0.12,-1.22,2.01
1775073408.0009372,-0.02,-1.2,2.1
1775073408.0303311,0.1,-1.17,2.14
1775073408.1966841,0.24,-1.17,2.11
1775073408.2360394,0.41,-1.15,2.05
1775073408.387798,0.54,-1.1,2.08
1775073408.4364305,0.64,-1.04,2.14
1775073408.5722957,0.74,-0.96,2.07
1775073408.6303692,0.86,-0.89,2.06
1775073408.7657151,0.97,-0.8,2.07
1775073408.8314526,1.11,-0.69,2.18
1775073408.9526858,1.32,-0.55,2.13
1775073409.0341802,1.38,-0.44,2.15
1775073409.1324775,1.27,-0.35,2.15
1775073409.3146064,1.41,-0.29,2.16
1775073409.336082,1.44,-0.14,2.16
1775073409.5017176,1.33,-0.01,2.11
1775073409.5351994,1.25,0.12,2.08
1775073409.6794314,1.17,0.26,2.04
1775073409.7309222,1.14,0.4,2.03
1775073409.8737075,1.07,0.53,2.05
1775073409.9310758,1.1,0.66,2.01
1775073410.063205,1.23,0.76,1.98
1775073410.1316683,1.25,0.86,2.02
1775073410.233186,1.15,0.95,2.02
1775073410.3301625,1.11,1.02,1.99
1775073410.4311905,0.97,1.09,2.02
1775073410.5968575,0.87,1.15,2.14
1775073410.6348817,0.78,1.2,2.12
1775073410.7692835,0.68,1.23,2.12
1775073410.8355765,0.58,1.24,2.14
1775073410.9652116,0.48,1.24,2.2
1775073411.0306053,0.39,1.24,2.24
1775073411.1406918,0.3,1.24,2.2
1775073411.2353537,0.22,1.23,2.17
1775073411.3347657,0.12,1.23,2.2
1775073411.4940612,0.06,1.22,2.17
1775073411.5365496,-0.04,1.2,2.21
1775073411.6706448,-0.1,1.18,2.16
1775073411.730592,-0.16,1.16,2.15
1775073411.855027,-0.27,1.14,2.16
1775073411.9314113,-0.36,1.11,2.2
1775073412.044517,-0.43,1.07,2.19
1775073412.1305728,-0.53,1.02,2.12
1775073412.2323766,-0.56,0.97,2.08
1775073412.4066262,-0.61,0.93,2.06
1775073412.4346154,-0.63,0.89,2.05
1775073412.5812266,-0.69,0.86,2.07
1775073412.630426,-0.7,0.82,2.13
1775073412.7693362,-0.75,0.78,2.1
1775073412.8355124,-0.79,0.74,2.15
1775073412.9505572,-0.87,0.68,2.1
1775073413.0351784,-0.91,0.65,2.05
1775073413.137402,-0.9,0.62,2.03
1775073413.3052158,-0.93,0.59,2.04
1775073413.3337197,-1.0,0.55,2.09
1775073413.485887,-1.04,0.52,2.01
