Time,POSX,POSY,POSZ
1773946545.6491818,-1.3526,1.1186,0.0646
1773946545.6532502,-1.3526,1.1187,0.0647
1773946545.6603405,-1.3526,1.1186,0.0646
1773946545.6652408,-1.3527,1.1187,0.0647
1773946545.6735811,-1.3526,1.1187,0.0647
1773946545.6758192,-1.3526,1.1187,0.0647
1773946545.681372,-1.3527,1.1187,0.0647
1773946545.6880562,-1.3526,1.1186,0.0646
1773946545.6936393,-1.3526,1.1186,0.0646
1773946545.7007098,-1.3526,1.1187,0.0647
1773946545.7146394,-1.3526,1.1187,0.0647
1773946545.7174408,-1.3527,1.1186,0.0647
1773946545.7214932,-1.3527,1.1187,0.0647
1773946545.7790446,-1.3526,1.1186,0.0646
1773946545.789202,-1.3527,1.1187,0.0647
1773946545.7927268,-1.3527,1.1186,0.0646
1773946545.8005948,-1.3526,1.1186,0.0646
1773946545.8033528,-1.3527,1.1187,0.0647
1773946545.8054814,-1.3527,1.1187,0.0647
1773946545.8077784,-1.3527,1.1186,0.0647
1773946545.816004,-1.3527,1.1186,0.0647
1773946545.8274164,-1.3526,1.1186,0.0647
1773946545.8357556,-1.3527,1.1186,0.0646
1773946545.8423553,-1.3527,1.1186,0.0646
1773946545.8494291,-1.3527,1.1187,0.0647
1773946545.8539782,-1.3527,1.1186,0.0646
1773946545.8580916,-1.3527,1.1186,0.0647
1773946545.8621714,-1.3527,1.1186,0.0647
1773946545.866788,-1.3526,1.1187,0.0647
1773946545.8716643,-1.3527,1.1186,0.0646
1773946545.8744633,-1.3526,1.1187,0.0647
1773946545.8821738,-1.3526,1.1186,0.0647
1773946545.9542403,-1.3527,1.1187,0.0647
1773946545.9577706,-1.3526,1.1186,0.0646
1773946545.9617538,-1.3526,1.1186,0.0646
1773946545.9647293,-1.3527,1.1186,0.0646
1773946545.971292,-1.3526,1.1186,0.0647
1773946545.9760487,-1.3527,1.1186,0.0647
1773946545.979157,-1.3526,1.1186,0.0646
1773946545.9841082,-1.3527,1.1186,0.0646
1773946545.9986665,-1.3527,1.1186,0.0646
1773946546.0033035,-1.3527,1.1186,0.0646
1773946546.0196843,-1.3527,1.1187,0.0647
1773946546.024689,-1.3526,1.1187,0.0647
1773946546.0309176,-1.3526,1.1186,0.0646
1773946546.0373774,-1.3526,1.1186,0.0647
1773946546.043278,-1.3526,1.1186,0.0647
1773946546.0476532,-1.3527,1.1186,0.0647
1773946546.151701,-1.3526,1.1186,0.0646
1773946546.1593025,-1.3526,1.1186,0.0646
1773946546.1635945,-1.3526,1.1186,0.0647
1773946546.167754,-1.3526,1.1186,0.0647
1773946546.1729014,-1.3527,1.1186,0.0647
1773946546.176618,-1.3527,1.1186,0.0647
