Time,POSX,POSY,POSZ
1773946550.2668068,5.21,2.58,1.1
1773946550.3671484,5.21,2.58,1.11
1773946550.4654262,5.21,2.58,1.0904
1773946550.567424,5.21,2.5884,1.0617
1773946550.6663554,5.21,2.5839,1.0676
1773946550.7671952,5.2038,2.5818,1.0708
1773946550.8659892,5.2063,2.5808,1.0784
1773946550.9662948,5.2129,2.5752,1.0574
1773946551.067255,5.2166,2.5767,1.0501
1773946551.1671395,5.2145,2.5732,1.0461
1773946551.2659788,5.2089,2.5753,1.0439
1773946551.3661394,5.2052,2.5807,1.0428
1773946551.4666867,5.2028,2.5805,1.0656
1773946551.568019,5.205,2.5803,1.0812
1773946551.6667354,5.2102,2.5654,1.0809
1773946551.7667124,5.2102,2.5552,1.0806
1773946551.8658805,5.2066,2.5518,1.0911
1773946551.966913,5.2076,2.553,1.0914
1773946552.0654223,5.2188,2.5574,1.0777
1773946552.1669302,5.2267,2.5469,1.0473
1773946552.267033,5.2083,2.5395,1.1181
1773946552.3842554,5.181,2.5237,1.1872
1773946552.4664876,5.1524,2.5102,1.2434
1773946552.5669467,5.1317,2.4969,1.2845
1773946552.6671932,5.117,2.4876,1.3434
1773946552.76597,5.1036,2.4846,1.4148
1773946552.8784003,5.0936,2.4519,1.4236
1773946552.9670846,5.0847,2.4267,1.4352
1773946553.0693736,5.0779,2.4049,1.4479
1773946553.1662438,5.087,2.3967,1.4286
1773946553.2658908,5.1071,2.4011,1.5932
1773946553.3665278,5.1086,2.4247,1.6149
1773946553.467123,5.0999,2.4488,1.6389
1773946553.5665178,5.0839,2.4798,1.6778
1773946553.6670175,5.0726,2.5023,1.6779
1773946553.766289,5.0714,2.5219,1.7892
1773946553.8693986,5.0807,2.5361,1.9588
1773946553.966487,5.0745,2.5659,2.0706
1773946554.0663388,nan,nan,nan
1773946554.1749241,nan,nan,nan
1773946554.2659035,nan,nan,nan
1773946554.3658416,nan,nan,nan
1773946554.4662137,nan,nan,nan
1773946554.5670657,nan,nan,nan
1773946554.6682692,nan,nan,nan
1773946554.7660913,nan,nan,nan
1773946554.8672616,nan,nan,nan
1773946554.9671779,nan,nan,nan
1773946555.0666163,nan,nan,nan
1773946555.167414,nan,nan,nan
1773946555.2660809,nan,nan,nan
1773946555.3660889,nan,nan,nan
1773946555.4719648,nan,nan,nan
1773946555.5665588,nan,nan,nan
1773946555.667096,nan,nan,nan
1773946555.7658648,nan,nan,nan
1773946555.8657954,nan,nan,nan
1773946555.9651985,nan,nan,nan
1773946556.0665128,nan,nan,nan
1773946556.1654422,nan,nan,nan
1773946556.2663178,nan,nan,nan
1773946556.3660607,nan,nan,nan
1773946556.4665484,nan,nan,nan
1773946556.566474,nan,nan,nan
1773946556.6648579,nan,nan,nan
1773946556.764798,nan,nan,nan
1773946556.8650906,nan,nan,nan
1773946556.967442,nan,nan,nan
1773946557.066219,nan,nan,nan
1773946557.1669686,nan,nan,nan
1773946557.2677288,nan,nan,nan
1773946557.365361,nan,nan,nan
1773946557.4659455,nan,nan,nan
1773946557.5659251,nan,nan,nan
1773946557.6662407,nan,nan,nan
1773946557.767256,nan,nan,nan
1773946557.8670113,nan,nan,nan
1773946557.9652588,nan,nan,nan
1773946558.0659432,nan,nan,nan
1773946558.1659613,nan,nan,nan
1773946558.2653277,nan,nan,nan
1773946558.3659081,nan,nan,nan
1773946558.4658356,nan,nan,nan
1773946558.5685754,nan,nan,nan
1773946558.7663915,nan,nan,nan
1773946558.8652658,nan,nan,nan
1773946558.9659688,nan,nan,nan
1773946559.0659614,nan,nan,nan
1773946559.1660724,nan,nan,nan
1773946559.2658298,nan,nan,nan
1773946559.3658495,nan,nan,nan
1773946559.4664168,nan,nan,nan
