Time,POSX,POSY,POSZ
1773946550.2668068,5.21,2.58,1.1
1773946550.3671484,5.21,2.58,1.11
1773946550.4654262,5.21,2.58,1.09
1773946550.567424,5.21,2.59,1.06
1773946550.6663554,5.21,2.58,1.08
1773946550.7671952,5.2,2.58,1.08
1773946550.8659892,5.21,2.58,1.09
1773946550.9662948,5.22,2.57,1.04
1773946551.067255,5.22,2.58,1.05
1773946551.1671395,5.21,2.57,1.05
1773946551.2659788,5.2,2.58,1.05
1773946551.3661394,5.2,2.59,1.05
1773946551.4666867,5.2,2.58,1.11
1773946551.568019,5.21,2.58,1.11
1773946551.6667354,5.22,2.54,1.08
1773946551.7667124,5.21,2.54,1.08
1773946551.8658805,5.2,2.55,1.11
1773946551.966913,5.21,2.56,1.09
1773946552.0654223,5.24,2.57,1.05
1773946552.1669302,5.24,2.53,0.99
1773946552.267033,5.17,2.53,1.26
1773946552.3842554,5.13,2.5,1.31
1773946552.4664876,5.1,2.49,1.34
1773946552.5669467,5.1,2.48,1.34
1773946552.6671932,5.1,2.48,1.43
1773946552.76597,5.09,2.49,1.52
1773946552.8784003,5.09,2.4,1.39
1773946552.9670846,5.08,2.39,1.42
1773946553.0693736,5.08,2.38,1.43
1773946553.1662438,5.12,2.4,1.35
1773946553.2658908,5.16,2.43,1.89
1773946553.3665278,5.12,2.49,1.6
1773946553.467123,5.09,2.51,1.63
1773946553.5665178,5.06,2.55,1.7
1773946553.6670175,5.06,2.55,1.62
1773946553.766289,5.08,2.56,1.96
1773946553.8693986,5.11,2.56,2.23
1773946553.966487,5.07,2.62,2.21
1773946554.0663388,nan,nan,nan
1773946554.1749241,5.14,2.63,2.39
1773946554.2659035,nan,nan,nan
1773946554.3658416,5.23,2.67,2.53
1773946554.4662137,nan,nan,nan
1773946554.5670657,5.33,2.73,2.69
1773946554.6682692,5.42,2.79,2.41
1773946554.7660913,nan,nan,nan
1773946554.8672616,5.49,2.86,2.31
1773946554.9671779,5.55,2.94,2.2
1773946555.0666163,5.6,3.01,2.09
1773946555.167414,nan,nan,nan
1773946555.2660809,5.66,3.1,2.31
1773946555.3660889,5.69,3.18,2.52
1773946555.4719648,5.69,3.25,2.7
1773946555.5665588,5.7,3.34,2.58
1773946555.667096,5.77,3.35,2.41
1773946555.7658648,5.83,3.38,2.5
1773946555.8657954,5.79,3.52,2.66
1773946555.9651985,nan,nan,nan
1773946556.0665128,5.74,3.68,2.76
1773946556.1654422,5.69,3.82,2.8
1773946556.2663178,nan,nan,nan
1773946556.3660607,nan,nan,nan
1773946556.4665484,5.6,3.99,2.64
1773946556.566474,5.54,4.13,2.47
1773946556.6648579,nan,nan,nan
1773946556.764798,nan,nan,nan
1773946556.8650906,nan,nan,nan
1773946556.967442,nan,nan,nan
1773946557.066219,nan,nan,nan
1773946557.1669686,nan,nan,nan
1773946557.2677288,nan,nan,nan
1773946557.365361,5.3,4.24,2.41
1773946557.4659455,nan,nan,nan
1773946557.5659251,5.06,4.34,2.54
1773946557.6662407,4.87,4.44,2.65
1773946557.767256,4.7,4.5,2.75
1773946557.8670113,4.55,4.55,2.76
1773946557.9652588,nan,nan,nan
1773946558.0659432,4.38,4.58,2.45
1773946558.1659613,4.17,4.67,2.56
1773946558.2653277,4.0,4.74,2.61
1773946558.3659081,3.87,4.75,2.71
1773946558.4658356,3.73,4.77,2.54
1773946558.5685754,3.59,4.81,2.69
1773946558.7663915,3.35,4.81,2.62
1773946558.8652658,3.24,4.83,2.75
1773946558.9659688,3.14,4.79,2.48
1773946559.0659614,3.04,4.76,2.55
1773946559.1660724,2.95,4.71,2.68
1773946559.2658298,2.85,4.65,2.48
1773946559.3658495,2.76,4.58,2.42
